O*NET-SOC Code,Title,Conflict Situations,Contact With Others,Coordinate or Lead Others in Accomplishing Work Activities,Deal With External Customers or the Public in General,"Dealing With Unpleasant, Angry, or Discourteous People",Dealing with Violent or Physically Aggressive People,Face-to-Face Discussions with Individuals and Within Teams,Public Speaking,Telephone Conversations,Written Letters and Memos,Coordination Combined,Assisting and Caring for Others Combined,Developing and Building Teams Combined,Management of Personnel Resources Combined,"Guiding, Directing, and Motivating Subordinates Combined",Social Perceptiveness Combined,"Communicating with Supervisors, Peers, or Subordinates Combined",Speaking Combined,Selling or Influencing Others Combined,Establishing and Maintaining Interpersonal Relationships Combined,Oral Comprehension Combined,Interpreting the Meaning of Information for Others Combined,Oral Expression Combined,Instructing Combined,Providing Consultation and Advice to Others Combined,Resolving Conflicts and Negotiating with Others Combined,Performing for or Working Directly with the Public Combined,Staffing Organizational Units Combined,Coaching and Developing Others Combined,Training and Teaching Others Combined,Speech Clarity Combined,Speech Recognition Combined,Service Orientation Combined,Active Listening Combined,Coordinating the Work and Activities of Others Combined,Negotiation Combined,Persuasion Combined,Communicating with People Outside the Organization Combined,Work With or Contribute to a Work Group or Team
11-3021.00,Computer and Information Systems Managers,3.3,4.58,4.55,3.02,2.95,1.09,4.63,2.08,4.48,3.01,2.524285714285714,1.4613142857142858,3.139428571428572,2.4035714285714285,3.132828571428571,2.4035714285714285,3.5200000000000005,2.596342857142857,2.112271428571429,3.096285714285714,2.928571428571429,2.5542857142857143,2.877142857142857,2.1750857142857143,2.8480000000000008,2.6714285714285717,1.1758857142857142,2.643828571428571,2.9714285714285715,2.2005714285714286,2.216428571428572,2.19,1.837942857142857,2.7142857142857144,3.137714285714286,1.9285714285714288,2.06,1.9737142857142855,4.75
11-3031.00,Financial Managers,3.09,4.19,3.82,3.34,2.65,1.36,4.91,2.65,4.58,3.53,2.4035714285714285,1.5303857142857145,2.2698285714285715,2.4971428571428573,3.0349857142857144,2.4035714285714285,3.277257142857143,2.765714285714286,1.7208571428571429,3.321728571428571,3.005714285714286,2.070142857142857,3.0592,1.9077714285714285,2.4246,2.1902285714285714,2.205214285714286,1.8495142857142857,3.135257142857143,2.3659428571428576,2.7142857142857144,2.524285714285714,2.354914285714286,2.877142857142857,2.8920000000000003,2.1357142857142857,2.275,2.3534571428571427,4.77
11-3031.01,Treasurers and Controllers,3.12,4.52,4.21,3.04,2.44,1.12,4.92,2.48,4.88,4.0,2.2308,1.5632,2.902857142857143,2.1357142857142857,3.097542857142857,2.096342857142857,4.001828571428572,2.821428571428571,2.159942857142857,3.689200000000001,2.765714285714286,3.0085714285714285,3.091428571428572,1.837942857142857,3.008914285714286,2.771428571428572,1.233142857142857,2.4781714285714287,3.057142857142857,2.28,2.4035714285714285,2.4035714285714285,1.6875,2.748571428571428,2.5695428571428574,1.9449142857142856,2.071428571428571,3.643885714285715,4.44
11-3031.03,Investment Fund Managers,2.9,4.23,3.43,3.25,2.62,1.14,4.77,2.69,4.92,3.39,1.9449142857142856,1.164,2.0193571428571437,1.9077714285714285,1.7788,1.9657142857142855,3.265342857142857,2.6950857142857143,2.2238,2.9071,2.877142857142857,2.7979000000000003,2.821428571428571,1.822857142857143,2.1081142857142856,1.7498,1.2520857142857142,1.2743714285714285,2.176685714285714,2.221,2.4732142857142856,2.3392857142857144,1.8057142857142856,2.765714285714286,1.7425,2.0,2.06,3.253942857142857,3.99
11-3051.00,Industrial Production Managers,3.18,4.69,4.14,2.88,3.0,1.44,4.79,2.79,4.55,3.1,2.7142857142857144,1.5676,2.432628571428572,2.748571428571428,2.811828571428572,2.3857142857142857,3.132742857142857,2.7142857142857144,1.5193714285714286,2.985657142857143,2.821428571428571,2.010628571428572,2.765714285714286,2.096342857142857,2.055871428571429,2.591542857142857,1.3857142857142857,1.9217285714285717,2.7315428571428573,2.3020428571428573,2.4732142857142856,2.354914285714286,1.8914285714285717,2.645714285714285,2.653928571428572,2.205357142857143,2.096342857142857,2.116914285714285,4.52
11-3051.01,Quality Control Systems Managers,3.58,4.83,4.45,3.57,2.99,1.42,4.76,2.76,4.62,3.73,2.524285714285714,1.4642857142857144,2.6416000000000004,2.125,2.7736428571428573,2.205357142857143,3.996571428571428,2.6950857142857143,1.5717142857142856,3.2445714285714287,2.821428571428571,3.055271428571429,2.765714285714286,2.1635714285714283,3.0853714285714284,2.722785714285714,1.1242,2.449442857142857,2.800342857142857,2.890885714285714,2.422142857142857,2.205357142857143,1.9285714285714288,2.6950857142857143,2.6662857142857144,1.8914285714285717,2.125,2.677,4.8
11-3051.02,Geothermal Production Managers,3.43,4.47,4.02,3.54,2.57,1.4,4.96,3.12,5.0,4.25,2.422142857142857,2.1087857142857143,3.155428571428572,2.4522285714285714,2.891685714285714,2.2928571428571427,3.820657142857143,2.645714285714285,1.9230857142857145,3.242457142857143,2.9522285714285714,2.156,2.894285714285714,2.125,2.5126285714285714,2.7352,1.2262857142857142,2.2954857142857144,2.7745,2.667828571428571,2.2071428571428573,2.2767857142857144,1.8057142857142856,2.354914285714286,3.450342857142857,1.9657142857142855,1.9657142857142855,2.806228571428571,4.67
11-3051.03,Biofuels Production Managers,3.43,4.64,3.85,3.64,2.93,1.31,4.93,2.54,4.89,3.5,2.4971428571428573,1.6067142857142858,2.724285714285714,2.4893714285714283,3.2496,2.275,3.362285714285714,2.4971428571428573,1.6122999999999998,2.814057142857143,3.005714285714286,2.3659428571428576,2.765714285714286,2.1635714285714283,2.403642857142857,2.644685714285714,1.221,2.3424571428571426,2.8683428571428573,2.6874,2.596342857142857,2.354914285714286,2.044642857142857,2.524285714285714,3.0093,1.9285714285714288,2.023657142857143,2.0767857142857142,4.76
11-3051.04,Biomass Power Plant Managers,2.95,4.43,4.16,3.6,2.58,1.56,4.85,3.01,4.83,3.8,2.571428571428571,1.5808,3.0993142857142857,2.6185714285714288,3.306714285714285,2.1635714285714283,2.9687714285714284,2.7142857142857144,1.4594285714285715,2.926428571428572,2.765714285714286,1.7275,2.765714285714286,2.125,1.9874285714285715,2.5036571428571426,1.1234714285714285,2.1237142857142857,3.2345714285714284,2.4763,2.4035714285714285,2.265085714285714,1.6875,2.596342857142857,3.0491428571428574,1.7734857142857143,1.9285714285714288,1.8320714285714288,4.67
11-3051.06,Hydroelectric Production Managers,3.13,4.41,3.98,3.6,2.67,1.27,4.81,2.71,4.98,3.92,2.3392857142857144,1.8228,2.7081142857142857,2.4732142857142856,3.022857142857143,2.1635714285714283,3.520514285714285,2.8363428571428573,1.4868571428571429,2.8185714285714285,2.894285714285714,2.492114285714286,2.9522285714285714,2.3192,2.581428571428572,3.153785714285714,1.7963714285714287,2.3635714285714284,2.7952000000000004,2.5361714285714285,2.4035714285714285,2.354914285714286,2.1492,2.782857142857143,3.3205714285714283,2.1635714285714283,2.19,2.274442857142857,4.42
11-3061.00,Purchasing Managers,3.32,4.58,4.0,4.16,2.95,1.53,4.61,2.79,4.95,4.21,2.524285714285714,1.7291285714285711,2.761428571428572,2.7142857142857144,3.243642857142857,2.645714285714285,3.758442857142857,2.7142857142857144,1.5988857142857142,3.5308,2.7142857142857144,2.1601857142857144,2.765714285714286,2.3192,2.8184571428571425,3.318,2.015814285714286,2.4317714285714285,3.1918285714285712,2.826014285714286,2.5428571428571427,2.645714285714285,2.3857142857142857,2.7142857142857144,3.0391428571428567,2.645714285714285,2.542057142857143,3.4030857142857145,4.53
11-3071.00,"Transportation, Storage, and Distribution Managers",3.63,4.62,3.92,3.72,3.35,1.64,4.79,2.62,4.86,4.0,2.524285714285714,1.7985714285714287,2.885714285714286,2.1492,3.1256714285714287,2.086428571428572,3.464642857142857,2.4035714285714285,2.129371428571429,2.9912714285714284,2.607142857142857,2.1533714285714285,2.6185714285714288,2.265085714285714,2.4074,3.0333714285714284,1.746371428571429,2.383285714285714,2.8005714285714287,2.543628571428571,2.25,2.2071428571428573,2.0028571428571427,2.596342857142857,2.9802857142857144,2.354914285714286,2.2928571428571427,2.9924,4.44
11-3071.04,Supply Chain Managers,3.81,4.57,4.1,3.71,3.35,1.3,4.9,2.76,5.0,3.74,2.7142857142857144,1.430457142857143,3.402357142857143,2.2471428571428573,3.5209714285714284,2.524285714285714,3.621914285714286,2.7142857142857144,2.3870857142857145,3.6852,2.765714285714286,2.4971428571428573,2.765714285714286,1.9842857142857144,2.9796142857142858,3.408571428571429,1.516,2.807957142857143,3.224285714285714,2.752,2.2767857142857144,2.265085714285714,1.9449142857142856,2.7142857142857144,3.063285714285714,2.4732142857142856,2.354914285714286,2.9719999999999995,4.6
11-3111.00,Compensation and Benefits Managers,3.1,4.43,3.71,3.1,3.29,1.24,4.74,2.48,4.95,4.06,2.06,1.7328571428571429,2.3885714285714283,2.4035714285714285,2.7812714285714284,2.3857142857142857,3.838685714285715,2.765714285714286,1.8624,3.6607,2.765714285714286,2.494371428571428,2.765714285714286,1.8914285714285717,2.9091428571428573,3.092714285714285,1.0781714285714286,1.6956,2.682142857142857,2.2954,2.524285714285714,2.354914285714286,1.9449142857142856,2.765714285714286,2.503128571428572,1.9842857142857144,1.9657142857142855,3.1800571428571427,4.19
11-3121.00,Human Resources Managers,4.05,4.68,3.86,3.5,3.64,2.05,4.81,2.77,4.85,3.81,2.782857142857143,2.3151714285714284,3.5332857142857144,3.205357142857143,3.547885714285714,2.765714285714286,4.271742857142858,2.912857142857143,2.4315,4.319700000000001,3.052142857142857,2.721057142857143,3.25,2.645714285714285,3.826214285714285,4.367657142857144,1.984,3.7455000000000007,3.632285714285714,3.366057142857143,3.005714285714286,2.98,2.524285714285714,2.989371428571429,3.099357142857143,2.645714285714285,2.524285714285714,3.0224285714285712,4.5
11-3131.00,Training and Development Managers,2.86,4.5,4.25,2.21,2.5,1.14,4.78,3.32,4.71,3.14,2.5428571428571427,1.6864,3.5258000000000003,2.4285714285714284,3.617900000000001,2.5428571428571427,4.519285714285715,2.928571428571429,2.4256,4.037557142857143,2.748571428571428,3.099314285714285,3.0357142857142856,3.0357142857142856,3.572414285714286,2.810014285714286,1.092142857142857,2.2350857142857143,3.9124571428571424,4.587528571428571,3.0077714285714285,2.596342857142857,2.4035714285714285,2.7142857142857144,3.192857142857143,1.8571428571428568,2.4035714285714285,2.205357142857143,4.93
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.61,4.27,4.02,3.28,2.22,1.16,4.83,1.93,4.12,2.75,2.3392857142857144,1.697,2.0048000000000004,2.31,2.5074571428571426,2.2308,2.9069714285714285,2.542057142857143,2.1352,2.7990571428571425,2.6950857142857143,2.008057142857143,2.6950857142857143,1.837942857142857,1.9540714285714285,2.466742857142857,1.924342857142857,2.0881,2.3068,2.2789714285714284,2.422142857142857,2.4035714285714285,1.837942857142857,2.645714285714285,2.762928571428572,2.096342857142857,2.1357142857142857,2.486628571428572,4.45
11-9021.00,Construction Managers,3.2,4.6,4.15,3.9,2.75,1.79,4.68,3.15,4.89,3.68,2.928571428571429,2.2155,3.031428571428572,2.8363428571428573,3.347142857142857,2.3857142857142857,3.4528571428571437,2.6950857142857143,2.3428571428571425,3.092142857142857,2.821428571428571,2.196428571428572,2.928571428571429,1.9842857142857144,2.6625,3.128214285714286,1.822857142857143,2.7742857142857145,3.0439285714285718,3.052857142857143,2.5428571428571427,2.524285714285714,1.872228571428572,2.765714285714286,3.582857142857143,2.596342857142857,2.1750857142857143,3.047857142857143,4.6
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.69,4.98,4.35,3.77,3.22,1.65,4.88,2.2,4.9,4.25,2.7142857142857144,3.028914285714286,2.6014285714285714,2.571428571428571,2.9624,2.596342857142857,3.3807142857142853,2.7142857142857144,2.011914285714286,3.5022571428571427,2.765714285714286,1.9006857142857143,2.877142857142857,2.596342857142857,2.470285714285714,3.112342857142857,3.050428571428571,2.4649,3.0178857142857143,3.1744000000000003,2.596342857142857,2.44,2.645714285714285,2.7142857142857144,2.8790285714285715,2.354914285714286,2.19,3.2050000000000005,4.54
11-9032.00,"Education Administrators, Kindergarten through Secondary",3.81,4.87,4.46,4.14,3.36,2.18,4.76,3.48,4.47,4.32,2.928571428571429,2.769257142857142,3.5948,3.117142857142857,3.063542857142857,3.205357142857143,4.201571428571429,3.632857142857143,2.334,4.667000000000002,3.6142857142857134,2.3834285714285715,3.7714285714285714,2.765714285714286,3.5782857142857143,3.702857142857143,3.1201428571428567,3.2163142857142857,4.0445714285714285,4.112942857142857,3.3271428571428574,3.0335714285714284,2.748571428571428,3.475,3.752285714285714,2.7142857142857144,2.6185714285714288,4.0358,4.9
11-9033.00,"Education Administrators, Postsecondary",3.18,4.51,4.19,3.64,2.98,1.28,4.77,3.21,4.73,3.65,2.4971428571428573,1.7272571428571428,2.8944,2.571428571428571,3.0593714285714286,2.571428571428571,3.744142857142857,2.821428571428571,2.1333571428571427,3.732871428571429,3.091428571428572,2.824985714285714,3.1750857142857143,2.7142857142857144,2.6119714285714286,3.0042285714285715,1.8469285714285717,2.3056,3.032,2.4722,2.765714285714286,2.7142857142857144,2.3857142857142857,2.821428571428571,2.960971428571429,2.4035714285714285,2.4035714285714285,2.8915,4.46
11-9041.00,Architectural and Engineering Managers,3.29,4.54,4.21,4.21,2.6,1.13,4.88,2.97,4.91,3.38,2.6185714285714288,1.4503,2.5675428571428576,2.2471428571428573,3.1283142857142856,2.2928571428571427,3.628,2.7142857142857144,1.995142857142857,2.950942857142857,3.117142857142857,2.6214285714285714,3.117142857142857,2.205357142857143,2.0578857142857148,2.669714285714286,1.5410285714285714,1.8886428571428573,3.090057142857143,2.948885714285714,2.7142857142857144,2.524285714285714,2.044642857142857,2.7142857142857144,3.926214285714285,2.1750857142857143,2.1357142857142857,3.7342,4.88
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.75,4.08,3.97,2.69,2.55,1.32,4.83,2.63,4.39,3.49,2.086428571428572,1.5786571428571428,2.8656,2.023657142857143,2.4091428571428573,1.837942857142857,3.5256000000000003,2.31,1.9537,2.843642857142857,2.821428571428571,3.183285714285714,2.6696428571428568,1.9285714285714288,2.8625714285714285,2.0307142857142857,1.3342857142857143,1.7064857142857142,2.078042857142857,2.2128000000000005,2.2308,2.1492,1.7734857142857143,2.2928571428571427,2.6877714285714287,1.9077714285714285,1.9657142857142855,2.701171428571429,4.52
11-9051.00,Food Service Managers,3.63,4.84,4.51,4.51,3.69,1.71,4.93,2.59,4.62,2.81,2.596342857142857,1.9228571428571428,2.3450571428571427,2.596342857142857,2.7287,2.4522285714285714,2.5857142857142854,2.645714285714285,1.948,2.688142857142857,2.645714285714285,1.7229857142857143,2.645714285714285,1.9085714285714288,2.0229142857142857,2.4695714285714283,2.311242857142857,2.831142857142857,3.013371428571429,2.458,2.178571428571429,1.9449142857142856,2.4732142857142856,2.44,2.5990714285714285,2.06,1.8914285714285717,1.962742857142857,4.96
11-9071.00,Gambling Managers,3.93,4.78,4.63,4.67,3.94,1.9,4.89,2.72,4.24,3.69,2.6185714285714288,1.555,2.2406571428571427,2.7142857142857144,2.627142857142857,2.571428571428571,3.2397142857142853,2.596342857142857,1.6507428571428573,2.970742857142857,2.645714285714285,1.8088428571428572,2.7142857142857144,2.2928571428571427,2.173,3.142,3.2196571428571428,2.5678,2.752685714285714,2.452,2.4732142857142856,2.6185714285714288,2.4732142857142856,2.4732142857142856,2.5111428571428567,2.125,2.2928571428571427,1.7819285714285713,4.77
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.96,4.57,4.02,4.81,2.94,1.66,4.63,3.81,4.1,2.64,2.524285714285714,2.362571428571428,2.6633714285714287,2.023657142857143,3.1184,2.4732142857142856,3.5480285714285715,2.6950857142857143,2.025428571428572,3.706942857142857,2.662857142857143,2.825228571428571,2.782857142857143,2.2928571428571427,2.5785714285714287,3.056785714285714,3.0475,2.996857142857143,2.8942,3.0678857142857145,2.375,2.337142857142857,2.4732142857142856,2.645714285714285,2.6568000000000005,1.9842857142857144,2.096342857142857,3.2906714285714287,4.78
11-9081.00,Lodging Managers,3.72,4.89,4.51,4.49,3.57,1.6,4.83,3.67,4.92,4.32,2.5428571428571427,2.6514285714285712,2.4703,2.7142857142857144,3.2026428571428576,2.662857142857143,3.4141285714285714,2.7142857142857144,2.5959142857142856,3.296685714285714,2.7142857142857144,1.8309571428571427,2.782857142857143,2.4732142857142856,2.5208142857142857,3.234757142857143,3.2390857142857143,3.077371428571429,2.9371142857142853,3.0821,2.662857142857143,2.7142857142857144,2.8363428571428573,2.782857142857143,2.914,2.645714285714285,2.571428571428571,3.121714285714286,4.8
11-9111.00,Medical and Health Services Managers,3.71,4.82,3.96,4.07,3.39,2.11,4.61,2.96,4.93,3.71,2.6950857142857143,2.426028571428572,3.140357142857143,2.765714285714286,3.8388,2.7142857142857144,3.8832571428571434,2.782857142857143,1.9729,3.732342857142857,3.265714285714286,2.622528571428572,2.765714285714286,2.596342857142857,3.3088,3.485085714285714,2.2182142857142857,3.2742571428571425,3.82,3.3104714285714287,2.7142857142857144,2.645714285714285,2.4732142857142856,2.765714285714286,3.542171428571429,2.44,2.645714285714285,2.824,4.86
11-9121.00,Natural Sciences Managers,2.28,4.05,4.07,3.54,2.32,1.23,4.84,2.91,4.42,3.14,2.36,1.386628571428571,2.9581,2.7292,3.1026571428571423,2.3192,3.868342857142856,2.748571428571428,1.7599999999999998,3.605028571428572,3.091428571428572,3.1436,3.142857142857143,2.2471428571428573,2.5302285714285717,2.0872571428571427,1.3716428571428572,2.6157142857142857,2.8358000000000003,2.5016142857142856,2.954285714285714,2.524285714285714,1.822857142857143,3.0357142857142856,3.2563,1.9449142857142856,2.205357142857143,3.1547857142857145,4.68
11-9121.01,Clinical Research Coordinators,2.57,4.63,4.12,3.36,2.32,1.09,4.86,2.16,4.37,4.06,2.6950857142857143,2.4348571428571426,1.5678,2.25,1.4391999999999998,2.4035714285714285,3.088157142857143,2.645714285714285,1.0917142857142856,3.1123142857142856,2.877142857142857,1.8056,2.821428571428571,1.9085714285714288,1.6644571428571426,1.527057142857143,2.0780000000000003,1.0928285714285717,1.9685714285714289,2.2990285714285714,2.4732142857142856,2.4732142857142856,2.071428571428571,2.7142857142857144,2.2042,1.9077714285714285,1.9285714285714288,2.1380285714285714,4.42
11-9121.02,Water Resource Specialists,2.86,4.05,3.57,3.59,2.35,1.32,4.65,2.68,4.8,3.8,2.044642857142857,1.3778285714285714,2.6835,1.8125,2.4592857142857145,2.0342857142857143,3.22,2.7142857142857144,1.8736,3.0202,2.7142857142857144,2.998357142857143,2.765714285714286,1.9285714285714288,2.8167,2.2241428571428568,2.113671428571428,1.6535714285714285,2.6273142857142853,2.3054,2.4522285714285714,2.1635714285714283,1.8571428571428568,2.7142857142857144,2.838571428571429,1.8571428571428568,2.06,3.1794571428571428,4.47
11-9131.00,Postmasters and Mail Superintendents,4.15,4.96,4.59,4.54,4.28,2.04,4.92,3.79,4.83,4.5,2.5,1.7855714285714286,2.657857142857143,2.44,3.4133142857142857,2.5,3.6224857142857134,2.7142857142857144,2.063714285714286,3.127171428571429,2.662857142857143,2.3366285714285717,2.7142857142857144,2.044642857142857,2.478828571428571,3.6257,2.3179142857142856,2.763314285714286,3.0917285714285714,2.3841142857142854,2.283657142857143,2.337142857142857,2.0608,2.4485714285714284,3.304342857142857,2.216428571428572,2.125,2.501028571428572,4.66
11-9141.00,"Property, Real Estate, and Community Association Managers",3.6,4.7,3.8,4.1,3.7,1.9,4.84,2.5,4.95,4.55,2.4035714285714285,1.6192857142857144,2.607142857142857,1.9449142857142856,3.0650000000000004,2.086428571428572,3.345,2.7142857142857144,2.125,3.385,2.765714285714286,1.9102857142857144,2.765714285714286,1.78,2.5275,3.132571428571429,2.309285714285714,2.435,2.626428571428572,2.58,2.31,2.31,1.8571428571428568,2.571428571428571,3.295,2.3392857142857144,2.125,2.992857142857143,4.15
11-9151.00,Social and Community Service Managers,3.51,4.67,4.23,4.11,3.77,2.11,4.88,2.98,4.98,4.1,2.645714285714285,3.021,2.592914285714285,2.8020571428571426,2.7849142857142857,2.98,3.711428571428572,2.6185714285714288,1.3828142857142858,3.4548142857142854,3.0592,2.2721714285714283,3.2308,2.3857142857142857,2.275714285714286,2.9301142857142857,2.5990857142857147,1.8365714285714287,2.3124571428571428,2.4126857142857143,2.748571428571428,2.645714285714285,2.7142857142857144,2.748571428571428,2.8495285714285714,2.205357142857143,2.205357142857143,3.0703714285714288,4.71
11-9161.00,Emergency Management Directors,3.09,4.41,4.05,4.14,2.64,1.77,4.52,2.91,4.76,3.71,3.142857142857143,3.108714285714285,3.5382,2.3392857142857144,3.489571428571428,2.765714285714286,3.75,2.894285714285714,2.3054,4.16,3.0592,2.671057142857143,3.005714285714286,2.6185714285714288,2.9851,3.200528571428572,3.3902,2.6983,2.9851,3.1728571428571426,2.894285714285714,2.6950857142857143,3.4375,2.765714285714286,3.4267714285714286,2.19,2.4971428571428573,3.737457142857143,4.41
