O*NET-SOC Code,Title,Category Flexibility Combined,Mathematical Reasoning Combined,Updating and Using Relevant Knowledge Combined,Selective Attention Combined,Mathematics Combined,Complex Problem Solving Combined,Science Combined,Learning Strategies Combined,Deductive Reasoning Combined,Written Comprehension Combined,Inductive Reasoning Combined,Critical Thinking Combined,Reading Comprehension Combined,Time Management Combined,Active Learning Combined,Visualization Combined,Time Sharing Combined,Information Ordering Combined,Perceptual Speed Combined,Equipment Selection Combined,Flexibility of Closure Combined,"Organizing, Planning, and Prioritizing Work Combined",Speed of Closure Combined,Problem Sensitivity Combined,Memorization Combined,Written Expression Combined,Number Facility Combined,Writing Combined,Scheduling Work and Activities Combined
11-3021.00,Computer and Information Systems Managers,2.0028571428571427,1.8571428571428568,3.2087857142857144,1.7734857142857143,1.9449142857142856,2.524285714285714,1.147857142857143,2.125,2.7142857142857144,2.877142857142857,2.7142857142857144,2.782857142857143,2.7142857142857144,2.275,2.3192,1.8571428571428568,1.4906285714285716,2.571428571428571,1.6875,1.2514285714285711,1.8571428571428568,3.837142857142857,1.6875,2.7142857142857144,1.6063428571428573,2.6185714285714288,1.9449142857142856,2.571428571428571,2.760228571428572
11-3031.00,Financial Managers,2.06,2.3392857142857144,2.914228571428572,1.655,2.2928571428571427,2.4522285714285714,1.0089285714285714,1.9657142857142855,2.98,3.0592,2.6950857142857143,2.821428571428571,2.877142857142857,2.4035714285714285,2.4285714285714284,1.3392000000000002,1.3571428571428572,2.375,1.7036571428571428,1.0135714285714286,2.086428571428572,3.2163142857142857,1.8571428571428568,2.645714285714285,1.5614285714285714,2.6950857142857143,2.517857142857143,2.422142857142857,2.580228571428572
11-3031.01,Treasurers and Controllers,2.3857142857142857,2.748571428571428,3.451428571428571,1.6063428571428573,2.6696428571428568,2.9522285714285714,1.0089285714285714,1.9657142857142855,2.98,2.9522285714285714,2.9522285714285714,3.117142857142857,2.894285714285714,2.36,2.5907142857142857,1.5165142857142857,1.394285714285714,2.596342857142857,1.9449142857142856,1.0,1.8571428571428568,3.508471428571429,1.837942857142857,2.98,1.6875,2.765714285714286,2.7207142857142856,2.542057142857143,2.6552285714285717
11-3031.03,Investment Fund Managers,2.275,2.748571428571428,3.198857142857143,1.9842857142857144,2.2308,2.524285714285714,1.0,1.837942857142857,2.9522285714285714,2.877142857142857,2.6950857142857143,2.7142857142857144,2.821428571428571,2.2471428571428573,2.524285714285714,1.6875,1.7200000000000002,2.596342857142857,1.8571428571428568,1.0,2.19,2.9737,1.837942857142857,2.6696428571428568,1.8057142857142856,2.7207142857142856,2.5907142857142857,2.4522285714285714,1.8070857142857144
11-3051.00,Industrial Production Managers,2.2471428571428573,2.096342857142857,2.790642857142857,1.8914285714285717,2.275,2.4522285714285714,1.0992,2.571428571428571,2.821428571428571,2.7142857142857144,2.645714285714285,2.7142857142857144,2.645714285714285,2.6950857142857143,2.4971428571428573,1.9842857142857144,1.7734857142857143,2.7142857142857144,1.9085714285714288,1.32,1.9285714285714288,2.9230857142857145,1.7734857142857143,2.765714285714286,1.7734857142857143,2.4285714285714284,1.9842857142857144,2.36,2.569728571428572
11-3051.01,Quality Control Systems Managers,2.023657142857143,1.9842857142857144,3.212,1.8728571428571428,1.9842857142857144,2.6185714285714288,1.4017857142857142,2.023657142857143,2.821428571428571,2.765714285714286,2.877142857142857,2.6185714285714288,2.765714285714286,2.3392857142857144,2.542057142857143,1.75,1.7200000000000002,2.3392857142857144,2.125,1.197142857142857,2.4285714285714284,3.5459285714285707,1.9842857142857144,3.0592,1.8057142857142856,2.765714285714286,1.9449142857142856,2.645714285714285,2.709557142857143
11-3051.02,Geothermal Production Managers,2.125,2.205357142857143,3.092428571428571,1.9285714285714288,2.205357142857143,2.354914285714286,1.4928571428571429,2.086428571428572,2.7142857142857144,2.542057142857143,2.3906285714285715,2.662857142857143,2.748571428571428,2.4522285714285714,2.1607142857142856,1.8571428571428568,1.625,2.2928571428571427,1.9285714285714288,1.467857142857143,1.9449142857142856,3.882842857142857,1.6364285714285711,2.765714285714286,1.5614285714285714,2.4035714285714285,2.06,2.4035714285714285,3.7846428571428574
11-3051.03,Biofuels Production Managers,2.023657142857143,2.023657142857143,2.666,2.2928571428571427,1.9285714285714288,2.275,2.0,2.19,2.524285714285714,2.765714285714286,2.3857142857142857,2.596342857142857,2.645714285714285,2.3392857142857144,2.1635714285714283,1.75,1.9642857142857144,2.1357142857142857,2.1635714285714283,1.0135714285714286,2.044642857142857,2.8000285714285718,1.837942857142857,2.4732142857142856,1.6364285714285711,2.4732142857142856,1.8728571428571428,2.25,2.4487
11-3051.04,Biomass Power Plant Managers,2.125,1.8914285714285717,2.700314285714286,1.9449142857142856,1.9285714285714288,2.4732142857142856,1.5357142857142858,1.8914285714285717,2.821428571428571,2.821428571428571,2.645714285714285,2.7142857142857144,2.748571428571428,2.4035714285714285,2.023657142857143,1.78,1.6063428571428573,2.4522285714285714,2.023657142857143,1.32,2.044642857142857,3.784857142857143,1.8571428571428568,2.98,1.7200000000000002,2.571428571428571,1.9449142857142856,2.1357142857142857,3.3348285714285715
11-3051.06,Hydroelectric Production Managers,2.1635714285714283,2.086428571428572,2.8209285714285715,2.086428571428572,2.125,2.4035714285714285,2.044642857142857,2.4035714285714285,2.596342857142857,2.9522285714285714,2.4732142857142856,2.571428571428571,2.6950857142857143,2.4732142857142856,2.354914285714286,2.086428571428572,1.9085714285714288,2.4285714285714284,2.4035714285714285,1.3008,2.1635714285714283,3.3895,1.8728571428571428,2.6950857142857143,1.6942857142857144,2.542057142857143,2.086428571428572,2.3857142857142857,3.095028571428572
11-3061.00,Purchasing Managers,2.06,2.096342857142857,3.2773428571428567,2.0028571428571427,1.9449142857142856,2.1607142857142856,1.0,2.071428571428571,2.645714285714285,2.6950857142857143,2.4522285714285714,2.571428571428571,2.645714285714285,2.645714285714285,2.205357142857143,1.3571428571428572,1.6063428571428573,2.524285714285714,1.75,1.0,1.75,3.702057142857143,1.6875,2.4522285714285714,1.6364285714285711,2.571428571428571,2.086428571428572,2.645714285714285,2.4043428571428573
11-3071.00,"Transportation, Storage, and Distribution Managers",2.327857142857143,1.7200000000000002,2.8137142857142856,1.75,1.7200000000000002,2.354914285714286,1.0,2.105,2.5428571428571427,2.662857142857143,2.44,2.354914285714286,2.5428571428571427,2.4035714285714285,2.354914285714286,1.5785714285714287,1.6364285714285711,2.327857142857143,1.7734857142857143,1.0020571428571428,1.9642857142857144,3.3299714285714286,1.6665142857142858,2.5428571428571427,1.5785714285714287,2.607142857142857,1.8057142857142856,2.354914285714286,2.8758857142857144
11-3071.04,Supply Chain Managers,2.4732142857142856,2.06,3.007142857142857,1.9085714285714288,1.8571428571428568,2.645714285714285,1.0065142857142857,1.9285714285714288,2.596342857142857,2.821428571428571,2.596342857142857,2.645714285714285,2.7142857142857144,2.7142857142857144,2.4732142857142856,1.6665142857142858,1.6665142857142858,2.5428571428571427,1.7734857142857143,1.0,1.8571428571428568,3.387714285714286,1.5785714285714287,2.645714285714285,1.5207142857142857,2.7142857142857144,1.8914285714285717,2.645714285714285,2.7316
11-3111.00,Compensation and Benefits Managers,1.9449142857142856,2.086428571428572,3.4133142857142857,1.5,1.8914285714285717,2.105,1.0,1.8914285714285717,2.25,2.821428571428571,2.19,2.645714285714285,2.765714285714286,2.4035714285714285,2.571428571428571,1.231428571428571,1.32,1.9449142857142856,1.3785714285714286,1.0,1.51,3.349,1.4017857142857142,2.375,1.32,2.765714285714286,2.023657142857143,2.765714285714286,2.571428571428572
11-3121.00,Human Resources Managers,2.2308,1.9285714285714288,3.2414285714285715,2.0285714285714285,1.8571428571428568,2.7142857142857144,1.0357142857142856,2.524285714285714,2.821428571428571,3.1149142857142853,2.7142857142857144,2.821428571428571,3.0335714285714284,2.765714285714286,2.765714285714286,1.32,1.5625,2.265085714285714,1.6063428571428573,1.0,1.8057142857142856,3.824071428571429,1.9449142857142856,2.645714285714285,1.8571428571428568,2.8363428571428573,1.9285714285714288,2.782857142857143,2.788642857142857
11-3131.00,Training and Development Managers,2.4035714285714285,1.6364285714285711,3.5896000000000003,1.7200000000000002,1.7734857142857143,2.4971428571428573,1.0271428571428571,3.4375,2.596342857142857,2.645714285714285,2.524285714285714,2.571428571428571,2.7142857142857144,2.3857142857142857,2.6696428571428568,1.6063428571428573,1.5508,2.524285714285714,1.7200000000000002,1.0,1.7200000000000002,3.8267428571428574,1.7734857142857143,2.571428571428571,1.8057142857142856,2.954285714285714,1.5614285714285714,2.6950857142857143,3.2496
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.524285714285714,2.0,2.812857142857143,1.8571428571428568,1.8057142857142856,2.31,1.5785714285714287,1.8728571428571428,2.6950857142857143,2.571428571428571,2.6950857142857143,2.645714285714285,2.6696428571428568,2.275,2.2308,2.1635714285714283,1.6364285714285711,2.4522285714285714,2.0608,1.4691999999999998,2.125,3.406857142857143,1.7200000000000002,2.6950857142857143,1.6665142857142858,2.4522285714285714,1.8057142857142856,2.1635714285714283,2.6784714285714286
11-9021.00,Construction Managers,2.524285714285714,2.3392857142857144,2.992857142857143,2.0608,2.3857142857142857,2.765714285714286,1.32,1.9842857142857144,2.877142857142857,2.765714285714286,2.6950857142857143,2.877142857142857,2.748571428571428,2.765714285714286,2.645714285714285,2.8020571428571426,1.8914285714285717,2.821428571428571,1.8571428571428568,1.077942857142857,2.354914285714286,3.6,1.9449142857142856,2.894285714285714,1.6875,2.6950857142857143,2.1635714285714283,2.524285714285714,3.321428571428572
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",1.9449142857142856,1.7734857142857143,2.6497,1.9449142857142856,1.7734857142857143,2.44,1.0535714285714286,2.4522285714285714,2.765714285714286,2.765714285714286,2.596342857142857,2.7142857142857144,2.765714285714286,2.524285714285714,2.3857142857142857,1.4928571428571429,1.7385714285714284,2.422142857142857,1.5785714285714287,1.0,1.7734857142857143,2.9636571428571425,1.6875,2.645714285714285,1.8571428571428568,2.894285714285714,1.7200000000000002,2.571428571428571,2.715657142857143
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.645714285714285,2.06,3.016,1.9085714285714288,1.9657142857142855,3.005714285714286,1.157142857142857,3.585714285714286,3.44,3.544642857142857,2.8363428571428573,3.31,3.375,2.748571428571428,2.765714285714286,1.51,1.7857142857142856,2.7142857142857144,1.7036571428571428,1.0020571428571428,1.9449142857142856,3.754171428571429,1.9085714285714288,3.0892857142857144,1.8571428571428568,3.3563428571428573,1.8728571428571428,3.44,2.5021714285714287
11-9033.00,"Education Administrators, Postsecondary",2.4035714285714285,1.8728571428571428,3.2885714285714287,2.02,1.837942857142857,2.645714285714285,1.0357142857142856,2.571428571428571,2.645714285714285,3.005714285714286,2.765714285714286,2.894285714285714,3.0592,2.7142857142857144,2.645714285714285,1.5207142857142857,1.655,2.524285714285714,1.6063428571428573,1.0,1.9449142857142856,3.8305,1.7385714285714284,2.729371428571429,1.6875,3.117142857142857,1.8057142857142856,2.821428571428571,2.661828571428572
11-9041.00,Architectural and Engineering Managers,2.2471428571428573,2.6950857142857143,3.4064,1.9842857142857144,2.748571428571428,2.821428571428571,1.6364285714285711,2.0028571428571427,2.748571428571428,3.205357142857143,2.748571428571428,2.748571428571428,2.9522285714285714,2.645714285714285,2.596342857142857,2.6696428571428568,1.5614285714285714,2.524285714285714,1.8057142857142856,1.0,2.06,3.514457142857143,1.8057142857142856,2.6950857142857143,1.7200000000000002,2.9008000000000003,2.36,2.765714285714286,2.881728571428572
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.3392857142857144,2.3392857142857144,3.454342857142857,2.2071428571428573,1.9449142857142856,2.4522285714285714,1.9085714285714288,1.8728571428571428,2.877142857142857,2.821428571428571,2.6185714285714288,2.542057142857143,2.5907142857142857,2.125,2.205357142857143,1.8728571428571428,1.8057142857142856,2.596342857142857,1.9077714285714285,1.3785714285714286,2.044642857142857,3.153785714285714,1.655,2.7142857142857144,1.6942857142857144,2.6950857142857143,2.125,2.4522285714285714,2.588457142857143
11-9051.00,Food Service Managers,1.8571428571428568,1.7200000000000002,2.2521142857142857,1.872228571428572,1.7734857142857143,1.8571428571428568,1.0549142857142857,1.9449142857142856,2.5428571428571427,2.5428571428571427,1.8571428571428568,2.4035714285714285,2.524285714285714,2.3857142857142857,2.1357142857142857,1.4,1.7385714285714284,1.8571428571428568,1.7734857142857143,1.0942857142857143,1.6364285714285711,2.412071428571428,1.5625,2.596342857142857,1.6875,2.0,1.822857142857143,1.8914285714285717,2.3897714285714287
11-9071.00,Gambling Managers,2.0028571428571427,1.8571428571428568,2.3817142857142857,2.06,1.9449142857142856,2.225714285714286,1.0549142857142857,2.086428571428572,2.4732142857142856,2.19,2.5428571428571427,2.7142857142857144,2.3857142857142857,2.4732142857142856,2.2928571428571427,1.4179428571428572,1.9285714285714288,2.2928571428571427,1.9085714285714288,1.0,2.044642857142857,2.665571428571429,1.9449142857142856,2.571428571428571,1.7734857142857143,2.2071428571428573,2.044642857142857,2.4522285714285714,2.5694
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.044642857142857,1.6665142857142858,2.898142857142857,1.8571428571428568,1.4691999999999998,1.9257142857142855,1.0178571428571428,2.1357142857142857,2.3392857142857144,2.4035714285714285,2.25,2.4732142857142856,2.524285714285714,2.3392857142857144,2.2308,1.6171428571428572,1.5785714285714287,2.086428571428572,1.4928571428571429,1.0,1.6875,3.671928571428571,1.3785714285714286,2.4035714285714285,1.51,2.4732142857142856,1.75,2.4971428571428573,3.0689428571428574
11-9081.00,Lodging Managers,1.9642857142857144,1.935,2.332,1.8914285714285717,1.6665142857142858,2.2767857142857144,1.0,2.2308,2.4522285714285714,2.7142857142857144,2.216428571428572,2.524285714285714,2.596342857142857,2.524285714285714,2.524285714285714,1.5614285714285714,1.7734857142857143,2.225714285714286,1.7734857142857143,1.0407142857142857,1.8571428571428568,3.0355000000000003,1.8057142857142856,2.607142857142857,1.6364285714285711,2.7142857142857144,1.6875,2.645714285714285,2.9197714285714285
11-9111.00,Medical and Health Services Managers,2.1142857142857143,1.9722285714285717,3.5896000000000003,1.8057142857142856,1.75,2.5,1.5357142857142858,2.2471428571428573,2.7142857142857144,2.9522285714285714,2.7142857142857144,2.8363428571428573,2.765714285714286,2.7142857142857144,2.596342857142857,1.3392000000000002,1.5614285714285714,2.4035714285714285,1.655,1.0,1.7734857142857143,3.6508,1.4928571428571429,2.7142857142857144,1.6875,2.765714285714286,1.837942857142857,2.7142857142857144,3.2896
11-9121.00,Natural Sciences Managers,2.645714285714285,2.2857142857142856,3.829857142857143,1.822857142857143,2.211428571428572,2.748571428571428,3.1750857142857143,2.3857142857142857,3.142857142857143,3.2285714285714286,3.091428571428572,2.877142857142857,3.142857142857143,2.2477714285714288,2.696428571428572,1.4435714285714285,1.3392000000000002,2.7142857142857144,1.4464285714285716,1.0042857142857142,1.9085714285714288,4.014100000000001,1.4017857142857142,2.6950857142857143,1.4017857142857142,3.142857142857143,2.1750857142857143,3.057142857142857,3.115771428571428
11-9121.01,Clinical Research Coordinators,2.125,1.8571428571428568,2.4219,1.7734857142857143,1.8057142857142856,2.354914285714286,1.8571428571428568,2.023657142857143,2.7142857142857144,2.821428571428571,2.596342857142857,2.571428571428571,2.821428571428571,2.2928571428571427,2.36,1.6665142857142858,1.7734857142857143,2.645714285714285,1.822857142857143,1.0020571428571428,1.8571428571428568,3.8371,1.8057142857142856,2.7142857142857144,1.6665142857142858,2.7142857142857144,1.8571428571428568,2.7142857142857144,2.8146
11-9121.02,Water Resource Specialists,2.1492,2.086428571428572,3.6939428571428574,1.8571428571428568,2.205357142857143,2.6185714285714288,1.9285714285714288,1.9842857142857144,2.6950857142857143,2.765714285714286,2.6950857142857143,2.7142857142857144,2.765714285714286,2.596342857142857,2.205357142857143,1.837942857142857,1.7385714285714284,2.571428571428571,1.9285714285714288,1.0,2.125,3.106942857142857,1.7734857142857143,2.596342857142857,1.6875,2.6950857142857143,2.205357142857143,2.7142857142857144,3.0339714285714283
11-9131.00,Postmasters and Mail Superintendents,2.071428571428572,1.7734857142857143,2.4623142857142857,1.822857142857143,1.625,1.9449142857142856,1.0357142857142856,2.105,2.337142857142857,2.607142857142857,2.225714285714286,2.524285714285714,2.662857142857143,2.662857142857143,2.0028571428571427,1.4542857142857144,1.6391999999999998,2.1677714285714287,1.6714285714285717,1.0,1.7142857142857144,3.2275000000000005,1.5300000000000002,2.327857142857143,1.4542857142857144,2.2928571428571427,1.7200000000000002,2.205357142857143,3.072057142857143
11-9141.00,"Property, Real Estate, and Community Association Managers",1.8571428571428568,1.822857142857143,3.057142857142857,1.7857142857142856,1.8571428571428568,1.9449142857142856,1.0271428571428571,1.78,2.3857142857142857,2.7142857142857144,2.31,2.3857142857142857,2.645714285714285,2.0,1.8914285714285717,1.4910714285714284,1.5508,1.9449142857142856,1.32,1.0020571428571428,1.5614285714285714,3.374642857142857,1.3392000000000002,2.31,1.3392000000000002,2.571428571428571,1.8571428571428568,2.4971428571428573,2.6846428571428573
11-9151.00,Social and Community Service Managers,1.9657142857142855,1.9077714285714285,3.1195,1.8057142857142856,1.722057142857143,2.6950857142857143,1.3571428571428572,2.4035714285714285,2.6950857142857143,2.7142857142857144,2.524285714285714,2.6950857142857143,2.6185714285714288,2.645714285714285,2.596342857142857,1.5614285714285714,1.837942857142857,2.25,1.6875,1.0,1.8571428571428568,3.5256000000000003,1.6665142857142858,2.7142857142857144,1.6875,2.6950857142857143,1.9077714285714285,2.571428571428571,2.805885714285714
11-9161.00,Emergency Management Directors,2.4971428571428573,1.8057142857142856,3.246214285714286,1.8571428571428568,1.8571428571428568,3.3979428571428576,1.1885714285714286,2.645714285714285,2.894285714285714,2.765714285714286,2.821428571428571,2.877142857142857,2.765714285714286,2.524285714285714,2.6696428571428568,2.06,1.8571428571428568,2.645714285714285,1.8571428571428568,1.0,1.8914285714285717,3.803028571428572,1.8571428571428568,3.0357142857142856,1.7734857142857143,2.821428571428571,1.7734857142857143,2.821428571428571,2.6392857142857142
11-9171.00,Funeral Home Managers,1.9085714285714288,1.75,3.1244,1.5625,1.6063428571428573,1.9642857142857144,1.0357142857142856,1.8057142857142856,2.0608,2.645714285714285,1.8571428571428568,2.2928571428571427,2.4522285714285714,2.354914285714286,1.8057142857142856,1.51,1.655,2.0608,1.4542857142857144,1.0020571428571428,1.5614285714285714,3.601899999999999,1.32,2.354914285714286,1.6364285714285711,2.4732142857142856,1.6364285714285711,2.096342857142857,3.047
11-9179.01,Fitness and Wellness Coordinators,1.9449142857142856,1.6364285714285711,2.9197714285714285,1.7200000000000002,1.3808,1.9449142857142856,1.1339285714285714,2.275,2.7142857142857144,2.645714285714285,2.4035714285714285,2.4035714285714285,2.4522285714285714,2.023657142857143,2.19,1.7385714285714284,1.7734857142857143,2.354914285714286,1.51,1.1408,1.7200000000000002,3.3885714285714283,1.467857142857143,2.571428571428571,1.822857142857143,2.571428571428571,1.542142857142857,2.2928571428571427,3.2839142857142862
11-9179.02,Spa Managers,2.086428571428572,1.837942857142857,3.2776000000000005,1.7142857142857144,1.7200000000000002,2.0608,1.0020571428571428,2.2308,2.596342857142857,2.4035714285714285,2.31,2.645714285714285,2.275,2.571428571428571,2.3857142857142857,1.5357142857142858,1.7385714285714284,2.1492,1.5785714285714287,1.0271428571428571,1.6875,2.558542857142857,1.4691999999999998,2.551428571428572,1.5892857142857142,2.3192,1.8571428571428568,2.096342857142857,2.879714285714285
11-9199.01,Regulatory Affairs Managers,1.8571428571428568,1.4928571428571429,3.8126,1.7385714285714284,1.5165142857142857,2.2767857142857144,1.3706285714285715,2.0,2.645714285714285,2.894285714285714,2.645714285714285,2.645714285714285,2.8363428571428573,2.4035714285714285,2.3392857142857144,1.268571428571429,1.5508,2.4035714285714285,1.6063428571428573,1.0,1.8057142857142856,3.389142857142857,1.6063428571428573,2.571428571428571,1.467857142857143,2.912857142857143,1.5165142857142857,2.912857142857143,2.524142857142857
11-9199.02,Compliance Managers,2.096342857142857,1.4017857142857142,3.5477571428571437,1.8571428571428568,1.36,2.125,1.0271428571428571,2.125,2.877142857142857,2.877142857142857,2.765714285714286,2.821428571428571,2.765714285714286,1.9449142857142856,2.524285714285714,1.3008,1.4017857142857142,2.3392857142857144,1.5892857142857142,1.0020571428571428,1.7734857142857143,3.5055571428571435,1.542142857142857,2.9522285714285714,1.5892857142857142,2.894285714285714,1.3392000000000002,2.6950857142857143,2.8559
11-9199.08,Loss Prevention Managers,1.9642857142857144,1.6665142857142858,2.7228571428571438,2.1635714285714283,1.6875,2.596342857142857,1.0,2.044642857142857,2.596342857142857,2.645714285714285,2.596342857142857,2.645714285714285,2.7142857142857144,2.596342857142857,2.4732142857142856,1.6875,1.6063428571428573,1.9449142857142856,1.8057142857142856,1.0,2.06,3.3354285714285714,1.8057142857142856,2.782857142857143,1.5625,2.645714285714285,1.75,2.524285714285714,2.3957714285714284
11-9199.09,Wind Energy Operations Managers,2.0342857142857143,1.8057142857142856,3.273142857142857,1.8914285714285717,1.9285714285714288,2.205357142857143,1.16,1.8914285714285717,2.571428571428571,2.7142857142857144,2.571428571428571,2.645714285714285,2.645714285714285,2.044642857142857,2.0342857142857143,1.9285714285714288,1.7734857142857143,2.5428571428571427,1.9085714285714288,1.4435714285714285,1.9085714285714288,3.698685714285715,1.7200000000000002,2.7142857142857144,1.7734857142857143,2.7142857142857144,1.8057142857142856,2.571428571428571,3.4091714285714283
11-9199.10,Wind Energy Development Managers,2.044642857142857,2.06,3.149714285714286,1.7485714285714289,2.0,2.105,1.12,1.7200000000000002,2.877142857142857,2.821428571428571,2.7142857142857144,2.821428571428571,2.748571428571428,2.2308,2.36,1.837942857142857,1.5785714285714287,2.2071428571428573,1.5357142857142858,1.0135714285714286,1.9085714285714288,3.693828571428572,1.6063428571428573,2.645714285714285,1.6063428571428573,2.5428571428571427,1.8914285714285717,2.596342857142857,2.975657142857143
