O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Work Outcomes and Results of Other Workers,"Determine Tasks, Priorities and Goals",Developing Objectives and Strategies Combined,Making Decisions and Solving Problems Combined,Judgment and Decision Making Combined
11-3061.00,Purchasing Managers,2.16,4.21,3.58,2.79,3.84,4.16,4.37,2.820571428571429,3.5358142857142854,2.4732142857142856
11-3071.00,"Transportation, Storage, and Distribution Managers",3.04,4.16,4.4,3.94,4.02,4.08,4.01,2.5022,3.344557142857143,2.25
11-3071.04,Supply Chain Managers,2.35,4.05,3.6,3.95,3.67,4.2,4.19,3.0270714285714284,3.5060285714285717,2.7142857142857144
11-3111.00,Compensation and Benefits Managers,2.62,4.33,3.86,2.76,3.86,3.24,4.48,2.92,3.2911428571428574,2.645714285714285
11-3121.00,Human Resources Managers,2.95,4.27,4.14,3.5,4.05,3.64,4.27,2.9554285714285715,3.8132,2.821428571428571
11-3131.00,Training and Development Managers,1.68,4.36,3.14,2.32,3.14,4.04,4.43,3.0892857142857144,3.436828571428572,2.4522285714285714
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.04,4.55,3.54,4.22,4.09,3.96,4.53,2.633742857142857,3.4059,2.3392857142857144
11-9021.00,Construction Managers,3.5,4.2,4.1,4.3,4.15,3.8,3.9,2.426285714285714,3.315785714285714,2.9522285714285714
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.85,4.38,4.48,4.52,4.14,4.58,4.44,2.2968571428571427,2.9756,2.596342857142857
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.92,4.14,3.92,3.85,3.9,4.66,4.32,3.021257142857143,4.031071428571429,3.4564285714285714
11-9033.00,"Education Administrators, Postsecondary",2.35,4.63,4.47,2.71,4.54,4.03,4.66,3.0858571428571424,3.8914,2.645714285714285
11-9041.00,Architectural and Engineering Managers,2.52,4.53,3.99,3.22,4.15,4.19,4.52,1.9387857142857143,3.8322,2.748571428571428
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.82,4.46,3.98,3.4,3.79,3.91,4.44,2.9781571428571434,3.685257142857143,2.4522285714285714
11-9051.00,Food Service Managers,2.83,4.19,4.57,4.24,4.55,4.61,3.9,2.1351142857142857,2.6477714285714287,1.9085714285714288
11-9071.00,Gambling Managers,3.54,4.27,4.65,4.25,4.38,4.1,4.21,2.1908000000000003,2.7655000000000003,2.422142857142857
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",3.21,4.37,3.83,4.16,3.95,3.8,4.39,2.6142714285714286,3.2605142857142857,2.31
11-9081.00,Lodging Managers,2.6,4.52,4.55,4.2,4.52,4.55,4.66,2.6628857142857143,3.438428571428571,2.4732142857142856
11-9111.00,Medical and Health Services Managers,2.41,3.89,3.74,3.54,3.52,4.11,4.11,2.856342857142857,3.5921,2.7142857142857144
11-9121.00,Natural Sciences Managers,3.12,4.13,3.25,3.89,4.03,4.22,4.39,3.148514285714286,3.817971428571429,2.6185714285714288
11-9121.01,Clinical Research Coordinators,2.68,4.21,3.52,2.98,3.71,3.34,4.01,1.7640285714285715,2.681714285714286,2.354914285714286
11-9121.02,Water Resource Specialists,2.19,4.14,3.52,3.41,3.59,3.62,4.14,3.228228571428572,3.885,2.596342857142857
11-9131.00,Postmasters and Mail Superintendents,2.42,3.97,4.5,4.68,4.16,4.69,3.89,2.517085714285714,3.244,2.0028571428571427
11-9141.00,"Property, Real Estate, and Community Association Managers",2.6,4.25,3.95,3.3,4.05,3.85,4.25,2.3712142857142857,3.528142857142857,2.023657142857143
11-9151.00,Social and Community Service Managers,2.92,4.35,4.26,3.73,4.41,4.19,4.37,2.7198857142857147,2.9258571428571427,2.6950857142857143
11-9161.00,Emergency Management Directors,2.68,4.36,3.33,4.14,3.55,3.64,4.32,2.996142857142857,3.8038857142857134,2.821428571428571
11-9171.00,Funeral Home Managers,3.72,4.53,4.64,3.65,4.29,3.99,4.03,2.4196428571428568,3.6508857142857134,2.1142857142857143
11-9179.01,Fitness and Wellness Coordinators,2.04,4.5,3.2,3.85,3.04,3.52,4.5,2.313542857142857,2.644857142857143,2.0028571428571427
11-9179.02,Spa Managers,2.13,4.33,4.73,3.94,4.63,3.86,4.01,2.3445142857142853,3.1942857142857144,2.2767857142857144
11-9199.01,Regulatory Affairs Managers,2.91,3.96,3.61,1.91,4.04,3.43,4.04,3.0585142857142857,3.6348571428571432,2.571428571428571
11-9199.02,Compliance Managers,3.07,4.28,4.08,4.0,4.26,3.93,4.33,2.653928571428572,3.523428571428572,2.3857142857142857
11-9199.08,Loss Prevention Managers,2.82,4.36,4.09,4.64,4.18,3.52,4.14,2.7527714285714286,3.615571428571428,2.645714285714285
11-9199.09,Wind Energy Operations Managers,4.39,4.57,4.39,4.88,4.39,4.2,4.59,2.297528571428571,3.701000000000001,2.2308
11-9199.10,Wind Energy Development Managers,2.35,4.43,3.6,2.46,3.84,3.33,4.69,2.3464,3.6904,2.31
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.23,3.77,3.32,3.41,3.73,3.32,4.0,2.7004,3.680228571428572,2.7142857142857144
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2.78,4.22,4.59,1.5,4.13,3.11,4.42,2.418614285714286,2.6428000000000003,2.1357142857142857
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.68,4.6,4.63,2.99,4.46,3.18,4.68,2.4050714285714285,3.0991428571428576,2.1492
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.15,4.4,4.45,2.38,4.24,3.73,4.5,1.8825142857142856,2.730114285714286,2.275
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.74,4.05,4.05,2.55,4.05,3.28,4.3,2.6032857142857138,3.088142857142857,2.596342857142857
13-1031.00,"Claims Adjusters, Examiners, and Investigators",2.71,4.51,4.86,1.92,4.52,2.34,4.3,1.7776,3.346514285714286,2.4732142857142856
13-1032.00,"Insurance Appraisers, Auto Damage",2.65,4.45,4.8,1.39,4.48,2.43,4.43,1.7934857142857146,3.202514285714285,1.9449142857142856
13-1041.00,Compliance Officers,3.51,3.68,3.73,2.29,3.57,2.32,3.33,1.8714857142857144,2.921885714285714,2.216428571428572
13-1041.01,Environmental Compliance Inspectors,2.26,3.95,3.11,2.8,3.35,2.35,4.0,1.7135714285714283,2.685714285714286,2.3192
13-1041.03,Equal Opportunity Representatives and Officers,2.55,4.49,4.08,1.87,4.26,2.45,4.54,1.9442285714285716,3.3616428571428574,2.4035714285714285
13-1041.04,Government Property Inspectors and Investigators,2.2,3.98,4.38,3.17,4.01,3.67,4.0,2.506614285714286,3.196071428571429,2.7142857142857144
13-1041.06,Coroners,3.6,4.3,4.25,4.05,4.0,3.75,4.0,2.651585714285714,3.815714285714286,2.3392857142857144
13-1041.07,Regulatory Affairs Specialists,2.8,3.8,3.15,1.6,3.45,2.85,3.9,2.771071428571428,3.2494,2.6950857142857143
13-1041.08,Customs Brokers,3.35,3.65,4.1,2.35,3.95,3.45,3.5,1.9081428571428571,2.7952857142857144,1.9642857142857144
13-1051.00,Cost Estimators,2.36,3.91,3.36,2.1,3.82,2.81,3.86,2.3485714285714288,3.4141142857142857,2.4035714285714285
13-1071.00,Human Resources Specialists,2.93,4.36,4.01,3.43,4.19,3.7,4.48,1.9793142857142856,2.9413428571428573,2.125
13-1074.00,Farm Labor Contractors,2.5,4.81,3.87,4.58,4.21,4.63,4.97,1.2691428571428571,1.8426285714285715,1.7857142857142856
13-1075.00,Labor Relations Specialists,2.84,4.19,3.74,2.86,3.86,3.0,4.1,2.1702142857142857,3.498571428571428,2.4971428571428573
13-1081.00,Logisticians,2.58,4.04,3.71,3.0,3.79,3.42,3.88,2.7207142857142856,3.435657142857143,2.4971428571428573
13-1081.01,Logistics Engineers,2.74,4.04,3.65,3.48,3.7,3.83,3.96,2.7275714285714283,3.1954714285714285,2.821428571428571
13-1081.02,Logistics Analysts,2.64,4.18,3.45,2.55,3.41,2.95,4.09,2.5764571428571426,3.186228571428571,2.4971428571428573
13-1111.00,Management Analysts,2.79,4.14,3.75,2.45,4.1,3.61,4.35,3.621914285714286,4.102857142857143,2.765714285714286
13-1121.00,"Meeting, Convention, and Event Planners",1.87,4.52,4.51,3.23,4.31,3.91,4.73,2.314,3.0953142857142857,2.265085714285714
13-1131.00,Fundraisers,2.52,4.19,3.67,2.24,4.0,3.24,4.38,3.3362857142857143,3.5257142857142862,2.275
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.86,3.81,4.0,2.05,4.05,2.38,4.0,2.330714285714285,3.200357142857143,2.1357142857142857
13-1151.00,Training and Development Specialists,2.04,4.35,3.05,2.82,3.17,3.35,4.26,2.9378714285714285,3.061328571428572,2.645714285714285
13-1161.00,Market Research Analysts and Marketing Specialists,2.45,4.52,3.32,1.57,3.61,3.22,4.26,3.101571428571429,3.7335,2.542057142857143
13-1161.01,Search Marketing Strategists,2.04,4.26,3.43,1.3,3.74,2.91,4.22,3.1707,3.5992,2.4732142857142856
13-1199.04,Business Continuity Planners,2.36,3.83,2.68,3.26,3.7,3.36,3.91,3.0692142857142857,3.3788285714285715,2.894285714285714
13-1199.05,Sustainability Specialists,1.77,3.74,3.09,2.7,3.43,2.87,4.17,3.474214285714285,3.2680285714285717,2.354914285714286
13-1199.06,Online Merchants,2.17,4.6,4.2,2.69,4.06,3.69,4.34,1.9580428571428568,3.078028571428572,2.044642857142857
13-1199.07,Security Management Specialists,3.16,4.45,3.68,3.55,3.95,3.37,4.15,2.9817142857142858,3.5842857142857136,2.596342857142857
13-2011.00,Accountants and Auditors,2.75,4.04,3.97,2.33,4.33,3.59,4.17,2.2771,3.273342857142857,2.2928571428571427
13-2022.00,Appraisers of Personal and Business Property,3.17,4.17,3.61,2.43,4.05,2.96,4.35,2.2157142857142857,3.4020571428571427,1.9285714285714288
13-2023.00,Appraisers and Assessors of Real Estate,2.26,4.46,3.52,1.59,3.12,2.39,4.43,1.6400285714285716,2.7728571428571427,1.822857142857143
13-2031.00,Budget Analysts,2.8,4.25,4.6,3.33,4.13,3.87,4.49,2.319357142857143,3.0232,2.4732142857142856
13-2041.00,Credit Analysts,2.6,3.75,3.7,1.4,3.35,2.05,4.2,1.5571428571428572,3.0260714285714285,2.1357142857142857
13-2052.00,Personal Financial Advisors,3.08,4.0,4.12,1.65,4.19,2.74,4.32,2.9105142857142856,3.868342857142856,2.4522285714285714
13-2053.00,Insurance Underwriters,2.9,4.3,4.33,1.5,3.9,2.33,4.07,1.544,3.4217285714285715,2.25
13-2061.00,Financial Examiners,2.35,3.52,3.39,1.7,4.13,3.74,3.59,2.2204,3.408657142857143,2.6950857142857143
13-2071.00,Credit Counselors,2.44,4.24,4.44,1.46,4.08,1.96,4.04,1.839314285714286,2.9522285714285714,2.1607142857142856
13-2072.00,Loan Officers,3.01,4.43,4.8,2.63,4.49,3.6,4.39,1.6980142857142857,2.8172,2.596342857142857
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",2.91,4.12,4.07,2.12,4.18,2.58,4.12,1.8064857142857145,2.745828571428571,1.9842857142857144
13-2082.00,Tax Preparers,2.74,3.85,3.6,1.6,3.74,2.43,3.57,1.738257142857143,2.809971428571428,1.8914285714285717
13-2099.01,Financial Quantitative Analysts,3.21,3.85,3.42,1.45,3.9,3.17,4.0,2.274642857142857,3.746114285714286,2.6696428571428568
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.12,4.08,4.36,2.84,4.16,3.58,4.12,2.644342857142857,3.4192,2.645714285714285
15-1211.00,Computer Systems Analysts,2.99,4.2,3.44,2.12,3.64,3.85,4.54,2.3248857142857142,3.3181142857142856,2.542057142857143
15-1211.01,Health Informatics Specialists,2.9,3.95,3.38,2.76,3.52,3.7,4.29,2.951285714285714,3.912100000000001,2.645714285714285
15-1212.00,Information Security Analysts,3.45,4.0,3.19,2.14,3.63,3.02,4.08,2.173914285714286,2.9404000000000003,2.2308
15-1221.00,Computer and Information Research Scientists,2.61,4.17,3.03,2.18,3.42,3.32,3.98,2.5718,4.050357142857143,2.98
15-1231.00,Computer Network Support Specialists,3.29,4.26,3.52,2.39,3.77,3.33,4.3,1.790814285714286,2.5991428571428568,2.1492
15-1232.00,Computer User Support Specialists,3.46,4.57,4.1,3.41,3.22,4.2,4.41,2.0336,3.079,1.9642857142857144
15-1241.00,Computer Network Architects,3.4,3.75,3.35,2.5,3.8,3.3,3.9,2.4107142857142856,3.047857142857143,2.571428571428571
15-1241.01,Telecommunications Engineering Specialists,3.0,4.1,3.33,3.24,3.52,3.24,3.95,2.2455,3.489142857142857,1.9449142857142856
15-1242.00,Database Administrators,3.88,4.49,3.91,2.07,3.29,3.46,4.24,2.455571428571428,3.4486,2.571428571428571
15-1243.00,Database Architects,3.24,4.19,3.14,1.9,3.81,3.14,4.1,2.768,3.4675,2.596342857142857
15-1243.01,Data Warehousing Specialists,2.22,4.09,2.87,1.52,3.26,2.65,3.91,2.2074857142857143,3.0692142857142857,2.2308
15-1244.00,Network and Computer Systems Administrators,2.72,4.09,3.07,1.9,3.3,2.75,4.14,2.0656,3.258142857142857,2.596342857142857
15-1251.00,Computer Programmers,2.54,3.43,2.33,1.28,3.14,2.69,3.4,2.4337142857142857,3.454428571428572,2.044642857142857
15-1252.00,Software Developers,2.76,4.27,2.42,2.05,2.55,3.44,4.19,2.5574285714285714,3.4286571428571424,2.4035714285714285
15-1253.00,Software Quality Assurance Analysts and Testers,2.79,4.12,3.0,2.12,3.56,2.88,3.97,2.1207857142857143,2.8565714285714283,2.096342857142857
15-1254.00,Web Developers,2.88,4.42,3.25,1.83,3.5,3.12,4.08,2.274842857142857,3.3028571428571425,2.1492
15-1255.01,Video Game Designers,2.1,3.95,3.1,1.45,3.5,3.15,4.05,2.43,3.827857142857143,2.354914285714286
15-1299.01,Web Administrators,3.0,4.15,3.45,1.9,3.5,2.9,4.35,2.4207142857142854,3.407142857142857,2.1492
15-1299.02,Geographic Information Systems Technologists and Technicians,2.5,4.03,3.12,1.84,3.45,3.03,3.91,2.3983,3.16,2.0028571428571427
15-1299.03,Document Management Specialists,2.79,3.8,3.11,2.15,3.15,3.05,3.9,2.4547857142857143,2.8428571428571425,2.023657142857143
15-1299.05,Information Security Engineers,3.0,4.0,3.42,2.32,3.79,3.16,4.26,2.317042857142857,3.286928571428571,2.125
15-1299.08,Computer Systems Engineers/Architects,3.57,4.0,3.57,2.59,4.05,3.15,4.0,2.342714285714286,3.4642857142857144,2.36
15-1299.09,Information Technology Project Managers,2.8,4.19,3.65,3.19,3.81,4.05,4.38,3.288185714285714,3.5742857142857143,2.4035714285714285
15-2011.00,Actuaries,2.37,3.86,3.08,1.57,3.96,3.04,3.86,2.4317714285714285,3.896514285714286,3.145
15-2021.00,Mathematicians,2.26,4.5,2.25,1.75,2.7,2.47,4.35,2.3660714285714284,3.422857142857143,2.571428571428571
15-2031.00,Operations Research Analysts,2.35,3.76,2.9,2.14,3.57,2.95,4.05,2.793857142857143,4.093285714285715,2.8020571428571426
15-2041.00,Statisticians,2.5,4.19,3.19,1.86,3.48,2.95,4.14,2.666,3.8417714285714286,2.3192
15-2041.01,Biostatisticians,2.35,4.26,2.87,1.88,3.12,3.25,4.12,2.2052285714285715,3.4871000000000003,2.877142857142857
15-2051.01,Business Intelligence Analysts,2.73,4.23,3.23,1.45,3.55,3.05,4.27,2.0777142857142854,2.8491142857142853,2.4971428571428573
15-2051.02,Clinical Data Managers,2.15,3.7,3.05,1.6,3.15,3.4,4.1,2.21,3.0540000000000003,2.1635714285714283
15-2099.01,Bioinformatics Technicians,2.67,4.06,2.66,2.27,2.89,3.62,3.9,1.9658285714285717,3.6414,2.25
17-1011.00,"Architects, Except Landscape and Naval",3.2,3.86,3.4,2.67,3.48,3.75,3.86,2.6900000000000004,3.622857142857143,2.7678571428571432
17-1012.00,Landscape Architects,2.4,3.7,3.3,2.6,3.45,3.6,3.75,2.44,3.357142857142857,2.4732142857142856
17-1021.00,Cartographers and Photogrammetrists,2.5,4.09,3.37,1.78,3.74,3.14,3.97,2.1472,2.9182,1.9449142857142856
17-1022.00,Surveyors,3.5,4.0,3.95,3.9,4.1,3.9,3.65,2.5,3.366228571428572,2.0028571428571427
17-1022.01,Geodetic Surveyors,2.25,4.12,3.33,3.07,3.27,2.92,3.85,2.1456428571428567,3.3788285714285715,2.4035714285714285
17-2011.00,Aerospace Engineers,2.76,4.35,2.98,2.41,3.42,3.31,4.07,2.0433142857142856,3.911657142857143,2.524285714285714
17-2021.00,Agricultural Engineers,3.05,4.0,2.95,3.5,3.5,3.3,3.95,3.128214285714286,3.95,2.645714285714285
17-2031.00,Bioengineers and Biomedical Engineers,2.61,4.0,2.78,3.3,3.48,3.22,4.0,2.633257142857143,3.7452142857142863,2.9008000000000003
17-2041.00,Chemical Engineers,3.96,4.04,3.3,4.13,3.87,2.91,4.0,2.3098,3.896571428571429,2.9008000000000003
17-2051.00,Civil Engineers,3.43,3.9,4.0,2.9,3.9,3.48,4.0,2.0477142857142856,3.858571428571429,2.36
17-2051.01,Transportation Engineers,3.38,3.95,3.5,3.32,3.8,3.82,3.86,2.297142857142857,3.962142857142856,2.748571428571428
17-2051.02,Water/Wastewater Engineers,2.26,3.87,3.3,3.17,3.7,3.39,3.83,2.5015714285714283,3.860285714285714,2.765714285714286
17-2061.00,Computer Hardware Engineers,2.64,4.24,2.57,2.69,3.31,3.11,4.03,2.716,3.959371428571429,2.4522285714285714
17-2071.00,Electrical Engineers,3.03,4.47,4.14,3.11,4.0,3.74,4.59,2.563371428571428,4.350314285714285,2.086428571428572
17-2072.00,"Electronics Engineers, Except Computer",2.67,4.55,2.48,2.34,3.32,2.52,4.15,2.288157142857143,3.257142857142857,2.524285714285714
17-2072.01,Radio Frequency Identification Device Specialists,2.73,4.33,3.8,2.2,4.01,3.68,4.25,2.782171428571428,3.9016,2.1492
17-2081.00,Environmental Engineers,3.2,3.81,3.16,4.05,3.86,3.63,4.05,3.107142857142857,3.649728571428572,2.6950857142857143
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",3.28,4.25,3.93,4.08,4.24,3.31,4.04,2.3788,3.4064,2.354914285714286
17-2111.02,Fire-Prevention and Protection Engineers,2.96,4.04,3.38,3.38,3.72,3.23,4.0,2.3872,3.734285714285714,2.765714285714286
17-2112.00,Industrial Engineers,3.43,4.29,3.8,3.41,3.87,3.68,4.45,2.0944,3.4308428571428573,2.211428571428572
17-2112.01,Human Factors Engineers and Ergonomists,2.58,4.6,2.89,3.8,3.26,3.11,4.55,2.926428571428572,3.701642857142857,2.6393714285714287
17-2112.02,Validation Engineers,2.95,4.15,3.3,2.9,3.7,3.05,4.1,2.090357142857143,3.467285714285714,2.096342857142857
17-2112.03,Manufacturing Engineers,3.12,4.0,3.35,3.88,3.69,3.38,3.96,2.216,3.5,2.9008000000000003
17-2121.00,Marine Engineers and Naval Architects,3.71,3.78,3.11,3.22,4.06,2.94,4.11,2.1290285714285715,3.1236857142857146,2.571428571428571
17-2131.00,Materials Engineers,2.76,4.19,2.9,3.71,3.45,3.67,4.14,2.7355,3.7439999999999993,2.2471428571428573
17-2141.00,Mechanical Engineers,2.99,4.25,3.49,3.05,3.94,3.8,4.25,2.259428571428572,3.346,2.6185714285714288
17-2141.01,Fuel Cell Engineers,2.95,3.77,2.36,3.73,2.68,3.18,3.82,2.5555,3.5295999999999994,2.4971428571428573
17-2141.02,Automotive Engineers,2.9,4.0,3.14,3.5,3.33,3.35,4.19,2.314285714285714,3.8917000000000006,2.748571428571428
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",2.92,4.17,3.65,3.2,3.86,3.4,4.16,2.471714285714285,3.7931,2.98
17-2161.00,Nuclear Engineers,3.65,3.48,3.11,3.9,3.71,3.15,3.67,2.359642857142857,3.646057142857143,2.765714285714286
17-2171.00,Petroleum Engineers,2.76,3.92,3.91,3.59,4.0,3.81,4.53,3.0548571428571423,3.6224857142857134,2.596342857142857
17-2199.03,"Energy Engineers, Except Wind and Solar",2.55,4.14,3.41,3.38,3.41,3.67,4.05,2.5555,3.616,2.4285714285714284
17-2199.05,Mechatronics Engineers,3.27,4.19,3.65,3.33,3.83,2.96,4.33,2.2234857142857143,3.378514285714286,2.6950857142857143
17-2199.06,Microsystems Engineers,2.58,4.43,3.28,2.85,3.76,3.49,4.44,2.182942857142857,3.4206,2.4035714285714285
17-2199.07,Photonics Engineers,3.26,4.0,2.39,2.78,3.09,2.91,4.13,1.9750714285714288,3.6796,2.36
17-2199.08,Robotics Engineers,3.53,4.24,3.57,3.9,4.0,3.43,4.07,2.52,3.608414285714286,2.6950857142857143
17-2199.09,Nanosystems Engineers,3.4,4.33,3.05,4.05,3.29,3.38,4.2,2.568257142857143,3.5553142857142856,2.645714285714285
17-2199.10,Wind Energy Engineers,2.64,4.04,3.33,2.13,3.53,3.0,4.18,2.1016000000000004,3.1252000000000004,2.4285714285714284
17-2199.11,Solar Energy Systems Engineers,3.71,3.89,4.25,3.82,4.21,3.81,3.54,2.0231714285714286,3.205357142857143,2.105
17-3011.00,Architectural and Civil Drafters,2.74,3.69,3.28,2.15,3.3,3.28,3.57,1.6980142857142857,2.765028571428572,1.9449142857142856
17-3012.00,Electrical and Electronics Drafters,3.0,3.69,3.43,2.33,3.5,2.95,3.7,1.7533,2.558414285714286,2.1142857142857143
17-3013.00,Mechanical Drafters,2.66,4.45,3.14,2.21,3.49,2.68,4.32,1.6588,2.521057142857143,1.8571428571428568
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3.78,4.06,4.29,3.53,4.35,3.2,3.69,1.791828571428571,3.0054857142857143,2.044642857142857
17-3022.00,Civil Engineering Technologists and Technicians,2.42,3.92,4.06,2.86,3.36,3.63,3.64,1.5074285714285716,2.7080571428571427,1.9449142857142856
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3.15,4.43,3.52,3.43,3.88,3.34,4.27,1.7569142857142857,3.161542857142857,1.9449142857142856
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.73,3.55,4.13,3.47,3.71,3.53,3.4,1.7032142857142856,2.735314285714286,2.0608
17-3024.01,Robotics Technicians,4.05,4.23,3.05,4.05,3.59,3.27,4.14,1.7130571428571426,2.996142857142857,1.9449142857142856
17-3025.00,Environmental Engineering Technologists and Technicians,2.95,3.57,3.68,3.8,3.98,3.33,3.77,1.6880714285714284,2.4356,2.1635714285714283
17-3026.00,Industrial Engineering Technologists and Technicians,3.29,4.32,4.15,3.43,4.21,3.51,4.17,1.9403714285714284,3.1849142857142856,2.211428571428572
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.9,4.1,3.3,3.85,3.45,3.35,4.15,2.198628571428572,3.196557142857143,2.105
17-3027.00,Mechanical Engineering Technologists and Technicians,3.85,4.04,3.6,3.69,3.91,3.74,3.88,2.0112000000000005,3.1894285714285715,2.1492
17-3027.01,Automotive Engineering Technicians,3.3,3.56,3.48,3.85,3.56,2.85,3.33,1.6536857142857144,2.8196571428571438,1.9842857142857144
17-3029.01,Non-Destructive Testing Specialists,3.67,4.09,4.09,4.05,4.18,3.38,3.55,2.5372,3.4207428571428578,1.9085714285714288
17-3029.08,Photonics Technicians,3.45,3.76,3.1,3.14,3.45,2.91,3.77,1.6185142857142858,2.908428571428571,1.8914285714285717
17-3031.00,Surveying and Mapping Technicians,2.74,4.3,3.77,2.75,3.6,3.19,3.89,1.598442857142857,2.418542857142857,1.7385714285714284
19-1011.00,Animal Scientists,2.96,4.39,3.73,3.3,3.96,3.39,4.43,3.0577857142857146,3.9204,2.928571428571429
19-1012.00,Food Scientists and Technologists,3.19,3.95,3.43,3.45,3.73,3.0,3.91,1.9778857142857145,3.1255,2.596342857142857
19-1013.00,Soil and Plant Scientists,2.67,4.38,2.86,3.81,3.29,3.57,4.33,2.9448,3.5521000000000003,2.6696428571428568
19-1021.00,Biochemists and Biophysicists,3.37,4.3,3.68,3.8,3.7,3.32,4.35,3.5232,4.277142857142858,2.821428571428571
19-1022.00,Microbiologists,3.86,4.0,3.5,3.91,3.64,3.32,3.91,2.3817142857142857,2.9585714285714286,2.524285714285714
19-1023.00,Zoologists and Wildlife Biologists,2.87,4.12,3.73,3.7,3.82,3.91,4.23,2.970485714285714,3.4763714285714284,2.765714285714286
19-1029.01,Bioinformatics Scientists,2.12,4.81,3.15,2.12,3.41,4.01,4.77,2.7112,3.807314285714285,2.5907142857142857
19-1029.02,Molecular and Cellular Biologists,2.88,3.92,2.58,3.88,2.92,3.0,4.04,2.7645142857142857,3.3354285714285714,2.98
