O*NET-SOC Code,Title,E-Mail,Processing Information Combined,Management of Material Resources Combined,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined","Inspecting Equipment, Structures, or Materials Combined",Systems Analysis Combined,Monitoring and Controlling Resources Combined,"Monitoring Processes, Materials, or Surroundings Combined",Programming Combined,Operations Analysis Combined,Management of Financial Resources Combined,"Judging the Qualities of Objects, Services, or People Combined",Working with Computers Combined,Evaluating Information to Determine Compliance with Standards Combined,"Identifying Objects, Actions, and Events Combined",Analyzing Data or Information Combined,Monitoring Combined,Quality Control Analysis Combined,Operations Monitoring Combined,Performing Administrative Activities Combined,Documenting/Recording Information Combined,Systems Evaluation Combined,Getting Information Combined
11-3031.01,Treasurers and Controllers,5.0,3.5490285714285714,1.75,2.092342857142857,1.0832,2.3660714285714284,2.8989714285714285,2.0957714285714286,1.0885714285714283,1.722057142857143,3.142857142857143,2.661885714285714,3.024685714285715,2.8744,3.0077714285714285,4.061485714285714,2.8514285714285714,1.1734857142857142,1.1408,2.337142857142857,2.563714285714286,2.5907142857142857,3.8576
11-3031.03,Investment Fund Managers,5.0,3.8191428571428574,1.3785714285714286,2.8123714285714287,1.1074857142857144,2.275,1.4356,1.9737428571428568,1.12,1.231428571428571,1.75,2.8568571428571428,3.0139,2.4738285714285717,3.4963714285714285,4.182142857142858,2.4285714285714284,1.0535714285714286,1.1885714285714286,1.3271142857142857,2.3295714285714286,2.205357142857143,4.209142857142856
11-3051.00,Industrial Production Managers,4.87,2.610557142857143,2.2857142857142856,2.1772,2.704142857142857,2.524285714285714,2.33,3.1965428571428576,1.0664285714285715,1.7734857142857143,2.36,2.418914285714286,2.8715714285714284,2.363842857142857,2.6730714285714288,2.2455857142857143,3.091428571428572,2.1750857142857143,2.06,1.926742857142857,2.3384285714285715,2.275,3.115542857142857
11-3051.01,Quality Control Systems Managers,5.0,3.4058,1.6875,2.763314285714286,2.986428571428571,2.4522285714285714,2.1834285714285717,3.366228571428572,1.157142857142857,1.75,1.75,3.1330000000000005,2.749485714285714,3.5740857142857143,3.548,3.608414285714286,2.8514285714285714,2.765714285714286,2.125,2.106828571428572,3.608200000000001,2.571428571428571,3.4816000000000003
11-3051.02,Geothermal Production Managers,5.0,3.0732285714285714,1.9842857142857144,2.4348714285714284,2.837414285714286,2.1635714285714283,3.1349714285714287,3.4182857142857146,1.157142857142857,1.34,2.205357142857143,3.0664,2.8816,3.0324571428571425,3.2424142857142857,2.7591428571428573,2.8020571428571426,1.872228571428572,2.125,2.4586,2.5542857142857143,2.205357142857143,3.305071428571429
11-3051.03,Biofuels Production Managers,5.0,2.9670000000000005,1.75,2.1308285714285717,2.4171428571428573,2.125,2.5155000000000003,3.352314285714286,1.2592,1.32,1.8914285714285717,2.4909142857142856,2.529357142857143,2.482,2.856142857142857,2.7568571428571427,2.524285714285714,1.722057142857143,2.0,2.025442857142857,2.4,1.9657142857142855,3.0314714285714284
11-3051.04,Biomass Power Plant Managers,4.92,3.5240857142857145,2.096342857142857,2.2376,2.728,2.1357142857142857,2.7324571428571427,3.328457142857143,1.077942857142857,1.3392000000000002,2.096342857142857,2.7381857142857142,2.935514285714285,2.7192857142857143,2.984571428571428,2.935,2.9008000000000003,1.9842857142857144,2.3192,1.7990285714285714,2.6918285714285712,2.1357142857142857,3.212142857142857
11-3051.06,Hydroelectric Production Managers,5.0,2.737942857142857,1.9657142857142855,2.3104,3.2192857142857148,2.1492,2.936,3.1939,1.2208,1.32,1.9657142857142855,2.534057142857143,2.353142857142857,2.7914857142857143,2.9694285714285718,2.635428571428572,2.5428571428571427,2.086428571428572,2.2308,2.376614285714286,3.0835,2.19,2.983428571428572
11-3061.00,Purchasing Managers,5.0,2.9040714285714286,2.2471428571428573,2.088028571428572,1.78,2.3857142857142857,2.604742857142857,2.2670285714285714,1.157142857142857,1.6364285714285711,2.1635714285714283,2.120114285714286,2.5453857142857146,2.761428571428572,2.3001142857142858,2.8822857142857146,2.645714285714285,1.28,1.268571428571429,2.5419857142857145,2.6671428571428573,2.1357142857142857,3.340257142857143
11-3071.00,"Transportation, Storage, and Distribution Managers",4.93,2.7309142857142854,1.8571428571428568,2.154685714285714,2.032514285714285,2.31,2.757514285714286,2.710128571428572,1.12,1.3008,1.837942857142857,2.5562857142857145,2.590357142857143,2.793857142857143,2.573542857142857,2.6853571428571428,2.4732142857142856,1.4821428571428572,1.5785714285714287,2.1744000000000003,2.3244285714285717,2.25,3.246957142857142
11-3071.04,Supply Chain Managers,5.0,2.568257142857143,2.4732142857142856,2.353857142857143,1.7395714285714283,2.4732142857142856,3.150142857142857,2.36,1.077942857142857,1.51,1.8057142857142856,2.5158571428571426,2.764642857142857,2.4685714285714284,2.567928571428572,3.24,2.765714285714286,1.231428571428571,1.335714285714286,2.061357142857143,2.2954,2.596342857142857,3.023857142857143
11-3111.00,Compensation and Benefits Managers,5.0,2.9080285714285714,1.22,1.3294857142857144,1.0466857142857142,2.205357142857143,2.5664285714285717,1.8739714285714288,1.0942857142857143,1.7200000000000002,2.205357142857143,1.9942857142857144,2.8124714285714285,3.115,2.1679,2.9680714285714287,2.2308,1.062857142857143,1.0357142857142856,2.7659571428571423,2.585642857142857,2.2471428571428573,3.5355571428571437
11-3121.00,Human Resources Managers,5.0,3.104285714285714,1.5165142857142857,1.767,1.272857142857143,2.216428571428572,2.7316,2.5942857142857143,1.197142857142857,1.4435714285714285,2.211428571428572,2.967142857142857,2.615,3.6566,2.5799,2.9722857142857144,2.765714285714286,1.0885714285714283,1.0357142857142856,2.8178571428571426,2.820571428571429,2.645714285714285,3.3123142857142853
11-3131.00,Training and Development Managers,4.93,3.0828571428571427,1.8057142857142856,2.258,1.2271857142857143,2.1357142857142857,2.2975857142857143,2.632857142857143,1.0535714285714286,1.9285714285714288,2.354914285714286,2.376785714285714,3.1412,2.644342857142857,2.669257142857143,2.857857142857143,2.645714285714285,1.268571428571429,1.0942857142857143,2.2350857142857143,2.8283428571428573,2.2471428571428573,3.5917
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.39,2.418457142857143,1.837942857142857,2.228857142857142,2.432628571428572,1.9285714285714288,2.950214285714286,2.799085714285714,1.157142857142857,1.3008,1.9657142857142855,2.2154714285714285,1.8569,2.2300857142857144,2.631571428571428,2.5698571428571437,2.275,1.8057142857142856,1.9842857142857144,2.113857142857143,2.294057142857143,1.9285714285714288,2.7918000000000003
11-9021.00,Construction Managers,4.9,2.95,2.275,2.3504285714285715,3.1125000000000003,2.4522285714285714,3.0439285714285718,3.2982142857142858,1.0442857142857145,1.9657142857142855,2.542057142857143,2.734342857142857,2.2342857142857144,3.2354285714285718,2.6307857142857145,2.5910714285714285,2.8514285714285714,2.0028571428571427,1.7200000000000002,2.4485714285714284,2.815714285714285,2.3857142857142857,3.0250000000000004
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.83,1.9524428571428567,1.9449142857142856,1.8191285714285712,1.8296,1.9449142857142856,2.698057142857144,2.2067714285714284,1.0442857142857145,1.1257142857142857,1.9842857142857144,2.4960000000000004,2.2262571428571425,2.9057000000000004,2.1214285714285714,1.6519999999999997,2.765714285714286,1.25,1.1607142857142858,2.8020571428571426,2.3916,2.023657142857143,2.6477857142857144
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.99,2.979571428571428,2.2471428571428573,2.1,1.808971428571429,2.571428571428571,2.6569714285714285,3.071928571428572,1.0664285714285715,1.7200000000000002,2.4971428571428573,2.6017,2.537714285714286,2.347914285714286,2.626428571428572,3.1772714285714287,3.265714285714286,1.8914285714285717,1.1785714285714286,3.3265,2.7794857142857143,3.005714285714286,3.439328571428572
11-9033.00,"Education Administrators, Postsecondary",4.93,2.9652,1.94,2.046742857142857,1.1920857142857142,2.205357142857143,2.1687000000000003,2.6502142857142856,1.0271428571428571,1.077942857142857,1.9449142857142856,2.964828571428572,2.259428571428572,3.209942857142857,3.296957142857143,3.121928571428571,2.821428571428571,1.0271428571428571,1.197142857142857,2.8135000000000003,2.2084,2.205357142857143,3.368157142857142
11-9041.00,Architectural and Engineering Managers,5.0,3.318,1.8057142857142856,2.779171428571429,2.3982142857142854,2.096342857142857,2.0240714285714283,2.8768,1.1408,1.4435714285714285,1.8728571428571428,2.538742857142857,3.109714285714286,3.7165142857142857,3.3287000000000004,2.7434571428571424,2.571428571428571,1.8914285714285717,1.5614285714285714,1.6683,2.638257142857143,1.9285714285714288,3.829471428571429
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.93,3.784057142857143,1.268571428571429,2.879585714285714,2.347828571428572,2.31,2.4900285714285717,3.2572,1.197142857142857,1.4435714285714285,1.268571428571429,2.8876,3.1847714285714286,2.6669714285714288,3.379,3.8864,2.2471428571428573,1.9085714285714288,1.8571428571428568,1.6534714285714287,2.9522,2.25,3.5875857142857144
11-9051.00,Food Service Managers,4.07,2.0248,1.8571428571428568,2.056,2.140471428571429,1.8571428571428568,2.4196428571428568,2.3152857142857144,1.0357142857142856,1.4542857142857144,1.8571428571428568,2.1824285714285714,1.7845428571428572,2.3029,3.2032000000000003,1.8865571428571428,2.596342857142857,1.6714285714285717,1.5207142857142857,1.9881,1.6949285714285716,1.8914285714285717,2.9492571428571432
11-9071.00,Gambling Managers,4.46,2.5067142857142857,1.595,1.7633714285714286,1.6942,1.9085714285714288,2.285942857142857,2.533214285714285,1.0942857142857143,1.302857142857143,1.6364285714285711,2.1437857142857144,2.350714285714285,2.882457142857143,2.6378,2.4246857142857143,2.645714285714285,1.4906285714285716,1.32,2.030857142857143,2.2674714285714286,1.9085714285714288,3.014257142857143
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",5.0,1.9758,1.6875,1.932,1.6741142857142857,1.75,2.476,2.439228571428571,1.0178571428571428,1.1885714285714286,1.8057142857142856,2.0108571428571427,2.4743714285714287,1.5655714285714286,2.924,1.990514285714286,2.25,1.231428571428571,1.32,2.3068857142857144,2.060771428571429,1.9449142857142856,3.4624
11-9081.00,Lodging Managers,4.92,2.3568,2.0342857142857143,1.3437714285714284,1.6996000000000002,1.9085714285714288,2.1509714285714283,2.2569142857142857,1.077942857142857,1.1071428571428572,1.94,2.0074,2.924628571428572,2.185714285714285,3.204914285714285,2.310857142857143,2.4732142857142856,1.5508,1.4179428571428572,2.771828571428572,2.1662,2.19,3.089828571428572
11-9111.00,Medical and Health Services Managers,5.0,3.5004,2.1635714285714283,2.022142857142857,1.5258,2.265085714285714,3.2500000000000004,3.314728571428572,1.197142857142857,2.4522285714285714,2.1635714285714283,2.7457714285714285,3.125828571428571,3.493171428571429,2.9032714285714287,3.4528000000000008,2.765714285714286,1.2592,1.268571428571429,3.171428571428572,2.9560285714285714,2.524285714285714,3.520514285714286
11-9121.00,Natural Sciences Managers,5.0,3.518857142857143,1.75,2.403657142857143,2.2514142857142856,2.2471428571428573,2.833342857142857,3.6901142857142855,1.2036571428571428,2.2471428571428573,1.8377714285714288,2.766285714285715,2.546242857142857,3.0988,3.682257142857143,3.5578857142857143,2.765714285714286,1.32,1.3392000000000002,2.184342857142857,3.3870000000000005,2.1750857142857143,3.280771428571428
11-9121.01,Clinical Research Coordinators,4.9,2.668685714285714,1.6875,1.7517999999999998,1.9588857142857143,1.7734857142857143,1.7760285714285715,3.3028571428571425,1.077942857142857,1.0992,1.4435714285714285,2.093114285714286,2.8548142857142853,2.9888,2.7731714285714286,2.498,2.4035714285714285,1.12,1.1339285714285714,2.7262000000000004,3.279371428571429,1.9077714285714285,3.3245714285714283
11-9121.02,Water Resource Specialists,4.91,3.457428571428571,1.4192,2.6575,1.742757142857143,2.4971428571428573,1.865,2.845371428571429,1.1885714285714286,1.7036571428571428,1.4192,2.194285714285714,3.2236,3.164285714285714,3.100057142857142,3.971857142857143,2.205357142857143,1.822857142857143,1.8057142857142856,1.5442857142857145,2.8692571428571427,2.4522285714285714,3.824071428571429
11-9131.00,Postmasters and Mail Superintendents,4.88,2.619485714285714,1.6875,1.9696,1.9208571428571428,1.8571428571428568,2.342714285714286,2.6050142857142857,1.0942857142857143,1.4542857142857144,1.6875,2.4472,2.7202,2.703742857142857,2.7384714285714287,2.346442857142857,2.422142857142857,1.335714285714286,1.4821428571428572,3.0679142857142856,2.477557142857143,1.8057142857142856,3.2339857142857142
11-9141.00,"Property, Real Estate, and Community Association Managers",4.95,2.533214285714285,1.7734857142857143,1.601142857142857,1.96,1.3392000000000002,2.7085714285714286,2.039642857142857,1.0357142857142856,1.3008,1.8571428571428568,2.189285714285714,2.531428571428572,2.3668571428571425,2.057142857142857,2.375,1.9449142857142856,1.2857142857142856,1.0942857142857143,2.5404285714285715,2.0495714285714284,1.3392000000000002,3.2342857142857144
11-9151.00,Social and Community Service Managers,5.0,2.4859142857142857,1.4691999999999998,1.3338571428571426,1.4486857142857144,2.4732142857142856,1.5,2.624,1.0942857142857143,1.7822285714285715,1.722057142857143,2.269342857142857,2.7303571428571427,2.6633142857142857,2.9710571428571426,2.2470857142857144,2.645714285714285,1.231428571428571,1.36,2.8225,2.756742857142857,2.524285714285714,3.2968
11-9161.00,Emergency Management Directors,4.91,2.878685714285714,1.7200000000000002,2.265657142857143,2.1933714285714285,2.542057142857143,3.278785714285714,2.8798000000000004,1.0357142857142856,1.9842857142857144,1.6364285714285711,2.5892857142857144,2.981285714285714,2.7703,3.0271428571428576,2.760928571428572,2.98,1.4017857142857142,1.32,2.796342857142857,3.1476571428571427,2.4714285714285715,3.419928571428572
11-9171.00,Funeral Home Managers,4.86,3.3334857142857146,1.6063428571428573,1.6331285714285713,2.0825142857142858,1.51,2.276,2.9595714285714285,1.0442857142857145,1.0336571428571428,1.6364285714285711,2.7683714285714287,3.0680000000000005,3.0662857142857143,3.0851428571428574,1.9774285714285715,2.1492,1.3392000000000002,1.32,3.395142857142857,2.945071428571428,1.5892857142857142,3.153114285714285
11-9179.01,Fitness and Wellness Coordinators,5.0,1.8009142857142857,1.8057142857142856,1.5709,2.057142857142857,1.9085714285714288,2.2485,2.0336,1.0206285714285714,1.16,1.75,1.832,2.207642857142857,1.9802857142857144,1.867657142857143,1.9337142857142855,2.275,1.3785714285714286,1.1607142857142858,2.4768,2.056,1.9449142857142856,2.7832857142857144
11-9179.02,Spa Managers,4.11,2.5846,2.0,2.1311714285714287,2.2271714285714284,1.9792,2.4235285714285717,3.311114285714286,1.0535714285714286,1.077942857142857,2.1357142857142857,2.9414285714285717,2.6279285714285714,2.9103142857142856,3.004342857142857,2.529571428571429,2.765714285714286,1.4542857142857144,1.4628571428571429,2.7382857142857144,1.8658428571428571,2.0028571428571427,3.3725000000000005
11-9199.01,Regulatory Affairs Managers,5.0,3.594028571428572,1.2857142857142856,1.9571428571428573,1.3961428571428574,2.524285714285714,1.783442857142857,2.291428571428571,1.1106285714285715,1.78,1.3392000000000002,2.240028571428572,2.622357142857143,4.133257142857143,3.468285714285714,3.367128571428572,2.542057142857143,1.0135714285714286,1.1106285714285715,2.131428571428572,3.253428571428572,2.4732142857142856,3.951771428571428
11-9199.02,Compliance Managers,5.0,3.3095714285714286,1.1734857142857142,2.0329,1.6958285714285717,2.086428571428572,1.3501571428571428,2.7932571428571427,1.0942857142857143,1.147857142857143,1.1885714285714286,3.050428571428571,3.049957142857143,3.9459857142857135,3.2338857142857145,3.128,2.8150000000000004,1.3008,1.2142857142857144,2.9131428571428573,3.3869714285714285,2.023657142857143,3.513828571428571
11-9199.08,Loss Prevention Managers,5.0,2.7766,1.4249999999999998,1.5624,2.0889714285714285,2.571428571428571,2.2902142857142858,2.677828571428572,1.0664285714285715,1.4017857142857142,1.3785714285714286,2.5346571428571427,2.654857142857143,2.9175714285714283,3.240614285714285,2.8585000000000003,2.645714285714285,1.51,1.6665142857142858,1.957642857142857,2.951714285714285,2.524285714285714,3.4412
11-9199.09,Wind Energy Operations Managers,4.02,2.6644,1.837942857142857,2.4997142857142856,3.0790428571428574,1.9285714285714288,2.905514285714286,3.4162285714285714,1.157142857142857,1.4017857142857142,1.9722285714285717,2.902171428571428,2.7447142857142857,3.2327714285714286,3.036914285714286,2.7561714285714283,2.6950857142857143,1.8571428571428568,2.044642857142857,2.556314285714285,2.724457142857143,1.8914285714285717,3.1037714285714286
11-9199.10,Wind Energy Development Managers,4.85,2.7024,2.0,2.718628571428572,2.181714285714286,1.8914285714285717,2.655342857142857,2.7262000000000004,1.1339285714285714,1.231428571428571,2.06,2.9832,2.2599,3.154285714285714,2.9234285714285715,2.9572,2.3857142857142857,1.4928571428571429,1.3008,1.798457142857143,2.338857142857143,1.9657142857142855,3.2862
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,4.91,3.0828571428571427,1.837942857142857,2.3616,1.5832000000000002,2.275,2.6317,2.5107142857142857,1.0664285714285715,1.8571428571428568,2.1357142857142857,2.0777142857142854,2.390571428571429,3.34,2.8018,3.2936714285714284,2.765714285714286,1.7200000000000002,1.6063428571428573,1.9459285714285717,2.706785714285714,2.4035714285714285,3.6728
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",5.0,1.4522,1.0535714285714286,1.2925714285714285,1.0349714285714289,1.5357142857142858,1.524,1.3387285714285715,1.0357142857142856,1.1339285714285714,1.2036571428571428,1.782257142857143,2.392428571428572,1.4462857142857142,2.176228571428571,1.6450285714285715,1.8057142857142856,1.0,1.0089285714285714,2.194,1.6966857142857144,1.5357142857142858,3.1862285714285714
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4.95,2.650114285714285,1.837942857142857,2.063028571428571,1.2656,1.822857142857143,2.4228571428571426,2.218171428571429,1.0535714285714286,1.22,1.7200000000000002,2.4387142857142856,2.126028571428572,2.4623142857142857,2.7931,2.647914285714286,1.9449142857142856,1.4249999999999998,1.3785714285714286,2.082842857142857,2.1729,1.6063428571428573,3.117714285714286
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",5.0,2.6018285714285714,1.837942857142857,1.8407571428571428,1.466157142857143,1.6942857142857144,2.596785714285714,2.4059285714285714,1.0942857142857143,1.32,2.086428571428572,2.0576428571428576,2.535885714285714,1.6945714285714286,2.564,2.1667428571428573,2.211428571428572,1.3125,1.1071428571428572,2.191342857142857,1.9408285714285716,1.9657142857142855,2.7158
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",5.0,3.1306428571428566,2.125,2.1839285714285714,1.648,1.7734857142857143,2.1605,2.429142857142857,1.0442857142857145,1.51,2.422142857142857,2.7943857142857143,2.873428571428572,3.200357142857143,2.8785,3.1638571428571427,2.524285714285714,1.4435714285714285,1.1428571428571428,2.452,2.910428571428572,1.9285714285714288,3.787285714285714
13-1031.00,"Claims Adjusters, Examiners, and Investigators",5.0,2.976,1.147857142857143,2.085114285714286,1.5585714285714285,1.7485714285714289,1.7581428571428572,2.429942857142857,1.24,1.062857142857143,1.3008,2.5955714285714286,2.908342857142857,2.7670000000000003,3.212285714285714,2.971514285714285,2.3192,1.5785714285714287,1.157142857142857,2.080657142857143,3.0660285714285718,1.837942857142857,3.3292571428571422
13-1032.00,"Insurance Appraisers, Auto Damage",5.0,2.7807142857142857,1.062857142857143,2.4127,2.54,1.4179428571428572,1.910642857142857,2.213142857142857,1.0178571428571428,1.1734857142857142,1.231428571428571,2.577,2.9136,2.4823000000000004,2.7769142857142857,2.658042857142857,1.6171428571428572,1.4435714285714285,1.4435714285714285,1.9517,2.9712,1.4691999999999998,3.240228571428572
13-1041.00,Compliance Officers,3.96,3.3832857142857145,1.157142857142857,1.6687714285714286,1.7839428571428573,1.6875,1.2192142857142856,2.8826285714285715,1.0664285714285715,1.0135714285714286,1.1734857142857142,1.8500142857142856,2.630885714285714,3.3981285714285714,2.998857142857143,2.782,2.2308,1.2000000000000002,1.28,2.4747142857142856,2.9425428571428576,1.6063428571428573,3.5688
13-1041.01,Environmental Compliance Inspectors,4.95,3.0814285714285714,1.0549142857142857,1.842857142857143,2.3817857142857144,2.086428571428572,1.2442857142857142,2.4850000000000003,1.0992,1.5357142857142858,1.0664285714285715,1.7125,2.563428571428572,3.346428571428572,2.512142857142857,2.5517857142857143,2.7207142857142856,2.086428571428572,2.1492,2.005714285714286,2.8571428571428568,2.275,3.282142857142857
13-1041.03,Equal Opportunity Representatives and Officers,4.93,3.263857142857143,1.0206285714285714,1.4755857142857145,1.1886,2.044642857142857,1.1651714285714283,2.2792857142857144,1.1885714285714286,1.268571428571429,1.0206285714285714,2.9327428571428573,2.68,4.010614285714285,3.7571,3.5316428571428573,2.3192,1.1339285714285714,1.1339285714285714,2.5045,3.0475000000000003,2.125,3.549828571428572
13-1041.04,Government Property Inspectors and Investigators,4.6,2.570542857142857,1.3008,2.4112,2.6307857142857145,2.086428571428572,1.6632571428571428,3.0592,1.1339285714285714,1.1339285714285714,1.2142857142857144,2.529428571428572,2.9419714285714287,3.5668,3.1088571428571425,2.2243000000000004,2.4008000000000003,1.9842857142857144,1.8571428571428568,2.725214285714286,2.7922571428571428,2.1492,2.924157142857143
13-1041.06,Coroners,5.0,3.5182857142857142,1.1734857142857142,2.045957142857143,1.945,1.6364285714285711,2.7035714285714287,2.742,1.0357142857142856,1.0442857142857145,1.0885714285714283,2.155828571428572,2.717857142857143,2.552142857142857,3.5985714285714288,3.0814285714285714,2.125,1.32,1.2857142857142856,2.716428571428572,3.442857142857143,1.4017857142857142,3.8325
13-1041.07,Regulatory Affairs Specialists,4.95,2.6055,1.197142857142857,1.822857142857143,1.3367857142857142,2.571428571428571,1.497142857142857,1.8208,1.1734857142857142,1.6063428571428573,1.3008,2.197857142857143,2.564642857142857,3.670642857142857,2.5925,3.1567857142857143,2.205357142857143,1.32,1.25,2.2696428571428573,2.6831428571428573,2.2471428571428573,3.828571428571428
13-1041.08,Customs Brokers,5.0,3.2196571428571428,1.5357142857142858,1.7101,1.1859285714285714,1.8571428571428568,1.8991,2.114471428571428,1.1734857142857142,1.0664285714285715,1.467857142857143,1.9107857142857143,3.191057142857143,3.145,2.2035714285714283,2.7121142857142857,2.1635714285714283,1.0089285714285714,1.1734857142857142,2.647914285714286,2.761428571428572,1.8057142857142856,3.597142857142857
13-1051.00,Cost Estimators,5.0,3.366057142857143,1.75,3.396228571428572,1.428057142857143,2.0,1.905,2.3825000000000003,1.062857142857143,1.5357142857142858,2.096342857142857,2.5002857142857144,3.2236,2.527428571428572,2.631571428571428,3.9427,1.9285714285714288,1.0206285714285714,1.0535714285714286,1.608742857142857,2.585642857142857,1.8914285714285717,3.6936
