O*NET-SOC Code,Title,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Degree of Automation,Spend Time Making Repetitive Motions,Importance of Being Exact or Accurate,Time Pressure,Level of Competition
15-1299.05,Information Security Engineers,3.0,1.5,3.11,2.78,4.37,3.95,3.63
15-1299.08,Computer Systems Engineers/Architects,3.7,1.55,2.71,3.27,4.18,3.82,3.62
15-1299.09,Information Technology Project Managers,3.52,1.86,2.14,2.24,3.95,4.33,3.9
15-2011.00,Actuaries,3.22,1.11,2.26,2.15,4.43,3.46,3.62
15-2021.00,Mathematicians,2.1,1.3,1.74,2.0,4.3,3.15,3.8
15-2031.00,Operations Research Analysts,2.1,1.33,2.29,1.65,4.24,3.57,3.65
15-2041.00,Statisticians,2.9,1.0,2.1,2.56,4.52,3.29,3.1
15-2041.01,Biostatisticians,2.71,1.33,1.92,2.42,4.33,3.38,3.35
15-2051.01,Business Intelligence Analysts,2.91,1.0,2.5,2.82,4.41,3.73,3.32
15-2051.02,Clinical Data Managers,3.8,1.15,2.5,2.9,4.45,3.95,3.35
15-2099.01,Bioinformatics Technicians,3.13,1.11,2.94,2.92,4.26,3.39,3.35
17-1011.00,"Architects, Except Landscape and Naval",3.1,1.16,2.05,3.1,3.95,3.62,4.1
17-1012.00,Landscape Architects,2.3,1.1,2.05,2.1,3.95,3.85,3.4
17-1021.00,Cartographers and Photogrammetrists,3.51,1.0,2.68,3.5,4.87,3.97,2.73
17-1022.00,Surveyors,3.75,1.8,2.35,2.8,4.79,4.3,3.3
17-1022.01,Geodetic Surveyors,3.2,1.67,2.8,2.31,4.85,3.23,2.44
17-2011.00,Aerospace Engineers,2.34,1.31,1.55,2.06,4.0,3.56,2.82
17-2021.00,Agricultural Engineers,2.75,2.05,1.95,2.0,4.15,3.4,3.05
17-2031.00,Bioengineers and Biomedical Engineers,2.43,1.74,2.35,2.26,4.35,3.48,3.61
17-2041.00,Chemical Engineers,2.48,1.3,2.35,1.86,4.04,3.57,3.39
17-2051.00,Civil Engineers,3.19,1.14,2.33,2.3,4.38,4.0,3.33
17-2051.01,Transportation Engineers,2.77,1.36,2.23,2.41,4.27,3.73,3.18
17-2051.02,Water/Wastewater Engineers,2.39,1.3,1.87,2.23,3.86,3.7,3.61
17-2061.00,Computer Hardware Engineers,3.11,1.32,2.71,2.38,4.41,3.66,3.93
17-2071.00,Electrical Engineers,3.78,2.33,2.18,2.71,4.54,3.92,3.33
17-2072.00,"Electronics Engineers, Except Computer",2.51,1.41,1.33,1.67,4.15,3.06,2.53
17-2072.01,Radio Frequency Identification Device Specialists,3.14,1.61,1.97,2.33,4.32,3.99,3.19
17-2081.00,Environmental Engineers,2.75,1.47,2.11,1.95,4.05,3.81,3.5
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2.85,1.69,1.97,2.11,4.27,3.91,3.25
17-2111.02,Fire-Prevention and Protection Engineers,2.35,1.16,1.77,1.62,3.85,3.54,3.15
17-2112.00,Industrial Engineers,3.17,1.74,2.16,1.87,4.25,3.79,3.36
17-2112.01,Human Factors Engineers and Ergonomists,2.7,1.35,1.74,2.15,3.74,3.55,3.4
17-2112.02,Validation Engineers,3.6,1.7,1.89,2.0,4.65,4.0,2.7
17-2112.03,Manufacturing Engineers,2.54,2.19,2.56,2.19,4.2,3.62,3.12
17-2121.00,Marine Engineers and Naval Architects,3.33,1.72,1.89,2.61,4.33,3.67,2.94
17-2131.00,Materials Engineers,2.19,1.86,2.28,1.86,4.1,3.52,3.48
17-2141.00,Mechanical Engineers,3.05,1.73,2.01,2.37,4.3,3.51,3.66
17-2141.01,Fuel Cell Engineers,2.05,1.95,2.27,1.73,3.95,3.45,3.27
17-2141.02,Automotive Engineers,2.67,1.67,2.24,1.71,4.43,3.86,3.52
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",3.47,1.69,1.79,2.29,4.08,3.57,3.15
17-2161.00,Nuclear Engineers,3.21,1.25,1.7,2.24,4.67,3.57,3.25
17-2171.00,Petroleum Engineers,2.87,1.53,1.94,2.01,3.82,3.67,3.5
17-2199.03,"Energy Engineers, Except Wind and Solar",2.73,1.27,2.05,1.86,3.95,3.36,3.27
17-2199.05,Mechatronics Engineers,3.22,1.86,1.83,1.72,4.53,3.65,3.46
17-2199.06,Microsystems Engineers,2.93,1.41,1.93,2.47,4.19,3.27,3.21
17-2199.07,Photonics Engineers,2.39,1.55,2.26,1.87,4.39,3.26,3.57
17-2199.08,Robotics Engineers,2.6,2.53,2.7,2.0,4.53,3.9,3.43
17-2199.09,Nanosystems Engineers,2.7,1.95,2.33,1.76,4.52,3.29,3.52
17-2199.10,Wind Energy Engineers,2.62,1.23,1.8,1.99,4.15,3.73,2.87
17-2199.11,Solar Energy Systems Engineers,2.46,1.29,2.0,2.32,3.89,3.89,3.07
17-3011.00,Architectural and Civil Drafters,3.59,1.28,2.48,3.41,4.63,4.38,3.42
17-3012.00,Electrical and Electronics Drafters,3.33,1.69,2.49,3.17,4.44,4.18,2.92
17-3013.00,Mechanical Drafters,3.54,1.33,1.88,3.57,4.7,3.75,2.92
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3.35,1.66,1.79,2.61,4.96,4.47,3.42
17-3022.00,Civil Engineering Technologists and Technicians,3.06,1.44,2.77,3.7,3.99,3.39,2.59
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3.2,1.68,2.03,2.53,4.39,3.56,2.87
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.76,2.09,2.27,2.78,4.62,4.35,3.94
17-3024.01,Robotics Technicians,2.82,2.45,3.38,2.36,4.59,3.68,3.1
17-3025.00,Environmental Engineering Technologists and Technicians,3.43,1.73,1.97,2.97,3.93,3.5,2.87
17-3026.00,Industrial Engineering Technologists and Technicians,3.69,1.86,2.19,2.79,4.26,3.91,2.84
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.7,2.85,2.7,2.3,4.55,3.35,3.4
17-3027.00,Mechanical Engineering Technologists and Technicians,3.27,2.63,2.15,2.59,4.17,4.08,2.93
17-3027.01,Automotive Engineering Technicians,3.33,2.26,2.37,2.46,4.41,3.81,3.11
17-3029.01,Non-Destructive Testing Specialists,3.64,2.91,2.64,3.23,4.55,4.32,3.45
17-3029.08,Photonics Technicians,3.41,2.55,2.59,3.0,4.23,3.77,2.82
17-3031.00,Surveying and Mapping Technicians,3.83,1.82,2.59,3.67,4.61,3.7,3.0
19-1011.00,Animal Scientists,2.96,1.43,2.26,2.09,4.26,3.65,3.57
19-1012.00,Food Scientists and Technologists,2.9,2.52,2.24,2.36,4.36,3.86,3.14
19-1013.00,Soil and Plant Scientists,2.95,1.48,2.19,2.14,3.9,3.33,3.33
19-1021.00,Biochemists and Biophysicists,3.53,2.17,2.63,2.7,4.75,3.3,4.11
19-1022.00,Microbiologists,3.68,2.05,2.5,3.32,4.59,4.14,2.86
19-1023.00,Zoologists and Wildlife Biologists,3.46,1.56,1.26,2.62,4.14,3.3,3.11
19-1029.01,Bioinformatics Scientists,2.99,1.07,1.7,2.73,4.45,3.44,4.07
19-1029.02,Molecular and Cellular Biologists,3.04,2.08,2.12,2.85,4.35,3.31,4.15
19-1029.03,Geneticists,3.17,1.2,1.96,2.72,4.64,2.92,4.04
19-1029.04,Biologists,3.19,1.72,1.39,3.01,3.53,3.29,4.05
19-1031.00,Conservation Scientists,3.04,1.35,2.09,1.96,3.7,3.3,2.65
19-1031.02,Range Managers,2.82,1.37,2.23,2.58,3.43,3.31,2.91
19-1031.03,Park Naturalists,2.69,1.26,1.05,2.5,2.73,2.9,2.71
19-1032.00,Foresters,2.77,1.48,1.77,2.22,3.94,3.11,2.81
19-1041.00,Epidemiologists,2.61,1.16,2.21,2.21,4.68,3.58,3.42
19-1042.00,"Medical Scientists, Except Epidemiologists",3.96,2.3,2.2,3.0,4.57,3.69,3.99
19-2011.00,Astronomers,2.3,1.39,1.87,1.52,4.26,2.91,4.13
19-2012.00,Physicists,2.07,1.0,1.57,2.0,3.78,3.05,3.31
19-2021.00,Atmospheric and Space Scientists,2.63,1.47,2.6,2.8,3.95,3.95,3.6
19-2031.00,Chemists,3.48,2.12,2.02,2.34,4.67,3.79,3.51
19-2032.00,Materials Scientists,1.95,1.9,2.3,1.65,4.1,3.38,3.48
19-2041.00,"Environmental Scientists and Specialists, Including Health",3.05,1.02,1.5,2.51,3.9,3.79,3.38
19-2041.01,Climate Change Policy Analysts,2.13,1.09,1.43,2.04,3.83,3.26,3.39
19-2041.02,Environmental Restoration Planners,2.0,1.32,1.38,1.73,3.09,3.43,3.27
19-2041.03,Industrial Ecologists,2.57,1.1,1.59,2.3,4.09,3.35,3.41
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",2.91,1.34,1.65,2.13,3.77,3.44,3.34
19-2043.00,Hydrologists,2.7,1.61,1.82,2.04,4.18,3.35,3.55
19-2099.01,Remote Sensing Scientists and Technologists,3.28,1.72,2.64,2.72,4.76,3.44,3.24
19-3011.00,Economists,2.25,1.0,1.92,1.46,4.08,3.62,3.88
19-3011.01,Environmental Economists,2.15,1.08,1.85,2.15,4.0,2.77,3.85
19-3022.00,Survey Researchers,2.92,1.08,2.23,2.19,4.58,4.0,3.08
19-3032.00,Industrial-Organizational Psychologists,2.5,1.04,1.77,2.3,4.23,3.73,3.27
19-3033.00,Clinical and Counseling Psychologists,1.84,1.0,1.48,1.68,3.56,3.56,3.32
19-3034.00,School Psychologists,2.4,1.03,1.66,1.67,4.1,4.1,2.16
19-3039.02,Neuropsychologists,2.92,1.12,1.76,2.09,4.64,3.92,3.84
19-3039.03,Clinical Neuropsychologists,3.08,1.12,1.88,2.38,4.62,4.33,3.67
19-3041.00,Sociologists,2.21,1.0,1.84,2.21,4.0,3.3,3.89
19-3051.00,Urban and Regional Planners,1.64,1.0,1.4,1.6,3.28,3.52,2.84
19-3091.00,Anthropologists and Archeologists,2.74,1.05,1.53,2.45,4.05,3.7,3.79
19-3092.00,Geographers,2.45,1.3,2.0,2.9,3.75,3.5,3.55
19-3093.00,Historians,2.68,1.18,1.16,1.97,4.06,3.21,2.46
19-3094.00,Political Scientists,2.16,1.08,1.64,1.85,3.8,3.27,4.32
19-3099.01,Transportation Planners,1.95,1.0,1.8,1.9,3.45,3.1,3.0
19-4012.00,Agricultural Technicians,3.12,2.88,2.69,3.23,4.03,3.21,2.26
19-4012.01,Precision Agriculture Technicians,3.26,2.17,2.39,2.17,4.0,3.39,3.14
19-4013.00,Food Science Technicians,4.49,3.57,2.31,2.74,4.55,4.37,2.31
19-4021.00,Biological Technicians,3.37,1.91,1.78,2.88,4.39,3.33,3.13
19-4031.00,Chemical Technicians,3.62,2.95,2.5,2.81,4.87,4.35,3.16
19-4042.00,"Environmental Science and Protection Technicians, Including Health",3.14,1.64,2.05,1.91,4.14,4.27,2.86
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",3.7,1.89,2.67,2.68,4.51,3.52,2.91
19-4051.00,Nuclear Technicians,4.32,1.92,2.33,2.37,4.78,3.54,2.47
19-4051.02,Nuclear Monitoring Technicians,3.68,1.4,2.06,2.3,4.59,3.52,2.61
19-4061.00,Social Science Research Assistants,3.84,1.32,1.62,2.53,3.99,2.85,2.66
19-4071.00,Forest and Conservation Technicians,3.59,2.31,2.31,3.38,3.98,3.86,3.31
19-4092.00,Forensic Science Technicians,3.45,1.24,1.53,2.67,4.67,3.92,2.85
19-4099.01,Quality Control Analysts,4.06,2.32,1.97,2.94,4.85,3.81,2.44
19-4099.03,Remote Sensing Technicians,3.97,1.69,2.19,3.45,4.63,3.85,3.12
19-5011.00,Occupational Health and Safety Specialists,2.83,1.52,2.14,2.05,4.04,3.57,2.83
19-5012.00,Occupational Health and Safety Technicians,2.89,2.37,2.37,2.3,3.9,3.76,2.95
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,4.11,1.13,1.56,1.81,3.78,4.46,2.16
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",3.44,1.04,1.52,2.32,3.99,3.76,2.76
21-1013.00,Marriage and Family Therapists,1.97,1.0,1.38,1.39,3.22,4.58,2.45
21-1014.00,Mental Health Counselors,2.21,1.11,1.32,1.89,3.46,3.86,2.93
21-1015.00,Rehabilitation Counselors,3.47,1.3,1.73,2.5,3.9,4.16,3.0
21-1021.00,"Child, Family, and School Social Workers",3.16,1.0,2.21,3.34,4.26,4.33,2.42
21-1022.00,Healthcare Social Workers,2.26,1.15,1.69,2.04,2.89,4.0,2.85
21-1023.00,Mental Health and Substance Abuse Social Workers,3.33,1.0,1.77,2.44,3.67,4.39,2.3
21-1091.00,Health Education Specialists,3.55,1.11,1.57,2.97,3.79,3.81,2.66
21-1092.00,Probation Officers and Correctional Treatment Specialists,4.0,1.36,2.66,2.55,4.37,4.4,2.64
21-1093.00,Social and Human Service Assistants,3.41,1.46,2.23,2.94,4.08,4.12,2.54
21-1094.00,Community Health Workers,3.03,1.19,2.21,2.39,3.93,3.42,2.48
21-2011.00,Clergy,2.87,1.0,1.71,2.02,3.53,3.87,2.24
21-2021.00,"Directors, Religious Activities and Education",1.57,1.0,1.44,1.59,2.32,2.61,1.3
23-1011.00,Lawyers,2.91,1.0,1.44,1.92,4.4,4.18,3.61
23-1012.00,Judicial Law Clerks,3.5,1.0,1.84,2.79,4.85,4.07,3.3
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4.17,1.02,2.15,3.67,4.52,4.42,2.93
23-1022.00,"Arbitrators, Mediators, and Conciliators",2.2,1.0,2.1,1.65,4.65,3.8,3.25
23-1023.00,"Judges, Magistrate Judges, and Magistrates",3.31,1.0,2.13,2.68,4.75,4.73,3.1
23-2011.00,Paralegals and Legal Assistants,3.86,1.11,1.5,3.66,4.79,4.36,2.67
23-2093.00,"Title Examiners, Abstractors, and Searchers",4.36,1.14,3.03,3.53,5.0,4.41,3.39
25-1011.00,"Business Teachers, Postsecondary",2.63,1.03,2.22,1.41,3.25,3.68,2.98
25-1021.00,"Computer Science Teachers, Postsecondary",2.36,1.0,1.57,2.42,3.89,4.02,3.45
25-1022.00,"Mathematical Science Teachers, Postsecondary",2.51,1.02,1.62,2.21,3.95,3.6,3.31
25-1031.00,"Architecture Teachers, Postsecondary",1.94,1.68,1.72,2.12,3.66,3.47,3.35
25-1032.00,"Engineering Teachers, Postsecondary",2.22,1.41,1.32,2.13,3.53,3.55,4.21
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",2.55,1.02,1.52,1.89,4.16,3.58,4.1
25-1042.00,"Biological Science Teachers, Postsecondary",2.28,1.01,1.35,1.95,4.22,4.05,3.78
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",2.16,1.0,1.39,2.26,3.7,3.85,3.31
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",3.13,1.01,1.51,2.43,3.84,3.68,3.13
25-1052.00,"Chemistry Teachers, Postsecondary",3.12,1.05,1.52,1.91,4.39,3.78,3.84
25-1053.00,"Environmental Science Teachers, Postsecondary",2.31,1.15,1.64,2.36,4.11,3.59,3.08
25-1054.00,"Physics Teachers, Postsecondary",2.29,1.19,1.55,1.84,3.55,3.69,3.36
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",2.64,1.23,1.36,2.18,3.55,3.41,3.86
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.76,1.01,1.38,1.9,3.55,4.03,4.04
25-1063.00,"Economics Teachers, Postsecondary",2.14,1.02,1.78,2.09,3.87,3.38,3.54
25-1064.00,"Geography Teachers, Postsecondary",2.3,1.07,1.54,2.4,4.0,3.76,3.85
25-1065.00,"Political Science Teachers, Postsecondary",1.98,1.0,1.18,2.57,3.78,3.57,3.8
25-1066.00,"Psychology Teachers, Postsecondary",3.0,1.0,1.95,2.39,3.61,3.39,3.08
25-1067.00,"Sociology Teachers, Postsecondary",3.17,1.02,1.4,2.74,3.76,3.72,3.91
25-1071.00,"Health Specialties Teachers, Postsecondary",2.15,1.03,1.57,2.67,3.84,3.79,3.08
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",3.37,1.16,2.08,2.7,4.68,3.8,2.86
25-1081.00,"Education Teachers, Postsecondary",3.39,1.15,1.5,3.49,4.3,3.52,3.75
25-1082.00,"Library Science Teachers, Postsecondary",1.95,1.11,1.39,3.36,3.6,3.58,3.03
