O*NET-SOC Code,Title,Task ID,Task,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
11-1011.00,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.","11-1011.00||8843||Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",3.2,4.4,1.1,4.2,2.6,4.6,Medium,3.2,"Interpreting and explaining policies/laws has some codifiable components (retrieval, summarization, mapping clauses to scenarios) that AI can automate or strongly augment, especially for standard questions and well-documented regulations. However, chief executives often must apply rules to ambiguous, high-context business situations, balancing legal, strategic, and reputational considerations, which raises cognitive complexity and limits full automation. The task typically involves persuasion, stakeholder management, and trust-building with officials and employees, making social/emotional intelligence important and harder to automate end-to-end. Physical embodiment is minimal because the work is largely digital/communicative. Because explanations can drive high-stakes compliance and governance decisions with significant accountability, human oversight remains critical even when AI drafts interpretations or talking points.",2026-02-24T06:09:52.364571
11-1011.00,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,11-1011.00||8830||Review reports submitted by staff members to recommend approval or to suggest changes.,3.2,4.2,1.0,3.6,2.4,4.6,Medium,3.3,"Reviewing staff reports has some standardized elements (checking completeness, consistency with KPIs, budget limits, and policy compliance) that AI can automate or strongly augment. However, chief executive review often requires high-context judgment about strategy, risk appetite, organizational politics, and tradeoffs across functions, raising cognitive complexity. The task is fully digital with minimal physical requirements, but it can involve stakeholder management and signaling (how feedback is framed, when to escalate, and aligning leaders), requiring social/emotional intelligence. Because approvals and requested changes can materially affect company direction, finances, and compliance exposure, accountability and stakes are high, limiting full automation. AI is best suited for summarization, anomaly detection, cross-checking against targets/policies, and drafting recommended edits, while final approval and nuanced change requests remain human-critical.",2026-02-24T06:09:58.089646
11-1011.00,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.","11-1011.00||8829||Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",3.2,4.4,1.2,4.6,3.4,4.8,Medium,3.1,"Contract negotiation/approval has some structured components (templates, compliance checks, pricing models, risk scoring) that AI can automate or strongly augment. However, executive-level negotiations require high contextual judgment about strategy, counterpart incentives, reputational considerations, and long-term partnerships, raising cognitive complexity. The work is largely digital with minimal physical requirements, but it depends heavily on persuasion, trust-building, and reading stakeholder dynamics. Stakes are typically high (financial, legal, regulatory, and political), so accountability and final approval are likely to remain human-led even if AI drafts terms, flags risks, and proposes concessions.",2026-02-24T06:10:02.598384
11-1011.00,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,11-1011.00||8835||Establish departmental responsibilities and coordinate functions among departments and sites.,3.2,4.4,1.1,4.3,3.4,4.8,Medium,3.1,"Defining departmental responsibilities and coordinating functions can be partially standardized via org design frameworks, RACI matrices, workflow mapping, and performance metrics, making some components codifiable. However, it requires high contextual judgment about strategy, culture, incentives, and tradeoffs across departments and sites, raising cognitive complexity. The task is largely digital/meeting-based with minimal physical embodiment, but it depends heavily on negotiation, alignment-building, and managing stakeholder emotions and power dynamics. AI can automate analysis (org charts, process bottlenecks, scenario modeling, drafting role definitions) and support coordination (scheduling, communication summaries), while humans remain critical for final decisions, accountability, and securing buy-in given high organizational stakes.",2026-02-24T06:10:06.081398
11-1011.00,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.","11-1011.00||8839||Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",3.2,4.0,1.3,4.4,3.4,4.2,Medium,3.3,"Drafting speeches/articles and preparing slide decks are fairly structured and highly augmentable with generative AI (outlines, messaging variants, editing, translation, and audience tailoring). However, effective executive communication requires nuanced judgment about organizational context, stakeholder sensitivities, timing, and strategic intent, raising cognitive complexity. Live delivery and Q&A depend heavily on credibility, trust-building, persuasion, and reading the room, which are difficult to automate fully even if teleprompters, coaching, and rehearsal tools help. The stakes are often high (reputation, market impact, legal/regulatory exposure), so humans remain accountable for final messaging and commitments. Overall, AI can automate substantial preparation and optimization, while humans remain critical for final approval, relationship management, and high-stakes public representation.",2026-02-24T06:10:11.683010
11-1011.00,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.","11-1011.00||8840||Serve as liaisons between organizations, shareholders, and outside organizations.",2.5,4.0,1.0,4.5,3.0,5.0,Low,2.5,"Serving as a liaison is only partially codifiable: some communications, reporting, scheduling, and information packaging can be standardized, but relationship management is highly context-dependent. The task requires substantial judgment to interpret stakeholder interests, manage conflicts, and align messaging with strategy and governance constraints. It is largely digital/meeting-based with minimal physical embodiment, making tooling and AI assistants useful for drafting, summarizing, and monitoring stakeholder sentiment. However, high social/emotional nuance, trust-building, and negotiation are central, and missteps can damage reputation and capital access. Because the role carries high-stakes accountability to boards, shareholders, regulators, and partners, humans remain critical for final positioning, commitments, and sensitive interactions.",2026-02-24T06:10:16.732785
11-1011.00,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.","11-1011.00||8837||Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",3.6,4.0,1.1,3.7,2.6,4.6,Medium,3.4,"Coordinating development/implementation of budgetary and administrative control systems involves many standardized components (requirements gathering, workflow mapping, reporting, compliance checks) that are increasingly codifiable and tool-supported. AI can automate large portions of documentation, data validation, anomaly detection, dashboarding, and drafting policies/procedures, and can assist with project planning and change-impact analysis. However, the work also requires executive judgment to balance competing organizational priorities, manage risk, and make tradeoffs under uncertainty, which raises cognitive complexity and limits full automation. Significant stakeholder alignment, negotiation, and change management are typically needed to secure buy-in across finance, operations, IT, and auditors. Because errors can have major financial, regulatory, and governance consequences, accountability remains strongly human-led even when AI augments execution.",2026-02-24T06:10:20.835735
11-1011.00,Chief Executives,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.","11-1011.00||8833||Preside over, or serve on, boards of directors, management committees, or other governing boards.",2.2,4.4,1.2,4.6,3.2,4.9,Low,2.4,"Serving on or presiding over governing boards is only partially structured: agendas, bylaws, and governance processes are codified, but discussions and outcomes are highly context-dependent. The task requires advanced judgment about strategy, risk, ethics, and tradeoffs under uncertainty, often integrating incomplete information. It is largely digital/meeting-based with minimal physical requirements, but it depends heavily on persuasion, coalition-building, trust, and reading stakeholder dynamics. AI can automate preparation (briefing books, minutes, compliance checks, scenario analysis) and augment decision support, but final deliberation, legitimacy, and accountability for high-stakes decisions remain human-critical.",2026-02-24T06:10:24.207416
11-1011.00,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,11-1011.00||8849||Attend and participate in meetings of municipal councils or council committees.,2.5,4.0,2.0,4.5,2.5,4.5,Medium,2.5,"Attending and participating in municipal council meetings is only partially structured: agendas and procedures are standardized, but discussion content and outcomes are variable. The task requires significant contextual judgment about policy, stakeholders, and political constraints, plus real-time reasoning and response. Social and emotional intelligence is central due to negotiation, persuasion, coalition-building, and maintaining trust and legitimacy in a public forum. While the activity is mostly non-physical, it often benefits from in-person presence and relationship signaling, though remote participation is possible. AI can automate/augment preparation (briefings, agenda analysis), note-taking, summarization, and drafting talking points, but human leaders remain critical for accountable decision-making, public representation, and managing political dynamics.",2026-02-24T06:10:29.117541
11-1011.00,Chief Executives,8850,Organize or approve promotional campaigns.,11-1011.00||8850||Organize or approve promotional campaigns.,3.2,4.0,1.1,4.2,3.6,4.6,Medium,3.2,"Organizing or approving promotional campaigns includes some structured elements (budgets, timelines, KPIs, compliance checks) that can be standardized and supported by analytics and workflow tools. However, executive-level approval typically requires high contextual judgment about brand positioning, competitive dynamics, and strategic fit, raising cognitive complexity. The task is largely digital with minimal physical requirements, but it often involves persuasion, alignment-building, and stakeholder management across marketing, legal, and finance, making social/emotional skills important. Generative AI can automate or strongly augment campaign ideation, copy variants, audience targeting suggestions, and performance forecasting, while humans remain critical for final trade-offs, risk tolerance, and accountability given reputational and financial stakes.",2026-02-24T06:10:32.905501
11-1011.00,Chief Executives,8842,Nominate citizens to boards or commissions.,11-1011.00||8842||Nominate citizens to boards or commissions.,2.6,3.8,1.0,4.4,2.4,4.6,Medium,2.9,"Nominating citizens to boards/commissions is partly structured (eligibility rules, vetting steps, conflict-of-interest checks), but the final choice is often context-dependent and political. It requires significant social judgment about reputation, stakeholder acceptance, and coalition dynamics, making social/emotional intelligence a major factor. The work is largely digital/administrative with minimal physical requirements. AI can strongly automate candidate sourcing, background research, compliance screening, and comparative shortlists, but human leaders typically retain accountability for legitimacy, optics, and high-stakes consequences of appointments.",2026-02-24T06:10:36.801587
11-1011.00,Chief Executives,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.","11-1011.00||8851||Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",2.6,4.2,1.4,4.1,2.4,4.8,Medium,2.8,"Investigations and hearings involve some structured elements (evidence collection, documentation, compliance checklists), but the work is often case-specific and shaped by legal context, organizational politics, and incomplete information. AI can automate/augment document review, timeline reconstruction, policy/law cross-referencing, and drafting summaries or testimony prep materials. However, directing investigations and testifying require high-stakes judgment, credibility, and nuanced communication under scrutiny, with significant accountability for outcomes. Social dynamics (persuasion, negotiation, managing complainants and stakeholders) and reputational risk make full automation unlikely. Overall, AI is best suited as an assistive tool rather than a replacement for executive leadership in hearings.",2026-02-24T06:10:42.531603
11-1011.00,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,11-1011.00||8847||Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,2.8,4.6,1.1,4.4,3.6,4.9,Medium,3.0,"Coordinating and directing investment/financial-services business activities involves some codifiable elements (reporting, KPI monitoring, compliance workflows) that AI can automate or strongly augment, but much of the work is context-dependent and varies by market conditions and firm strategy. The role requires high-level reasoning about risk, capital allocation, competitive dynamics, and regulatory constraints, which AI can support with analysis but not fully own. Social influence is central: aligning executives, negotiating with counterparties, managing boards/investors, and maintaining trust during volatility are difficult to automate. Physical embodiment is minimal because the work is largely digital and meeting-based. Because decisions are high-stakes and heavily accountable (fiduciary duties, regulatory exposure, reputational risk), humans remain responsible even if AI handles substantial analytics and operational coordination.",2026-02-24T06:10:46.732898
11-1011.00,Chief Executives,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.","11-1011.00||8853||Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",3.2,4.2,1.0,4.1,3.0,4.8,Medium,3.1,"Drafting bylaws can be partially standardized (templates, statutory checklists, consistency checks), making portions of the work amenable to AI assistance. However, aligning bylaws with political priorities, legal constraints, and organizational realities requires high contextual judgment and domain expertise. Securing approval from elected officials and managing enforcement typically involves negotiation, coalition-building, and trust, which are harder to automate. Enforcement also carries significant accountability and legal/political risk, limiting full automation even if monitoring and compliance reporting can be automated.",2026-02-24T06:10:50.109136
11-1011.00,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.","11-1011.00||8844||Make presentations to legislative or other government committees regarding policies, programs, or budgets.",3.2,4.2,1.2,4.6,3.0,4.8,Medium,3.0,"Preparing the content for government-committee presentations (drafting narratives, summarizing budgets, creating slides, anticipating questions) is fairly codifiable and can be strongly augmented by AI. However, the task requires high contextual judgment about policy implications, stakeholder priorities, and political/regulatory constraints, raising cognitive complexity. Live delivery depends heavily on persuasion, credibility, and reading the room under scrutiny, making social/emotional intelligence a major human-critical component. The stakes are typically high (public accountability, compliance, reputational and financial consequences), limiting full automation even if preparation is automated. Overall, AI can automate/accelerate research, drafting, and rehearsal, but human executives remain central for testimony, negotiation, and accountable commitments.",2026-02-24T06:10:54.316004
11-1011.00,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.","11-1011.00||20461||Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",3.2,4.6,1.1,4.4,3.6,4.8,Medium,3.2,"Portions of reviewing and summarizing legislation and policy are highly amenable to AI (e.g., retrieval, comparison across jurisdictions, impact modeling, drafting briefs and proposed amendments), making the work moderately structured and codifiable. However, recommending changes requires advanced contextual judgment about political feasibility, second-order effects, stakeholder tradeoffs, and alignment with organizational strategy, driving high cognitive complexity. The task is largely digital with minimal physical requirements, but it depends heavily on persuasion, coalition-building, and trust with stakeholders and policymakers, which are harder to automate. Creativity is moderate because solutions often involve novel compromises and framing rather than purely original invention. Stakes are high—errors can create legal, reputational, and societal harm—so human accountability and final decision-making remain critical even with strong AI augmentation.",2026-02-24T06:10:58.381187
11-1011.00,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.","11-1011.00||8838||Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",3.2,4.3,1.1,4.4,3.4,4.8,Medium,3.0,"Directing non-merchandising departments involves a mix of standardized management processes (budgeting, reporting, KPI tracking) and high-context leadership decisions. Many components—performance dashboards, forecasting, policy drafting, procurement analytics, and routine approvals—are amenable to AI augmentation and partial automation. However, aligning cross-functional priorities, resolving conflicts, negotiating with stakeholders, and setting strategic direction require strong social judgment and organizational context that AI cannot reliably replicate. The work is largely digital (low physical embodiment) but carries high accountability and enterprise risk, which limits full automation and keeps humans in the loop for final decisions.",2026-02-24T06:11:02.158056
11-1011.00,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,11-1011.00||8845||Refer major policy matters to elected representatives for final decisions.,2.6,4.2,1.1,4.0,2.4,4.8,Medium,2.8,"This task involves identifying which issues qualify as “major policy matters” and routing them to the appropriate elected officials, which can be partially standardized but often depends on context, timing, and political/legal nuance. AI can assist by monitoring documents and communications, flagging policy-relevant items, summarizing implications, and preparing briefing materials, making the workflow more efficient. However, determining escalation thresholds, anticipating stakeholder reactions, and managing relationships with elected representatives requires high contextual judgment and social/political intelligence. The stakes are high because misrouting or mishandling policy matters can create legal, reputational, and governance consequences, keeping humans accountable for final escalation decisions.",2026-02-24T06:11:05.697054
11-1011.00,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,11-1011.00||8848||Direct or conduct studies or research on issues affecting areas of responsibility.,2.6,4.4,1.1,3.6,3.4,4.7,Medium,3.1,"Conducting or directing studies on executive issues involves framing ambiguous questions, selecting methods, interpreting uncertain evidence, and integrating findings into strategy, which raises cognitive complexity and reduces full codifiability. Many components are digitally mediated (data gathering, literature review, drafting reports, scenario modeling) and are highly augmentable by AI, especially for synthesis and analytics. However, deciding what to study, aligning research with organizational politics and stakeholder priorities, and judging tradeoffs under uncertainty require strong contextual and social judgment. The work often informs high-stakes decisions with significant accountability, limiting autonomous automation and favoring human-in-the-loop use. Overall, AI can automate substantial research execution and summarization, while executives remain critical for problem selection, interpretation, and decision ownership.",2026-02-24T06:11:11.920610
11-1011.00,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.","11-1011.00||8846||Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",3.2,4.2,1.3,4.0,2.6,4.7,Medium,3.2,"Administering site selection, construction, and procurement programs involves a mix of standardized processes (RFPs, budgeting, timelines, compliance) and context-heavy judgment about strategy, risk, and tradeoffs. Many components are highly augmentable by AI—e.g., vendor screening, cost estimation, schedule/risk analytics, document drafting, and compliance checks—raising codifiability and automation feasibility. However, executive-level work typically requires complex reasoning across financial, operational, legal, and reputational constraints, plus negotiation and stakeholder alignment with boards, regulators, communities, and major suppliers. The decisions are high-stakes and accountable (capital allocation, safety, regulatory exposure), which limits full automation and keeps humans in the approval/oversight loop. Physical presence is generally not required beyond occasional site visits, so embodiment is low.",2026-02-24T06:11:17.183151
11-1011.00,Chief Executives,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.","11-1011.00||8852||Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",2.2,3.6,1.3,4.6,2.8,4.7,Low,2.4,"Representing an organization at official functions is only partially codifiable (protocols, talking points, scheduling), but success depends heavily on context, relationships, and real-time judgment. The task is primarily social: credibility, persuasion, reading the room, and managing sensitive stakeholder dynamics are central and difficult to automate. Physical embodiment is low-to-moderate in the sense that presence at events matters, though some representation can be done virtually. AI can automate preparation (briefing books, speech drafts, stakeholder intel, message testing) and help select/delegate appropriate representatives, but the high-stakes reputational and political accountability keeps human leadership critical.",2026-02-24T06:11:22.012636
11-1011.03,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,11-1011.03||15382||Monitor and evaluate effectiveness of sustainability programs.,3.8,3.6,1.2,3.0,2.6,4.2,High,3.7,"Monitoring and evaluating sustainability programs is largely data-driven and can be standardized through KPIs, dashboards, audits, and reporting cycles, making substantial portions codifiable and automatable. AI can automate data ingestion, anomaly detection, trend analysis, benchmarking, and draft performance reports, especially where metrics are well-defined. Human judgment remains important for interpreting ambiguous results, handling data quality gaps, weighing tradeoffs across business units, and aligning evaluation criteria with evolving regulations and stakeholder expectations. The work is mostly digital with limited physical embodiment, but it often requires cross-functional influence and stakeholder communication to validate findings and drive corrective actions. Because evaluations can affect compliance, reputation, and capital allocation, accountability and stakes are relatively high, favoring human oversight even when analytics are automated.",2026-02-24T06:11:27.693035
11-1011.03,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.","11-1011.03||15384||Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",3.2,4.4,1.2,4.3,3.6,4.6,Medium,3.2,"Developing and executing sustainability strategies involves a mix of analyzable, data-driven work (energy/resource metrics, scenario modeling, reporting) and less-codifiable organizational change leadership. AI can automate/augment benchmarking, emissions accounting support, opportunity identification, drafting plans/policies, and monitoring KPIs across domains like waste, transportation, and building design. However, prioritization across competing business goals, navigating regulatory and reputational risk, and securing stakeholder buy-in require high contextual judgment, negotiation, and trust-building. The work is largely digital with minimal physical embodiment, but decisions are high-stakes and accountable, limiting full automation. Overall, AI is best suited as a decision-support and execution-acceleration tool rather than an autonomous strategist.",2026-02-24T06:11:31.913137
11-1011.03,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.","11-1011.03||15379||Develop, or oversee the development of, sustainability evaluation or monitoring systems.",3.6,4.0,1.2,3.4,3.0,4.3,Medium,3.6,"Developing or overseeing sustainability evaluation/monitoring systems involves substantial structured work (defining KPIs, data pipelines, reporting standards, audit trails) that AI can help design, document, and partially implement. However, it also requires contextual judgment to select appropriate metrics, align with evolving regulations and frameworks, and balance tradeoffs across business units, which raises cognitive complexity. The task is largely digital with minimal physical embodiment, but it often requires cross-functional alignment, persuasion, and trust-building with executives, operations, and external stakeholders. Decision impact is high because outputs influence compliance, disclosures, capital allocation, and reputational risk, so human accountability and governance remain critical even if AI automates data collection, anomaly detection, and dashboarding.",2026-02-24T06:11:35.788853
