O*NET-SOC Code,Title,cognitive_complexity_avg,creativity_avg,data_structure_avg,decision_accountability_avg,physical_requirements_avg,routine_structure_avg,social_interactions_avg,weighted_average_GPT_v1_non_overlap,GPT_V1_NoOverlap_Scaled,GPT_V1_doubleweighed
11-3021.00,Computer and Information Systems Managers,2.8362175824175826,2.739607142857143,3.109087142857143,1.260922448979592,3.591157777777778,2.94,2.1901129251700677,2.7285652734170593,3.020863244755139,2.8747142590860992
11-3031.00,Financial Managers,2.941624175824175,3.157482142857143,2.6510442857142857,1.1937142857142855,3.6857492063492066,3.032,2.1593258503401365,2.782503063448456,3.261690752132992,3.022096907790724
11-3031.01,Treasurers and Controllers,2.8209766091051804,2.89095,3.084234285714286,1.3650857142857147,3.727396507936508,2.9,2.151504081632653,2.7635560798011514,3.177094129960425,2.9703251048807884
11-3031.03,Investment Fund Managers,2.989823704866563,2.8251464285714287,3.1880514285714288,1.3608816326530606,3.71434253968254,2.5300000000000002,2.3994047619047616,2.7502009213762433,3.117464517545182,2.9338327194607126
11-3051.00,Industrial Production Managers,2.744248979591836,2.929310714285714,2.602022857142857,1.0723081632653062,3.0400666666666667,2.904,2.2000802721088437,2.585289096938775,2.381147668202784,2.4832183825707794
11-3051.01,Quality Control Systems Managers,2.7512456828885394,2.8979749999999997,3.116851428571429,1.0208448979591833,3.361214603174603,2.712,2.0320326530612243,2.6125398235217165,2.5028197751501597,2.557679799335938
11-3051.02,Geothermal Production Managers,2.671058869701726,2.926625,2.76142,0.7853632653061222,2.9130358730158736,3.056,2.070422448979592,2.553049655285191,2.237201385491405,2.395125520388298
11-3051.03,Biofuels Production Managers,2.7848376766091048,2.945257142857143,2.657637142857143,0.846857142857143,2.777280952380952,3.312,2.1404653061224495,2.6100255902668756,2.4915939439216768,2.550809767094276
11-3051.04,Biomass Power Plant Managers,2.6812017268445834,3.0705142857142858,2.7713842857142854,0.9086734693877547,2.809982539682539,3.35,2.2035102040816326,2.65278708895866,2.6825202895448346,2.6676536892517473
11-3051.06,Hydroelectric Production Managers,2.656140502354788,2.9940035714285713,2.724532857142857,0.8369306122448972,2.8670276190476196,2.9779999999999998,2.1061836734693875,2.5452496518838306,2.202375053608044,2.3738123527459374
11-3061.00,Purchasing Managers,2.877718053375196,2.79735,2.7268785714285713,1.6283673469387758,3.596473968253968,2.8899999999999997,1.8436659863945586,2.680805793040293,2.807621348746734,2.744213570893513
11-3071.00,"Transportation, Storage, and Distribution Managers",2.87694332810047,2.9448178571428567,2.626392857142857,1.2237346938775508,3.2659044444444447,2.8939999999999997,1.990531292517007,2.6255422934327575,2.5608746642475584,2.593208478840158
11-3071.04,Supply Chain Managers,2.8296067503924642,2.793710714285714,2.736395714285714,1.558775510204082,3.470151746031746,2.7640000000000002,1.8914884353741495,2.630060769361591,2.5810492634377447,2.605555016399668
11-3111.00,Compensation and Benefits Managers,3.0101188383045523,2.919664285714285,2.667282857142857,1.4792857142857136,3.746807301587302,2.7980000000000005,2.190104761904762,2.7542611352694926,3.1355930168916135,2.9449270760805533
11-3121.00,Human Resources Managers,2.759245996860283,2.6962,2.7774742857142862,1.1919142857142857,3.5994120634920637,2.684,1.6122299319727889,2.5338020559916274,2.151262540793123,2.342532298392375
11-3131.00,Training and Development Managers,2.851216012558871,2.5947178571428573,2.936712857142857,2.0408081632653063,3.6825631746031746,2.3840000000000003,1.8864074829931972,2.6267877811355316,2.5664356577319847,2.596611719433758
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.760251177394034,2.9024428571428573,2.3167357142857146,1.4057020408163265,2.727244126984126,2.734,2.3674285714285714,2.5326487854526425,2.146113288866518,2.3393810371595802
11-9021.00,Construction Managers,2.614198273155416,3.0036178571428573,2.6928642857142857,1.0663673469387756,2.749207936507937,2.94,1.9326829931972793,2.5088792222658296,2.0399842715224903,2.2744317468941597
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.883291522762952,2.8617714285714286,2.288632857142857,0.9534714285714285,3.464648888888889,2.7399999999999998,1.7997374149659864,2.523627816849817,2.1058354543188322,2.314731635584325
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.585151962323391,2.3899500000000002,2.8167514285714286,1.6360122448979597,3.4928285714285714,1.86,1.341657823129252,2.288714620879121,1.0569686134108682,1.6728416171449947
11-9033.00,"Education Administrators, Postsecondary",2.8394894819466248,2.5934607142857145,2.7276271428571426,1.2800081632653066,3.647123492063492,2.3600000000000003,1.924572789115646,2.5234605022239665,2.1050884091716746,2.3142744556978205
11-9041.00,Architectural and Engineering Managers,2.7731682888540035,2.5335857142857146,2.9704585714285714,1.2690693877551018,3.4171069841269843,2.54,1.9646149659863945,2.535224188906332,2.157612239674167,2.3464182142902494
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.82678037676609,2.6019107142857143,3.218137142857143,1.3932897959183674,3.163889523809524,2.5300000000000002,2.357061904761904,2.609589071821036,2.4896449273013292,2.5496169995611826
11-9051.00,Food Service Managers,2.9855941915227624,3.2899821428571427,2.1081928571428565,1.1695857142857142,3.2533714285714286,2.806,1.9856598639455791,2.6161690011773944,2.519023735455903,2.5675963683166487
11-9071.00,Gambling Managers,2.9669819466248044,3.164528571428572,2.39832,0.9353632653061226,3.451729206349206,2.914,1.8183809523809527,2.6264114280481423,2.564755274166451,2.5955833511072965
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.948282260596547,2.7812642857142853,2.4825371428571428,1.493489795918367,3.2305469841269847,2.23,1.8062687074829928,2.4585570295656725,1.8153000894914406,2.1369285595285565
11-9081.00,Lodging Managers,2.851364207221349,2.8088285714285717,2.4246700000000003,1.1834693877551024,3.535688253968254,3.134,1.6300591836734695,2.611504971219257,2.4981992502758477,2.5548521107475524
11-9111.00,Medical and Health Services Managers,2.744772213500784,2.7729142857142857,2.980095714285714,1.4352612244897958,3.5765028571428576,3.048,1.6647170068027206,2.6649716483516483,2.736923279830547,2.7009474640910978
11-9121.00,Natural Sciences Managers,2.7130285714285716,2.5054857142857143,3.075595714285714,1.2915999999999994,3.443846031746032,2.2779999999999996,2.1791897959183677,2.5185520884353743,2.0831727715973933,2.300862430016384
11-9121.01,Clinical Research Coordinators,3.004278963893249,3.0841000000000003,2.68065,1.4787428571428576,3.5199403174603177,2.6879999999999997,2.4087353741496593,2.756097484039769,3.1437921532812343,2.9499448186605015
11-9121.02,Water Resource Specialists,2.872503296703297,2.7293392857142855,3.167207142857143,1.5765306122448983,3.4081409523809527,2.1399999999999997,2.2556843537414966,2.592223958791209,2.4121112188591827,2.5021675888251957
11-9131.00,Postmasters and Mail Superintendents,2.9130285714285713,3.127321428571429,2.5845957142857143,1.1994653061224492,3.4031168253968254,3.254,1.7105857142857146,2.7023139829931972,2.9036535327044426,2.80298375784882
11-9141.00,"Property, Real Estate, and Community Association Managers",3.0040312401883824,3.116160714285714,2.416555714285714,1.511877551020408,3.49727746031746,2.408,1.9966122448979595,2.61655557548404,2.520749755870007,2.5686526656770234
11-9151.00,Social and Community Service Managers,2.8891794348508637,2.7946642857142856,2.5467214285714284,1.2095265306122451,3.5388139682539683,2.56,1.8052489795918367,2.5418107961800103,2.1870208641445696,2.36441583016229
11-9161.00,Emergency Management Directors,2.684278649921507,2.679625,2.871662857142857,1.4913857142857139,3.2781247619047615,2.2920000000000003,1.7036537414965998,2.4465571801412875,1.761721813034395,2.104139496587841
11-9171.00,Funeral Home Managers,2.859472684458399,2.9282214285714288,2.674811428571428,0.9348163265306129,2.951738095238096,2.8560000000000003,1.7169911564625857,2.5006262802197803,2.00313560826938,2.25188094424458
11-9179.01,Fitness and Wellness Coordinators,2.9362886970172672,2.8751428571428574,2.2345828571428568,1.9128163265306122,3.3547761904761906,2.3120000000000003,1.9666204081632657,2.5470641412872843,2.2104765898397467,2.3787703655635157
11-9179.02,Spa Managers,2.8865431711145995,3.0041071428571424,2.4317014285714285,1.1885265306122443,3.548851428571428,2.582,1.8892231292517003,2.577731526687598,2.347403779097121,2.4625676528923597
11-9199.01,Regulatory Affairs Managers,2.98652229199372,2.875521428571428,3.0972714285714287,1.4409632653061228,3.7345492063492065,2.548,2.251803401360544,2.7406829186289903,3.074967469084312,2.907825193856651
11-9199.02,Compliance Managers,2.942751648351649,2.9482964285714286,2.9733899999999998,0.9620020408163272,3.490799682539682,2.6940000000000004,1.9054129251700678,2.625428306776557,2.560365723813197,2.592897015294877
11-9199.08,Loss Prevention Managers,2.858335635792778,2.904907142857143,2.6338114285714282,1.1546326530612245,3.3161628571428574,2.592,1.814021088435374,2.5312584167974883,2.1399054146217225,2.3355819157096054
11-9199.09,Wind Energy Operations Managers,2.5764792778649914,2.812725,2.648215714285714,0.7510326530612241,2.696555238095238,2.7119999999999997,1.9666258503401362,2.3901826416797487,1.5100144373824342,1.9500985395310915
11-9199.10,Wind Energy Development Managers,2.9175326530612242,2.9713000000000003,2.67815,1.6536734693877553,3.5101596825396824,2.114,2.1576414965986395,2.589477421768707,2.3998481716586006,2.494662796713654
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.8655238618524335,2.862235714285714,2.892185714285714,1.6385714285714283,3.34819873015873,2.214,2.260368027210884,2.5963246643118785,2.4304205097748586,2.5133725870433685
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.157086656200943,2.8157964285714288,2.152104285714286,1.700530612244898,3.7418885714285715,2.444,2.3358986394557824,2.681664034144427,2.8114533200921947,2.746558677118311
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.068910832025117,3.1201999999999996,2.4526585714285716,1.1125265306122452,3.4406253968253964,2.88,2.220679591836734,2.7100808833071683,2.938332062202541,2.8242064727548546
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.0658367346938777,3.239414285714286,2.335711428571429,1.5236326530612248,3.5383146031746033,2.9200000000000004,2.2314619047619053,2.781188537414966,3.2558215085498876,3.018505022982427
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.963179748822606,2.9890535714285713,2.9116714285714282,1.422806122448979,3.614087619047619,3.0199999999999996,1.9561020408163268,2.765811202119309,3.1871630535555138,2.9764871278374114
13-1031.00,"Claims Adjusters, Examiners, and Investigators",3.0601535321821025,3.2528750000000004,2.8035771428571423,1.3004285714285713,3.5560679365079366,3.402,2.2134088435374153,2.90317636826269,3.8004864867847754,3.3518314275237326
13-1032.00,"Insurance Appraisers, Auto Damage",3.1213541601255885,3.3232,2.676577142857143,1.4768142857142856,3.111779999999999,3.282,2.2431020408163262,2.8416545729984297,3.5257970604238125,3.183725816711121
13-1041.00,Compliance Officers,3.140637833594976,3.251442857142857,2.6454614285714286,1.480267346938775,3.08582253968254,3.052,2.105675510204082,2.7605096886446883,3.1634922603198277,2.962000974482258
13-1041.01,Environmental Compliance Inspectors,2.948072056514915,3.1328142857142858,2.708655714285714,1.7405102040816325,3.0334126984126986,2.3200000000000003,2.288133333333333,2.61928144793302,2.532920537560093,2.5761009927465564
13-1041.03,Equal Opportunity Representatives and Officers,3.0262048665620096,2.9852,2.9254642857142854,1.3456265306122455,3.63338507936508,2.606,2.045499999999999,2.701852573521716,2.901593379835134,2.801722976678425
13-1041.04,Government Property Inspectors and Investigators,2.8841136577708006,3.0861214285714285,2.6681671428571434,1.3218857142857146,3.0922698412698413,2.628,2.0868462585034018,2.597007963631607,2.433471381378375,2.515239672504991
13-1041.06,Coroners,2.7975036106750393,3.014107142857143,3.005281428571428,1.1354081632653061,2.5749314285714284,2.6,1.7620442176870745,2.456356919152276,1.8054767892319035,2.1309168541920895
13-1041.07,Regulatory Affairs Specialists,3.0151678178963888,3.0985714285714288,2.83925,1.7684795918367349,3.7162717460317456,2.6,2.333319727891157,2.8052725672422816,3.3633545918955363,3.084313579568909
13-1041.08,Customs Brokers,3.093706907378335,3.1216142857142857,2.788284285714286,1.3721428571428578,3.656833333333333,3.4799999999999995,2.2416680272108844,2.92911609733124,3.916305104677713,3.4227106010044768
13-1051.00,Cost Estimators,3.059203453689168,3.0136607142857144,3.136468571428572,1.853224489795919,3.669216190476191,2.538,2.514102721088436,2.844996768053375,3.5407196685578235,3.1928582183055996
13-1071.00,Human Resources Specialists,3.105737362637363,3.074007142857143,2.415634285714286,1.2449999999999997,3.6225533333333333,3.02,2.039693877551021,2.746362186028258,3.1003249005011693,2.9233435432647137
13-1074.00,Farm Labor Contractors,3.274879434850863,3.711182142857143,1.6208314285714287,1.2224367346938783,3.114478095238095,3.1059999999999994,2.722690476190477,2.829011338697017,3.469346126853285,3.149178732775151
13-1075.00,Labor Relations Specialists,3.046702825745683,2.8337714285714286,2.512104285714286,1.5483673469387753,3.6388996825396824,2.154,2.0450761904761907,2.5715146823652537,2.3196461138120785,2.445580398088666
13-1081.00,Logisticians,2.8801097331240193,2.946875,2.7877928571428567,1.620065306122449,3.418153968253968,2.958,2.0931959183673468,2.7331360092883306,3.041271180010181,2.8872035946492556
13-1081.01,Logistics Engineers,2.782798587127158,2.501275,3.004168571428571,1.5603469387755102,3.33092,2.592,2.247074149659864,2.604161711538462,2.4654122390926894,2.5347869753155754
13-1081.02,Logistics Analysts,3.0001888540031403,2.9048214285714287,2.9395628571428576,1.7164857142857142,3.4349028571428573,3.226,2.3163013605442178,2.8592370321821035,3.6043012004027073,3.2317691162924054
13-1111.00,Management Analysts,2.846072527472527,2.611560714285714,3.13165,1.5436734693877554,3.594647301587302,2.4899999999999998,1.959768707482993,2.6173397345630556,2.5242509574631224,2.570795346013089
13-1121.00,"Meeting, Convention, and Event Planners",2.840641601255886,2.8342285714285715,2.6141057142857145,1.5225469387755104,3.282891746031747,2.9,1.804663945578231,2.608029144950288,2.482679990477715,2.5453545677140017
13-1131.00,Fundraisers,2.983988697017268,2.6456428571428567,2.7212585714285713,1.8084285714285713,3.643736190476191,2.384,1.9069006802721087,2.6068089780219776,2.477232052033097,2.542020515027537
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.1384714285714286,3.0999142857142856,2.710377142857143,1.4857142857142853,3.683493968253968,2.84,2.4613938775510205,2.8451001768707482,3.541181379868471,3.1931407783696093
13-1151.00,Training and Development Specialists,2.952529984301413,2.713482142857143,2.6740342857142854,2.0231999999999997,3.6063695238095237,2.3,1.9503462585034024,2.6131326149921508,2.5054665371353373,2.559299576063744
13-1161.00,Market Research Analysts and Marketing Specialists,2.9574448979591828,2.6838571428571427,3.3443371428571425,1.8805714285714288,3.7031619047619047,2.54,2.383838775510204,2.7897362653061224,3.2939863647772754,3.041861315041699
13-1161.01,Search Marketing Strategists,3.0580751962323394,2.6784999999999997,2.9520600000000004,2.049302040816326,3.77870253968254,2.418,2.65816462585034,2.8097525583464154,3.3833573597148234,3.0965549590306196
13-1199.04,Business Continuity Planners,2.925034379905808,2.7984857142857145,2.9799971428571426,1.7865306122448983,3.7138082539682538,2.2920000000000003,2.361938095238096,2.704942742019885,2.9153907114714226,2.8101667267456536
13-1199.05,Sustainability Specialists,2.9905717425431706,2.7415142857142856,2.8158185714285713,1.9759183673469387,3.5598488888888893,2.036,2.1873850340136065,2.608271686551544,2.4837629174799503,2.546017302015747
13-1199.06,Online Merchants,3.1691318681318683,3.1761214285714283,2.640852857142857,1.641812244897959,3.629001904761905,2.864,2.503363265306123,2.8727092802197802,3.664453607681562,3.268581443950671
13-1199.07,Security Management Specialists,2.7869408163265303,2.6990392857142855,2.8949999999999996,1.2779591836734694,3.223291746031746,2.298,1.9455843537414963,2.4751243486394556,1.8892717178089953,2.1821980332242257
13-2011.00,Accountants and Auditors,3.028079905808477,3.132025,2.9621685714285713,1.350114285714286,3.682935873015873,2.95,2.3347863945578227,2.847902361721612,3.553692889747774,3.200797625734693
13-2022.00,Appraisers of Personal and Business Property,3.0703411302982735,3.2315535714285715,3.005794285714286,1.448114285714286,3.355818095238095,2.4859999999999998,2.679104761904762,2.793113490973312,3.309065381526171,3.0510894362497414
13-2023.00,Appraisers and Assessors of Real Estate,3.201317582417582,3.4009178571428573,2.86251,1.8335673469387754,3.33374380952381,2.69,2.8467857142857147,2.925022479199372,3.8980274583321606,3.4115249687657663
13-2031.00,Budget Analysts,3.1568540031397174,3.183114285714286,2.7431285714285716,1.2545734693877555,3.6494863492063496,3.0999999999999996,2.5836258503401366,2.9057322773417065,3.811898396917277,3.3588153371294918
13-2041.00,Credit Analysts,3.2006337519623225,3.3660714285714284,2.8196414285714284,1.8895408163265306,3.7341644444444446,2.96,2.8206795918367344,3.0311506070120355,4.371880251873103,3.701515429442569
13-2052.00,Personal Financial Advisors,3.0241996860282576,2.996614285714286,3.0563742857142855,1.4922448979591834,3.797633650793651,2.4419999999999997,2.4625197278911566,2.785407020931449,3.2746566678991638,3.0300318444153067
13-2053.00,Insurance Underwriters,3.209551334379906,3.208182142857143,2.6754828571428573,1.5757142857142852,3.7136615873015875,3.068,2.4968088435374156,2.932950300497122,3.9334244859256664,3.4331873932113943
13-2061.00,Financial Examiners,2.95551350078493,3.183560714285714,2.877742857142857,1.7255204081632654,3.7092365079365077,2.3839999999999995,2.256844217687075,2.7528995676347465,3.1295137366798844,2.9412066521573155
13-2071.00,Credit Counselors,3.208782417582418,3.116339285714286,2.4736485714285714,1.7033632653061224,3.6994403174603177,3.128,2.3678204081632654,2.902158548011512,3.7959420085273763,3.349050278269444
13-2072.00,Loan Officers,3.109720251177394,3.256814285714286,2.692494285714286,1.120226530612245,3.60375873015873,2.942,2.2333578231292517,2.8002197451596023,3.3407941839387565,3.070506964549179
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.164565306122449,3.3922214285714287,2.737932857142857,1.3316857142857144,3.6587120634920636,3.1000000000000005,2.2607455782312926,2.8983985136054424,3.779153784294577,3.33877614895001
13-2082.00,Tax Preparers,3.2466277864992144,3.4019642857142856,2.8233071428571423,1.640561224489796,3.719470158730158,3.0620000000000003,2.706820408163266,3.020019232600732,4.322179640268448,3.67109943643459
13-2099.01,Financial Quantitative Analysts,3.0445043956043953,2.755757142857143,3.282712857142857,1.8513775510204087,3.7806168253968253,2.654,2.6640006802721095,2.880940897435898,3.7012070574371467,3.2910739774365223
13-2099.04,"Fraud Examiners, Investigators and Analysts",2.9695926216640505,2.989242857142857,2.9958742857142857,1.206057142857143,3.4891466666666666,2.912,2.140989115646259,2.740938832025118,3.076110099979241,2.9085244660021794
15-1211.00,Computer Systems Analysts,2.961150863422291,2.7504785714285713,3.0313314285714283,1.6282530612244899,3.572781587301588,3.164,2.6068448979591836,2.882446836996337,3.7079309456496805,3.2951888913230087
15-1211.01,Health Informatics Specialists,2.8348604395604395,2.325525,3.2655742857142855,1.537273469387756,3.5801647619047623,2.6700000000000004,2.0894238095238093,2.6387808771585557,2.6199837808435706,2.6293823290010634
15-1212.00,Information Security Analysts,3.0591591836734686,2.9185214285714283,3.012518571428571,1.6016000000000004,3.4943650793650796,2.604,2.6120829931972787,2.7948311598639455,3.316734622649898,3.055782891256922
15-1221.00,Computer and Information Research Scientists,2.9197128728414454,2.157717857142857,3.662584285714286,1.8614000000000002,3.628229523809524,2.466,2.467792517006803,2.721616344191523,2.9898368845101793,2.855726614350851
15-1231.00,Computer Network Support Specialists,3.0626598116169554,3.1398357142857143,2.6315728571428574,1.57505306122449,3.3695399999999998,2.994,2.583375510204082,2.8427742472527475,3.5307963078825146,3.186785277567631
15-1232.00,Computer User Support Specialists,3.0542574568288856,3.048889285714286,2.8534542857142857,1.4080448979591842,3.4495809523809524,2.916,2.511655102040816,2.819007337912088,3.4246791397290792,3.121843238820584
15-1241.00,Computer Network Architects,2.908516640502354,2.7496214285714284,3.061937142857143,1.5596428571428578,3.443660634920635,2.75,2.4812857142857143,2.7496206627420197,3.114873713575772,2.932247188158896
15-1241.01,Telecommunications Engineering Specialists,2.9707086342229205,2.8836392857142856,2.8714099999999996,1.5714285714285716,3.2728819047619044,2.476,2.35935918367347,2.6624722083987447,2.7257634993992745,2.6941178538990096
15-1242.00,Database Administrators,3.0672891679748826,2.832439285714286,3.0905257142857145,1.4578571428571432,3.62024380952381,2.82,2.7551476190476185,2.8601062680533755,3.6081822624202644,3.2341442652368197
15-1243.00,Database Architects,3.0474356357927785,2.6482642857142857,3.3698657142857136,1.6623877551020407,3.7009625396825396,2.686,2.53716462585034,2.830499409994767,3.4759902348382266,3.1532448224164966
15-1243.01,Data Warehousing Specialists,3.1646089481946627,2.7536,3.2349242857142855,2.0381632653061224,3.7360542857142853,2.6340000000000003,2.7715299319727897,2.9179777299843015,3.8665732702280504,3.3922755001061757
15-1244.00,Network and Computer Systems Administrators,2.9358751962323386,2.846071428571429,2.9069857142857134,1.9937530612244894,3.4628523809523815,2.8240000000000003,2.7442986394557827,2.85323852433281,3.5775183883429076,3.215378456337859
15-1251.00,Computer Programmers,3.173537205651492,2.667607142857143,3.444721428571429,2.2300204081632655,3.663984126984127,2.778,2.7233312925170066,2.9573431488749344,4.0423364170458544,3.4998397829603944
15-1252.00,Software Developers,3.1973808477237053,2.497332142857143,2.9087899999999998,1.976228571428572,3.7328907936507933,2.618,2.940715646258503,2.867349771716379,3.6405238717229107,3.2539368217196447
15-1253.00,Software Quality Assurance Analysts and Testers,3.080397174254317,2.750235714285714,3.120335714285715,1.6882448979591835,3.6602298412698415,3.058,2.62038843537415,2.909145736002093,3.827139190806676,3.368142463404385
15-1254.00,Web Developers,3.12989010989011,2.639307142857143,2.9270585714285713,1.8012102040816322,3.6409346031746033,3.05,2.6918380952380954,2.898122370225013,3.7779208282919505,3.338021599258482
15-1255.01,Video Game Designers,3.1059233908948194,2.1410714285714283,2.9201057142857145,2.2964714285714285,3.645241904761905,2.878,2.543493197278911,2.812617202511774,3.39614774496172,3.104382473736747
15-1299.01,Web Administrators,3.0732237048665616,2.739642857142857,2.913194285714286,1.7819387755102043,3.627049523809524,2.91,2.5384496598639457,2.848268167974882,3.5553261826228972,3.2017971752988896
15-1299.02,Geographic Information Systems Technologists and Technicians,3.152920094191523,2.976021428571429,3.251438571428571,1.8264591836734696,3.533454920634921,3.1300000000000003,2.647747619047619,2.9803113848770284,4.1448875787087776,3.562599481792903
15-1299.03,Document Management Specialists,3.107059340659341,3.0440714285714288,2.755642857142857,1.8373469387755104,3.608748253968254,2.832,2.469136734693878,2.860051343275772,3.6079370280998404,3.2339941856878065
15-1299.05,Information Security Engineers,3.0147284144427005,2.8785928571428574,3.16535,1.5801224489795915,3.6530584126984125,2.868,2.421991156462585,2.843402871009942,3.53360305788906,3.1885029644495013
15-1299.08,Computer Systems Engineers/Architects,2.9373323390894805,2.701407142857143,3.0200242857142854,1.4824489795918367,3.4374088888888883,3.0100000000000002,2.5282489795918375,2.792906929094715,3.308143100833675,3.0505250149641947
15-1299.09,Information Technology Project Managers,2.757228100470957,2.7390857142857143,3.2271100000000006,1.462857142857143,3.585997777777777,2.8180000000000005,1.8772258503401362,2.676527330716902,2.788518389278938,2.73252285999792
15-2011.00,Actuaries,2.935348979591837,2.9702714285714285,3.2753142857142854,1.7960204081632654,3.7679187301587302,2.44,2.6205319727891156,2.839244136054422,3.51503467063033,3.177139403342376
15-2021.00,Mathematicians,3.029722448979591,2.221917857142857,3.2060985714285715,2.22234693877551,3.7413073015873017,2.058,2.740959183673469,2.714530569727891,2.9581995222651774,2.8363650459965344
15-2031.00,Operations Research Analysts,2.927428100470957,2.5294285714285714,3.375561428571429,2.021622448979592,3.7163800000000005,2.188,2.6281306122448984,2.7475234803767665,3.1055099780343873,2.926516729205577
15-2041.00,Statisticians,2.9853249607535326,2.6931464285714286,3.674885714285714,1.7559897959183677,3.717083174603175,2.37,2.625159863945578,2.820194715201466,3.429980675308336,3.125087695254901
15-2041.01,Biostatisticians,2.972405337519624,2.7208035714285717,3.0936114285714282,2.0252224489795916,3.7150098412698416,2.3519999999999994,2.5745693877551026,2.779701608451073,3.2491825009855457,3.0144420547183093
15-2051.01,Business Intelligence Analysts,3.112319466248038,2.8419964285714285,3.2835300000000003,1.8889142857142858,3.780515873015873,2.592,2.7162299319727894,2.903303683542648,3.8010549383565877,3.3521793109496176
15-2051.02,Clinical Data Managers,3.0480863422291984,2.9796428571428573,3.157171428571428,1.95469387755102,3.7345653968253965,2.8600000000000003,2.487098639455782,2.92059551596023,3.8782614552846617,3.3994284856224457
15-2099.01,Bioinformatics Technicians,3.1068513343799067,2.7080321428571423,3.456664285714286,1.99915918367347,3.6079726984126985,2.6980000000000004,2.746228571428571,2.910545059000523,3.8333870454097703,3.3719660522051464
17-1011.00,"Architects, Except Landscape and Naval",2.7665615384615387,2.3633857142857146,2.844337142857143,1.6529693877551024,3.2708561904761906,2.6060000000000003,2.1167755102040813,2.548567496075354,2.217188937270084,2.3828782166727187
17-1012.00,Landscape Architects,2.900480847723703,2.4782142857142855,2.4963357142857143,1.8514285714285714,3.449642857142857,2.28,2.26016462585034,2.5540518210361065,2.241675967776514,2.39786389440631
17-1021.00,Cartographers and Photogrammetrists,3.133516640502355,2.985228571428572,2.837552857142857,1.6634857142857142,3.399055555555556,2.932,2.454938095238095,2.8324146865515436,3.4845417768802562,3.1584782317159
17-1022.00,Surveyors,2.831920565149137,2.9826678571428573,3.046111428571429,1.0799489795918373,2.808904761904762,3.0,2.2694557823129258,2.646548385792779,2.6546650264383036,2.6506067061155414
17-1022.01,Geodetic Surveyors,2.883187441130298,2.9821964285714286,3.2289300000000005,1.5541428571428577,3.0500650793650794,2.6420000000000003,2.611980272108843,2.735821668890633,3.0532624148626173,2.8945420418766252
