O*NET-SOC Code,Title,Alias
19-3051.00,Urban and Regional Planners,Urban and Regional Planner
19-3051.00,Urban and Regional Planners,Urban & Regional Planners
19-3091.00,Anthropologists and Archeologists,Anthropologists and Archeologist
19-3091.00,Anthropologists and Archeologists,Anthropologists & Archeologists
19-3092.00,Geographers,Geographer
19-3093.00,Historians,Historian
19-3094.00,Political Scientists,Political Scientist
19-3099.00,"Social Scientists and Related Workers, All Other","Social Scientists & Related Workers, All Other"
19-3099.01,Transportation Planners,Transportation Planner
19-4012.00,Agricultural Technicians,Agricultural
19-4012.00,Agricultural Technicians,Agricultural Technician
19-4012.01,Precision Agriculture Technicians,Precision Agriculture
19-4012.01,Precision Agriculture Technicians,Precision Agriculture Technician
19-4013.00,Food Science Technicians,Food Science
19-4013.00,Food Science Technicians,Food Science Technician
19-4021.00,Biological Technicians,Biological Technician
19-4021.00,Biological Technicians,Biological
19-4031.00,Chemical Technicians,Chemical Technician
19-4031.00,Chemical Technicians,Chemical
19-4042.00,"Environmental Science and Protection Technicians, Including Health","Environmental Science & Protection Technicians, Including Health"
19-4043.00,"Geological Technicians, Except Hydrologic Technicians","Geological Technicians, Except Hydrologic Technician"
19-4043.00,"Geological Technicians, Except Hydrologic Technicians","Geological , Except Hydrologic"
19-4044.00,Hydrologic Technicians,Hydrologic Technician
19-4044.00,Hydrologic Technicians,Hydrologic
19-4051.00,Nuclear Technicians,Nuclear Technician
19-4051.00,Nuclear Technicians,Nuclear
19-4051.02,Nuclear Monitoring Technicians,Nuclear Monitoring Technician
19-4051.02,Nuclear Monitoring Technicians,Nuclear Monitoring
19-4061.00,Social Science Research Assistants,Social Science Research Assistant
19-4071.00,Forest and Conservation Technicians,Forest & Conservation Technicians
19-4071.00,Forest and Conservation Technicians,Forest and Conservation Technician
19-4071.00,Forest and Conservation Technicians,Forest and Conservation
19-4092.00,Forensic Science Technicians,Forensic Science
19-4092.00,Forensic Science Technicians,Forensic Science Technician
19-4099.00,"Life, Physical, and Social Science Technicians, All Other","Life, Physical, & Social Science Technicians, All Other"
19-4099.01,Quality Control Analysts,analysis job
19-4099.01,Quality Control Analysts,Quality Control Analyst
19-4099.03,Remote Sensing Technicians,Remote Sensing Technician
19-4099.03,Remote Sensing Technicians,Remote Sensing
19-5011.00,Occupational Health and Safety Specialists,Occupational Health and Safety
19-5011.00,Occupational Health and Safety Specialists,Occupational Health & Safety Specialists
19-5011.00,Occupational Health and Safety Specialists,Occupational Health and Safety Specialist
19-5012.00,Occupational Health and Safety Technicians,Occupational Health and Safety Technician
19-5012.00,Occupational Health and Safety Technicians,Occupational Health and Safety
19-5012.00,Occupational Health and Safety Technicians,Occupational Health & Safety Technicians
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse and Behavioral Disorder Counselor
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse & Behavioral Disorder Counselors
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors","Educational, Guidance, & Career Counselors & Advisors"
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors","Educational, Guidance, and Career Counselors and Advisor"
21-1013.00,Marriage and Family Therapists,Marriage and Family Therapist
21-1013.00,Marriage and Family Therapists,Marriage & Family Therapists
21-1014.00,Mental Health Counselors,Mental Health Counselor
21-1015.00,Rehabilitation Counselors,Rehabilitation Counselor
21-1021.00,"Child, Family, and School Social Workers","Child, Family, & School Social Workers"
21-1021.00,"Child, Family, and School Social Workers","Child, Family, and School Social Worker"
21-1022.00,Healthcare Social Workers,Healthcare Social Worker
21-1023.00,Mental Health and Substance Abuse Social Workers,Mental Health and Substance Abuse Social Worker
21-1023.00,Mental Health and Substance Abuse Social Workers,Mental Health & Substance Abuse Social Workers
21-1091.00,Health Education Specialists,Health Education Specialist
21-1091.00,Health Education Specialists,Health Education
21-1092.00,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment
21-1092.00,Probation Officers and Correctional Treatment Specialists,Probation Officers & Correctional Treatment Specialists
21-1092.00,Probation Officers and Correctional Treatment Specialists,Probation Officers and Correctional Treatment Specialist
21-1093.00,Social and Human Service Assistants,Social and Human Service Assistant
21-1093.00,Social and Human Service Assistants,Social & Human Service Assistants
21-1094.00,Community Health Workers,Community Health Worker
21-1099.00,"Community and Social Service Specialists, All Other","Community & Social Service Specialists, All Other"
21-2021.00,"Directors, Religious Activities and Education","Directors, Religious Activities & Education"
23-1011.00,Lawyers,Lawyer
23-1012.00,Judicial Law Clerks,Judicial Law Clerk
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, & Hearing Officers"
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing"
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers","Administrative Law Judges, Adjudicators, and Hearing Officer"
23-1022.00,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, and Conciliator"
23-1022.00,"Arbitrators, Mediators, and Conciliators","Arbitrators, Mediators, & Conciliators"
23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrate"
23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, & Magistrates"
23-2011.00,Paralegals and Legal Assistants,Paralegals & Legal Assistants
23-2011.00,Paralegals and Legal Assistants,Paralegals and Legal Assistant
23-2093.00,"Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, & Searchers"
23-2093.00,"Title Examiners, Abstractors, and Searchers","Title Examiners, Abstractors, and Searcher"
25-1011.00,"Business Teachers, Postsecondary",teaching job
25-1021.00,"Computer Science Teachers, Postsecondary",teaching job
25-1022.00,"Mathematical Science Teachers, Postsecondary",teaching job
25-1031.00,"Architecture Teachers, Postsecondary",teaching job
25-1032.00,"Engineering Teachers, Postsecondary",teaching job
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",teaching job
25-1042.00,"Biological Science Teachers, Postsecondary",teaching job
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",teaching job
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary","Forestry & Conservation Science Teachers, Postsecondary"
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",teaching job
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Atmospheric, Earth, Marine, & Space Sciences Teachers, Postsecondary"
25-1052.00,"Chemistry Teachers, Postsecondary",teaching job
25-1053.00,"Environmental Science Teachers, Postsecondary",teaching job
25-1054.00,"Physics Teachers, Postsecondary",teaching job
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",teaching job
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary","Anthropology & Archeology Teachers, Postsecondary"
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",teaching job
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary","Area, Ethnic, & Cultural Studies Teachers, Postsecondary"
25-1063.00,"Economics Teachers, Postsecondary",teaching job
25-1064.00,"Geography Teachers, Postsecondary",teaching job
25-1065.00,"Political Science Teachers, Postsecondary",teaching job
25-1066.00,"Psychology Teachers, Postsecondary",teaching job
25-1067.00,"Sociology Teachers, Postsecondary",teaching job
25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",teaching job
25-1071.00,"Health Specialties Teachers, Postsecondary",teaching job
25-1072.00,"Nursing Instructors and Teachers, Postsecondary","Nursing Instructors & Teachers, Postsecondary"
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",teaching job
25-1081.00,"Education Teachers, Postsecondary",teaching job
25-1082.00,"Library Science Teachers, Postsecondary",teaching job
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",teaching job
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary","Criminal Justice & Law Enforcement Teachers, Postsecondary"
25-1112.00,"Law Teachers, Postsecondary",teaching job
25-1113.00,"Social Work Teachers, Postsecondary",teaching job
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",teaching job
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary","Art, Drama, & Music Teachers, Postsecondary"
25-1122.00,"Communications Teachers, Postsecondary",teaching job
25-1123.00,"English Language and Literature Teachers, Postsecondary",teaching job
25-1123.00,"English Language and Literature Teachers, Postsecondary","English Language & Literature Teachers, Postsecondary"
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",teaching job
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary","Foreign Language & Literature Teachers, Postsecondary"
25-1125.00,"History Teachers, Postsecondary",teaching job
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",teaching job
25-1126.00,"Philosophy and Religion Teachers, Postsecondary","Philosophy & Religion Teachers, Postsecondary"
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",teaching job
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary","Family & Consumer Sciences Teachers, Postsecondary"
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",teaching job
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary","Recreation & Fitness Studies Teachers, Postsecondary"
25-1194.00,"Career/Technical Education Teachers, Postsecondary",teaching job
25-1199.00,"Postsecondary Teachers, All Other",teaching job
25-2011.00,"Preschool Teachers, Except Special Education",teaching job
25-2012.00,"Kindergarten Teachers, Except Special Education",teaching job
25-2021.00,"Elementary School Teachers, Except Special Education",teaching job
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",teaching job
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education","Middle School Teachers, Except Special & Career/Technical Education"
25-2023.00,"Career/Technical Education Teachers, Middle School",teaching job
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",teaching job
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education","Secondary School Teachers, Except Special & Career/Technical Education"
25-2032.00,"Career/Technical Education Teachers, Secondary School",teaching job
25-2051.00,"Special Education Teachers, Preschool",teaching job
25-2055.00,"Special Education Teachers, Kindergarten",teaching job
25-2056.00,"Special Education Teachers, Elementary School",teaching job
25-2057.00,"Special Education Teachers, Middle School",teaching job
25-2058.00,"Special Education Teachers, Secondary School",teaching job
25-2059.00,"Special Education Teachers, All Other",teaching job
25-2059.01,Adapted Physical Education Specialists,Adapted Physical Education Specialist
25-2059.01,Adapted Physical Education Specialists,Adapted Physical Education
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructor"
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors","Adult Basic Education, Adult Secondary Education, & English as a Second Language Instructors"
25-3021.00,Self-Enrichment Teachers,teaching job
25-3021.00,Self-Enrichment Teachers,Self-Enrichment Teacher
25-3031.00,"Substitute Teachers, Short-Term",teaching job
25-3041.00,Tutors,Tutor
25-3099.00,"Teachers and Instructors, All Other",teaching job
25-3099.00,"Teachers and Instructors, All Other","Teachers & Instructors, All Other"
25-4011.00,Archivists,Archivist
25-4012.00,Curators,Curator
25-4013.00,Museum Technicians and Conservators,Museum Technicians & Conservators
25-4013.00,Museum Technicians and Conservators,Museum Technicians and Conservator
25-4022.00,Librarians and Media Collections Specialists,Librarians & Media Collections Specialists
25-4022.00,Librarians and Media Collections Specialists,Librarians and Media Collections Specialist
25-4022.00,Librarians and Media Collections Specialists,Librarians and Media Collections
25-4031.00,Library Technicians,Library
25-4031.00,Library Technicians,Library Technician
25-9021.00,Farm and Home Management Educators,Farm & Home Management Educators
25-9021.00,Farm and Home Management Educators,Farm and Home Management Educator
25-9031.00,Instructional Coordinators,Instructional Coordinator
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education","Teaching Assistants, Preschool, Elementary, Middle, & Secondary School, Except Special Education"
25-9099.00,"Educational Instruction and Library Workers, All Other","Educational Instruction & Library Workers, All Other"
27-1011.00,Art Directors,Art Director
27-1012.00,Craft Artists,Craft Artist
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators","Fine Artists, Including Painters, Sculptors, and Illustrator"
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators","Fine Artists, Including Painters, Sculptors, & Illustrators"
27-1014.00,Special Effects Artists and Animators,Special Effects Artists & Animators
27-1014.00,Special Effects Artists and Animators,Special Effects Artists and Animator
27-1019.00,"Artists and Related Workers, All Other","Artists & Related Workers, All Other"
27-1021.00,Commercial and Industrial Designers,Commercial & Industrial Designers
27-1021.00,Commercial and Industrial Designers,Commercial and Industrial Designer
27-1022.00,Fashion Designers,Fashion Designer
27-1023.00,Floral Designers,Floral Designer
27-1024.00,Graphic Designers,Graphic Designer
27-1025.00,Interior Designers,Interior Designer
27-1026.00,Merchandise Displayers and Window Trimmers,Merchandise Displayers and Window Trimmer
27-1026.00,Merchandise Displayers and Window Trimmers,Merchandise Displayers & Window Trimmers
27-1027.00,Set and Exhibit Designers,Set and Exhibit Designer
27-1027.00,Set and Exhibit Designers,Set & Exhibit Designers
27-2011.00,Actors,Actor
27-2012.00,Producers and Directors,Producers & Directors
27-2012.00,Producers and Directors,Producers and Director
27-2012.03,Media Programming Directors,Media Programming Director
27-2012.04,Talent Directors,Talent Director
27-2012.05,Media Technical Directors/Managers,management job
27-2012.05,Media Technical Directors/Managers,Media Technical Directors/Manager
27-2012.05,Media Technical Directors/Managers,Media Technical Directors/
27-2021.00,Athletes and Sports Competitors,Athletes and Sports Competitor
27-2021.00,Athletes and Sports Competitors,Athletes & Sports Competitors
27-2022.00,Coaches and Scouts,Coaches & Scouts
27-2022.00,Coaches and Scouts,Coaches and Scout
27-2023.00,"Umpires, Referees, and Other Sports Officials","Umpires, Referees, and Other Sports Official"
27-2023.00,"Umpires, Referees, and Other Sports Officials","Umpires, Referees, & Other Sports Officials"
27-2031.00,Dancers,Dancer
27-2032.00,Choreographers,Choreographer
27-2041.00,Music Directors and Composers,Music Directors and Composer
27-2041.00,Music Directors and Composers,Music Directors & Composers
27-2042.00,Musicians and Singers,Musicians and Singer
27-2042.00,Musicians and Singers,Musicians & Singers
27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other","Entertainers & Performers, Sports & Related Workers, All Other"
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Broadcast Announcers and Radio Disc Jockey
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Broadcast Announcers & Radio Disc Jockeys
27-3023.00,"News Analysts, Reporters, and Journalists","News Analysts, Reporters, & Journalists"
27-3023.00,"News Analysts, Reporters, and Journalists",analysis job
27-3023.00,"News Analysts, Reporters, and Journalists","News Analysts, Reporters, and Journalist"
27-3031.00,Public Relations Specialists,Public Relations Specialist
27-3031.00,Public Relations Specialists,Public Relations
27-3041.00,Editors,Editor
27-3042.00,Technical Writers,Technical Writer
27-3043.00,Writers and Authors,Writers & Authors
27-3043.00,Writers and Authors,Writers and Author
27-3043.05,"Poets, Lyricists and Creative Writers","Poets, Lyricists and Creative Writer"
27-3043.05,"Poets, Lyricists and Creative Writers","Poets, Lyricists & Creative Writers"
27-3091.00,Interpreters and Translators,Interpreters and Translator
27-3091.00,Interpreters and Translators,Interpreters & Translators
27-3092.00,Court Reporters and Simultaneous Captioners,Court Reporters and Simultaneous Captioner
27-3092.00,Court Reporters and Simultaneous Captioners,Court Reporters & Simultaneous Captioners
27-3099.00,"Media and Communication Workers, All Other","Media & Communication Workers, All Other"
27-4011.00,Audio and Video Technicians,Audio and Video Technician
27-4011.00,Audio and Video Technicians,Audio & Video Technicians
27-4011.00,Audio and Video Technicians,Audio and Video
27-4012.00,Broadcast Technicians,Broadcast
27-4012.00,Broadcast Technicians,Broadcast Technician
27-4014.00,Sound Engineering Technicians,Sound Engineering Technician
27-4014.00,Sound Engineering Technicians,Sound Engineering
27-4015.00,Lighting Technicians,Lighting Technician
27-4015.00,Lighting Technicians,Lighting
27-4021.00,Photographers,Photographer
27-4031.00,"Camera Operators, Television, Video, and Film","Camera Operators, Television, Video, & Film"
27-4032.00,Film and Video Editors,Film and Video Editor
27-4032.00,Film and Video Editors,Film & Video Editors
27-4099.00,"Media and Communication Equipment Workers, All Other","Media & Communication Equipment Workers, All Other"
29-1011.00,Chiropractors,Chiropractor
29-1022.00,Oral and Maxillofacial Surgeons,Oral & Maxillofacial Surgeons
29-1022.00,Oral and Maxillofacial Surgeons,Oral and Maxillofacial Surgeon
29-1023.00,Orthodontists,Orthodontist
29-1024.00,Prosthodontists,Prosthodontist
29-1029.00,"Dentists, All Other Specialists","Dentists, All Other Specialist"
29-1029.00,"Dentists, All Other Specialists","Dentists, All Other"
29-1031.00,Dietitians and Nutritionists,Dietitians and Nutritionist
29-1031.00,Dietitians and Nutritionists,Dietitians & Nutritionists
29-1041.00,Optometrists,Optometrist
29-1051.00,Pharmacists,Pharmacist
29-1071.00,Physician Assistants,Physician Assistant
29-1071.01,Anesthesiologist Assistants,Anesthesiologist Assistant
29-1081.00,Podiatrists,Podiatrist
29-1122.00,Occupational Therapists,Occupational Therapist
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapist"
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Low Vision Therapists, Orientation & Mobility Specialists, & Vision Rehabilitation Therapists"
29-1123.00,Physical Therapists,Physical Therapist
29-1124.00,Radiation Therapists,Radiation Therapist
29-1125.00,Recreational Therapists,Recreational Therapist
29-1126.00,Respiratory Therapists,Respiratory Therapist
29-1127.00,Speech-Language Pathologists,Speech-Language Pathologist
29-1128.00,Exercise Physiologists,Exercise Physiologist
29-1129.01,Art Therapists,Art Therapist
29-1129.02,Music Therapists,Music Therapist
29-1131.00,Veterinarians,Veterinarian
29-1141.00,Registered Nurses,nurse
29-1141.00,Registered Nurses,Staff Nurse
29-1141.00,Registered Nurses,Registered Nurse
29-1141.01,Acute Care Nurses,Acute Care Nurse
29-1141.01,Acute Care Nurses,nurse
29-1141.02,Advanced Practice Psychiatric Nurses,nurse
29-1141.02,Advanced Practice Psychiatric Nurses,Advanced Practice Psychiatric Nurse
29-1141.03,Critical Care Nurses,nurse
29-1141.03,Critical Care Nurses,Critical Care Nurse
29-1141.04,Clinical Nurse Specialists,nurse
29-1141.04,Clinical Nurse Specialists,Clinical Nurse Specialist
29-1141.04,Clinical Nurse Specialists,Clinical Nurse
29-1151.00,Nurse Anesthetists,nurse
29-1151.00,Nurse Anesthetists,Nurse Anesthetist
29-1161.00,Nurse Midwives,Nurse Midwive
29-1161.00,Nurse Midwives,nurse
29-1171.00,Nurse Practitioners,nurse
29-1171.00,Nurse Practitioners,Nurse Practitioner
29-1181.00,Audiologists,Audiologist
29-1211.00,Anesthesiologists,Anesthesiologist
29-1212.00,Cardiologists,Cardiologist
29-1213.00,Dermatologists,Dermatologist
29-1214.00,Emergency Medicine Physicians,Emergency Medicine Physician
29-1215.00,Family Medicine Physicians,Family Medicine Physician
29-1216.00,General Internal Medicine Physicians,General Internal Medicine Physician
29-1217.00,Neurologists,Neurologist
29-1218.00,Obstetricians and Gynecologists,Obstetricians and Gynecologist
29-1218.00,Obstetricians and Gynecologists,Obstetricians & Gynecologists
29-1222.00,"Physicians, Pathologists","Physicians, Pathologist"
29-1223.00,Psychiatrists,Psychiatrist
29-1224.00,Radiologists,Radiologist
29-1229.01,Allergists and Immunologists,Allergists & Immunologists
29-1229.01,Allergists and Immunologists,Allergists and Immunologist
29-1229.02,Hospitalists,Hospitalist
29-1229.03,Urologists,Urologist
29-1229.04,Physical Medicine and Rehabilitation Physicians,Physical Medicine and Rehabilitation Physician
29-1229.04,Physical Medicine and Rehabilitation Physicians,Physical Medicine & Rehabilitation Physicians
29-1229.05,Preventive Medicine Physicians,Preventive Medicine Physician
29-1229.06,Sports Medicine Physicians,Sports Medicine Physician
29-1243.00,Pediatric Surgeons,Pediatric Surgeon
29-1291.00,Acupuncturists,Acupuncturist
29-1292.00,Dental Hygienists,Dental Hygienist
29-1299.01,Naturopathic Physicians,Naturopathic Physician
29-1299.02,Orthoptists,Orthoptist
29-2011.00,Medical and Clinical Laboratory Technologists,Medical and Clinical Laboratory Technologist
29-2011.00,Medical and Clinical Laboratory Technologists,Medical & Clinical Laboratory Technologists
29-2011.01,Cytogenetic Technologists,Cytogenetic Technologist
29-2011.02,Cytotechnologists,Cytotechnologist
29-2011.04,Histotechnologists,Histotechnologist
29-2012.00,Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory
29-2012.00,Medical and Clinical Laboratory Technicians,Medical and Clinical Laboratory Technician
29-2012.00,Medical and Clinical Laboratory Technicians,Medical & Clinical Laboratory Technicians
29-2012.01,Histology Technicians,Histology
29-2012.01,Histology Technicians,Histology Technician
29-2031.00,Cardiovascular Technologists and Technicians,Cardiovascular Technologists & Technicians
29-2031.00,Cardiovascular Technologists and Technicians,Cardiovascular Technologists and Technician
29-2031.00,Cardiovascular Technologists and Technicians,Cardiovascular Technologists and
29-2032.00,Diagnostic Medical Sonographers,Diagnostic Medical Sonographer
29-2033.00,Nuclear Medicine Technologists,Nuclear Medicine Technologist
29-2034.00,Radiologic Technologists and Technicians,Radiologic Technologists and Technician
29-2034.00,Radiologic Technologists and Technicians,Radiologic Technologists and
29-2034.00,Radiologic Technologists and Technicians,Radiologic Technologists & Technicians
29-2035.00,Magnetic Resonance Imaging Technologists,Magnetic Resonance Imaging Technologist
29-2036.00,Medical Dosimetrists,Medical Dosimetrist
29-2042.00,Emergency Medical Technicians,Emergency Medical Technician
29-2042.00,Emergency Medical Technicians,Emergency Medical
29-2043.00,Paramedics,Paramedic
29-2051.00,Dietetic Technicians,Dietetic Technician
29-2051.00,Dietetic Technicians,Dietetic
29-2052.00,Pharmacy Technicians,Pharmacy
29-2052.00,Pharmacy Technicians,Pharmacy Technician
29-2053.00,Psychiatric Technicians,Psychiatric
29-2053.00,Psychiatric Technicians,Psychiatric Technician
29-2055.00,Surgical Technologists,Surgical Technologist
29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists & Technicians
29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and Technician
29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and
29-2057.00,Ophthalmic Medical Technicians,Ophthalmic Medical
29-2057.00,Ophthalmic Medical Technicians,Ophthalmic Medical Technician
29-2061.00,Licensed Practical and Licensed Vocational Nurses,nurse
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical & Licensed Vocational Nurses
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurse
29-2072.00,Medical Records Specialists,Medical Records Specialist
29-2072.00,Medical Records Specialists,Medical Records
29-2091.00,Orthotists and Prosthetists,Orthotists and Prosthetist
29-2091.00,Orthotists and Prosthetists,Orthotists & Prosthetists
29-2092.00,Hearing Aid Specialists,Hearing Aid
29-2092.00,Hearing Aid Specialists,Hearing Aid Specialist
29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists & Technicians, All Other"
29-2099.01,Neurodiagnostic Technologists,Neurodiagnostic Technologist
29-2099.05,Ophthalmic Medical Technologists,Ophthalmic Medical Technologist
29-2099.08,Patient Representatives,Patient Representative
29-9021.00,Health Information Technologists and Medical Registrars,Health Information Technologists and Medical Registrar
29-9021.00,Health Information Technologists and Medical Registrars,Health Information Technologists & Medical Registrars
29-9091.00,Athletic Trainers,Athletic Trainer
29-9092.00,Genetic Counselors,Genetic Counselor
29-9093.00,Surgical Assistants,Surgical Assistant
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners & Technical Workers, All Other"
29-9099.01,Midwives,Midwive
31-1121.00,Home Health Aides,Home Health Aide
31-1122.00,Personal Care Aides,Personal Care Aide
31-1131.00,Nursing Assistants,Nursing Assistant
31-1132.00,Orderlies,Orderly
31-1133.00,Psychiatric Aides,Psychiatric Aide
31-2011.00,Occupational Therapy Assistants,Occupational Therapy Assistant
31-2012.00,Occupational Therapy Aides,Occupational Therapy Aide
31-2021.00,Physical Therapist Assistants,Physical Therapist Assistant
31-2022.00,Physical Therapist Aides,Physical Therapist Aide
31-9011.00,Massage Therapists,Massage Therapist
31-9091.00,Dental Assistants,Dental Assistant
31-9092.00,Medical Assistants,Medical Assistant
31-9093.00,Medical Equipment Preparers,Medical Equipment Preparer
31-9094.00,Medical Transcriptionists,Medical Transcriptionist
31-9095.00,Pharmacy Aides,Pharmacy Aide
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretaker
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants & Laboratory Animal Caretakers
31-9097.00,Phlebotomists,Phlebotomist
31-9099.01,Speech-Language Pathology Assistants,Speech-Language Pathology Assistant
31-9099.02,Endoscopy Technicians,Endoscopy Technician
31-9099.02,Endoscopy Technicians,Endoscopy
33-1011.00,First-Line Supervisors of Correctional Officers,First-Line Supervisors of Correctional Officer
33-1011.00,First-Line Supervisors of Correctional Officers,First-Line Supervisors of Correctional
33-1012.00,First-Line Supervisors of Police and Detectives,First-Line Supervisors of Police and Detective
33-1012.00,First-Line Supervisors of Police and Detectives,First-Line Supervisors of Police & Detectives
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,First-Line Supervisors of Firefighting and Prevention Worker
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,First-Line Supervisors of Firefighting & Prevention Workers
33-1091.00,First-Line Supervisors of Security Workers,First-Line Supervisors of Security Worker
33-2011.00,Firefighters,Firefighter
33-2021.00,Fire Inspectors and Investigators,Fire Inspectors & Investigators
33-2021.00,Fire Inspectors and Investigators,Fire Inspectors and Investigator
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention Specialist
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors and Prevention
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Forest Fire Inspectors & Prevention Specialists
33-3011.00,Bailiffs,Bailiff
33-3012.00,Correctional Officers and Jailers,Correctional Officers and Jailer
33-3012.00,Correctional Officers and Jailers,Correctional Officers & Jailers
33-3021.00,Detectives and Criminal Investigators,Detectives and Criminal Investigator
33-3021.00,Detectives and Criminal Investigators,Detectives & Criminal Investigators
33-3021.02,Police Identification and Records Officers,Police Identification & Records Officers
33-3021.02,Police Identification and Records Officers,Police Identification and Records Officer
33-3021.02,Police Identification and Records Officers,Police Identification and Records
33-3021.06,Intelligence Analysts,Intelligence Analyst
33-3021.06,Intelligence Analysts,analysis job
33-3031.00,Fish and Game Wardens,Fish and Game Warden
33-3031.00,Fish and Game Wardens,Fish & Game Wardens
33-3041.00,Parking Enforcement Workers,Parking Enforcement Worker
33-3051.00,Police and Sheriff's Patrol Officers,Police and Sheriff's Patrol
33-3051.00,Police and Sheriff's Patrol Officers,Police & Sheriff's Patrol Officers
33-3051.00,Police and Sheriff's Patrol Officers,Police and Sheriff's Patrol Officer
33-3051.04,Customs and Border Protection Officers,Customs & Border Protection Officers
33-3051.04,Customs and Border Protection Officers,Customs and Border Protection Officer
33-3051.04,Customs and Border Protection Officers,Customs and Border Protection
33-3052.00,Transit and Railroad Police,Transit & Railroad Police
33-9011.00,Animal Control Workers,Animal Control Worker
33-9021.00,Private Detectives and Investigators,Private Detectives and Investigator
33-9021.00,Private Detectives and Investigators,Private Detectives & Investigators
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,Gambling Surveillance Officers and Gambling Investigator
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,Gambling Surveillance Officers & Gambling Investigators
33-9032.00,Security Guards,Security Guard
