O*NET-SOC Code,Title,cognitive_complexity_avg,creativity_avg,data_structure_avg,decision_accountability_avg,physical_requirements_avg,routine_structure_avg,social_interactions_avg,weighted_average_Gemini_v1_non_overlap
11-3051.02,Geothermal Production Managers,2.6973517241379312,3.01706,2.654510559006211,1.016254285714285,3.0585918367346947,3.2885714285714287,2.139563003663003,2.6616757548666796
11-3051.03,Biofuels Production Managers,2.8039812807881774,3.112414285714286,2.413593788819876,1.1032314285714286,2.9711140816326522,3.4114285714285715,2.2160289377289377,2.699499023904453
11-3051.04,Biomass Power Plant Managers,2.7163793103448284,3.1156742857142854,2.5900739130434784,1.0826399999999992,2.9318757142857135,3.3899999999999997,2.2764575091575097,2.7013294142296984
11-3051.06,Hydroelectric Production Managers,2.644722660098522,3.009105714285714,2.556353416149068,1.0114685714285714,3.004837959183673,3.1614285714285715,2.163702197802198,2.6124231927489947
11-3061.00,Purchasing Managers,2.8052157635467982,2.9516,2.379242857142857,1.6060400000000001,3.646907346938775,3.1571428571428575,1.9915194139194141,2.7392432358036056
11-3071.00,"Transportation, Storage, and Distribution Managers",2.857320197044335,3.126145714285714,2.368293788819875,1.4253242857142858,3.360128775510204,3.1314285714285717,2.143991575091575,2.728785461028905
11-3071.04,Supply Chain Managers,2.756181280788178,3.067371428571428,2.4077708074534168,1.4742614285714288,3.540976734693878,3.052857142857143,2.0037498168498167,2.704016541309408
11-3111.00,Compensation and Benefits Managers,2.9159453201970447,3.271588571428571,2.2474347826086953,1.5993142857142857,3.773008163265306,3.0542857142857143,2.2291564102564103,2.8239868194615405
11-3121.00,Human Resources Managers,2.663249753694581,2.988377142857143,2.449239130434783,1.358994285714286,3.659421428571429,2.9642857142857144,1.6669780219780206,2.6203844365372255
11-3131.00,Training and Development Managers,2.698224630541872,2.8654428571428574,2.4046633540372673,1.7911657142857145,3.717044081632653,2.585714285714286,1.9460190476190475,2.62073535651562
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.7572463054187186,3.0343885714285714,2.2220254658385095,1.3691071428571426,2.870420204081632,2.892857142857143,2.4318252747252744,2.601766742789123
11-9021.00,Construction Managers,2.538482266009852,2.99302,2.6351981366459625,1.3355699999999997,2.9755163265306117,3.19,1.9938402930402934,2.6102056465017096
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.806514285714286,3.146502857142857,2.1662186335403733,1.1741199999999994,3.5461151020408157,2.954285714285714,1.9495029304029305,2.6421862825063136
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.454965024630542,2.8143485714285714,2.603798136645963,1.2781242857142856,3.5620712244897956,2.1542857142857144,1.4543769230769228,2.361913646637043
11-9033.00,"Education Administrators, Postsecondary",2.6534571428571434,2.9337628571428573,2.37576149068323,1.2987028571428576,3.6973210204081637,2.687142857142857,2.0056846153846166,2.598408851580097
11-9041.00,Architectural and Engineering Managers,2.5361334975369463,2.34312,2.5339807453416143,1.436044285714285,3.522071836734694,2.867142857142857,2.081561538461539,2.542864105444138
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.690243842364532,2.736877142857143,2.5929310559006207,1.4084357142857145,3.2838887755102038,2.912857142857143,2.4053597069597075,2.6501635257438
11-9051.00,Food Service Managers,3.0487423645320195,3.3910485714285716,2.119976397515528,1.4418542857142862,3.3472165306122443,2.9171428571428573,2.20799304029304,2.738861715781434
11-9071.00,Gambling Managers,2.8790610837438426,3.4231028571428572,2.169457763975155,1.3221557142857145,3.51245612244898,3.1685714285714286,2.090702197802197,2.7686739727110545
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.9382330049261087,3.070665714285714,2.108195652173913,1.4105214285714283,3.349014489795919,2.4685714285714284,2.022416483516484,2.5526354476674538
11-9081.00,Lodging Managers,2.8574832512315274,3.094365714285714,2.221275155279503,1.1825471428571426,3.5769487755102043,3.3314285714285705,1.8275091575091578,2.710113978879869
11-9111.00,Medical and Health Services Managers,2.7002123152709365,3.088914285714286,2.697445962732919,1.5517271428571435,3.6196616326530613,3.2899999999999996,1.7743699633699634,2.7603910401102434
11-9121.00,Natural Sciences Managers,2.503725615763547,2.88932,2.6559428571428576,1.3384942857142859,3.5079922448979586,2.7985714285714285,2.1593970695970697,2.6182232395387866
11-9121.01,Clinical Research Coordinators,2.7486748768472906,3.3917085714285715,2.2844900621118005,1.8749342857142852,3.5875267346938777,2.935714285714286,2.4707227106227108,2.8328802259643338
11-9121.02,Water Resource Specialists,2.656014778325123,2.8670428571428572,2.51668198757764,1.5680428571428564,3.5016912244897958,2.5585714285714283,2.316660073260073,2.6213981101690127
11-9131.00,Postmasters and Mail Superintendents,2.9537773399014777,3.3318085714285717,2.299983229813665,1.3926057142857138,3.4743442857142863,3.4042857142857144,1.9286824175824182,2.803407929461094
11-9141.00,"Property, Real Estate, and Community Association Managers",2.9893591133004933,3.4089285714285715,2.0916099378881983,1.5826985714285713,3.5766891836734693,2.7985714285714285,2.1097732600732595,2.7398576559173318
11-9151.00,Social and Community Service Managers,2.7505512315270937,3.061317142857143,2.2805248447204964,1.342917142857142,3.616530612244898,2.744285714285714,1.960346153846154,2.6195131126862
11-9161.00,Emergency Management Directors,2.598267980295567,2.885637142857143,2.5648204968944097,1.435854285714286,3.386603673469387,2.6185714285714288,1.7862919413919411,2.5223018746772614
11-9171.00,Funeral Home Managers,3.0125275862068963,3.163417142857143,2.3405068322981366,1.2965185714285719,3.1114299999999995,3.132857142857143,1.8754234432234438,2.6646936947872213
11-9179.01,Fitness and Wellness Coordinators,2.897668472906404,3.05422,2.010980745341614,1.8388742857142861,3.415895306122449,2.5414285714285714,2.120213919413919,2.6164708721577203
11-9179.02,Spa Managers,2.9256812807881776,3.157768571428571,2.378693167701864,1.455441428571428,3.5711730612244894,2.81,2.035034432234432,2.69886206147868
11-9199.01,Regulatory Affairs Managers,2.8271768472906404,3.2509428571428574,2.450833540372671,1.6835200000000001,3.7596473469387757,2.912857142857143,2.2691805860805854,2.8120489282266248
11-9199.02,Compliance Managers,2.8311413793103446,3.2883685714285713,2.4542732919254657,1.348692857142857,3.5582381632653064,3.0614285714285714,2.1021307692307687,2.7595641616777953
11-9199.08,Loss Prevention Managers,2.8268822660098523,3.144148571428571,2.3974999999999995,1.323594285714286,3.4076393877551014,2.852857142857143,2.0121981684981685,2.651311116196611
11-9199.09,Wind Energy Operations Managers,2.747237438423645,2.8289999999999997,2.5403546583850933,1.036067142857143,2.7890567346938777,3.021428571428572,2.0189318681318684,2.5195618005973466
11-9199.10,Wind Energy Development Managers,2.7875305418719214,3.237562857142857,2.3912037267080746,1.6953200000000002,3.5761404081632655,2.4857142857142853,2.255410256410256,2.6842918393519097
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.628907389162562,3.0900342857142857,2.4772695652173913,1.7125085714285708,3.4793665306122445,2.5885714285714285,2.296266666666666,2.660878330202246
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.0321517241379317,3.1224028571428573,1.7162850931677018,1.8052871428571429,3.769071224489796,2.9442857142857144,2.4054329670329677,2.7903731823801605
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.0888586206896553,3.2976628571428575,2.1487173913043476,1.4126585714285715,3.5117677551020403,3.204285714285714,2.382311721611722,2.839084882312376
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.018694581280788,3.389605714285714,2.104695652173913,1.6262371428571427,3.5776238775510203,3.1457142857142855,2.4354809523809524,2.865446905470734
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.8373256157635462,3.2721742857142857,2.457680745341615,1.6692228571428571,3.6583281632653057,3.244285714285714,2.1507366300366297,2.849332207322555
13-1031.00,"Claims Adjusters, Examiners, and Investigators",2.840824137931034,3.5422457142857144,2.2665813664596275,1.7242671428571428,3.6321336734693874,3.54,2.3685014652014647,2.964640599564817
13-1032.00,"Insurance Appraisers, Auto Damage",3.1011389162561582,3.557174285714286,2.18718447204969,1.8429085714285716,3.2690463265306127,3.447142857142857,2.463774725274726,2.9511080138427648
13-1041.00,Compliance Officers,3.0522650246305414,3.50924,2.1721329192546586,2.0560199999999997,3.255103061224489,3.205714285714286,2.396205860805861,2.8958802410674567
13-1041.01,Environmental Compliance Inspectors,2.6479714285714286,3.404982857142857,2.299594409937888,2.1461514285714287,3.213903265306122,2.557142857142857,2.4204369963369965,2.7090973373831133
13-1041.03,Equal Opportunity Representatives and Officers,2.7410852216748776,3.332382857142857,2.3291968944099377,1.8050557142857144,3.689552857142857,2.7942857142857145,2.219920512820513,2.769723621043874
13-1041.04,Government Property Inspectors and Investigators,2.7071911330049265,3.3547085714285716,2.391685714285714,1.6173028571428576,3.250547142857143,2.9657142857142853,2.2815802197802197,2.7331457743463434
13-1041.06,Coroners,2.714697536945813,3.2532142857142854,2.354931055900621,1.3243414285714286,2.84475306122449,2.9142857142857146,1.9639520146520146,2.5672769260848387
13-1041.07,Regulatory Affairs Specialists,2.800520197044335,3.4013028571428574,2.255155279503106,1.9734442857142858,3.737602448979592,2.8785714285714286,2.3441978021978014,2.8411177380407127
13-1041.08,Customs Brokers,2.9603270935960597,3.4279,2.197852173913043,1.8982285714285716,3.688397959183674,3.7428571428571433,2.3476908424908434,3.021826887396177
13-1051.00,Cost Estimators,2.7760911330049263,3.2460714285714287,2.370892546583851,1.9613742857142857,3.718447755102041,2.8385714285714285,2.5648556776556775,2.8467608680942105
13-1071.00,Human Resources Specialists,3.0191463054187193,3.4382685714285715,2.005742236024845,1.5854342857142854,3.668724693877551,3.201428571428571,2.2142479853479853,2.8504614998705513
13-1074.00,Farm Labor Contractors,3.455808866995074,3.8385714285714285,1.5857577639751554,1.5532514285714294,3.246863469387755,3.37,2.8165043956043956,2.9915631433384564
13-1075.00,Labor Relations Specialists,2.86173842364532,3.175045714285714,2.021577639751553,1.7244071428571432,3.6864069387755105,2.5057142857142862,2.1822498168498172,2.6615574694371813
13-1081.00,Logisticians,2.7596379310344825,3.1213971428571425,2.372747204968944,1.6926485714285717,3.5154042857142853,3.1614285714285715,2.138101831501831,2.7690064705916275
13-1081.01,Logistics Engineers,2.52606157635468,2.6550657142857146,2.616549068322982,1.585552857142857,3.4327977551020403,2.871428571428571,2.329195238095238,2.6359639494079494
13-1081.02,Logistics Analysts,2.7980133004926113,3.14404,2.368270186335404,1.8470171428571431,3.5300679591836737,3.317142857142857,2.425433333333333,2.8695904932992686
13-1111.00,Management Analysts,2.7443236453201973,2.89806,2.509201242236025,1.4319514285714283,3.651723673469388,2.871428571428571,2.0048230769230773,2.663240540723359
13-1121.00,"Meeting, Convention, and Event Planners",2.8367123152709364,2.927082857142857,2.3080913043478266,1.5245599999999997,3.38615306122449,3.1942857142857144,1.9679450549450541,2.689806266579426
13-1131.00,Fundraisers,2.930783251231527,2.954942857142857,2.096965838509317,1.6622999999999997,3.6788242857142857,2.73,2.0024893772893777,2.6569825495576387
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.9677778325123154,3.3543771428571425,2.1594931677018634,1.9183214285714287,3.719647959183673,3.0628571428571427,2.5193747252747247,2.904529537172936
13-1151.00,Training and Development Specialists,2.836010837438424,2.9764028571428573,2.1894745341614907,1.831508571428572,3.6467724489795916,2.457142857142857,2.0651934065934063,2.6221838145107195
13-1161.00,Market Research Analysts and Marketing Specialists,2.701859113300492,2.9546685714285714,2.4065105590062115,1.7672871428571435,3.749062653061224,2.9185714285714286,2.336709523809524,2.7624390351405927
13-1161.01,Search Marketing Strategists,2.8613472906403943,2.8841457142857148,2.250386335403727,1.8856885714285716,3.793795918367347,2.7642857142857147,2.6123824175824173,2.789215334671754
13-1199.04,Business Continuity Planners,2.6283354679802957,3.025528571428571,2.4154490683229812,1.755767142857143,3.750042040816326,2.5485714285714285,2.3673135531135525,2.69251885183311
13-1199.05,Sustainability Specialists,2.878057142857143,3.036148571428572,2.3197422360248443,1.913284285714285,3.632431224489796,2.4614285714285713,2.263237362637362,2.6870695116715586
13-1199.06,Online Merchants,3.146956157635468,3.3510742857142857,2.1563024844720493,1.7169285714285714,3.661957959183674,3.115714285714286,2.6312018315018313,2.929144497838208
13-1199.07,Security Management Specialists,2.7473576354679805,2.731945714285714,2.56115900621118,1.4527657142857135,3.3423700000000007,2.6585714285714284,2.0386893772893777,2.562161166820436
13-2011.00,Accountants and Auditors,2.8326906403940884,3.393382857142857,2.3299279503105588,1.69767,3.714471632653061,3.2671428571428573,2.391764102564103,2.906034751372744
13-2022.00,Appraisers of Personal and Business Property,2.943185221674877,3.4896085714285716,2.4134670807453413,1.7713657142857144,3.4703787755102047,2.892857142857143,2.681238095238095,2.8847163076522966
13-2023.00,Appraisers and Assessors of Real Estate,3.1066798029556657,3.58918,2.1821888198757757,2.1994257142857143,3.4534234693877552,3.0471428571428567,2.8264421245421247,2.9939488343775524
13-2031.00,Budget Analysts,2.8909566502463058,3.4002742857142856,2.154946583850931,1.4714228571428571,3.7216557142857143,3.281428571428571,2.7129347985348,2.927795875702259
13-2041.00,Credit Analysts,2.9210497536945814,3.5716771428571428,2.063667701863354,2.2231071428571427,3.755564897959183,3.2071428571428564,2.8063824175824172,3.0283071877146197
13-2052.00,Personal Financial Advisors,2.8118142857142865,3.3216114285714284,2.29207453416149,1.6668914285714287,3.8052879591836732,2.9071428571428575,2.419102564102564,2.8309976033376563
13-2053.00,Insurance Underwriters,3.053637438423645,3.513362857142857,2.065295031055901,1.945427142857143,3.736715102040817,3.281428571428571,2.6079483516483513,2.994107494065369
13-2061.00,Financial Examiners,2.6470591133004926,3.4961257142857143,2.359316770186335,1.925585714285714,3.7370467346938776,2.7157142857142853,2.3219582417582414,2.8019615761958105
13-2071.00,Credit Counselors,2.976133497536946,3.368445714285714,1.90049751552795,2.038774285714285,3.741307142857143,3.262857142857143,2.5213527472527466,2.937584473985534
13-2072.00,Loan Officers,3.0262561576354683,3.518777142857143,2.0953180124223603,1.5538442857142853,3.6369587755102044,3.3242857142857143,2.365885714285714,2.9119550412140867
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",2.9161285714285716,3.577928571428571,2.0945403726708074,1.9363399999999995,3.689657755102041,3.2085714285714286,2.4523619047619043,2.9402138433895297
13-2082.00,Tax Preparers,3.0409014778325125,3.5215714285714284,2.074298757763975,2.2030342857142853,3.754454693877551,3.372857142857143,2.740869963369963,3.0609743674669727
13-2099.01,Financial Quantitative Analysts,2.6864995073891627,2.9947314285714293,2.260325465838509,1.8309600000000001,3.793133673469388,3.1271428571428572,2.6454769230769237,2.852533347888458
13-2099.04,"Fraud Examiners, Investigators and Analysts",2.79016354679803,3.323897142857143,2.3291962732919256,1.5030742857142863,3.564895510204081,3.2257142857142855,2.234097069597069,2.815327903461927
15-1211.00,Computer Systems Analysts,2.7772477832512314,2.956814285714286,2.4823422360248446,1.7034942857142852,3.58929,3.3928571428571432,2.6534457875457873,2.893674759222037
15-1211.01,Health Informatics Specialists,2.6139532019704435,2.5264828571428573,2.6040304347826084,1.5990899999999995,3.6374542857142855,3.0185714285714282,2.153534065934066,2.6637399908067945
15-1212.00,Information Security Analysts,2.8406354679802956,3.1387171428571428,2.4344776397515524,1.9144885714285715,3.5677059183673467,2.8971428571428572,2.6805238095238098,2.8484625433558732
15-1221.00,Computer and Information Research Scientists,2.5778221674876844,2.390765714285714,2.713313043478261,1.7687842857142861,3.6726626530612245,2.8000000000000003,2.53881978021978,2.6852202801774148
15-1231.00,Computer Network Support Specialists,2.969329556650247,3.1686685714285714,2.141927950310559,1.8600842857142852,3.410217959183673,3.197142857142857,2.673219413919414,2.8728451202083423
15-1232.00,Computer User Support Specialists,2.9792783251231527,3.205665714285714,2.2749534161490685,1.5553114285714287,3.4812100000000004,3.0528571428571425,2.6122915750915743,2.835364755218544
15-1241.00,Computer Network Architects,2.719875862068965,2.8899657142857142,2.5869720496894413,1.7969999999999997,3.474192653061224,3.042857142857143,2.579589743589743,2.7965122294912197
15-1241.01,Telecommunications Engineering Specialists,2.9159147783251234,2.8859114285714282,2.3845981366459625,1.7940442857142864,3.360986122448979,2.8514285714285714,2.4668300366300366,2.7325963114180745
15-1242.00,Database Administrators,2.8130773399014783,3.0845457142857144,2.3793782608695646,1.6184399999999997,3.6753061224489794,3.03,2.7410201465201456,2.852874224560404
15-1243.00,Database Architects,2.8389014778325126,2.788751428571429,2.533614906832298,1.7648157142857137,3.744967551020408,3.0614285714285714,2.5865868131868126,2.83600986698919
15-1243.01,Data Warehousing Specialists,2.9351881773399016,3.009594285714286,2.33581801242236,2.1972500000000004,3.7514181632653063,2.942857142857143,2.7858948717948713,2.9141925545308194
15-1244.00,Network and Computer Systems Administrators,2.772366502463054,2.9519285714285717,2.3943776397515526,2.0109914285714283,3.4295865306122444,3.0314285714285716,2.787831135531135,2.8380795321232632
15-1251.00,Computer Programmers,2.9558665024630546,2.9158142857142857,2.5220795031055903,2.3257214285714287,3.715212448979592,3.0942857142857143,2.8166930402930404,2.9641751776423404
15-1252.00,Software Developers,2.920871428571429,2.7726314285714286,2.258306832298137,1.9930342857142858,3.773212244897959,2.9142857142857146,3.0015186813186814,2.87822632216231
15-1253.00,Software Quality Assurance Analysts and Testers,2.837284236453202,3.114942857142857,2.462626708074535,2.04863,3.6924202040816327,3.325714285714286,2.6791970695970693,2.964845183041525
15-1254.00,Web Developers,2.885675862068966,2.872171428571429,2.2603739130434777,1.9193100000000003,3.695909795918367,3.3328571428571427,2.774413553113553,2.918765415826624
15-1255.01,Video Game Designers,2.8663482758620686,2.3243742857142857,2.1985229813664597,2.008722857142857,3.6998281632653063,3.1285714285714286,2.6867091575091573,2.78302785191784
15-1299.01,Web Administrators,2.8921694581280795,2.941445714285714,2.3002919254658387,1.8772942857142856,3.6726375510204083,3.135714285714286,2.5989032967032974,2.8606748812814944
15-1299.02,Geographic Information Systems Technologists and Technicians,2.9331211822660097,3.150022857142857,2.282406832298137,2.055884285714286,3.6020993877551026,3.3471428571428574,2.704044688644689,2.9616509006011125
15-1299.03,Document Management Specialists,2.9439940886699505,3.34712,2.2506677018633536,2.07287,3.6711785714285714,3.0371428571428574,2.5259476190476198,2.913018383486828
15-1299.05,Information Security Engineers,2.874852216748769,3.0657085714285714,2.5105795031055904,1.8321028571428566,3.6695812244897956,3.191428571428571,2.4965080586080584,2.888551461001838
15-1299.08,Computer Systems Engineers/Architects,2.744928571428572,2.805414285714286,2.5252577639751554,1.6902999999999997,3.5017708163265304,3.2642857142857147,2.5969326007326012,2.8217698603849573
15-1299.09,Information Technology Project Managers,2.6728211822660097,2.8983428571428567,2.729211801242236,1.4663957142857145,3.6396867346938775,3.134285714285714,1.9179732600732597,2.7157414995363385
15-2011.00,Actuaries,2.564426108374384,3.2300657142857143,2.4503155279503104,1.8786714285714288,3.7780699999999996,2.892857142857143,2.539520879120879,2.8282825294907488
15-2021.00,Mathematicians,2.3355226600985217,2.544588571428571,2.079550931677019,2.135964285714286,3.7861771428571425,2.6271428571428572,2.77157326007326,2.662659338336326
15-2031.00,Operations Research Analysts,2.5364768472906407,2.8260514285714287,2.465729813664596,1.8590799999999996,3.7386808163265304,2.6900000000000004,2.5885256410256408,2.723941191348596
15-2041.00,Statisticians,2.5084270935960595,3.022762857142857,2.4566521739130427,1.8863028571428568,3.7536695918367347,2.7814285714285716,2.5646725274725273,2.768011027898531
15-2041.01,Biostatisticians,2.4232985221674883,3.0726685714285713,2.1390708074534155,1.958052857142857,3.7644583673469385,2.777142857142857,2.538486080586081,2.7349776691175607
15-2051.01,Business Intelligence Analysts,2.8062320197044337,3.1234514285714288,2.248700621118012,2.0066028571428567,3.7952418367346934,2.955714285714286,2.6630608058608063,2.874871118599648
15-2051.02,Clinical Data Managers,2.734687684729064,3.2592142857142856,2.3898726708074536,2.1422428571428567,3.7618914285714284,3.1571428571428575,2.5410336996337,2.929164189020874
15-2099.01,Bioinformatics Technicians,2.768132512315271,2.8752714285714283,2.475167701863354,2.0072771428571428,3.6656332653061225,3.0142857142857147,2.8521076923076927,2.8752733621042696
17-1011.00,"Architects, Except Landscape and Naval",2.495830049261084,2.1144,2.4599012422360245,1.6699285714285717,3.440483673469388,3.011428571428571,2.182625274725275,2.550269545270536
17-1012.00,Landscape Architects,2.7461788177339903,2.2064999999999997,2.2342677018633537,1.8929642857142857,3.5421632653061224,2.6785714285714284,2.3265652014652005,2.5716485771478466
17-1021.00,Cartographers and Photogrammetrists,2.9036778325123156,3.080154285714286,2.201345962732919,2.039968571428571,3.4990114285714293,3.1799999999999997,2.645231868131867,2.879342765655634
17-1022.00,Surveyors,2.6524403940886705,3.0684200000000006,2.3825086956521737,1.5130914285714283,3.0126791836734688,3.2985714285714285,2.3179391941391936,2.7069961139218464
17-1022.01,Geodetic Surveyors,2.5478330049261086,3.1000199999999998,2.493878260869565,1.926195714285714,3.187009387755102,2.9285714285714284,2.63852271062271,2.7487294487254017
17-2011.00,Aerospace Engineers,2.472302955665025,2.2767114285714287,2.676014906832298,1.8220742857142858,3.515642857142857,2.52,2.5121307692307684,2.57032712084617
17-2021.00,Agricultural Engineers,2.558328078817735,2.3277685714285714,2.783326708074534,1.602607142857143,3.177188979591836,2.7642857142857147,2.482023076923077,2.5732468339644936
17-2031.00,Bioengineers and Biomedical Engineers,2.4343285714285714,2.277628571428571,2.72933850931677,1.733072857142857,3.4705891836734697,2.8885714285714283,2.4926219780219783,2.625230668043137
17-2041.00,Chemical Engineers,2.4769866995073886,2.6027914285714284,2.627580745341615,1.4682828571428574,3.3784730612244895,2.712857142857143,2.5601846153846153,2.604923159523064
17-2051.00,Civil Engineers,2.4381354679802962,2.5204771428571435,2.493163354037267,1.6123714285714286,3.4315602040816318,2.9528571428571433,2.2998736263736266,2.604631873026203
17-2051.01,Transportation Engineers,2.5084192118226603,2.562074285714286,2.5057478260869566,1.5362142857142862,3.483243673469387,2.85,2.198084981684981,2.586969534083821
17-2051.02,Water/Wastewater Engineers,2.4705995073891636,2.4268600000000005,2.5216708074534164,1.7352428571428566,3.4780838775510206,2.7085714285714286,2.2962197802197797,2.5681701269479076
17-2061.00,Computer Hardware Engineers,2.660579310344828,2.3394857142857144,2.636591304347826,1.8282399999999996,3.5923999999999996,3.0742857142857143,2.573001098901099,2.736160191821672
17-2071.00,Electrical Engineers,2.5098817733990155,2.3566714285714285,2.5949577639751555,1.3919885714285711,3.3608348979591827,3.255714285714286,2.4606783882783887,2.6530474639144326
17-2072.00,"Electronics Engineers, Except Computer",2.67036551724138,2.30638,2.45759751552795,1.9900414285714283,3.453411224489796,2.38,2.807439926739927,2.606403394680603
17-2072.01,Radio Frequency Identification Device Specialists,2.8964975369458132,2.6710342857142857,2.3743031055900623,1.6167028571428572,3.483070816326531,2.935714285714286,2.4571454212454213,2.7124056624509567
17-2081.00,Environmental Engineers,2.592313300492611,2.5425285714285715,2.59109751552795,1.4788042857142853,3.368798571428571,2.805714285714285,2.2178743589743575,2.576360257615697
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2.8168640394088666,3.0148657142857145,2.451193167701863,1.4729885714285715,3.180645918367347,2.864285714285714,2.2981835164835163,2.6618591950520027
17-2111.02,Fire-Prevention and Protection Engineers,2.5652354679802953,2.4892742857142856,2.6111304347826088,1.6402799999999997,3.440030408163265,2.491428571428571,2.317900366300366,2.545292836987707
17-2112.00,Industrial Engineers,2.7823522167487686,2.7035428571428572,2.303390062111801,1.5333328571428573,3.3637977551020404,2.9057142857142857,2.547149816849817,2.6743415459448454
17-2112.01,Human Factors Engineers and Ergonomists,2.6043502463054193,2.561651428571429,2.5026894409937888,1.594255714285714,3.4495969387755103,2.6614285714285715,2.3621366300366304,2.5886405163670134
17-2112.02,Validation Engineers,2.7013014778325126,3.254588571428571,2.7078006211180123,1.8196014285714286,3.462055510204082,2.934285714285714,2.4596677655677652,2.821239346581027
17-2112.03,Manufacturing Engineers,2.4424876847290644,2.2416685714285713,2.668777018633541,1.600319999999999,3.205442244897959,2.9171428571428573,2.4399831501831497,2.559775520977737
17-2121.00,Marine Engineers and Naval Architects,2.4850103448275864,2.618137142857143,2.4801590062111805,1.7245857142857148,3.0119002040816327,2.927142857142857,2.5697956043956047,2.608629537902556
17-2131.00,Materials Engineers,2.5280743842364535,2.5261257142857145,2.6726360248447203,1.6453357142857143,3.3574620408163263,2.755714285714286,2.380010622710623,2.601690945363268
17-2141.00,Mechanical Engineers,2.5363970443349753,2.1186457142857145,2.4173621118012423,1.6005999999999991,3.431835918367346,2.947142857142857,2.6578446886446887,2.602933287453604
17-2141.01,Fuel Cell Engineers,2.5428098522167493,2.5076714285714288,2.5283801242236024,1.8927757142857145,3.370694081632653,2.667142857142857,2.6049128205128205,2.6294573827195507
17-2141.02,Automotive Engineers,2.5033507389162564,2.326674285714286,2.6444552795031053,1.6635442857142855,3.3561918367346935,2.871428571428571,2.4068076923076913,2.5940393538583923
