Member ID,Country,Full Name,Given Names,Surnames,EU Political Group,National Political Group,Multi-Part Given Name,Multi-Part Surname
197408,Germany,Hildegard BENTELE,Hildegard,BENTELE,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,0,0
197778,Netherlands,Tom BERENDSEN,Tom,BERENDSEN,Group of the European People's Party (Christian Democrats),Christen Democratisch Appèl,0,0
197410,Germany,Stefan BERGER,Stefan,BERGER,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,0,0
256960,Germany,Sibylle BERG,Sibylle,BERG,Non-attached Members,Die PARTEI,0,0
4746,Italy,Sergio BERLATO,Sergio,BERLATO,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
197648,Austria,Alexander BERNHUBER,Alexander,BERNHUBER,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei,0,0
197498,Poland,Robert BIEDROŃ,Robert,BIEDROŃ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nowa Lewica,0,0
23788,Poland,Adam BIELAN,Adam,BIELAN,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,0,0
197435,Germany,Gabriele BISCHOFF,Gabriele,BISCHOFF,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,0,0
257005,Slovakia,Ľuboš BLAHA,Ľuboš,BLAHA,Non-attached Members,SMER-Sociálna demokracia,0,0
96681,Lithuania,Vilija BLINKEVIČIŪTĖ,Vilija,BLINKEVIČIŪTĖ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Lietuvos socialdemokratų partija,0,0
256998,Netherlands,Rachel BLOM,Rachel,BLOM,Patriots for Europe Group,Partij voor de Vrijheid,0,0
197449,Germany,Michael BLOSS,Michael,BLOSS,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,0,0
257073,Poland,Tobiasz BOCHEŃSKI,Tobiasz,BOCHEŃSKI,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,0,0
197439,Germany,Damian BOESELAGER,Damian,BOESELAGER,Group of the Greens/European Free Alliance,Volt,0,0
197636,Romania,Ioan-Rareş BOGDAN,Ioan-Rareş,BOGDAN,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,0,0
257108,Italy,Stefano BONACCINI,Stefano,BONACCINI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,0,0
256881,Belgium,Barbara BONTE,Barbara,BONTE,Patriots for Europe Group,Vlaams Belang,0,0
101039,Italy,Paolo BORCHIA,Paolo,BORCHIA,Patriots for Europe Group,Lega,0,0
257024,Spain,Mireia BORRÁS PABÓN,Mireia,BORRÁS PABÓN,Patriots for Europe Group,VOX,0,1
257457,Hungary,Zsuzsanna BORVENDÉG,Zsuzsanna,BORVENDÉG,Europe of Sovereign Nations Group,Mi Hazánk Mozgalom,0,0
112748,Croatia,Biljana BORZAN,Biljana,BORZAN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socijaldemokratska partija Hrvatske,0,0
256995,Croatia,Gordan BOSANAC,Gordan,BOSANAC,Group of the Greens/European Free Alliance,Možemo!,0,0
256945,Germany,Irmhild BOẞDORF,Irmhild,BOẞDORF,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
257020,Denmark,Stine BOSSE,Stine,BOSSE,Renew Europe Group,Moderaterne,0,0
187917,Belgium,Marc BOTENGA,Marc,BOTENGA,The Left group in the European Parliament - GUE/NGL,PVDA-PTB,0,0
197577,France,Gilles BOYER,Gilles,BOYER,Renew Europe Group,Horizons,0,0
124984,Ireland,Lynn BOYLAN,Lynn,BOYLAN,The Left group in the European Parliament - GUE/NGL,Sinn Féin,0,0
256841,Austria,Helmut BRANDSTÄTTER,Helmut,BRANDSTÄTTER,Renew Europe Group,NEOS – Das Neue Österreich,0,0
256878,France,Marie-Luce BRASIER-CLAIN,Marie-Luce,BRASIER-CLAIN,Patriots for Europe Group,Rassemblement national,0,0
257067,Poland,Grzegorz BRAUN,Grzegorz,BRAUN,Non-attached Members,Konfederacja Korony Polskiej,0,0
251324,Poland,Krzysztof BREJZA,Krzysztof,BREJZA,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,0,0
197470,Belgium,Saskia BRICMONT,Saskia,BRICMONT,Group of the Greens/European Free Alliance,Ecologistes Confédérés pour l'Organisation de Luttes Originales,0,0
204129,Croatia,Nikolina BRNJAC,Nikolina,BRNJAC,Group of the European People's Party (Christian Democrats),Hrvatska demokratska zajednica,0,0
197501,Poland,Joachim Stanisław BRUDZIŃSKI,Joachim Stanisław,BRUDZIŃSKI,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,1,0
257064,Poland,Anna BRYŁKA,Anna,BRYŁKA,Patriots for Europe Group,Konfederacja Wolność i Niepodległość,0,0
128483,Germany,Markus BUCHHEIT,Markus,BUCHHEIT,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
257072,Poland,Tomasz BUCZEK,Tomasz,BUCZEK,Patriots for Europe Group,Konfederacja Wolność i Niepodległość,0,0
125012,Romania,Daniel BUDA,Daniel,BUDA,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,0,0
99878,Poland,Waldemar BUDA,Waldemar,BUDA,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,0,0
257047,Poland,Borys BUDKA,Borys,BUDKA,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,0,0
257081,Portugal,Sebastião BUGALHO,Sebastião,BUGALHO,Group of the European People's Party (Christian Democrats),Partido Social Democrata,0,0
257051,Poland,Andrzej BUŁA,Andrzej,BUŁA,Group of the European People's Party (Christian Democrats),Platforma Obywatelska,0,0
4267,Germany,Udo BULLMANN,Udo,BULLMANN,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,0,0
197440,Germany,Delara BURKHARDT,Delara,BURKHARDT,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,0,0
197829,Spain,Jorge BUXADÉ VILLALBA,Jorge,BUXADÉ VILLALBA,Patriots for Europe Group,VOX,0,1
256928,Germany,Petr BYSTRON,Petr,BYSTRON,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
220840,Czechia,Jaroslav BŽOCH,Jaroslav,BŽOCH,Patriots for Europe Group,ANO 2011,0,0
256915,France,Mélissa CAMARA,Mélissa,CAMARA,Group of the Greens/European Free Alliance,Les Écologistes,0,0
96711,France,Pascal CANFIN,Pascal,CANFIN,Renew Europe Group,Renaissance,0,0
257296,Ireland,Nina CARBERRY,Nina,CARBERRY,Group of the European People's Party (Christian Democrats),Fine Gael Party,0,0
257100,Romania,Gheorghe CÂRCIU,Gheorghe,CÂRCIU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,0,0
197574,France,Damien CARÊME,Damien,CARÊME,The Left group in the European Parliament - GUE/NGL,La France Insoumise,0,0
28122,Malta,David CASA,David,CASA,Group of the European People's Party (Christian Democrats),Partit Nazzjonalista,0,0
28219,Germany,Daniel CASPARY,Daniel,CASPARY,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,0,0
256891,Belgium,Benoit CASSART,Benoit,CASSART,Renew Europe Group,Mouvement Réformateur,0,0
256921,France,Laurent CASTILLO,Laurent,CASTILLO,Patriots for Europe Group,Union des droites pour la République,0,0
28390,Spain,Pilar DEL CASTILLO VERA,Pilar,DEL CASTILLO VERA,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
86793,Germany,Anna CAVAZZINI,Anna,CAVAZZINI,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,0,0
257096,Italy,Stefano CAVEDAGNA,Stefano,CAVEDAGNA,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
197786,Italy,Susanna CECCARDI,Susanna,CECCARDI,Patriots for Europe Group,Lega,0,0
257002,Spain,José CEPEDA,José,CEPEDA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,0,0
256880,Belgium,Estelle CEULEMANS,Estelle,CEULEMANS,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti Socialiste,0,0
197782,Netherlands,Mohammed CHAHIM,Mohammed,CHAHIM,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,GroenLinks-PvdA,0,0
197529,France,Leila CHAIBI,Leila,CHAIBI,The Left group in the European Parliament - GUE/NGL,La France Insoumise,0,0
197463,Belgium,Olivier CHASTEL,Olivier,CHASTEL,Renew Europe Group,Mouvement Réformateur,0,0
124861,Italy,Caterina CHINNICI,Caterina,CHINNICI,Group of the European People's Party (Christian Democrats),Forza Italia,0,0
197558,Denmark,Asger CHRISTENSEN,Asger,CHRISTENSEN,Renew Europe Group,"Venstre, Danmarks Liberale Parti",0,0
257093,Italy,Carlo CICCIOLI,Carlo,CICCIOLI,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
257014,Slovakia,Veronika CIFROVÁ OSTRIHOŇOVÁ,Veronika,CIFROVÁ OSTRIHOŇOVÁ,Renew Europe Group,Progresívne Slovensko,0,1
257147,Italy,Alessandro CIRIANI,Alessandro,CIRIANI,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
257131,Italy,Anna Maria CISINT,Anna Maria,CISINT,Patriots for Europe Group,Lega,1,0
257023,Denmark,Per CLAUSEN,Per,CLAUSEN,The Left group in the European Parliament - GUE/NGL,Enhedslisten,0,0
245018,France,Christophe CLERGEAU,Christophe,CLERGEAU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste,0,0
197503,France,David CORMAND,David,CORMAND,Group of the Greens/European Free Alliance,Les Écologistes,0,0
257169,Italy,Annalisa CORRADO,Annalisa,CORRADO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,0,0
256937,Germany,Vivien COSTANZO,Vivien,COSTANZO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,0,0
257057,Portugal,João COTRIM DE FIGUEIREDO,João,COTRIM DE FIGUEIREDO,Renew Europe Group,Iniciativa Liberal,0,1
257297,Ireland,Barry COWEN,Barry,COWEN,Renew Europe Group,Fianna Fáil Party,0,0
256938,Germany,Tobias CREMER,Tobias,CREMER,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,0,0
257034,Spain,Carmen CRESPO DÍAZ,Carmen,CRESPO DÍAZ,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
40224,Romania,Andi CRISTEA,Andi,CRISTEA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,0,0
257094,Italy,Giovanni CROSETTO,Giovanni,CROSETTO,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
257078,Portugal,Paulo CUNHA,Paulo,CUNHA,Group of the European People's Party (Christian Democrats),Partido Social Democrata,0,0
257028,Denmark,Henrik DAHL,Henrik,DAHL,Group of the European People's Party (Christian Democrats),Liberal Alliance,0,0
38542,Sweden,Johan DANIELSSON,Johan,DANIELSSON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,0,0
236050,France,Marie DAUCHY,Marie,DAUCHY,Patriots for Europe Group,Rassemblement national,0,0
256862,Hungary,Dóra DÁVID,Dóra,DÁVID,Group of the European People's Party (Christian Democrats),Tisztelet és Szabadság Párt,0,0
197556,Czechia,Ivan DAVID,Ivan,DAVID,Europe of Sovereign Nations Group,Svoboda a přímá demokracie,0,0
257122,Italy,Antonio DECARO,Antonio,DECARO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico,0,0
197504,France,Jérémy DECERLE,Jérémy,DECERLE,Renew Europe Group,Renaissance,0,0
257030,Spain,Raúl DE LA HOZ QUINTANO,Raúl,DE LA HOZ QUINTANO,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
257155,Italy,Danilo DELLA VALLE,Danilo,DELLA VALLE,The Left group in the European Parliament - GUE/NGL,Movimento 5 Stelle,0,1
256886,France,Valérie DELOGE,Valérie,DELOGE,Patriots for Europe Group,Rassemblement national,0,0
124858,Germany,Fabio DE MASI,Fabio,DE MASI,Non-attached Members,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,0,1
204333,Italy,Salvatore DE MEO,Salvatore,DE MEO,Group of the European People's Party (Christian Democrats),Forza Italia,0,1
197468,Germany,Özlem DEMIREL,Özlem,DEMIREL,The Left group in the European Parliament - GUE/NGL,DIE LINKE.,0,0
96826,Hungary,Tamás DEUTSCH,Tamás,DEUTSCH,Patriots for Europe Group,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,0,0
256870,France,Valérie DEVAUX,Valérie,DEVAUX,Renew Europe Group,Union des démocrates et indépendants,0,0
257087,Sweden,Adnan DIBRANI,Adnan,DIBRANI,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,0,0
256981,Netherlands,Ton DIEPEVEEN,Ton,DIEPEVEEN,Patriots for Europe Group,Partij voor de Vrijheid,0,0
256834,Austria,Elisabeth DIERINGER,Elisabeth,DIERINGER,Patriots for Europe Group,Freiheitliche Partei Österreichs,0,0
33998,Romania,Vasile DÎNCU,Vasile,DÎNCU,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,0,0
1294,Belgium,Elio DI RUPO,Elio,DI RUPO,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti Socialiste,0,1
256874,France,Mélanie DISDIER,Mélanie,DISDIER,Patriots for Europe Group,Rassemblement national,0,0
197579,Hungary,Klára DOBREV,Klára,DOBREV,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció,0,0
257237,Ireland,Regina DOHERTY,Regina,DOHERTY,Group of the European People's Party (Christian Democrats),Fine Gael Party,0,0
197473,Germany,Christian DOLESCHAL,Christian,DOLESCHAL,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,0,0
260724,Hungary,Csaba DÖMÖTÖR,Csaba,DÖMÖTÖR,Patriots for Europe Group,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,0,0
257048,Portugal,Paulo DO NASCIMENTO CABRAL,Paulo,DO NASCIMENTO CABRAL,Group of the European People's Party (Christian Democrats),Aliança Democrática,0,1
257095,Italy,Elena DONAZZAN,Elena,DONAZZAN,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
96787,Italy,Herbert DORFMANN,Herbert,DORFMANN,Group of the European People's Party (Christian Democrats),Südtiroler Volkspartei,0,0
256853,Czechia,Klara DOSTALOVA,Klara,DOSTALOVA,Patriots for Europe Group,ANO 2011,0,0
256851,Czechia,Ondřej DOSTÁL,Ondřej,DOSTÁL,Non-attached Members,Independent,0,0
256949,Germany,Siegbert Frank DROESE,Siegbert Frank,DROESE,Europe of Sovereign Nations Group,Alternative für Deutschland,1,0
99945,Germany,Lena DÜPONT,Lena,DÜPONT,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,0,0
257076,Poland,Michał DWORCZYK,Michał,DWORCZYK,European Conservatives and Reformists Group,Prawo i Sprawiedliwość,0,0
237465,Germany,Matthias ECKE,Matthias,ECKE,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,0,0
28226,Germany,Christian EHLER,Christian,EHLER,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,0,0
192254,Netherlands,Marieke EHLERS,Marieke,EHLERS,Patriots for Europe Group,Partij voor de Vrijheid,0,0
96725,Netherlands,Bas EICKHOUT,Bas,EICKHOUT,Group of the Greens/European Free Alliance,GroenLinks-PvdA,0,0
257088,Sweden,Sofie ERIKSSON,Sofie,ERIKSSON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,0,0
257091,Sweden,Dick ERIXON,Dick,ERIXON,European Conservatives and Reformists Group,Sverigedemokraterna,0,0
197430,Germany,Engin EROGLU,Engin,EROGLU,Renew Europe Group,Freie Wähler,0,0
96811,Spain,Rosa ESTARÀS FERRAGUT,Rosa,ESTARÀS FERRAGUT,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
256961,Germany,Sebastian EVERDING,Sebastian,EVERDING,The Left group in the European Parliament - GUE/NGL,Partei Mensch Umwelt Tierschutz,0,0
257035,Spain,Alma EZCURRA ALMANSA,Alma,EZCURRA ALMANSA,Group of the European People's Party (Christian Democrats),Partido Popular,0,1
197649,Romania,Gheorghe FALCĂ,Gheorghe,FALCĂ,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal,0,0
257137,Italy,Marco FALCONE,Marco,FALCONE,Group of the European People's Party (Christian Democrats),Forza Italia,0,0
256823,Greece,Nikolas FARANTOURIS,Nikolas,FARANTOURIS,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left,0,0
197589,France,Laurence FARRENG,Laurence,FARRENG,Renew Europe Group,Mouvement Démocrate,0,0
256840,Czechia,Jan FARSKÝ,Jan,FARSKÝ,Group of the European People's Party (Christian Democrats),Starostové a nezávisli,0,0
1917,Germany,Markus FERBER,Markus,FERBER,Group of the European People's Party (Christian Democrats),Christlich-Soziale Union in Bayern e.V.,0,0
256857,Hungary,Viktória FERENC,Viktória,FERENC,Patriots for Europe Group,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,0,0
125046,Spain,Jonás FERNÁNDEZ,Jonás,FERNÁNDEZ,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español,0,0
96810,Italy,Carlo FIDANZA,Carlo,FIDANZA,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
197607,Italy,Pietro FIOCCHI,Pietro,FIOCCHI,European Conservatives and Reformists Group,FRATELLI D' ITALIA,0,0
257098,Romania,Gabriela FIREA,Gabriela,FIREA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat,0,0
25758,Germany,Ruth FIRMENICH,Ruth,FIRMENICH,Non-attached Members,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,0,0
256906,France,Claire FITA,Claire,FITA,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste,0,0
124985,Ireland,Luke Ming FLANAGAN,Luke Ming,FLANAGAN,The Left group in the European Parliament - GUE/NGL,Independent,1,0
197414,Cyprus,Loucas FOURLAS,Loucas,FOURLAS,Group of the European People's Party (Christian Democrats),Democratic Rally,0,0
256913,France,Emma FOURREAU,Emma,FOURREAU,The Left group in the European Parliament - GUE/NGL,La France Insoumise,0,0
198490,Greece,Emmanouil FRAGKOS,Emmanouil,FRAGKOS,European Conservatives and Reformists Group,Elliniki Lusi-Greek Solution,0,0
257066,Portugal,André FRANQUEIRA RODRIGUES,André,FRANQUEIRA RODRIGUES,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista,0,1
106936,Germany,Daniel FREUND,Daniel,FREUND,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,0,0
256876,France,Anne-Sophie FRIGOUT,Anne-Sophie,FRIGOUT,Patriots for Europe Group,Rassemblement national,0,0
257038,Denmark,Sigrid FRIIS,Sigrid,FRIIS,Renew Europe Group,Det Radikale Venstre,0,0
197391,Sweden,Heléne FRITZON,Heléne,FRITZON,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Arbetarepartiet- Socialdemokraterna,0,0
190574,Germany,Tomasz FROELICH,Tomasz,FROELICH,Europe of Sovereign Nations Group,Alternative für Deutschland,0,0
101585,Denmark,Niels FUGLSANG,Niels,FUGLSANG,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,0,0
257299,Ireland,Kathleen FUNCHION,Kathleen,FUNCHION,The Left group in the European Parliament - GUE/NGL,Sinn Féin,0,0
256896,France,Angéline FURET,Angéline,FURET,Patriots for Europe Group,Rassemblement national,0,0
197795,Italy,Mario FURORE,Mario,FURORE,The Left group in the European Parliament - GUE/NGL,Movimento 5 Stelle,0,0
2341,Germany,Michael GAHLER,Michael,GAHLER,Group of the European People's Party (Christian Democrats),Christlich Demokratische Union Deutschlands,0,0
28150,Hungary,Kinga GÁL,Kinga,GÁL,Patriots for Europe Group,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,0,0
