O*NET-SOC Code,Title,Conflict Situations,Contact With Others,Coordinate or Lead Others in Accomplishing Work Activities,Deal With External Customers or the Public in General,"Dealing With Unpleasant, Angry, or Discourteous People",Dealing with Violent or Physically Aggressive People,Face-to-Face Discussions with Individuals and Within Teams,Public Speaking,Work With or Contribute to a Work Group or Team,"Communicating with Supervisors, Peers, or Subordinates Combined",Instructing Combined,Performing for or Working Directly with the Public Combined,Negotiation Combined,Coaching and Developing Others Combined,Training and Teaching Others Combined,Resolving Conflicts and Negotiating with Others Combined,Social Perceptiveness Combined,Developing and Building Teams Combined,Communicating with People Outside the Organization Combined,Service Orientation Combined,Persuasion Combined
11-3021.00,Computer and Information Systems Managers,3.3,4.58,4.55,3.02,2.95,1.09,4.63,2.08,4.75,3.5200000000000005,2.1750857142857143,1.1758857142857142,1.9285714285714288,2.9714285714285715,2.2005714285714286,2.6714285714285717,2.4035714285714285,3.139428571428572,1.9737142857142855,1.837942857142857,2.06
11-3031.00,Financial Managers,3.09,4.19,3.82,3.34,2.65,1.36,4.91,2.65,4.77,3.277257142857143,1.9077714285714285,2.205214285714286,2.1357142857142857,3.135257142857143,2.3659428571428576,2.1902285714285714,2.4035714285714285,2.2698285714285715,2.3534571428571427,2.354914285714286,2.275
11-3031.01,Treasurers and Controllers,3.12,4.52,4.21,3.04,2.44,1.12,4.92,2.48,4.44,4.001828571428572,1.837942857142857,1.233142857142857,1.9449142857142856,3.057142857142857,2.28,2.771428571428572,2.096342857142857,2.902857142857143,3.643885714285715,1.6875,2.071428571428571
11-3031.03,Investment Fund Managers,2.9,4.23,3.43,3.25,2.62,1.14,4.77,2.69,3.99,3.265342857142857,1.822857142857143,1.2520857142857142,2.0,2.176685714285714,2.221,1.7498,1.9657142857142855,2.0193571428571437,3.253942857142857,1.8057142857142856,2.06
11-3051.00,Industrial Production Managers,3.18,4.69,4.14,2.88,3.0,1.44,4.79,2.79,4.52,3.132742857142857,2.096342857142857,1.3857142857142857,2.205357142857143,2.7315428571428573,2.3020428571428573,2.591542857142857,2.3857142857142857,2.432628571428572,2.116914285714285,1.8914285714285717,2.096342857142857
11-3051.01,Quality Control Systems Managers,3.58,4.83,4.45,3.57,2.99,1.42,4.76,2.76,4.8,3.996571428571428,2.1635714285714283,1.1242,1.8914285714285717,2.800342857142857,2.890885714285714,2.722785714285714,2.205357142857143,2.6416000000000004,2.677,1.9285714285714288,2.125
11-3051.02,Geothermal Production Managers,3.43,4.47,4.02,3.54,2.57,1.4,4.96,3.12,4.67,3.820657142857143,2.125,1.2262857142857142,1.9657142857142855,2.7745,2.667828571428571,2.7352,2.2928571428571427,3.155428571428572,2.806228571428571,1.8057142857142856,1.9657142857142855
11-3051.03,Biofuels Production Managers,3.43,4.64,3.85,3.64,2.93,1.31,4.93,2.54,4.76,3.362285714285714,2.1635714285714283,1.221,1.9285714285714288,2.8683428571428573,2.6874,2.644685714285714,2.275,2.724285714285714,2.0767857142857142,2.044642857142857,2.023657142857143
11-3051.04,Biomass Power Plant Managers,2.95,4.43,4.16,3.6,2.58,1.56,4.85,3.01,4.67,2.9687714285714284,2.125,1.1234714285714285,1.7734857142857143,3.2345714285714284,2.4763,2.5036571428571426,2.1635714285714283,3.0993142857142857,1.8320714285714288,1.6875,1.9285714285714288
11-3051.06,Hydroelectric Production Managers,3.13,4.41,3.98,3.6,2.67,1.27,4.81,2.71,4.42,3.520514285714285,2.3192,1.7963714285714287,2.1635714285714283,2.7952000000000004,2.5361714285714285,3.153785714285714,2.1635714285714283,2.7081142857142857,2.274442857142857,2.1492,2.19
11-3061.00,Purchasing Managers,3.32,4.58,4.0,4.16,2.95,1.53,4.61,2.79,4.53,3.758442857142857,2.3192,2.015814285714286,2.645714285714285,3.1918285714285712,2.826014285714286,3.318,2.645714285714285,2.761428571428572,3.4030857142857145,2.3857142857142857,2.542057142857143
11-3071.00,"Transportation, Storage, and Distribution Managers",3.63,4.62,3.92,3.72,3.35,1.64,4.79,2.62,4.44,3.464642857142857,2.265085714285714,1.746371428571429,2.354914285714286,2.8005714285714287,2.543628571428571,3.0333714285714284,2.086428571428572,2.885714285714286,2.9924,2.0028571428571427,2.2928571428571427
11-3071.04,Supply Chain Managers,3.81,4.57,4.1,3.71,3.35,1.3,4.9,2.76,4.6,3.621914285714286,1.9842857142857144,1.516,2.4732142857142856,3.224285714285714,2.752,3.408571428571429,2.524285714285714,3.402357142857143,2.9719999999999995,1.9449142857142856,2.354914285714286
11-3111.00,Compensation and Benefits Managers,3.1,4.43,3.71,3.1,3.29,1.24,4.74,2.48,4.19,3.838685714285715,1.8914285714285717,1.0781714285714286,1.9842857142857144,2.682142857142857,2.2954,3.092714285714285,2.3857142857142857,2.3885714285714283,3.1800571428571427,1.9449142857142856,1.9657142857142855
11-3121.00,Human Resources Managers,4.05,4.68,3.86,3.5,3.64,2.05,4.81,2.77,4.5,4.271742857142858,2.645714285714285,1.984,2.645714285714285,3.632285714285714,3.366057142857143,4.367657142857144,2.765714285714286,3.5332857142857144,3.0224285714285712,2.524285714285714,2.524285714285714
11-3131.00,Training and Development Managers,2.86,4.5,4.25,2.21,2.5,1.14,4.78,3.32,4.93,4.519285714285715,3.0357142857142856,1.092142857142857,1.8571428571428568,3.9124571428571424,4.587528571428571,2.810014285714286,2.5428571428571427,3.5258000000000003,2.205357142857143,2.4035714285714285,2.4035714285714285
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.61,4.27,4.02,3.28,2.22,1.16,4.83,1.93,4.45,2.9069714285714285,1.837942857142857,1.924342857142857,2.096342857142857,2.3068,2.2789714285714284,2.466742857142857,2.2308,2.0048000000000004,2.486628571428572,1.837942857142857,2.1357142857142857
11-9021.00,Construction Managers,3.2,4.6,4.15,3.9,2.75,1.79,4.68,3.15,4.6,3.4528571428571437,1.9842857142857144,1.822857142857143,2.596342857142857,3.0439285714285718,3.052857142857143,3.128214285714286,2.3857142857142857,3.031428571428572,3.047857142857143,1.872228571428572,2.1750857142857143
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.69,4.98,4.35,3.77,3.22,1.65,4.88,2.2,4.54,3.3807142857142853,2.596342857142857,3.050428571428571,2.354914285714286,3.0178857142857143,3.1744000000000003,3.112342857142857,2.596342857142857,2.6014285714285714,3.2050000000000005,2.645714285714285,2.19
11-9032.00,"Education Administrators, Kindergarten through Secondary",3.81,4.87,4.46,4.14,3.36,2.18,4.76,3.48,4.9,4.201571428571429,2.765714285714286,3.1201428571428567,2.7142857142857144,4.0445714285714285,4.112942857142857,3.702857142857143,3.205357142857143,3.5948,4.0358,2.748571428571428,2.6185714285714288
11-9033.00,"Education Administrators, Postsecondary",3.18,4.51,4.19,3.64,2.98,1.28,4.77,3.21,4.46,3.744142857142857,2.7142857142857144,1.8469285714285717,2.4035714285714285,3.032,2.4722,3.0042285714285715,2.571428571428571,2.8944,2.8915,2.3857142857142857,2.4035714285714285
11-9041.00,Architectural and Engineering Managers,3.29,4.54,4.21,4.21,2.6,1.13,4.88,2.97,4.88,3.628,2.205357142857143,1.5410285714285714,2.1750857142857143,3.090057142857143,2.948885714285714,2.669714285714286,2.2928571428571427,2.5675428571428576,3.7342,2.044642857142857,2.1357142857142857
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.75,4.08,3.97,2.69,2.55,1.32,4.83,2.63,4.52,3.5256000000000003,1.9285714285714288,1.3342857142857143,1.9077714285714285,2.078042857142857,2.2128000000000005,2.0307142857142857,1.837942857142857,2.8656,2.701171428571429,1.7734857142857143,1.9657142857142855
11-9051.00,Food Service Managers,3.63,4.84,4.51,4.51,3.69,1.71,4.93,2.59,4.96,2.5857142857142854,1.9085714285714288,2.311242857142857,2.06,3.013371428571429,2.458,2.4695714285714283,2.4522285714285714,2.3450571428571427,1.962742857142857,2.4732142857142856,1.8914285714285717
11-9071.00,Gambling Managers,3.93,4.78,4.63,4.67,3.94,1.9,4.89,2.72,4.77,3.2397142857142853,2.2928571428571427,3.2196571428571428,2.125,2.752685714285714,2.452,3.142,2.571428571428571,2.2406571428571427,1.7819285714285713,2.4732142857142856,2.2928571428571427
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",2.96,4.57,4.02,4.81,2.94,1.66,4.63,3.81,4.78,3.5480285714285715,2.2928571428571427,3.0475,1.9842857142857144,2.8942,3.0678857142857145,3.056785714285714,2.4732142857142856,2.6633714285714287,3.2906714285714287,2.4732142857142856,2.096342857142857
11-9081.00,Lodging Managers,3.72,4.89,4.51,4.49,3.57,1.6,4.83,3.67,4.8,3.4141285714285714,2.4732142857142856,3.2390857142857143,2.645714285714285,2.9371142857142853,3.0821,3.234757142857143,2.662857142857143,2.4703,3.121714285714286,2.8363428571428573,2.571428571428571
11-9111.00,Medical and Health Services Managers,3.71,4.82,3.96,4.07,3.39,2.11,4.61,2.96,4.86,3.8832571428571434,2.596342857142857,2.2182142857142857,2.44,3.82,3.3104714285714287,3.485085714285714,2.7142857142857144,3.140357142857143,2.824,2.4732142857142856,2.645714285714285
11-9121.00,Natural Sciences Managers,2.28,4.05,4.07,3.54,2.32,1.23,4.84,2.91,4.68,3.868342857142856,2.2471428571428573,1.3716428571428572,1.9449142857142856,2.8358000000000003,2.5016142857142856,2.0872571428571427,2.3192,2.9581,3.1547857142857145,1.822857142857143,2.205357142857143
11-9121.01,Clinical Research Coordinators,2.57,4.63,4.12,3.36,2.32,1.09,4.86,2.16,4.42,3.088157142857143,1.9085714285714288,2.0780000000000003,1.9077714285714285,1.9685714285714289,2.2990285714285714,1.527057142857143,2.4035714285714285,1.5678,2.1380285714285714,2.071428571428571,1.9285714285714288
11-9121.02,Water Resource Specialists,2.86,4.05,3.57,3.59,2.35,1.32,4.65,2.68,4.47,3.22,1.9285714285714288,2.113671428571428,1.8571428571428568,2.6273142857142853,2.3054,2.2241428571428568,2.0342857142857143,2.6835,3.1794571428571428,1.8571428571428568,2.06
11-9131.00,Postmasters and Mail Superintendents,4.15,4.96,4.59,4.54,4.28,2.04,4.92,3.79,4.66,3.6224857142857134,2.044642857142857,2.3179142857142856,2.216428571428572,3.0917285714285714,2.3841142857142854,3.6257,2.5,2.657857142857143,2.501028571428572,2.0608,2.125
11-9141.00,"Property, Real Estate, and Community Association Managers",3.6,4.7,3.8,4.1,3.7,1.9,4.84,2.5,4.15,3.345,1.78,2.309285714285714,2.3392857142857144,2.626428571428572,2.58,3.132571428571429,2.086428571428572,2.607142857142857,2.992857142857143,1.8571428571428568,2.125
11-9151.00,Social and Community Service Managers,3.51,4.67,4.23,4.11,3.77,2.11,4.88,2.98,4.71,3.711428571428572,2.3857142857142857,2.5990857142857147,2.205357142857143,2.3124571428571428,2.4126857142857143,2.9301142857142857,2.98,2.592914285714285,3.0703714285714288,2.7142857142857144,2.205357142857143
11-9161.00,Emergency Management Directors,3.09,4.41,4.05,4.14,2.64,1.77,4.52,2.91,4.41,3.75,2.6185714285714288,3.3902,2.19,2.9851,3.1728571428571426,3.200528571428572,2.765714285714286,3.5382,3.737457142857143,3.4375,2.4971428571428573
11-9171.00,Funeral Home Managers,3.28,4.85,4.27,4.72,3.2,2.1,4.75,3.62,4.79,3.447742857142857,1.8571428571428568,4.172771428571428,1.9842857142857144,2.8702428571428573,2.963857142857143,2.8850714285714285,2.5428571428571427,2.3877999999999995,3.477128571428571,2.7142857142857144,2.06
11-9179.01,Fitness and Wellness Coordinators,3.42,4.6,3.88,3.85,3.08,1.5,4.84,3.23,4.56,3.5488,2.19,2.2060571428571425,1.8914285714285717,3.3370285714285712,3.1149142857142853,2.4190000000000005,2.4732142857142856,2.48,2.7055285714285717,2.375,2.0
11-9179.02,Spa Managers,3.14,5.0,4.43,4.62,3.19,1.15,4.97,1.88,4.83,3.4480857142857144,2.1607142857142856,3.274014285714286,2.086428571428572,3.0394,2.188,3.134428571428572,2.645714285714285,2.7696,2.407342857142857,2.4893714285714283,2.4732142857142856
11-9199.01,Regulatory Affairs Managers,2.96,4.17,4.04,2.3,2.36,1.13,4.59,2.43,4.65,3.9137857142857135,1.9642857142857144,1.1408571428571428,1.8571428571428568,2.6128,2.5336,2.8468,2.1635714285714283,2.4142857142857146,3.9721428571428574,1.8057142857142856,1.8571428571428568
11-9199.02,Compliance Managers,3.43,4.66,4.13,3.93,3.19,2.2,4.78,2.87,4.76,3.981314285714286,2.275,2.200614285714286,1.9449142857142856,2.696,2.902857142857143,3.04,2.2928571428571427,2.4091428571428573,3.0672,1.822857142857143,2.4035714285714285
11-9199.08,Loss Prevention Managers,3.95,4.82,3.65,4.0,3.48,2.77,4.67,2.95,4.4,3.6852,2.596342857142857,1.7813285714285714,2.2071428571428573,2.9722857142857144,3.0412000000000003,3.1164,2.4035714285714285,2.577085714285714,2.907142857142857,2.4035714285714285,2.524285714285714
11-9199.09,Wind Energy Operations Managers,3.14,4.52,4.1,3.13,2.36,1.23,4.99,3.3,4.57,3.6904,2.096342857142857,2.1375,2.1750857142857143,3.6782857142857135,2.9555285714285717,3.0690285714285714,2.571428571428571,3.105742857142857,2.64,1.837942857142857,2.4035714285714285
11-9199.10,Wind Energy Development Managers,3.09,4.0,3.77,3.79,2.47,1.16,4.2,2.75,4.35,3.4837857142857143,1.8728571428571428,2.78,2.275,1.7634285714285711,1.7968142857142857,2.9417714285714283,2.2928571428571427,2.894685714285714,3.965028571428571,1.837942857142857,2.205357142857143
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.59,4.32,3.68,3.95,2.05,1.18,4.35,2.32,4.09,3.4141142857142857,1.8914285714285717,2.6506,2.3392857142857144,1.9169,1.7359428571428572,2.8687571428571426,2.0028571428571427,2.600342857142857,3.716328571428572,1.8057142857142856,2.06
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",3.33,4.88,3.59,2.91,3.03,1.22,4.55,2.0,4.17,2.6709428571428573,1.7734857142857143,1.6017142857142856,2.7142857142857144,1.5861142857142858,1.1926428571428571,2.790228571428571,2.44,1.6834285714285713,3.081857142857143,1.9657142857142855,2.765714285714286
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.2,4.79,3.83,4.17,2.71,1.22,4.98,2.01,4.63,2.997742857142857,1.6171428571428572,2.0354,2.2308,1.9787857142857144,2.287,2.5366857142857144,1.9449142857142856,2.1632285714285717,3.0104571428571427,1.7485714285714289,2.275
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.4,4.83,3.7,3.83,3.2,1.3,4.76,2.4,4.27,3.1453714285714285,1.8914285714285717,1.4501428571428572,2.7142857142857144,1.9356142857142855,1.649,2.6411285714285717,2.125,1.7110714285714286,2.669914285714285,1.9449142857142856,2.571428571428571
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.9,4.53,3.89,4.15,3.0,1.5,4.53,3.0,4.32,3.565,2.044642857142857,2.1,2.912857142857143,2.9607857142857146,2.5404285714285715,3.2500714285714283,2.1635714285714283,2.455857142857143,3.552928571428571,1.9842857142857144,2.571428571428571
13-1031.00,"Claims Adjusters, Examiners, and Investigators",4.03,4.67,3.18,4.43,4.13,1.39,4.29,1.76,3.87,3.0569714285714285,1.6171428571428572,2.3915714285714285,1.9842857142857144,1.4902,1.7574999999999998,3.4252,2.1492,1.7271999999999998,3.454857142857143,1.9085714285714288,1.8057142857142856
13-1032.00,"Insurance Appraisers, Auto Damage",3.87,4.96,2.97,4.92,3.6,1.78,4.29,1.77,3.77,2.9588,1.3571428571428572,3.5473428571428567,1.7734857142857143,1.4191,1.9202,3.221371428571429,1.8571428571428568,1.5239,2.755742857142857,1.8571428571428568,1.7734857142857143
13-1041.00,Compliance Officers,3.57,4.79,3.56,4.75,4.04,2.45,4.49,2.4,4.4,2.895771428571429,1.7734857142857143,3.1068,1.9449142857142856,1.8056857142857143,1.6424714285714286,2.3405714285714287,2.2071428571428573,1.6574285714285717,3.0087714285714284,1.9449142857142856,2.0028571428571427
13-1041.01,Environmental Compliance Inspectors,3.0,4.45,3.3,4.25,2.8,1.42,4.65,2.15,4.0,3.3071428571428574,1.8914285714285717,2.77,1.8057142857142856,1.977142857142857,2.185,2.464285714285714,2.086428571428572,1.9114285714285717,3.037142857142857,1.7734857142857143,1.7200000000000002
13-1041.03,Equal Opportunity Representatives and Officers,3.68,4.43,3.24,3.97,3.46,1.94,4.6,2.56,3.69,3.764928571428572,1.9077714285714285,2.941942857142857,2.0342857142857143,1.7042285714285716,2.047428571428572,3.7734,2.765714285714286,1.8040857142857143,3.421342857142857,2.023657142857143,2.2857142857142856
13-1041.04,Government Property Inspectors and Investigators,3.98,4.75,3.96,4.44,3.6,2.22,4.59,1.94,4.36,3.2722857142857142,1.9842857142857144,2.620514285714286,1.9285714285714288,1.6632571428571428,1.598,2.920228571428571,2.105,1.8416571428571429,3.4575142857142858,1.9449142857142856,2.0
13-1041.06,Coroners,3.55,4.75,3.85,4.85,4.05,2.85,4.78,3.25,4.25,3.758928571428572,1.8914285714285717,3.55,1.6364285714285711,2.9131428571428573,3.069642857142857,2.893214285714285,2.4522285714285714,2.1246428571428573,3.946071428571429,1.9449142857142856,1.6364285714285711
13-1041.07,Regulatory Affairs Specialists,2.85,4.2,3.55,2.5,2.35,1.26,4.42,2.4,4.45,3.5875000000000004,1.8571428571428568,1.1067857142857145,1.9842857142857144,2.186071428571428,2.333928571428572,2.9131428571428573,2.105,2.5664285714285717,3.4514285714285715,1.8571428571428568,2.071428571428571
13-1041.08,Customs Brokers,3.25,4.7,3.35,3.85,3.5,1.4,4.72,2.3,4.2,3.245371428571429,1.8571428571428568,1.6155142857142857,1.8914285714285717,2.3091428571428567,2.514828571428572,2.2559142857142858,1.8571428571428568,2.139685714285714,3.1988000000000003,1.9642857142857144,1.8057142857142856
13-1051.00,Cost Estimators,2.45,3.68,3.43,2.77,2.14,1.18,4.45,2.73,4.14,3.270314285714285,1.6875,1.124342857142857,1.9285714285714288,2.378914285714286,2.113671428571428,2.025142857142857,1.9085714285714288,2.331714285714286,2.7451,1.7200000000000002,2.0
13-1071.00,Human Resources Specialists,3.93,4.77,4.06,3.71,3.39,2.19,4.92,3.33,4.72,3.2116857142857147,1.9449142857142856,1.8714857142857144,1.8571428571428568,2.4267571428571437,2.274742857142857,3.034828571428572,2.3192,2.0248,2.270157142857143,2.105,1.8057142857142856
13-1074.00,Farm Labor Contractors,2.93,4.49,4.42,2.59,2.76,1.38,4.55,2.04,3.68,1.6340714285714286,1.6665142857142858,1.2816,1.75,1.6185142857142858,1.8021857142857145,1.6373714285714285,1.8571428571428568,1.361042857142857,1.1022,1.6063428571428573,1.6665142857142858
13-1075.00,Labor Relations Specialists,4.0,4.48,3.11,2.9,3.58,1.9,4.53,2.57,4.05,3.258571428571428,1.822857142857143,1.8087142857142855,2.9522285714285714,2.1567857142857143,2.1713,4.127028571428571,2.571428571428571,2.460828571428572,2.5708,2.2308,2.8020571428571426
13-1081.00,Logisticians,3.08,4.54,3.71,3.96,3.0,1.5,4.61,2.42,4.58,3.4037714285714284,1.9085714285714288,1.550028571428571,2.125,2.669314285714286,2.436914285714286,2.762885714285714,2.354914285714286,3.0064,3.1750857142857143,2.086428571428572,2.1635714285714283
13-1081.01,Logistics Engineers,3.27,4.39,3.83,3.52,2.87,1.91,4.43,2.7,4.3,3.407742857142857,1.9285714285714288,1.2837714285714286,1.8057142857142856,2.4427000000000003,2.297142857142857,2.3732999999999995,1.9657142857142855,2.4219,2.916314285714286,1.8571428571428568,1.8914285714285717
13-1081.02,Logistics Analysts,3.23,4.59,3.64,3.41,3.0,1.55,4.27,2.5,4.32,3.2896,1.7734857142857143,1.281742857142857,1.7734857142857143,2.4132571428571428,2.2425,2.3603,1.8571428571428568,2.118785714285714,3.1410285714285715,1.822857142857143,1.7734857142857143
13-1111.00,Management Analysts,2.95,4.25,4.11,3.62,2.79,1.5,4.74,2.76,4.35,3.998214285714286,2.125,1.9445714285714284,1.9449142857142856,2.9714285714285715,2.932,3.2293571428571437,2.645714285714285,2.856,3.6973,2.044642857142857,2.3857142857142857
13-1121.00,"Meeting, Convention, and Event Planners",3.53,4.91,4.63,4.7,3.1,1.11,4.91,1.81,4.81,3.3817857142857144,1.8914285714285717,3.5813428571428574,2.2308,2.789542857142857,2.331714285714286,3.4894857142857143,2.5428571428571427,2.7952000000000004,3.711557142857143,2.596342857142857,2.25
13-1131.00,Fundraisers,2.71,4.62,3.81,4.67,2.52,1.1,5.0,3.14,4.4,3.187428571428572,1.8571428571428568,2.9131428571428573,2.596342857142857,2.992714285714285,2.36,2.749,2.4522285714285714,2.786428571428571,4.0528,2.1607142857142856,2.877142857142857
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.71,4.38,3.14,3.05,2.81,1.1,4.57,2.29,4.14,3.365157142857143,1.8057142857142856,1.2985714285714285,1.8914285714285717,1.8610428571428568,1.8658571428571429,2.370728571428572,2.0342857142857143,1.9905142857142857,2.814571428571428,1.8571428571428568,1.9657142857142855
13-1151.00,Training and Development Specialists,3.22,4.57,3.65,3.13,2.65,1.52,4.43,3.83,4.27,4.073657142857144,2.989371428571429,1.8103428571428573,1.9449142857142856,3.4608571428571424,3.861100000000001,2.410642857142857,2.7142857142857144,2.4538857142857142,2.626442857142857,2.4035714285714285,2.023657142857143
13-1161.00,Market Research Analysts and Marketing Specialists,2.7,4.22,3.52,3.57,2.48,1.13,4.22,2.65,4.0,3.2821857142857143,1.75,1.8202857142857145,1.6364285714285711,2.2085714285714286,1.9202285714285716,2.069242857142857,2.023657142857143,2.2992142857142857,3.6818,1.7734857142857143,1.9842857142857144
13-1161.01,Search Marketing Strategists,2.35,3.57,3.0,2.09,2.09,1.0,4.0,2.13,3.65,3.192142857142857,1.9449142857142856,1.1392857142857142,1.8914285714285717,2.117142857142857,2.228857142857142,1.951028571428572,1.9285714285714288,1.8828571428571428,3.0016,1.8571428571428568,2.1635714285714283
13-1199.04,Business Continuity Planners,2.57,4.35,3.95,2.78,2.1,1.22,3.9,2.48,4.36,3.8704,2.1635714285714283,1.1608,1.9449142857142856,2.493542857142857,2.8571714285714283,2.285642857142857,2.2308,2.4948,2.1433714285714287,1.9842857142857144,2.06
13-1199.05,Sustainability Specialists,3.0,4.17,3.96,3.22,2.43,1.17,4.59,2.77,4.39,3.9937,1.8571428571428568,1.9643857142857144,1.8571428571428568,2.281257142857143,2.932485714285715,2.4049428571428573,1.9842857142857144,2.770942857142857,3.528628571428572,1.8057142857142856,1.9842857142857144
13-1199.06,Online Merchants,2.92,4.46,3.72,4.16,3.2,1.15,4.5,1.58,3.98,2.3195,1.467857142857143,1.937442857142857,1.9449142857142856,1.4585142857142857,1.6696,2.021114285714286,1.8328571428571427,1.3790285714285715,2.562742857142857,2.105,2.0608
13-1199.07,Security Management Specialists,3.2,4.3,3.84,3.95,3.0,2.5,4.56,2.95,4.05,3.513714285714286,2.1492,2.4174285714285717,1.9449142857142856,2.895142857142857,2.865185714285714,3.086071428571429,2.25,2.6696428571428568,3.536428571428571,2.19,2.275
13-2011.00,Accountants and Auditors,2.75,4.55,3.47,3.77,2.44,1.04,4.7,2.0,4.21,3.481942857142857,1.75,1.5193142857142856,1.7734857142857143,2.436114285714286,2.6424571428571437,2.298,2.023657142857143,2.478285714285714,2.684,2.023657142857143,1.9285714285714288
13-2022.00,Appraisers of Personal and Business Property,2.35,4.09,2.91,3.59,2.35,1.3,3.86,1.91,2.95,2.371085714285714,1.4464285714285716,1.950057142857143,1.7036571428571428,1.8973428571428568,1.9744,1.8509285714285717,1.8057142857142856,1.8361571428571424,2.9493714285714283,1.8057142857142856,1.837942857142857
13-2023.00,Appraisers and Assessors of Real Estate,2.5,3.96,2.04,3.17,2.35,1.25,4.19,1.46,2.61,2.2824,1.6171428571428572,1.7157142857142855,1.6665142857142858,1.7428857142857144,1.8513714285714284,1.6465285714285711,1.7200000000000002,1.3342857142857143,2.6706571428571424,1.7200000000000002,1.7200000000000002
13-2031.00,Budget Analysts,3.01,4.42,4.45,4.08,2.26,1.0,4.33,1.86,4.68,3.3902,1.6063428571428573,1.2178714285714285,1.6364285714285711,1.3744,1.3968,1.6026428571428573,1.8571428571428568,1.4021714285714284,1.914057142857143,1.5892857142857142,1.6665142857142858
