O*NET-SOC Code,Title,Consequence of Error,Freedom to Make Decisions,Frequency of Decision Making,Health and Safety of Other Workers,Impact of Decisions on Co-workers or Company Results,Importance of Being Exact or Accurate,Evaluating Information to Determine Compliance with Standards Combined,Judgment and Decision Making Combined
11-3111.00,Compensation and Benefits Managers,2.62,4.33,3.86,2.76,3.86,4.1,3.115,2.645714285714285
11-3121.00,Human Resources Managers,2.95,4.27,4.14,3.5,4.05,4.09,3.6566,2.821428571428571
11-3131.00,Training and Development Managers,1.68,4.36,3.14,2.32,3.14,3.43,2.644342857142857,2.4522285714285714
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.04,4.55,3.54,4.22,4.09,3.49,2.2300857142857144,2.3392857142857144
11-9021.00,Construction Managers,3.5,4.2,4.1,4.3,4.15,4.05,3.2354285714285718,2.9522285714285714
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",3.85,4.38,4.48,4.52,4.14,4.05,2.9057000000000004,2.596342857142857
11-9032.00,"Education Administrators, Kindergarten through Secondary",1.92,4.14,3.92,3.85,3.9,3.47,2.347914285714286,3.4564285714285714
11-9033.00,"Education Administrators, Postsecondary",2.35,4.63,4.47,2.71,4.54,4.13,3.209942857142857,2.645714285714285
11-9041.00,Architectural and Engineering Managers,2.52,4.53,3.99,3.22,4.15,3.99,3.7165142857142857,2.748571428571428
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.82,4.46,3.98,3.4,3.79,4.13,2.6669714285714288,2.4522285714285714
11-9051.00,Food Service Managers,2.83,4.19,4.57,4.24,4.55,4.13,2.3029,1.9085714285714288
11-9071.00,Gambling Managers,3.54,4.27,4.65,4.25,4.38,4.48,2.882457142857143,2.422142857142857
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",3.21,4.37,3.83,4.16,3.95,3.46,1.5655714285714286,2.31
11-9081.00,Lodging Managers,2.6,4.52,4.55,4.2,4.52,4.14,2.185714285714285,2.4732142857142856
11-9111.00,Medical and Health Services Managers,2.41,3.89,3.74,3.54,3.52,4.36,3.493171428571429,2.7142857142857144
11-9121.00,Natural Sciences Managers,3.12,4.13,3.25,3.89,4.03,4.44,3.0988,2.6185714285714288
11-9121.01,Clinical Research Coordinators,2.68,4.21,3.52,2.98,3.71,4.56,2.9888,2.354914285714286
11-9121.02,Water Resource Specialists,2.19,4.14,3.52,3.41,3.59,3.95,3.164285714285714,2.596342857142857
11-9131.00,Postmasters and Mail Superintendents,2.42,3.97,4.5,4.68,4.16,4.17,2.703742857142857,2.0028571428571427
11-9141.00,"Property, Real Estate, and Community Association Managers",2.6,4.25,3.95,3.3,4.05,3.9,2.3668571428571425,2.023657142857143
11-9151.00,Social and Community Service Managers,2.92,4.35,4.26,3.73,4.41,4.2,2.6633142857142857,2.6950857142857143
11-9161.00,Emergency Management Directors,2.68,4.36,3.33,4.14,3.55,3.73,2.7703,2.821428571428571
11-9171.00,Funeral Home Managers,3.72,4.53,4.64,3.65,4.29,4.56,3.0662857142857143,2.1142857142857143
11-9179.01,Fitness and Wellness Coordinators,2.04,4.5,3.2,3.85,3.04,3.0,1.9802857142857144,2.0028571428571427
11-9179.02,Spa Managers,2.13,4.33,4.73,3.94,4.63,4.01,2.9103142857142856,2.2767857142857144
11-9199.01,Regulatory Affairs Managers,2.91,3.96,3.61,1.91,4.04,4.35,4.133257142857143,2.571428571428571
11-9199.02,Compliance Managers,3.07,4.28,4.08,4.0,4.26,4.63,3.9459857142857135,2.3857142857142857
11-9199.08,Loss Prevention Managers,2.82,4.36,4.09,4.64,4.18,3.91,2.9175714285714283,2.645714285714285
11-9199.09,Wind Energy Operations Managers,4.39,4.57,4.39,4.88,4.39,3.89,3.2327714285714286,2.2308
11-9199.10,Wind Energy Development Managers,2.35,4.43,3.6,2.46,3.84,3.59,3.154285714285714,2.31
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.23,3.77,3.32,3.41,3.73,3.73,3.34,2.7142857142857144
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2.78,4.22,4.59,1.5,4.13,4.43,1.4462857142857142,2.1357142857142857
13-1021.00,"Buyers and Purchasing Agents, Farm Products",3.68,4.6,4.63,2.99,4.46,4.39,2.4623142857142857,2.1492
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3.15,4.4,4.45,2.38,4.24,4.02,1.6945714285714286,2.275
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.74,4.05,4.05,2.55,4.05,4.4,3.200357142857143,2.596342857142857
13-1031.00,"Claims Adjusters, Examiners, and Investigators",2.71,4.51,4.86,1.92,4.52,4.61,2.7670000000000003,2.4732142857142856
13-1032.00,"Insurance Appraisers, Auto Damage",2.65,4.45,4.8,1.39,4.48,4.41,2.4823000000000004,1.9449142857142856
13-1041.00,Compliance Officers,3.51,3.68,3.73,2.29,3.57,4.46,3.3981285714285714,2.216428571428572
13-1041.01,Environmental Compliance Inspectors,2.26,3.95,3.11,2.8,3.35,4.0,3.346428571428572,2.3192
13-1041.03,Equal Opportunity Representatives and Officers,2.55,4.49,4.08,1.87,4.26,4.32,4.010614285714285,2.4035714285714285
13-1041.04,Government Property Inspectors and Investigators,2.2,3.98,4.38,3.17,4.01,4.44,3.5668,2.7142857142857144
13-1041.06,Coroners,3.6,4.3,4.25,4.05,4.0,4.3,2.552142857142857,2.3392857142857144
13-1041.07,Regulatory Affairs Specialists,2.8,3.8,3.15,1.6,3.45,4.15,3.670642857142857,2.6950857142857143
13-1041.08,Customs Brokers,3.35,3.65,4.1,2.35,3.95,4.85,3.145,1.9642857142857144
13-1051.00,Cost Estimators,2.36,3.91,3.36,2.1,3.82,3.95,2.527428571428572,2.4035714285714285
13-1071.00,Human Resources Specialists,2.93,4.36,4.01,3.43,4.19,4.34,3.0250000000000004,2.125
13-1074.00,Farm Labor Contractors,2.5,4.81,3.87,4.58,4.21,4.26,2.212942857142857,1.7857142857142856
13-1075.00,Labor Relations Specialists,2.84,4.19,3.74,2.86,3.86,3.67,3.001428571428572,2.4971428571428573
13-1081.00,Logisticians,2.58,4.04,3.71,3.0,3.79,3.96,2.579542857142857,2.4971428571428573
13-1081.01,Logistics Engineers,2.74,4.04,3.65,3.48,3.7,3.87,2.5975714285714284,2.821428571428571
13-1081.02,Logistics Analysts,2.64,4.18,3.45,2.55,3.41,4.14,2.6146000000000003,2.4971428571428573
13-1111.00,Management Analysts,2.79,4.14,3.75,2.45,4.1,4.1,2.8642857142857143,2.765714285714286
13-1121.00,"Meeting, Convention, and Event Planners",1.87,4.52,4.51,3.23,4.31,3.96,1.9421714285714289,2.265085714285714
13-1131.00,Fundraisers,2.52,4.19,3.67,2.24,4.0,3.62,2.101,2.275
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.86,3.81,4.0,2.05,4.05,4.48,3.35,2.1357142857142857
13-1151.00,Training and Development Specialists,2.04,4.35,3.05,2.82,3.17,3.0,2.4076000000000004,2.645714285714285
13-1161.00,Market Research Analysts and Marketing Specialists,2.45,4.52,3.32,1.57,3.61,4.43,1.936,2.542057142857143
13-1161.01,Search Marketing Strategists,2.04,4.26,3.43,1.3,3.74,3.74,2.1448857142857145,2.4732142857142856
13-1199.04,Business Continuity Planners,2.36,3.83,2.68,3.26,3.7,3.65,3.0142857142857142,2.894285714285714
13-1199.05,Sustainability Specialists,1.77,3.74,3.09,2.7,3.43,3.57,2.8685714285714288,2.354914285714286
13-1199.06,Online Merchants,2.17,4.6,4.2,2.69,4.06,4.14,1.6473142857142855,2.044642857142857
13-1199.07,Security Management Specialists,3.16,4.45,3.68,3.55,3.95,3.8,3.4642857142857144,2.596342857142857
13-2011.00,Accountants and Auditors,2.75,4.04,3.97,2.33,4.33,4.71,3.4192,2.2928571428571427
13-2022.00,Appraisers of Personal and Business Property,3.17,4.17,3.61,2.43,4.05,4.43,3.0032,1.9285714285714288
13-2023.00,Appraisers and Assessors of Real Estate,2.26,4.46,3.52,1.59,3.12,4.62,2.595028571428572,1.822857142857143
13-2031.00,Budget Analysts,2.8,4.25,4.6,3.33,4.13,4.6,2.5079857142857143,2.4732142857142856
13-2041.00,Credit Analysts,2.6,3.75,3.7,1.4,3.35,4.5,2.4732142857142856,2.1357142857142857
13-2052.00,Personal Financial Advisors,3.08,4.0,4.12,1.65,4.19,4.62,2.894285714285714,2.4522285714285714
13-2053.00,Insurance Underwriters,2.9,4.3,4.33,1.5,3.9,4.3,2.74,2.25
13-2061.00,Financial Examiners,2.35,3.52,3.39,1.7,4.13,4.0,3.831357142857144,2.6950857142857143
13-2071.00,Credit Counselors,2.44,4.24,4.44,1.46,4.08,4.32,2.096457142857143,2.1607142857142856
13-2072.00,Loan Officers,3.01,4.43,4.8,2.63,4.49,4.5,3.2984142857142857,2.596342857142857
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",2.91,4.12,4.07,2.12,4.18,4.96,3.3182,1.9842857142857144
13-2082.00,Tax Preparers,2.74,3.85,3.6,1.6,3.74,4.9,3.086071428571429,1.8914285714285717
13-2099.01,Financial Quantitative Analysts,3.21,3.85,3.42,1.45,3.9,4.2,2.010357142857143,2.6696428571428568
13-2099.04,"Fraud Examiners, Investigators and Analysts",3.12,4.08,4.36,2.84,4.16,4.6,3.3976,2.645714285714285
15-1211.00,Computer Systems Analysts,2.99,4.2,3.44,2.12,3.64,4.52,2.692228571428572,2.542057142857143
15-1211.01,Health Informatics Specialists,2.9,3.95,3.38,2.76,3.52,4.35,3.379085714285714,2.645714285714285
15-1212.00,Information Security Analysts,3.45,4.0,3.19,2.14,3.63,4.07,3.3088,2.2308
15-1221.00,Computer and Information Research Scientists,2.61,4.17,3.03,2.18,3.42,3.96,2.6002,2.98
15-1231.00,Computer Network Support Specialists,3.29,4.26,3.52,2.39,3.77,4.45,2.2946285714285715,2.1492
15-1232.00,Computer User Support Specialists,3.46,4.57,4.1,3.41,3.22,4.04,2.343685714285714,1.9642857142857144
15-1241.00,Computer Network Architects,3.4,3.75,3.35,2.5,3.8,4.1,3.1825,2.571428571428571
15-1241.01,Telecommunications Engineering Specialists,3.0,4.1,3.33,3.24,3.52,4.1,2.71,1.9449142857142856
15-1242.00,Database Administrators,3.88,4.49,3.91,2.07,3.29,4.34,2.8150000000000004,2.571428571428571
15-1243.00,Database Architects,3.24,4.19,3.14,1.9,3.81,4.19,2.8932857142857147,2.596342857142857
15-1243.01,Data Warehousing Specialists,2.22,4.09,2.87,1.52,3.26,4.43,2.3428571428571425,2.2308
15-1244.00,Network and Computer Systems Administrators,2.72,4.09,3.07,1.9,3.3,4.0,1.963728571428572,2.596342857142857
15-1251.00,Computer Programmers,2.54,3.43,2.33,1.28,3.14,4.22,2.4498571428571427,2.044642857142857
15-1252.00,Software Developers,2.76,4.27,2.42,2.05,2.55,4.26,2.8564,2.4035714285714285
15-1253.00,Software Quality Assurance Analysts and Testers,2.79,4.12,3.0,2.12,3.56,4.44,3.1522857142857146,2.096342857142857
15-1254.00,Web Developers,2.88,4.42,3.25,1.83,3.5,4.25,2.2615285714285718,2.1492
15-1255.01,Video Game Designers,2.1,3.95,3.1,1.45,3.5,3.16,1.6646999999999998,2.354914285714286
15-1299.01,Web Administrators,3.0,4.15,3.45,1.9,3.5,4.05,2.4764285714285714,2.1492
15-1299.02,Geographic Information Systems Technologists and Technicians,2.5,4.03,3.12,1.84,3.45,4.68,2.594785714285714,2.0028571428571427
15-1299.03,Document Management Specialists,2.79,3.8,3.11,2.15,3.15,4.05,3.0885714285714285,2.023657142857143
15-1299.05,Information Security Engineers,3.0,4.0,3.42,2.32,3.79,4.37,3.0391428571428567,2.125
15-1299.08,Computer Systems Engineers/Architects,3.57,4.0,3.57,2.59,4.05,4.18,2.662857142857143,2.36
15-1299.09,Information Technology Project Managers,2.8,4.19,3.65,3.19,3.81,3.95,3.17,2.4035714285714285
15-2011.00,Actuaries,2.37,3.86,3.08,1.57,3.96,4.43,3.157857142857143,3.145
15-2021.00,Mathematicians,2.26,4.5,2.25,1.75,2.7,4.3,1.6835714285714285,2.571428571428571
15-2031.00,Operations Research Analysts,2.35,3.76,2.9,2.14,3.57,4.24,1.8886428571428573,2.8020571428571426
15-2041.00,Statisticians,2.5,4.19,3.19,1.86,3.48,4.52,2.9680714285714287,2.3192
15-2041.01,Biostatisticians,2.35,4.26,2.87,1.88,3.12,4.33,2.013442857142857,2.877142857142857
15-2051.01,Business Intelligence Analysts,2.73,4.23,3.23,1.45,3.55,4.41,2.1776,2.4971428571428573
15-2051.02,Clinical Data Managers,2.15,3.7,3.05,1.6,3.15,4.45,3.217142857142857,2.1635714285714283
15-2099.01,Bioinformatics Technicians,2.67,4.06,2.66,2.27,2.89,4.26,2.1958857142857147,2.25
17-1011.00,"Architects, Except Landscape and Naval",3.2,3.86,3.4,2.67,3.48,3.95,2.869214285714285,2.7678571428571432
17-1012.00,Landscape Architects,2.4,3.7,3.3,2.6,3.45,3.95,2.64,2.4732142857142856
17-1021.00,Cartographers and Photogrammetrists,2.5,4.09,3.37,1.78,3.74,4.87,3.0056,1.9449142857142856
17-1022.00,Surveyors,3.5,4.0,3.95,3.9,4.1,4.79,3.200357142857143,2.0028571428571427
17-1022.01,Geodetic Surveyors,2.25,4.12,3.33,3.07,3.27,4.85,3.231,2.4035714285714285
17-2011.00,Aerospace Engineers,2.76,4.35,2.98,2.41,3.42,4.0,2.581757142857142,2.524285714285714
17-2021.00,Agricultural Engineers,3.05,4.0,2.95,3.5,3.5,4.15,3.61642857142857,2.645714285714285
17-2031.00,Bioengineers and Biomedical Engineers,2.61,4.0,2.78,3.3,3.48,4.35,3.1194571428571427,2.9008000000000003
17-2041.00,Chemical Engineers,3.96,4.04,3.3,4.13,3.87,4.04,3.139,2.9008000000000003
17-2051.00,Civil Engineers,3.43,3.9,4.0,2.9,3.9,4.38,3.112771428571428,2.36
17-2051.01,Transportation Engineers,3.38,3.95,3.5,3.32,3.8,4.27,3.3123571428571426,2.748571428571428
17-2051.02,Water/Wastewater Engineers,2.26,3.87,3.3,3.17,3.7,3.86,3.2287000000000003,2.765714285714286
17-2061.00,Computer Hardware Engineers,2.64,4.24,2.57,2.69,3.31,4.41,3.305657142857142,2.4522285714285714
17-2071.00,Electrical Engineers,3.03,4.47,4.14,3.11,4.0,4.54,3.240228571428572,2.086428571428572
17-2072.00,"Electronics Engineers, Except Computer",2.67,4.55,2.48,2.34,3.32,4.15,2.6029,2.524285714285714
17-2072.01,Radio Frequency Identification Device Specialists,2.73,4.33,3.8,2.2,4.01,4.32,2.627142857142857,2.1492
17-2081.00,Environmental Engineers,3.2,3.81,3.16,4.05,3.86,4.05,3.242857142857143,2.6950857142857143
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",3.28,4.25,3.93,4.08,4.24,4.27,3.487085714285714,2.354914285714286
17-2111.02,Fire-Prevention and Protection Engineers,2.96,4.04,3.38,3.38,3.72,3.85,3.8184,2.765714285714286
17-2112.00,Industrial Engineers,3.43,4.29,3.8,3.41,3.87,4.25,2.4074714285714283,2.211428571428572
17-2112.01,Human Factors Engineers and Ergonomists,2.58,4.6,2.89,3.8,3.26,3.74,2.8525,2.6393714285714287
17-2112.02,Validation Engineers,2.95,4.15,3.3,2.9,3.7,4.65,4.231428571428571,2.096342857142857
17-2112.03,Manufacturing Engineers,3.12,4.0,3.35,3.88,3.69,4.2,2.436914285714286,2.9008000000000003
17-2121.00,Marine Engineers and Naval Architects,3.71,3.78,3.11,3.22,4.06,4.33,3.3782,2.571428571428571
17-2131.00,Materials Engineers,2.76,4.19,2.9,3.71,3.45,4.1,2.6337857142857146,2.2471428571428573
17-2141.00,Mechanical Engineers,2.99,4.25,3.49,3.05,3.94,4.3,3.1741428571428574,2.6185714285714288
17-2141.01,Fuel Cell Engineers,2.95,3.77,2.36,3.73,2.68,3.95,2.128285714285714,2.4971428571428573
17-2141.02,Automotive Engineers,2.9,4.0,3.14,3.5,3.33,4.43,3.492742857142857,2.748571428571428
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",2.92,4.17,3.65,3.2,3.86,4.08,3.319257142857143,2.98
17-2161.00,Nuclear Engineers,3.65,3.48,3.11,3.9,3.71,4.67,4.091,2.765714285714286
17-2171.00,Petroleum Engineers,2.76,3.92,3.91,3.59,4.0,3.82,2.449442857142857,2.596342857142857
17-2199.03,"Energy Engineers, Except Wind and Solar",2.55,4.14,3.41,3.38,3.41,3.95,2.728257142857143,2.4285714285714284
17-2199.05,Mechatronics Engineers,3.27,4.19,3.65,3.33,3.83,4.53,2.4256,2.6950857142857143
17-2199.06,Microsystems Engineers,2.58,4.43,3.28,2.85,3.76,4.19,2.602814285714285,2.4035714285714285
17-2199.07,Photonics Engineers,3.26,4.0,2.39,2.78,3.09,4.39,2.483257142857143,2.36
17-2199.08,Robotics Engineers,3.53,4.24,3.57,3.9,4.0,4.53,2.8327,2.6950857142857143
17-2199.09,Nanosystems Engineers,3.4,4.33,3.05,4.05,3.29,4.52,2.130428571428572,2.645714285714285
17-2199.10,Wind Energy Engineers,2.64,4.04,3.33,2.13,3.53,4.15,2.6263,2.4285714285714284
17-2199.11,Solar Energy Systems Engineers,3.71,3.89,4.25,3.82,4.21,3.89,2.981028571428572,2.105
17-3011.00,Architectural and Civil Drafters,2.74,3.69,3.28,2.15,3.3,4.63,3.048914285714286,1.9449142857142856
17-3012.00,Electrical and Electronics Drafters,3.0,3.69,3.43,2.33,3.5,4.44,2.757142857142857,2.1142857142857143
17-3013.00,Mechanical Drafters,2.66,4.45,3.14,2.21,3.49,4.7,2.2285000000000004,1.8571428571428568
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3.78,4.06,4.29,3.53,4.35,4.96,2.907657142857143,2.044642857142857
17-3022.00,Civil Engineering Technologists and Technicians,2.42,3.92,4.06,2.86,3.36,3.99,2.897142857142857,1.9449142857142856
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,3.15,4.43,3.52,3.43,3.88,4.39,2.8580714285714284,1.9449142857142856
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.73,3.55,4.13,3.47,3.71,4.62,2.596514285714285,2.0608
17-3024.01,Robotics Technicians,4.05,4.23,3.05,4.05,3.59,4.59,2.83,1.9449142857142856
17-3025.00,Environmental Engineering Technologists and Technicians,2.95,3.57,3.68,3.8,3.98,3.93,2.6892000000000005,2.1635714285714283
17-3026.00,Industrial Engineering Technologists and Technicians,3.29,4.32,4.15,3.43,4.21,4.26,2.081142857142857,2.211428571428572
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.9,4.1,3.3,3.85,3.45,4.55,2.4465000000000003,2.105
17-3027.00,Mechanical Engineering Technologists and Technicians,3.85,4.04,3.6,3.69,3.91,4.17,2.6218,2.1492
17-3027.01,Automotive Engineering Technicians,3.3,3.56,3.48,3.85,3.56,4.41,2.3621714285714286,1.9842857142857144
17-3029.01,Non-Destructive Testing Specialists,3.67,4.09,4.09,4.05,4.18,4.55,3.935214285714285,1.9085714285714288
17-3029.08,Photonics Technicians,3.45,3.76,3.1,3.14,3.45,4.23,2.6540857142857144,1.8914285714285717
17-3031.00,Surveying and Mapping Technicians,2.74,4.3,3.77,2.75,3.6,4.61,2.2852,1.7385714285714284
19-1011.00,Animal Scientists,2.96,4.39,3.73,3.3,3.96,4.26,2.6517571428571425,2.928571428571429
19-1012.00,Food Scientists and Technologists,3.19,3.95,3.43,3.45,3.73,4.36,2.9872,2.596342857142857
19-1013.00,Soil and Plant Scientists,2.67,4.38,2.86,3.81,3.29,3.9,2.775714285714286,2.6696428571428568
19-1021.00,Biochemists and Biophysicists,3.37,4.3,3.68,3.8,3.7,4.75,2.5902857142857143,2.821428571428571
19-1022.00,Microbiologists,3.86,4.0,3.5,3.91,3.64,4.59,3.0995000000000004,2.524285714285714
19-1023.00,Zoologists and Wildlife Biologists,2.87,4.12,3.73,3.7,3.82,4.14,2.722214285714286,2.765714285714286
19-1029.01,Bioinformatics Scientists,2.12,4.81,3.15,2.12,3.41,4.45,1.5170714285714286,2.5907142857142857
19-1029.02,Molecular and Cellular Biologists,2.88,3.92,2.58,3.88,2.92,4.35,2.371428571428571,2.98
19-1029.03,Geneticists,2.62,4.64,3.04,3.16,3.25,4.64,2.0742857142857143,2.7142857142857144
19-1029.04,Biologists,2.76,4.42,2.97,3.59,3.09,3.53,2.5602,2.571428571428571
19-1031.00,Conservation Scientists,2.48,4.09,3.0,3.18,3.13,3.7,3.1465428571428573,2.125
19-1031.02,Range Managers,2.84,4.28,3.25,3.51,3.73,3.43,3.177142857142857,2.4522285714285714
19-1031.03,Park Naturalists,1.91,3.69,3.22,3.26,3.54,2.73,1.9577714285714287,2.044642857142857
19-1032.00,Foresters,3.26,4.64,4.06,3.08,4.13,3.94,3.108728571428572,2.6185714285714288
19-1041.00,Epidemiologists,2.28,4.58,3.22,2.89,3.56,4.68,2.3350285714285715,3.0335714285714284
19-1042.00,"Medical Scientists, Except Epidemiologists",3.43,4.41,3.27,3.7,3.88,4.57,1.923257142857143,2.821428571428571
19-2011.00,Astronomers,2.04,4.83,2.17,2.3,2.78,4.26,1.7283571428571427,2.4522285714285714
19-2012.00,Physicists,2.13,4.42,2.48,2.87,3.26,3.78,2.4848,2.7678571428571432
19-2021.00,Atmospheric and Space Scientists,2.25,3.95,3.35,2.45,3.53,3.95,2.112857142857143,2.524285714285714
19-2031.00,Chemists,3.42,4.44,3.63,3.78,3.55,4.67,2.7910714285714286,2.125
19-2032.00,Materials Scientists,3.05,3.76,2.9,3.71,3.33,4.1,2.965228571428571,2.4522285714285714
19-2041.00,"Environmental Scientists and Specialists, Including Health",2.56,3.71,3.23,2.51,3.39,3.9,3.7924,2.205357142857143
19-2041.01,Climate Change Policy Analysts,2.0,4.13,2.91,1.74,3.26,3.83,2.2528,2.096342857142857
19-2041.02,Environmental Restoration Planners,2.27,4.36,2.77,3.0,3.23,3.09,3.0735,2.645714285714285
19-2041.03,Industrial Ecologists,2.05,4.26,2.82,2.26,3.22,4.09,2.3349857142857147,2.8150000000000004
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",2.38,4.22,2.97,3.03,3.41,3.77,2.4025,2.645714285714285
19-2043.00,Hydrologists,2.48,4.14,2.65,2.91,3.09,4.18,2.4152,2.3392857142857144
19-2099.01,Remote Sensing Scientists and Technologists,2.52,4.12,2.84,2.36,3.28,4.76,2.7938285714285715,2.6185714285714288
19-3011.00,Economists,2.33,4.61,3.55,1.79,3.46,4.08,2.336028571428572,2.765714285714286
19-3011.01,Environmental Economists,1.93,4.74,2.26,1.33,3.0,4.0,1.69,2.4971428571428573
19-3022.00,Survey Researchers,2.84,4.08,3.19,2.12,3.62,4.58,2.2373142857142856,2.524285714285714
19-3032.00,Industrial-Organizational Psychologists,2.88,4.42,3.62,2.35,4.23,4.23,2.966285714285714,2.782857142857143
19-3033.00,Clinical and Counseling Psychologists,3.64,4.64,4.12,2.88,4.04,3.56,3.136685714285714,2.4732142857142856
19-3034.00,School Psychologists,2.18,4.62,3.59,2.02,3.58,4.1,1.7346142857142857,2.645714285714285
19-3039.02,Neuropsychologists,2.4,4.72,4.08,2.52,3.76,4.64,2.6896000000000004,3.0335714285714284
19-3039.03,Clinical Neuropsychologists,2.92,4.83,4.08,2.92,4.08,4.62,2.5673714285714286,2.894285714285714
19-3041.00,Sociologists,1.89,4.7,2.74,2.1,2.85,4.0,2.057142857142857,2.4035714285714285
19-3051.00,Urban and Regional Planners,1.92,3.79,2.96,2.12,3.32,3.28,3.535771428571429,2.894285714285714
19-3091.00,Anthropologists and Archeologists,2.17,4.45,2.26,2.47,3.0,4.05,1.7085714285714286,2.1635714285714283
19-3092.00,Geographers,1.8,4.4,2.65,2.05,2.9,3.75,2.2375,2.354914285714286
19-3093.00,Historians,1.91,4.0,3.67,3.07,3.62,4.06,1.9608571428571429,1.9842857142857144
19-3094.00,Political Scientists,2.08,4.85,2.92,1.65,3.04,3.8,2.3220714285714283,2.4522285714285714
19-3099.01,Transportation Planners,1.89,3.85,3.0,2.45,3.6,3.45,2.8525,2.6950857142857143
19-4012.00,Agricultural Technicians,2.86,3.84,2.89,3.76,3.07,4.03,1.9793142857142856,1.9085714285714288
19-4012.01,Precision Agriculture Technicians,3.17,4.17,3.91,3.22,3.65,4.0,2.3055,2.125
19-4013.00,Food Science Technicians,2.94,4.15,4.37,4.04,3.95,4.55,2.3502,1.8571428571428568
19-4021.00,Biological Technicians,2.72,3.85,2.63,3.04,2.56,4.39,1.9176,2.06
19-4031.00,Chemical Technicians,3.84,3.84,3.35,4.16,3.74,4.87,2.6764,1.9842857142857144
19-4042.00,"Environmental Science and Protection Technicians, Including Health",2.91,3.77,3.23,3.82,3.55,4.14,2.7820714285714283,2.044642857142857
