O*NET-SOC Code,Title,Degree of Automation,"Exposed to Cramped Work Space, Awkward Positions",Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Spend Time Making Repetitive Motions,Time Pressure,Operations Monitoring Combined,Evaluating Information to Determine Compliance with Standards Combined,"Monitoring Processes, Materials, or Surroundings Combined",Controlling Machines and Processes Combined,Monitoring Combined,Monitoring and Controlling Resources Combined
11-9179.02,Spa Managers,2.06,1.16,3.36,1.01,2.96,3.52,1.4628571428571429,2.9103142857142856,3.311114285714286,1.4434857142857145,2.765714285714286,2.4235285714285717
11-9199.01,Regulatory Affairs Managers,2.0,1.09,3.22,1.0,2.87,3.65,1.1106285714285715,4.133257142857143,2.291428571428571,1.0289714285714286,2.542057142857143,1.783442857142857
11-9199.02,Compliance Managers,1.7,1.9,3.83,1.35,2.29,4.3,1.2142857142857144,3.9459857142857135,2.7932571428571427,1.3394285714285714,2.8150000000000004,1.3501571428571428
11-9199.08,Loss Prevention Managers,2.41,1.55,3.0,1.32,2.32,3.91,1.6665142857142858,2.9175714285714283,2.677828571428572,1.1496,2.645714285714285,2.2902142857142858
11-9199.09,Wind Energy Operations Managers,2.45,2.83,3.06,1.83,2.43,3.79,2.044642857142857,3.2327714285714286,3.4162285714285714,3.390857142857143,2.6950857142857143,2.905514285714286
11-9199.10,Wind Energy Development Managers,1.55,1.16,2.27,1.14,2.11,3.5,1.3008,3.154285714285714,2.7262000000000004,1.1179,2.3857142857142857,2.655342857142857
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,1.64,1.45,2.5,1.29,2.0,3.64,1.6063428571428573,3.34,2.5107142857142857,1.1457142857142857,2.765714285714286,2.6317
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",1.66,1.11,2.86,1.0,2.05,4.65,1.0089285714285714,1.4462857142857142,1.3387285714285715,1.0062142857142855,1.8057142857142856,1.524
13-1021.00,"Buyers and Purchasing Agents, Farm Products",2.95,1.25,4.2,1.23,2.21,3.81,1.3785714285714286,2.4623142857142857,2.218171428571429,1.384,1.9449142857142856,2.4228571428571426
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",1.81,1.6,4.13,1.06,3.57,4.03,1.1071428571428572,1.6945714285714286,2.4059285714285714,1.3555714285714284,2.211428571428572,2.596785714285714
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.89,1.41,4.05,1.18,2.68,4.3,1.1428571428571428,3.200357142857143,2.429142857142857,1.087,2.524285714285714,2.1605
13-1031.00,"Claims Adjusters, Examiners, and Investigators",2.98,1.2,4.51,1.83,3.3,4.39,1.157142857142857,2.7670000000000003,2.429942857142857,1.0616571428571429,2.3192,1.7581428571428572
13-1032.00,"Insurance Appraisers, Auto Damage",3.25,2.62,3.79,1.28,3.54,4.55,1.4435714285714285,2.4823000000000004,2.213142857142857,1.351,1.6171428571428572,1.910642857142857
13-1041.00,Compliance Officers,2.51,2.8,3.97,1.7,3.55,3.53,1.28,3.3981285714285714,2.8826285714285715,1.4716714285714287,2.2308,1.2192142857142856
13-1041.01,Environmental Compliance Inspectors,1.6,1.75,3.3,1.2,1.85,3.65,2.1492,3.346428571428572,2.4850000000000003,1.1311428571428572,2.7207142857142856,1.2442857142857142
13-1041.03,Equal Opportunity Representatives and Officers,2.34,1.1,3.0,1.35,2.83,3.51,1.1339285714285714,4.010614285714285,2.2792857142857144,1.0981,2.3192,1.1651714285714283
13-1041.04,Government Property Inspectors and Investigators,2.18,1.79,3.31,1.59,2.14,3.92,1.8571428571428568,3.5668,3.0592,1.0796571428571429,2.4008000000000003,1.6632571428571428
13-1041.06,Coroners,1.55,3.5,3.35,1.05,2.6,4.45,1.2857142857142856,2.552142857142857,2.742,1.5186428571428572,2.125,2.7035714285714287
13-1041.07,Regulatory Affairs Specialists,1.7,1.17,3.3,1.25,3.0,3.75,1.25,3.670642857142857,1.8208,1.0325,2.205357142857143,1.497142857142857
13-1041.08,Customs Brokers,3.45,1.05,4.3,2.1,2.75,4.8,1.1734857142857142,3.145,2.114471428571428,1.2136,2.1635714285714283,1.8991
13-1051.00,Cost Estimators,2.14,1.18,3.1,1.32,2.36,3.77,1.0535714285714286,2.527428571428572,2.3825000000000003,1.0058571428571428,1.9285714285714288,1.905
13-1071.00,Human Resources Specialists,2.97,1.14,3.87,1.0,3.5,3.76,1.0357142857142856,3.0250000000000004,2.196742857142857,1.079,2.071428571428571,1.6152142857142855
13-1074.00,Farm Labor Contractors,2.2,1.2,4.49,2.51,1.88,4.45,1.4691999999999998,2.212942857142857,1.7911,1.1317857142857144,1.655,1.7524428571428572
13-1075.00,Labor Relations Specialists,1.9,1.38,2.25,1.15,1.76,3.71,1.0357142857142856,3.001428571428572,1.630242857142857,1.0336571428571428,2.3192,1.7405714285714289
13-1081.00,Logisticians,2.83,1.54,3.29,1.67,2.58,4.42,1.231428571428571,2.579542857142857,2.746942857142857,1.2036571428571428,2.9008000000000003,2.465942857142857
13-1081.01,Logistics Engineers,2.35,1.83,2.78,2.09,1.83,3.91,1.5892857142857142,2.5975714285714284,3.167414285714285,1.4374,2.3192,2.3274285714285714
13-1081.02,Logistics Analysts,2.95,1.5,4.0,1.45,3.55,4.18,1.32,2.6146000000000003,2.698042857142857,1.227142857142857,2.571428571428571,1.903857142857143
13-1111.00,Management Analysts,2.55,1.35,2.7,1.15,2.05,4.0,1.12,2.8642857142857143,2.846742857142857,1.1083,2.6950857142857143,2.3828571428571435
13-1121.00,"Meeting, Convention, and Event Planners",1.66,1.52,3.24,1.27,3.76,4.57,1.231428571428571,1.9421714285714289,2.3082857142857143,1.7494285714285716,2.3392857142857144,2.8255428571428567
13-1131.00,Fundraisers,1.9,1.24,2.81,1.24,2.3,3.67,1.0664285714285715,2.101,1.5822142857142858,1.0855,2.06,1.9165
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.43,1.0,3.76,1.1,3.05,3.86,1.0357142857142856,3.35,1.8476285714285716,1.0638857142857143,2.06,1.8063714285714283
13-1151.00,Training and Development Specialists,1.96,1.13,2.52,1.09,2.23,3.7,1.16,2.4076000000000004,2.2584285714285715,1.1602857142857144,2.6950857142857143,1.886242857142857
13-1161.00,Market Research Analysts and Marketing Specialists,2.35,1.22,2.96,1.13,2.22,4.04,1.1734857142857142,1.936,2.2992142857142857,1.054971428571429,2.1635714285714283,2.423757142857143
13-1161.01,Search Marketing Strategists,2.17,1.0,2.83,1.13,2.22,3.74,1.3008,2.1448857142857145,2.0912,1.095271428571429,2.275,1.9742857142857144
13-1199.04,Business Continuity Planners,2.43,1.09,2.45,1.23,2.09,3.26,1.268571428571429,3.0142857142857142,2.362057142857143,1.027,2.4522285714285714,1.5323571428571428
13-1199.05,Sustainability Specialists,1.52,1.43,2.26,1.18,1.65,3.57,1.32,2.8685714285714288,2.8532,1.1176428571428572,2.25,2.343857142857143
13-1199.06,Online Merchants,2.66,1.23,3.44,1.16,2.96,4.1,1.1734857142857142,1.6473142857142855,1.8676857142857144,1.2108285714285714,2.096342857142857,1.9408
13-1199.07,Security Management Specialists,1.95,1.75,2.58,1.16,2.05,3.75,1.5207142857142857,3.4642857142857144,2.7285714285714286,1.155357142857143,2.4522285714285714,2.491428571428571
13-2011.00,Accountants and Auditors,3.05,1.21,3.85,1.08,2.58,4.19,1.147857142857143,3.4192,2.6019428571428573,1.0768,2.3192,2.2451714285714286
13-2022.00,Appraisers of Personal and Business Property,1.73,2.17,3.39,1.22,2.22,3.87,1.1734857142857142,3.0032,1.9617142857142855,1.0781714285714286,1.7734857142857143,1.7842857142857145
13-2023.00,Appraisers and Assessors of Real Estate,2.39,1.92,3.22,1.09,2.21,4.54,1.1734857142857142,2.595028571428572,1.793928571428571,1.1986285714285714,1.7734857142857143,1.3595428571428572
13-2031.00,Budget Analysts,1.57,1.0,4.6,1.02,4.05,4.26,1.1106285714285715,2.5079857142857143,2.2561,1.0624,1.9449142857142856,1.8142857142857145
13-2041.00,Credit Analysts,2.4,1.11,4.1,1.05,3.05,4.2,1.1071428571428572,2.4732142857142856,1.8589285714285717,1.0514285714285714,1.8571428571428568,1.1928571428571428
13-2052.00,Personal Financial Advisors,2.44,1.04,3.08,1.08,1.92,3.69,1.0549142857142857,2.894285714285714,1.846,1.0010857142857144,2.1357142857142857,1.6911999999999998
13-2053.00,Insurance Underwriters,2.87,1.0,3.53,1.17,3.2,4.57,1.1106285714285715,2.74,1.8971428571428568,1.03,1.8571428571428568,1.2714285714285714
13-2061.00,Financial Examiners,2.3,1.13,2.7,1.22,2.09,3.61,1.1339285714285714,3.831357142857144,2.5016142857142856,1.0317571428571428,2.748571428571428,1.3224
13-2071.00,Credit Counselors,3.0,1.04,4.08,1.29,3.43,3.84,1.0,2.096457142857143,1.48,1.0407428571428572,1.8571428571428568,1.2290285714285714
13-2072.00,Loan Officers,3.2,1.0,3.45,1.36,2.58,4.12,1.1106285714285715,3.2984142857142857,2.0547142857142857,1.0897,1.8057142857142856,1.3944285714285714
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.03,1.02,4.19,1.24,3.3,3.74,1.0942857142857143,3.3182,2.604414285714286,1.1307142857142858,2.0028571428571427,1.0750285714285714
13-2082.00,Tax Preparers,2.81,1.2,4.24,1.0,3.21,4.05,1.0020571428571428,3.086071428571429,1.9174285714285717,1.3566571428571428,1.8571428571428568,1.4617
13-2099.01,Financial Quantitative Analysts,2.79,1.05,2.74,1.39,2.6,3.75,1.1785714285714286,2.010357142857143,1.64,1.0546428571428572,1.8914285714285717,1.4285714285714288
13-2099.04,"Fraud Examiners, Investigators and Analysts",2.44,1.8,3.76,1.36,2.96,4.04,1.2036571428571428,3.3976,2.5626285714285717,1.1417142857142857,1.9842857142857144,2.176685714285714
15-1211.00,Computer Systems Analysts,2.71,1.45,4.03,1.31,3.6,4.17,1.8914285714285717,2.692228571428572,2.982485714285714,2.0501285714285715,2.36,1.6362857142857146
15-1211.01,Health Informatics Specialists,2.2,1.29,3.48,1.35,2.7,3.62,1.5614285714285714,3.379085714285714,3.0,1.3943714285714286,2.4971428571428573,1.8507
15-1212.00,Information Security Analysts,2.03,1.63,3.33,1.25,2.81,3.6,1.8914285714285717,3.3088,2.977257142857143,1.1898,2.3192,1.6150857142857142
15-1221.00,Computer and Information Research Scientists,2.32,1.57,2.22,1.63,2.45,3.71,1.6364285714285711,2.6002,2.074785714285714,1.4085714285714286,2.211428571428572,1.6598714285714284
15-1231.00,Computer Network Support Specialists,2.28,2.92,3.71,1.75,3.33,3.9,1.8914285714285717,2.2946285714285715,2.517857142857143,1.4565714285714286,2.1635714285714283,1.5010857142857144
15-1232.00,Computer User Support Specialists,2.06,1.7,3.5,1.32,4.05,3.65,1.822857142857143,2.343685714285714,2.7087142857142856,1.7549285714285716,1.9085714285714288,1.7813714285714286
15-1241.00,Computer Network Architects,2.45,1.8,3.25,1.7,2.75,3.6,1.8571428571428568,3.1825,2.9175000000000004,1.6285714285714286,2.023657142857143,2.068928571428572
15-1241.01,Telecommunications Engineering Specialists,2.24,1.9,2.86,1.33,1.9,4.05,1.9085714285714288,2.71,2.862157142857143,1.2571428571428571,1.9449142857142856,2.215
15-1242.00,Database Administrators,2.63,1.07,3.39,1.2,3.89,2.99,1.7200000000000002,2.8150000000000004,2.6283142857142856,1.1734857142857142,2.2471428571428573,1.7679428571428573
15-1243.00,Database Architects,2.67,1.1,3.48,1.33,2.33,3.62,1.3392000000000002,2.8932857142857147,2.8396428571428567,1.0445714285714285,2.096342857142857,1.4335
15-1243.01,Data Warehousing Specialists,2.39,1.0,3.39,1.0,3.09,3.3,1.4821428571428572,2.3428571428571425,1.9163,1.0713142857142857,1.837942857142857,1.5002
15-1244.00,Network and Computer Systems Administrators,2.58,2.04,3.3,1.32,3.13,3.79,2.275,1.963728571428572,2.349571428571428,2.1167285714285717,2.524285714285714,1.8955
15-1251.00,Computer Programmers,2.29,1.05,3.15,1.13,3.28,4.04,1.3785714285714286,2.4498571428571427,2.5015,1.1212428571428572,1.8914285714285717,1.4666428571428574
15-1252.00,Software Developers,2.24,1.26,3.23,1.33,2.79,3.5,1.595,2.8564,2.5158571428571435,1.2706285714285714,2.0,1.2027142857142856
15-1253.00,Software Quality Assurance Analysts and Testers,2.88,1.32,3.66,1.61,3.26,3.88,1.7485714285714289,3.1522857142857146,2.45,1.0984285714285715,2.4035714285714285,1.4551857142857143
15-1254.00,Web Developers,2.0,1.17,4.17,1.04,4.04,4.0,1.3785714285714286,2.2615285714285718,1.98,1.2085714285714286,1.9657142857142855,1.4990285714285714
15-1255.01,Video Game Designers,1.79,1.1,3.4,1.1,4.05,4.05,1.4464285714285716,1.6646999999999998,2.071428571428571,1.1165714285714283,2.096342857142857,1.3225
15-1299.01,Web Administrators,2.7,1.2,3.55,1.35,3.2,3.75,1.4435714285714285,2.4764285714285714,2.1517857142857144,1.210357142857143,2.19,1.8125
15-1299.02,Geographic Information Systems Technologists and Technicians,2.9,1.19,3.98,1.58,3.73,3.46,1.3008,2.594785714285714,2.3181142857142856,1.2300285714285717,1.8571428571428568,1.5815714285714286
15-1299.03,Document Management Specialists,3.0,1.4,3.37,1.89,2.2,3.7,1.268571428571429,3.0885714285714285,2.309285714285714,1.1314285714285717,2.1677714285714287,2.083571428571428
15-1299.05,Information Security Engineers,3.11,1.32,3.0,1.5,2.78,3.95,1.9449142857142856,3.0391428571428567,2.597514285714285,1.3075,2.4522285714285714,2.172557142857143
15-1299.08,Computer Systems Engineers/Architects,2.71,2.36,3.7,1.55,3.27,3.82,1.8571428571428568,2.662857142857143,2.523885714285714,1.4992857142857143,2.3857142857142857,2.021114285714286
15-1299.09,Information Technology Project Managers,2.14,1.67,3.52,1.86,2.24,4.33,1.3125,3.17,3.276285714285714,1.2185714285714286,2.684285714285714,3.5257142857142862
15-2011.00,Actuaries,2.26,1.0,3.22,1.11,2.15,3.46,1.16,3.157857142857143,2.2558857142857143,1.0538857142857143,2.1357142857142857,1.4674999999999998
15-2021.00,Mathematicians,1.74,1.1,2.1,1.3,2.0,3.15,1.0206285714285714,1.6835714285714285,1.3795,1.03,1.8571428571428568,1.3257142857142856
15-2031.00,Operations Research Analysts,2.29,1.2,2.1,1.33,1.65,3.57,1.157142857142857,1.8886428571428573,2.5264,1.078,1.837942857142857,1.6827142857142858
15-2041.00,Statisticians,2.1,1.05,2.9,1.0,2.56,3.29,1.1257142857142857,2.9680714285714287,2.1142857142857143,1.0462857142857145,1.8571428571428568,1.2507142857142857
15-2041.01,Biostatisticians,1.92,1.0,2.71,1.33,2.42,3.38,1.0664285714285715,2.013442857142857,1.3783857142857143,1.0602571428571428,2.0342857142857143,1.4089285714285715
15-2051.01,Business Intelligence Analysts,2.5,1.05,2.91,1.0,2.82,3.73,1.12,2.1776,1.8272,1.0006428571428572,1.9842857142857144,1.3332285714285714
15-2051.02,Clinical Data Managers,2.5,1.2,3.8,1.15,2.9,3.95,1.32,3.217142857142857,2.065,1.03,2.542057142857143,1.4725
15-2099.01,Bioinformatics Technicians,2.94,1.26,3.13,1.11,2.92,3.39,1.5785714285714287,2.1958857142857147,3.0355000000000003,1.1434857142857142,2.125,1.2511142857142856
17-1011.00,"Architects, Except Landscape and Naval",2.05,1.57,3.1,1.16,3.1,3.62,1.3571428571428572,2.869214285714285,2.132542857142857,1.143,2.7207142857142856,2.257142857142857
17-1012.00,Landscape Architects,2.05,1.2,2.3,1.1,2.1,3.85,1.25,2.64,2.602857142857143,1.13,2.096342857142857,1.6884285714285716
17-1021.00,Cartographers and Photogrammetrists,2.68,1.45,3.51,1.0,3.5,3.97,1.22,3.0056,2.5193142857142856,1.6111142857142855,1.9449142857142856,1.3590285714285713
17-1022.00,Surveyors,2.35,2.0,3.75,1.8,2.8,4.3,1.6875,3.200357142857143,2.393214285714285,1.7641714285714287,1.9657142857142855,2.430357142857143
17-1022.01,Geodetic Surveyors,2.8,1.93,3.2,1.67,2.31,3.23,1.6875,3.231,2.693542857142857,2.253142857142857,2.3192,1.9593571428571428
17-2011.00,Aerospace Engineers,1.55,1.41,2.34,1.31,2.06,3.56,1.8057142857142856,2.581757142857142,3.168614285714286,1.6312428571428572,2.524285714285714,1.5208000000000002
17-2021.00,Agricultural Engineers,1.95,2.25,2.75,2.05,2.0,3.4,1.9449142857142856,3.61642857142857,2.954285714285714,2.044642857142857,2.205357142857143,2.3514285714285714
17-2031.00,Bioengineers and Biomedical Engineers,2.35,1.35,2.43,1.74,2.26,3.48,1.837942857142857,3.1194571428571427,2.743428571428572,1.9296571428571432,2.6185714285714288,2.1435285714285714
17-2041.00,Chemical Engineers,2.35,1.65,2.48,1.3,1.86,3.57,2.071428571428571,3.139,3.407714285714285,1.7805142857142855,2.1750857142857143,1.577842857142857
17-2051.00,Civil Engineers,2.33,1.67,3.19,1.14,2.3,4.0,1.3392000000000002,3.112771428571428,2.314285714285714,1.0651428571428572,2.2471428571428573,2.4371714285714283
17-2051.01,Transportation Engineers,2.23,1.36,2.77,1.36,2.41,3.73,1.2857142857142856,3.3123571428571426,2.0,1.0918714285714286,2.205357142857143,2.261285714285714
17-2051.02,Water/Wastewater Engineers,1.87,1.52,2.39,1.3,2.23,3.7,1.8057142857142856,3.2287000000000003,2.611757142857143,1.186157142857143,2.4971428571428573,1.960457142857143
17-2061.00,Computer Hardware Engineers,2.71,1.26,3.11,1.32,2.38,3.66,1.8571428571428568,3.305657142857142,2.6048,1.5579142857142858,1.9842857142857144,2.0091142857142854
17-2071.00,Electrical Engineers,2.18,2.01,3.78,2.33,2.71,3.92,1.837942857142857,3.240228571428572,2.938,1.432,2.3857142857142857,2.324742857142857
17-2072.00,"Electronics Engineers, Except Computer",1.33,1.7,2.51,1.41,1.67,3.06,1.9657142857142855,2.6029,2.5624,2.5837142857142856,2.275,1.848357142857143
17-2072.01,Radio Frequency Identification Device Specialists,1.97,1.66,3.14,1.61,2.33,3.99,1.7200000000000002,2.627142857142857,2.974,1.704357142857143,2.1357142857142857,1.8713857142857144
17-2081.00,Environmental Engineers,2.11,1.75,2.75,1.47,1.95,3.81,1.6665142857142858,3.242857142857143,3.2500000000000004,1.3582857142857143,2.821428571428571,2.8357142857142854
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.97,2.17,2.85,1.69,2.11,3.91,1.6063428571428573,3.487085714285714,2.8464285714285715,1.4940571428571428,2.2308,2.022
17-2111.02,Fire-Prevention and Protection Engineers,1.77,1.81,2.35,1.16,1.62,3.54,1.7734857142857143,3.8184,2.530514285714286,1.1281428571428571,1.9842857142857144,1.7729714285714286
17-2112.00,Industrial Engineers,2.16,1.79,3.17,1.74,1.87,3.79,1.542142857142857,2.4074714285714283,2.7548000000000004,2.1935,2.445,1.7290571428571428
17-2112.01,Human Factors Engineers and Ergonomists,1.74,1.9,2.7,1.35,2.15,3.55,1.3785714285714286,2.8525,2.697142857142857,1.492142857142857,2.4285714285714284,1.9594285714285715
17-2112.02,Validation Engineers,1.89,1.84,3.6,1.7,2.0,4.0,1.9842857142857144,4.231428571428571,3.491428571428571,1.9666,2.645714285714285,1.875
