O*NET-SOC Code,Title,Complex Problem Solving ,Critical Thinking ,Systems Analysis ,Deductive Reasoning ,Inductive Reasoning ,Mathematical Reasoning ,Judgment and Decision Making ,Making Decisions and Solving Problems ,Systems Evaluation ,Operations Analysis ,Analyzing Data or Information ,Troubleshooting ,Active Learning ,Learning Strategies ,Oral Comprehension ,Reading Comprehension ,Written Comprehension ,Fluency of Ideas ,Visualization ,Science ,Working with Computers ,Programming ,Technology Design ,Updating and Using Relevant Knowledge ,"Determine Tasks, Priorities and Goals",Written Expression 
11-3021.00,Computer and Information Systems Managers,2.524285714285714,2.782857142857143,2.31,2.7142857142857144,2.7142857142857144,1.8571428571428568,2.5428571428571427,3.5873714285714287,2.4522285714285714,2.023657142857143,3.2935714285714286,1.5357142857142858,2.3192,2.125,2.928571428571429,2.7142857142857144,2.877142857142857,2.275,1.8571428571428568,1.147857142857143,4.3985714285714295,1.655,1.4285714285714286,3.2087857142857144,4.75,2.6185714285714288
11-3031.00,Financial Managers,2.4522285714285714,2.821428571428571,1.9285714285714288,2.98,2.6950857142857143,2.3392857142857144,2.4522285714285714,3.2632,1.9285714285714288,1.12,2.8416428571428574,1.0135714285714286,2.4285714285714284,1.9657142857142855,3.005714285714286,2.877142857142857,3.0592,2.19,1.3392000000000002,1.0089285714285714,2.67,1.2036571428571428,1.077942857142857,2.914228571428572,4.43,2.6950857142857143
11-3031.01,Treasurers and Controllers,2.9522285714285714,3.117142857142857,2.3660714285714284,2.98,2.9522285714285714,2.748571428571428,3.0592,4.096428571428572,2.5907142857142857,1.722057142857143,4.061485714285714,1.0,2.5907142857142857,1.9657142857142855,2.765714285714286,2.894285714285714,2.9522285714285714,2.1635714285714283,1.5165142857142857,1.0089285714285714,3.024685714285715,1.0885714285714283,1.0549142857142857,3.451428571428571,4.36,2.765714285714286
11-3031.03,Investment Fund Managers,2.524285714285714,2.7142857142857144,2.275,2.9522285714285714,2.6950857142857143,2.748571428571428,2.748571428571428,3.737157142857143,2.205357142857143,1.231428571428571,4.182142857142858,1.0,2.524285714285714,1.837942857142857,2.877142857142857,2.821428571428571,2.877142857142857,2.2308,1.6875,1.0,3.0139,1.12,1.1734857142857142,3.198857142857143,4.51,2.7207142857142856
11-3051.00,Industrial Production Managers,2.4522285714285714,2.7142857142857144,2.524285714285714,2.821428571428571,2.645714285714285,2.096342857142857,2.877142857142857,3.2736,2.275,1.7734857142857143,2.2455857142857143,1.4017857142857142,2.4971428571428573,2.571428571428571,2.821428571428571,2.645714285714285,2.7142857142857144,2.4285714285714284,1.9842857142857144,1.0992,2.8715714285714284,1.0664285714285715,1.0992,2.790642857142857,4.54,2.4285714285714284
11-3051.01,Quality Control Systems Managers,2.6185714285714288,2.6185714285714288,2.4522285714285714,2.821428571428571,2.877142857142857,1.9842857142857144,2.765714285714286,3.324142857142857,2.571428571428571,1.75,3.608414285714286,1.6875,2.542057142857143,2.023657142857143,2.821428571428571,2.765714285714286,2.765714285714286,2.205357142857143,1.75,1.4017857142857142,2.749485714285714,1.157142857142857,1.2592,3.212,4.49,2.765714285714286
11-3051.02,Geothermal Production Managers,2.354914285714286,2.662857142857143,2.1635714285714283,2.7142857142857144,2.3906285714285715,2.205357142857143,2.422142857142857,3.423942857142857,2.205357142857143,1.34,2.7591428571428573,1.837942857142857,2.1607142857142856,2.086428571428572,2.9522285714285714,2.748571428571428,2.542057142857143,1.9657142857142855,1.8571428571428568,1.4928571428571429,2.8816,1.157142857142857,1.268571428571429,3.092428571428571,4.74,2.4035714285714285
11-3051.03,Biofuels Production Managers,2.275,2.596342857142857,2.125,2.524285714285714,2.3857142857142857,2.023657142857143,2.3857142857142857,3.4000000000000004,1.9657142857142855,1.32,2.7568571428571427,1.3571428571428572,2.1635714285714283,2.19,3.005714285714286,2.645714285714285,2.765714285714286,1.9842857142857144,1.75,2.0,2.529357142857143,1.2592,1.1885714285714286,2.666,4.13,2.4732142857142856
11-3051.04,Biomass Power Plant Managers,2.4732142857142856,2.7142857142857144,2.1357142857142857,2.821428571428571,2.645714285714285,1.8914285714285717,2.524285714285714,3.3123142857142853,2.1357142857142857,1.3392000000000002,2.935,1.8571428571428568,2.023657142857143,1.8914285714285717,2.765714285714286,2.748571428571428,2.821428571428571,1.9842857142857144,1.78,1.5357142857142858,2.935514285714285,1.077942857142857,1.0664285714285715,2.700314285714286,4.41,2.571428571428571
11-3051.06,Hydroelectric Production Managers,2.4035714285714285,2.571428571428571,2.1492,2.596342857142857,2.4732142857142856,2.086428571428572,2.596342857142857,3.375142857142857,2.19,1.32,2.635428571428572,1.75,2.354914285714286,2.4035714285714285,2.894285714285714,2.6950857142857143,2.9522285714285714,2.1492,2.086428571428572,2.044642857142857,2.353142857142857,1.2208,1.1734857142857142,2.8209285714285715,4.48,2.542057142857143
11-3061.00,Purchasing Managers,2.1607142857142856,2.571428571428571,2.3857142857142857,2.645714285714285,2.4522285714285714,2.096342857142857,2.4732142857142856,3.5358142857142854,2.1357142857142857,1.6364285714285711,2.8822857142857146,1.16,2.205357142857143,2.071428571428571,2.7142857142857144,2.645714285714285,2.6950857142857143,2.596342857142857,1.3571428571428572,1.0,2.5453857142857146,1.157142857142857,1.1734857142857142,3.2773428571428567,4.37,2.571428571428571
11-3071.00,"Transportation, Storage, and Distribution Managers",2.354914285714286,2.354914285714286,2.31,2.5428571428571427,2.44,1.7200000000000002,2.25,3.344557142857143,2.25,1.3008,2.6853571428571428,1.1408,2.354914285714286,2.105,2.607142857142857,2.5428571428571427,2.662857142857143,2.19,1.5785714285714287,1.0,2.590357142857143,1.12,1.12,2.8137142857142856,4.01,2.607142857142857
11-3071.04,Supply Chain Managers,2.645714285714285,2.645714285714285,2.4732142857142856,2.596342857142857,2.596342857142857,2.06,2.7142857142857144,3.5060285714285717,2.596342857142857,1.51,3.24,1.077942857142857,2.4732142857142856,1.9285714285714288,2.765714285714286,2.7142857142857144,2.821428571428571,1.9842857142857144,1.6665142857142858,1.0065142857142857,2.764642857142857,1.077942857142857,1.2208,3.007142857142857,4.19,2.7142857142857144
11-3111.00,Compensation and Benefits Managers,2.105,2.645714285714285,2.205357142857143,2.25,2.19,2.086428571428572,2.645714285714285,3.2911428571428574,2.2471428571428573,1.7200000000000002,2.9680714285714287,1.0,2.571428571428571,1.8914285714285717,2.765714285714286,2.765714285714286,2.821428571428571,2.086428571428572,1.231428571428571,1.0,2.8124714285714285,1.0942857142857143,1.0442857142857145,3.4133142857142857,4.48,2.765714285714286
11-3121.00,Human Resources Managers,2.7142857142857144,2.821428571428571,2.216428571428572,2.821428571428571,2.7142857142857144,1.9285714285714288,2.821428571428571,3.8132,2.645714285714285,1.4435714285714285,2.9722857142857144,1.0,2.765714285714286,2.524285714285714,3.052142857142857,3.0335714285714284,3.1149142857142853,2.6185714285714288,1.32,1.0357142857142856,2.615,1.197142857142857,1.0357142857142856,3.2414285714285715,4.27,2.8363428571428573
11-3131.00,Training and Development Managers,2.4971428571428573,2.571428571428571,2.1357142857142857,2.596342857142857,2.524285714285714,1.6364285714285711,2.4522285714285714,3.436828571428572,2.2471428571428573,1.9285714285714288,2.857857142857143,1.0,2.6696428571428568,3.4375,2.748571428571428,2.7142857142857144,2.645714285714285,2.645714285714285,1.6063428571428573,1.0271428571428571,3.1412,1.0535714285714286,1.0803571428571428,3.5896000000000003,4.43,2.954285714285714
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.31,2.645714285714285,1.9285714285714288,2.6950857142857143,2.6950857142857143,2.0,2.3392857142857144,3.4059,1.9285714285714288,1.3008,2.5698571428571437,1.5357142857142858,2.2308,1.8728571428571428,2.6950857142857143,2.6696428571428568,2.571428571428571,2.2308,2.1635714285714283,1.5785714285714287,1.8569,1.157142857142857,1.1408,2.812857142857143,4.53,2.4522285714285714
11-9021.00,Construction Managers,2.765714285714286,2.877142857142857,2.4522285714285714,2.877142857142857,2.6950857142857143,2.3392857142857144,2.9522285714285714,3.315785714285714,2.3857142857142857,1.9657142857142855,2.5910714285714285,1.4249999999999998,2.645714285714285,1.9842857142857144,2.821428571428571,2.748571428571428,2.765714285714286,2.2308,2.8020571428571426,1.32,2.2342857142857144,1.0442857142857145,1.1071428571428572,2.992857142857143,3.9,2.6950857142857143
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.44,2.7142857142857144,1.9449142857142856,2.765714285714286,2.596342857142857,1.7734857142857143,2.596342857142857,2.9756,2.023657142857143,1.1257142857142857,1.6519999999999997,1.1106285714285715,2.3857142857142857,2.4522285714285714,2.765714285714286,2.765714285714286,2.765714285714286,2.2308,1.4928571428571429,1.0535714285714286,2.2262571428571425,1.0442857142857145,1.0664285714285715,2.6497,4.44,2.894285714285714
11-9032.00,"Education Administrators, Kindergarten through Secondary",3.005714285714286,3.31,2.571428571428571,3.44,2.8363428571428573,2.06,3.4564285714285714,4.031071428571429,3.005714285714286,1.7200000000000002,3.1772714285714287,1.0549142857142857,2.765714285714286,3.585714285714286,3.6142857142857134,3.375,3.544642857142857,2.7142857142857144,1.51,1.157142857142857,2.537714285714286,1.0664285714285715,1.1071428571428572,3.016,4.32,3.3563428571428573
11-9033.00,"Education Administrators, Postsecondary",2.645714285714285,2.894285714285714,2.205357142857143,2.645714285714285,2.765714285714286,1.8728571428571428,2.645714285714285,3.8914,2.205357142857143,1.077942857142857,3.121928571428571,1.0,2.645714285714285,2.571428571428571,3.091428571428572,3.0592,3.005714285714286,2.524285714285714,1.5207142857142857,1.0357142857142856,2.259428571428572,1.0271428571428571,1.0664285714285715,3.2885714285714287,4.66,3.117142857142857
11-9041.00,Architectural and Engineering Managers,2.821428571428571,2.748571428571428,2.096342857142857,2.748571428571428,2.748571428571428,2.6950857142857143,2.748571428571428,3.8322,1.9285714285714288,1.4435714285714285,2.7434571428571424,1.2857142857142856,2.596342857142857,2.0028571428571427,3.117142857142857,2.9522285714285714,3.205357142857143,2.6185714285714288,2.6696428571428568,1.6364285714285711,3.109714285714286,1.1408,1.22,3.4064,4.52,2.9008000000000003
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.4522285714285714,2.542057142857143,2.31,2.877142857142857,2.6185714285714288,2.3392857142857144,2.4522285714285714,3.685257142857143,2.25,1.4435714285714285,3.8864,1.231428571428571,2.205357142857143,1.8728571428571428,2.821428571428571,2.5907142857142857,2.821428571428571,2.3192,1.8728571428571428,1.9085714285714288,3.1847714285714286,1.197142857142857,1.2592,3.454342857142857,4.44,2.6950857142857143
11-9051.00,Food Service Managers,1.8571428571428568,2.4035714285714285,1.8571428571428568,2.5428571428571427,1.8571428571428568,1.7200000000000002,1.9085714285714288,2.6477714285714287,1.8914285714285717,1.4542857142857144,1.8865571428571428,1.268571428571429,2.1357142857142857,1.9449142857142856,2.645714285714285,2.524285714285714,2.5428571428571427,1.8057142857142856,1.4,1.0549142857142857,1.7845428571428572,1.0357142857142856,1.0089285714285714,2.2521142857142857,3.9,2.0
11-9071.00,Gambling Managers,2.225714285714286,2.7142857142857144,1.9085714285714288,2.4732142857142856,2.5428571428571427,1.8571428571428568,2.422142857142857,2.7655000000000003,1.9085714285714288,1.302857142857143,2.4246857142857143,1.0942857142857143,2.2928571428571427,2.086428571428572,2.645714285714285,2.3857142857142857,2.19,1.8571428571428568,1.4179428571428572,1.0549142857142857,2.350714285714285,1.0942857142857143,1.0442857142857145,2.3817142857142857,4.21,2.2071428571428573
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",1.9257142857142855,2.4732142857142856,1.75,2.3392857142857144,2.25,1.6665142857142858,2.31,3.2605142857142857,1.9449142857142856,1.1885714285714286,1.990514285714286,1.062857142857143,2.2308,2.1357142857142857,2.662857142857143,2.524285714285714,2.4035714285714285,2.1607142857142856,1.6171428571428572,1.0178571428571428,2.4743714285714287,1.0178571428571428,1.0336571428571428,2.898142857142857,4.39,2.4732142857142856
11-9081.00,Lodging Managers,2.2767857142857144,2.524285714285714,1.9085714285714288,2.4522285714285714,2.216428571428572,1.935,2.4732142857142856,3.438428571428571,2.19,1.1071428571428572,2.310857142857143,1.1885714285714286,2.524285714285714,2.2308,2.7142857142857144,2.596342857142857,2.7142857142857144,2.31,1.5614285714285714,1.0,2.924628571428572,1.077942857142857,1.1257142857142857,2.332,4.66,2.7142857142857144
11-9111.00,Medical and Health Services Managers,2.5,2.8363428571428573,2.265085714285714,2.7142857142857144,2.7142857142857144,1.9722285714285717,2.7142857142857144,3.5921,2.524285714285714,2.4522285714285714,3.4528000000000008,1.0549142857142857,2.596342857142857,2.2471428571428573,3.265714285714286,2.765714285714286,2.9522285714285714,2.1635714285714283,1.3392000000000002,1.5357142857142858,3.125828571428571,1.197142857142857,1.16,3.5896000000000003,4.11,2.765714285714286
11-9121.00,Natural Sciences Managers,2.748571428571428,2.877142857142857,2.2471428571428573,3.142857142857143,3.091428571428572,2.2857142857142856,2.6185714285714288,3.817971428571429,2.1750857142857143,2.2471428571428573,3.5578857142857143,1.1408,2.696428571428572,2.3857142857142857,3.091428571428572,3.142857142857143,3.2285714285714286,2.2857142857142856,1.4435714285714285,3.1750857142857143,2.546242857142857,1.2036571428571428,1.6665142857142858,3.829857142857143,4.39,3.142857142857143
11-9121.01,Clinical Research Coordinators,2.354914285714286,2.571428571428571,1.7734857142857143,2.7142857142857144,2.596342857142857,1.8571428571428568,2.354914285714286,2.681714285714286,1.9077714285714285,1.0992,2.498,1.0206285714285714,2.36,2.023657142857143,2.877142857142857,2.821428571428571,2.821428571428571,1.8571428571428568,1.6665142857142858,1.8571428571428568,2.8548142857142853,1.077942857142857,1.0664285714285715,2.4219,4.01,2.7142857142857144
11-9121.02,Water Resource Specialists,2.6185714285714288,2.7142857142857144,2.4971428571428573,2.6950857142857143,2.6950857142857143,2.086428571428572,2.596342857142857,3.885,2.4522285714285714,1.7036571428571428,3.971857142857143,1.268571428571429,2.205357142857143,1.9842857142857144,2.7142857142857144,2.765714285714286,2.765714285714286,2.125,1.837942857142857,1.9285714285714288,3.2236,1.1885714285714286,1.2036571428571428,3.6939428571428574,4.14,2.6950857142857143
11-9131.00,Postmasters and Mail Superintendents,1.9449142857142856,2.524285714285714,1.8571428571428568,2.337142857142857,2.225714285714286,1.7734857142857143,2.0028571428571427,3.244,1.8057142857142856,1.4542857142857144,2.346442857142857,1.2142857142857144,2.0028571428571427,2.105,2.662857142857143,2.662857142857143,2.607142857142857,1.8571428571428568,1.4542857142857144,1.0357142857142856,2.7202,1.0942857142857143,1.1408,2.4623142857142857,3.89,2.2928571428571427
11-9141.00,"Property, Real Estate, and Community Association Managers",1.9449142857142856,2.3857142857142857,1.3392000000000002,2.3857142857142857,2.31,1.822857142857143,2.023657142857143,3.528142857142857,1.3392000000000002,1.3008,2.375,1.0549142857142857,1.8914285714285717,1.78,2.765714285714286,2.645714285714285,2.7142857142857144,1.8571428571428568,1.4910714285714284,1.0271428571428571,2.531428571428572,1.0357142857142856,1.0089285714285714,3.057142857142857,4.25,2.571428571428571
11-9151.00,Social and Community Service Managers,2.6950857142857143,2.6950857142857143,2.4732142857142856,2.6950857142857143,2.524285714285714,1.9077714285714285,2.6950857142857143,2.9258571428571427,2.524285714285714,1.7822285714285715,2.2470857142857144,1.0535714285714286,2.596342857142857,2.4035714285714285,3.0592,2.6185714285714288,2.7142857142857144,2.4035714285714285,1.5614285714285714,1.3571428571428572,2.7303571428571427,1.0942857142857143,1.1408,3.1195,4.37,2.6950857142857143
11-9161.00,Emergency Management Directors,3.3979428571428576,2.877142857142857,2.542057142857143,2.894285714285714,2.821428571428571,1.8057142857142856,2.821428571428571,3.8038857142857134,2.4714285714285715,1.9842857142857144,2.760928571428572,1.0357142857142856,2.6696428571428568,2.645714285714285,3.0592,2.765714285714286,2.765714285714286,2.748571428571428,2.06,1.1885714285714286,2.981285714285714,1.0357142857142856,1.0357142857142856,3.246214285714286,4.32,2.821428571428571
11-9171.00,Funeral Home Managers,1.9642857142857144,2.2928571428571427,1.51,2.0608,1.8571428571428568,1.75,2.1142857142857143,3.6508857142857134,1.5892857142857142,1.0336571428571428,1.9774285714285715,1.0942857142857143,1.8057142857142856,1.8057142857142856,2.7142857142857144,2.4522285714285714,2.645714285714285,1.8571428571428568,1.51,1.0357142857142856,3.0680000000000005,1.0442857142857145,1.0664285714285715,3.1244,4.03,2.4732142857142856
11-9179.01,Fitness and Wellness Coordinators,1.9449142857142856,2.4035714285714285,1.9085714285714288,2.7142857142857144,2.4035714285714285,1.6364285714285711,2.0028571428571427,2.644857142857143,1.9449142857142856,1.16,1.9337142857142855,1.12,2.19,2.275,2.7142857142857144,2.4522285714285714,2.645714285714285,2.3857142857142857,1.7385714285714284,1.1339285714285714,2.207642857142857,1.0206285714285714,1.231428571428571,2.9197714285714285,4.5,2.571428571428571
11-9179.02,Spa Managers,2.0608,2.645714285714285,1.9792,2.596342857142857,2.31,1.837942857142857,2.2767857142857144,3.1942857142857144,2.0028571428571427,1.077942857142857,2.529571428571429,1.231428571428571,2.3857142857142857,2.2308,2.7142857142857144,2.275,2.4035714285714285,2.2071428571428573,1.5357142857142858,1.0020571428571428,2.6279285714285714,1.0535714285714286,1.1734857142857142,3.2776000000000005,4.01,2.3192
11-9199.01,Regulatory Affairs Managers,2.2767857142857144,2.645714285714285,2.524285714285714,2.645714285714285,2.645714285714285,1.4928571428571429,2.571428571428571,3.6348571428571432,2.4732142857142856,1.78,3.367128571428572,1.0,2.3392857142857144,2.0,2.8363428571428573,2.8363428571428573,2.894285714285714,2.096342857142857,1.268571428571429,1.3706285714285715,2.622357142857143,1.1106285714285715,1.0664285714285715,3.8126,4.04,2.912857142857143
11-9199.02,Compliance Managers,2.125,2.821428571428571,2.086428571428572,2.877142857142857,2.765714285714286,1.4017857142857142,2.3857142857142857,3.523428571428572,2.023657142857143,1.147857142857143,3.128,1.0135714285714286,2.524285714285714,2.125,2.877142857142857,2.765714285714286,2.877142857142857,1.9285714285714288,1.3008,1.0271428571428571,3.049957142857143,1.0942857142857143,1.0803571428571428,3.5477571428571437,4.33,2.894285714285714
11-9199.08,Loss Prevention Managers,2.596342857142857,2.645714285714285,2.571428571428571,2.596342857142857,2.596342857142857,1.6665142857142858,2.645714285714285,3.615571428571428,2.524285714285714,1.4017857142857142,2.8585000000000003,1.1785714285714286,2.4732142857142856,2.044642857142857,2.7142857142857144,2.7142857142857144,2.645714285714285,2.06,1.6875,1.0,2.654857142857143,1.0664285714285715,1.12,2.7228571428571438,4.14,2.645714285714285
11-9199.09,Wind Energy Operations Managers,2.205357142857143,2.645714285714285,1.9285714285714288,2.571428571428571,2.571428571428571,1.8057142857142856,2.2308,3.701000000000001,1.8914285714285717,1.4017857142857142,2.7561714285714283,1.625,2.0342857142857143,1.8914285714285717,2.7142857142857144,2.645714285714285,2.7142857142857144,2.0028571428571427,1.9285714285714288,1.16,2.7447142857142857,1.157142857142857,1.1785714285714286,3.273142857142857,4.59,2.7142857142857144
11-9199.10,Wind Energy Development Managers,2.105,2.821428571428571,1.8914285714285717,2.877142857142857,2.7142857142857144,2.06,2.31,3.6904,1.9657142857142855,1.231428571428571,2.9572,1.197142857142857,2.36,1.7200000000000002,2.821428571428571,2.748571428571428,2.821428571428571,2.023657142857143,1.837942857142857,1.12,2.2599,1.1339285714285714,1.1071428571428572,3.149714285714286,4.69,2.5428571428571427
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.8363428571428573,2.821428571428571,2.275,2.98,2.765714285714286,2.524285714285714,2.7142857142857144,3.680228571428572,2.4035714285714285,1.8571428571428568,3.2936714285714284,1.0714285714285714,2.2471428571428573,1.8571428571428568,2.877142857142857,2.928571428571429,3.0357142857142856,2.36,2.023657142857143,1.9285714285714288,2.390571428571429,1.0664285714285715,1.1735714285714285,3.0312857142857146,4.0,2.821428571428571
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2.1492,2.4732142857142856,1.5357142857142858,2.524285714285714,2.4035714285714285,1.5785714285714287,2.1357142857142857,2.6428000000000003,1.5357142857142858,1.1339285714285714,1.6450285714285715,1.0,2.25,1.6364285714285711,2.765714285714286,2.7142857142857144,2.7142857142857144,2.086428571428572,1.268571428571429,1.0549142857142857,2.392428571428572,1.0357142857142856,1.0206285714285714,2.807714285714286,4.42,2.4971428571428573
13-1021.00,"Buyers and Purchasing Agents, Farm Products",1.9642857142857144,2.5428571428571427,1.822857142857143,2.265085714285714,2.1492,2.023657142857143,2.1492,3.0991428571428576,1.6063428571428573,1.22,2.647914285714286,1.1107142857142858,1.9449142857142856,1.6428571428571428,2.4971428571428573,2.19,2.4522285714285714,1.8571428571428568,1.3392000000000002,1.1222285714285714,2.126028571428572,1.0535714285714286,1.1071428571428572,2.867114285714286,4.68,2.044642857142857
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",2.0028571428571427,2.571428571428571,1.6942857142857144,2.571428571428571,2.086428571428572,2.2928571428571427,2.275,2.730114285714286,1.9657142857142855,1.32,2.1667428571428573,1.0,2.3192,1.8728571428571428,2.7142857142857144,2.2471428571428573,2.571428571428571,1.8914285714285717,1.51,1.0942857142857143,2.535885714285714,1.0942857142857143,1.0549142857142857,2.800342857142857,4.5,2.0342857142857143
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.7142857142857144,2.596342857142857,1.7734857142857143,2.748571428571428,2.662857142857143,1.8571428571428568,2.596342857142857,3.088142857142857,1.9285714285714288,1.51,3.1638571428571427,1.0549142857142857,2.596342857142857,1.8914285714285717,2.7142857142857144,2.8363428571428573,2.782857142857143,1.9449142857142856,1.3008,1.0020571428571428,2.873428571428572,1.0442857142857145,1.0803571428571428,2.8568571428571428,4.3,2.7142857142857144
13-1031.00,"Claims Adjusters, Examiners, and Investigators",2.2071428571428573,2.821428571428571,1.7485714285714289,2.877142857142857,2.877142857142857,1.8914285714285717,2.4732142857142856,3.346514285714286,1.837942857142857,1.062857142857143,2.971514285714285,1.077942857142857,2.125,1.5892857142857142,3.005714285714286,3.005714285714286,3.1149142857142853,1.7200000000000002,1.51,1.0271428571428571,2.908342857142857,1.24,1.0803571428571428,2.988085714285714,4.3,2.6950857142857143
13-1032.00,"Insurance Appraisers, Auto Damage",1.7734857142857143,2.275,1.4179428571428572,2.205357142857143,2.125,1.5785714285714287,1.9449142857142856,3.202514285714285,1.4691999999999998,1.1734857142857142,2.658042857142857,1.24,1.8057142857142856,1.24,2.7142857142857144,2.2928571428571427,2.4732142857142856,1.5165142857142857,1.542142857142857,1.0042857142857142,2.9136,1.0178571428571428,1.0271428571428571,2.976,4.43,2.4035714285714285
