O*NET-SOC Code,Title,E-Mail,Written Letters and Memos,Quality Control Analysis ,Evaluating Information to Determine Compliance with Standards ,Documenting/Recording Information ,Processing Information ,Monitoring and Controlling Resources ,Operations Monitoring ,"Monitoring Processes, Materials, or Surroundings ",Monitoring ,"Estimating the Quantifiable Characteristics of Products, Events, or Information ",Number Facility ,Mathematics ,Equipment Maintenance ,Repairing and Maintaining Mechanical Equipment ,Repairing and Maintaining Electronic Equipment ,Repairing ,"Operating Vehicles, Mechanized Devices, or Equipment ",Controlling Machines and Processes ,Operation and Control ,Installation ,Equipment Selection ,"Inspecting Equipment, Structures, or Materials ",Getting Information ,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment ","Organizing, Planning, and Prioritizing Work ",Management of Material Resources ,Management of Financial Resources ,Time Management ,Coordination ,Writing ,Depth Perception ,Far Vision ,Near Vision ,Visual Color Discrimination ,Glare Sensitivity ,Night Vision ,Peripheral Vision ,Sound Localization ,Hearing Sensitivity ,Speech Clarity ,Speech Recognition ,Rate Control ,Response Orientation ,Spatial Orientation ,Staffing Organizational Units ,"Identifying Objects, Actions, and Events ","Judging the Qualities of Objects, Services, or People "
11-3021.00,Computer and Information Systems Managers,5.0,3.01,1.75,2.7835428571428573,2.385657142857143,3.1882,2.6512,1.7734857142857143,3.1243857142857148,2.8020571428571426,2.550057142857143,1.9449142857142856,1.9449142857142856,1.0336571428571428,1.0678857142857143,1.251742857142857,1.0535714285714286,1.0954,1.2156,1.231428571428571,1.0,1.2514285714285711,1.938,3.4940999999999995,1.2674,3.837142857142857,1.78,1.9657142857142855,2.275,2.524285714285714,2.571428571428571,1.12,1.7200000000000002,2.4732142857142856,1.4691999999999998,1.0042857142857142,1.0,1.0,1.0,1.1607142857142858,2.216428571428572,2.19,1.0089285714285714,1.0089285714285714,1.0020571428571428,2.643828571428571,3.4304857142857137,2.957057142857143
11-3031.00,Financial Managers,4.98,3.53,1.1885714285714286,3.024,2.319914285714286,3.265642857142857,1.7443428571428572,1.1734857142857142,2.100214285714286,2.6185714285714288,1.5003714285714285,2.517857142857143,2.2928571428571427,1.0,1.0087285714285714,1.0324,1.0,1.1131142857142855,1.1381714285714286,1.0020571428571428,1.0,1.0135714285714286,1.2201428571428572,3.284071428571429,1.0212,3.2163142857142857,1.4179428571428572,2.096342857142857,2.4035714285714285,2.4035714285714285,2.422142857142857,1.0442857142857145,1.3785714285714286,2.6185714285714288,1.0336571428571428,1.0,1.0020571428571428,1.0042857142857142,1.0042857142857142,1.0714285714285714,2.7142857142857144,2.524285714285714,1.0,1.0,1.0,1.8495142857142857,2.282628571428571,2.682514285714286
11-3031.01,Treasurers and Controllers,5.0,4.0,1.1734857142857142,2.8744,2.563714285714286,3.5490285714285714,2.8989714285714285,1.1408,2.0957714285714286,2.8514285714285714,2.092342857142857,2.7207142857142856,2.6696428571428568,1.0,1.0,1.0041142857142855,1.0,1.0070428571428571,1.0349714285714289,1.0020571428571428,1.0,1.0,1.0832,3.8576,1.0073142857142856,3.508471428571429,1.75,3.142857142857143,2.36,2.2308,2.542057142857143,1.0549142857142857,1.5165142857142857,2.765714285714286,1.157142857142857,1.0,1.0,1.0,1.0,1.12,2.4035714285714285,2.4035714285714285,1.0,1.0,1.0,2.4781714285714287,3.0077714285714285,2.661885714285714
11-3031.03,Investment Fund Managers,5.0,3.39,1.0535714285714286,2.4738285714285717,2.3295714285714286,3.8191428571428574,1.4356,1.1885714285714286,1.9737428571428568,2.4285714285714284,2.8123714285714287,2.5907142857142857,2.2308,1.0,1.0,1.0010285714285714,1.0,1.0054,1.0157142857142858,1.0,1.0,1.0,1.1074857142857144,4.209142857142856,1.0010285714285714,2.9737,1.3785714285714286,1.75,2.2471428571428573,1.9449142857142856,2.4522285714285714,1.077942857142857,1.7734857142857143,2.4522285714285714,1.28,1.0,1.0,1.0,1.0,1.231428571428571,2.4732142857142856,2.3392857142857144,1.0,1.0,1.0,1.2743714285714285,3.4963714285714285,2.8568571428571428
11-3051.00,Industrial Production Managers,4.87,3.1,2.1750857142857143,2.363842857142857,2.3384285714285715,2.610557142857143,2.33,2.06,3.1965428571428576,3.091428571428572,2.1772,1.9842857142857144,2.275,1.197142857142857,1.8548714285714285,1.707657142857143,1.2592,1.595814285714286,2.769628571428571,1.78,1.0,1.32,2.704142857142857,3.115542857142857,1.6816,2.9230857142857145,2.2857142857142856,2.36,2.6950857142857143,2.7142857142857144,2.36,1.32,1.822857142857143,2.125,1.7200000000000002,1.0135714285714286,1.0135714285714286,1.0206285714285714,1.0442857142857145,1.25,2.4732142857142856,2.354914285714286,1.3392000000000002,1.1071428571428572,1.0942857142857143,1.9217285714285717,2.6730714285714288,2.418914285714286
11-3051.01,Quality Control Systems Managers,5.0,3.73,2.765714285714286,3.5740857142857143,3.608200000000001,3.4058,2.1834285714285717,2.125,3.366228571428572,2.8514285714285714,2.763314285714286,1.9449142857142856,1.9842857142857144,1.1885714285714286,1.4061571428571429,1.3971,1.12,1.2347142857142857,1.9324,1.8057142857142856,1.0,1.197142857142857,2.986428571428571,3.4816000000000003,1.5112428571428569,3.5459285714285707,1.6875,1.75,2.3392857142857144,2.524285714285714,2.645714285714285,1.36,2.0028571428571427,2.662857142857143,1.8571428571428568,1.0,1.0,1.0,1.0020571428571428,1.4435714285714285,2.422142857142857,2.205357142857143,1.0549142857142857,1.0357142857142856,1.0135714285714286,2.449442857142857,3.548,3.1330000000000005
11-3051.02,Geothermal Production Managers,5.0,4.25,1.872228571428572,3.0324571428571425,2.5542857142857143,3.0732285714285714,3.1349714285714287,2.125,3.4182857142857146,2.8020571428571426,2.4348714285714284,2.06,2.205357142857143,1.5892857142857142,2.1544714285714286,1.6802,1.75,1.7948285714285714,1.4794,1.7734857142857143,1.0,1.467857142857143,2.837414285714286,3.305071428571429,2.0590571428571427,3.882842857142857,1.9842857142857144,2.205357142857143,2.4522285714285714,2.422142857142857,2.4035714285714285,1.394285714285714,1.9842857142857144,2.105,1.8057142857142856,1.077942857142857,1.0535714285714286,1.1339285714285714,1.0992,1.5508,2.2071428571428573,2.2767857142857144,1.2142857142857144,1.231428571428571,1.25,2.2954857142857144,3.2424142857142857,3.0664
11-3051.03,Biofuels Production Managers,5.0,3.5,1.722057142857143,2.482,2.4,2.9670000000000005,2.5155000000000003,2.0,3.352314285714286,2.524285714285714,2.1308285714285717,1.8728571428571428,1.9285714285714288,1.0535714285714286,1.5459428571428573,1.3836428571428572,1.0020571428571428,1.3837428571428572,2.1342,2.023657142857143,1.0,1.0135714285714286,2.4171428571428573,3.0314714285714284,1.4846714285714286,2.8000285714285718,1.75,1.8914285714285717,2.3392857142857144,2.4971428571428573,2.25,1.3008,1.9449142857142856,2.2928571428571427,1.8571428571428568,1.0885714285714283,1.0,1.0,1.0,1.6665142857142858,2.596342857142857,2.354914285714286,1.4691999999999998,1.062857142857143,1.0020571428571428,2.3424571428571426,2.856142857142857,2.4909142857142856
11-3051.04,Biomass Power Plant Managers,4.92,3.8,1.9842857142857144,2.7192857142857143,2.6918285714285712,3.5240857142857145,2.7324571428571427,2.3192,3.328457142857143,2.9008000000000003,2.2376,1.9449142857142856,1.9285714285714288,1.542142857142857,2.7141,2.471714285714285,1.4910714285714284,1.7323428571428572,2.770342857142857,1.8571428571428568,1.0,1.32,2.728,3.212142857142857,1.8551142857142853,3.784857142857143,2.096342857142857,2.096342857142857,2.4035714285714285,2.571428571428571,2.1357142857142857,1.34,1.9842857142857144,2.216428571428572,1.7200000000000002,1.12,1.0135714285714286,1.0271428571428571,1.0357142857142856,1.4249999999999998,2.4035714285714285,2.265085714285714,1.3008,1.157142857142857,1.1071428571428572,2.1237142857142857,2.984571428571428,2.7381857142857142
11-3051.06,Hydroelectric Production Managers,5.0,3.92,2.086428571428572,2.7914857142857143,3.0835,2.737942857142857,2.936,2.2308,3.1939,2.5428571428571427,2.3104,2.086428571428572,2.125,1.655,2.6870857142857143,2.0329428571428574,1.542142857142857,1.6592571428571428,2.158457142857143,2.044642857142857,1.0135714285714286,1.3008,3.2192857142857148,2.983428571428572,2.167,3.3895,1.9657142857142855,1.9657142857142855,2.4732142857142856,2.3392857142857144,2.3857142857142857,1.4464285714285716,1.837942857142857,2.25,2.06,1.25,1.157142857142857,1.1339285714285714,1.1734857142857142,1.6665142857142858,2.4035714285714285,2.354914285714286,1.3008,1.3008,1.394285714285714,2.3635714285714284,2.9694285714285718,2.534057142857143
11-3061.00,Purchasing Managers,5.0,4.21,1.28,2.761428571428572,2.6671428571428573,2.9040714285714286,2.604742857142857,1.268571428571429,2.2670285714285714,2.645714285714285,2.088028571428572,2.086428571428572,1.9449142857142856,1.0,1.0332,1.028757142857143,1.0,1.09,1.1573714285714285,1.0,1.0,1.0,1.78,3.340257142857143,1.4807714285714284,3.702057142857143,2.2471428571428573,2.1635714285714283,2.645714285714285,2.524285714285714,2.645714285714285,1.16,1.5785714285714287,2.205357142857143,1.3008,1.0,1.0,1.0,1.0,1.2857142857142856,2.5428571428571427,2.645714285714285,1.0,1.0,1.0,2.4317714285714285,2.3001142857142858,2.120114285714286
11-3071.00,"Transportation, Storage, and Distribution Managers",4.93,4.0,1.4821428571428572,2.793857142857143,2.3244285714285717,2.7309142857142854,2.757514285714286,1.5785714285714287,2.710128571428572,2.4732142857142856,2.154685714285714,1.8057142857142856,1.7200000000000002,1.0020571428571428,1.3286,1.1986285714285714,1.0,1.6489142857142856,1.3816857142857142,1.2036571428571428,1.0020571428571428,1.0020571428571428,2.032514285714285,3.246957142857142,1.3134571428571429,3.3299714285714286,1.8571428571428568,1.837942857142857,2.4035714285714285,2.524285714285714,2.354914285714286,1.24,1.9642857142857144,2.375,1.4435714285714285,1.077942857142857,1.1408,1.12,1.077942857142857,1.3008,2.25,2.2071428571428573,1.077942857142857,1.077942857142857,1.197142857142857,2.383285714285714,2.573542857142857,2.5562857142857145
11-3071.04,Supply Chain Managers,5.0,3.74,1.231428571428571,2.4685714285714284,2.2954,2.568257142857143,3.150142857142857,1.335714285714286,2.36,2.765714285714286,2.353857142857143,1.8914285714285717,1.8571428571428568,1.0,1.1009714285714285,1.0928285714285717,1.0,1.2388571428571429,1.2714285714285714,1.0,1.0,1.0,1.7395714285714283,3.023857142857143,1.4994142857142858,3.387714285714286,2.4732142857142856,1.8057142857142856,2.7142857142857144,2.7142857142857144,2.645714285714285,1.197142857142857,1.8057142857142856,2.31,1.4542857142857144,1.0,1.0,1.0,1.0,1.2363428571428572,2.2767857142857144,2.265085714285714,1.0,1.0,1.0,2.807957142857143,2.567928571428572,2.5158571428571426
11-3111.00,Compensation and Benefits Managers,5.0,4.06,1.062857142857143,3.115,2.585642857142857,2.9080285714285714,2.5664285714285717,1.0357142857142856,1.8739714285714288,2.2308,1.3294857142857144,2.023657142857143,1.8914285714285717,1.0,1.0,1.0007142857142857,1.0,1.000357142857143,1.0617142857142856,1.0,1.0,1.0,1.0466857142857142,3.5355571428571437,1.0,3.349,1.22,2.205357142857143,2.4035714285714285,2.06,2.765714285714286,1.0,1.3392000000000002,2.2071428571428573,1.0942857142857143,1.0,1.0,1.0,1.0,1.0549142857142857,2.524285714285714,2.354914285714286,1.0,1.0,1.0,1.6956,2.1679,1.9942857142857144
11-3121.00,Human Resources Managers,5.0,3.81,1.0885714285714283,3.6566,2.820571428571429,3.104285714285714,2.7316,1.0357142857142856,2.5942857142857143,2.765714285714286,1.767,1.9285714285714288,1.8571428571428568,1.0,1.0059142857142858,1.0485714285714285,1.0,1.1136714285714286,1.0785714285714283,1.0089285714285714,1.0,1.0,1.272857142857143,3.3123142857142853,1.0072,3.824071428571429,1.5165142857142857,2.211428571428572,2.765714285714286,2.782857142857143,2.782857142857143,1.0357142857142856,1.7734857142857143,2.7142857142857144,1.1071428571428572,1.0,1.0,1.0,1.0,1.12,3.005714285714286,2.98,1.0,1.0,1.0020571428571428,3.7455000000000007,2.5799,2.967142857142857
11-3131.00,Training and Development Managers,4.93,3.14,1.268571428571429,2.644342857142857,2.8283428571428573,3.0828571428571427,2.2975857142857143,1.0942857142857143,2.632857142857143,2.645714285714285,2.258,1.5614285714285714,1.7734857142857143,1.0,1.0015,1.0117,1.0,1.0108,1.0260571428571428,1.0,1.0,1.0,1.2271857142857143,3.5917,1.1010285714285717,3.8267428571428574,1.8057142857142856,2.354914285714286,2.3857142857142857,2.5428571428571427,2.6950857142857143,1.0442857142857145,1.94,2.4732142857142856,1.32,1.0,1.0,1.0,1.0,1.1339285714285714,3.0077714285714285,2.596342857142857,1.0,1.0,1.0,2.2350857142857143,2.669257142857143,2.376785714285714
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",3.39,2.75,1.8057142857142856,2.2300857142857144,2.294057142857143,2.418457142857143,2.950214285714286,1.9842857142857144,2.799085714285714,2.275,2.228857142857142,1.8057142857142856,1.8057142857142856,1.4542857142857144,2.1722857142857146,1.6814857142857145,1.4928571428571429,2.4701714285714287,2.4385000000000003,1.6942857142857144,1.0,1.4691999999999998,2.432628571428572,2.7918000000000003,1.3706,3.406857142857143,1.837942857142857,1.9657142857142855,2.275,2.3392857142857144,2.1635714285714283,1.51,2.19,2.2308,1.75,1.231428571428571,1.1785714285714286,1.3706285714285715,1.28,1.5892857142857142,2.422142857142857,2.4035714285714285,1.4017857142857142,1.5357142857142858,1.51,2.0881,2.631571428571428,2.2154714285714285
11-9021.00,Construction Managers,4.9,3.68,2.0028571428571427,3.2354285714285718,2.815714285714285,2.95,3.0439285714285718,1.7200000000000002,3.2982142857142858,2.8514285714285714,2.3504285714285715,2.1635714285714283,2.3857142857142857,1.0885714285714283,1.5696428571428571,1.5485714285714285,1.1222285714285714,1.93,1.9857142857142855,1.231428571428571,1.0,1.077942857142857,3.1125000000000003,3.0250000000000004,2.3428571428571425,3.6,2.275,2.542057142857143,2.765714285714286,2.928571428571429,2.524285714285714,1.5165142857142857,2.4035714285714285,2.596342857142857,1.8914285714285717,1.197142857142857,1.0535714285714286,1.0549142857142857,1.0357142857142856,1.3392000000000002,2.5428571428571427,2.524285714285714,1.0664285714285715,1.0442857142857145,1.32,2.7742857142857145,2.6307857142857145,2.734342857142857
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",4.83,4.25,1.25,2.9057000000000004,2.3916,1.9524428571428567,2.698057142857144,1.1607142857142858,2.2067714285714284,2.765714285714286,1.8191285714285712,1.7200000000000002,1.7734857142857143,1.0,1.0159,1.068142857142857,1.0,1.0935,1.0896,1.0442857142857145,1.0,1.0,1.8296,2.6477857142857144,1.0552,2.9636571428571425,1.9449142857142856,1.9842857142857144,2.524285714285714,2.7142857142857144,2.571428571428571,1.0942857142857143,1.9085714285714288,2.25,1.302857142857143,1.0,1.0,1.0,1.0,1.268571428571429,2.596342857142857,2.44,1.0,1.0,1.0,2.4649,2.1214285714285714,2.4960000000000004
11-9032.00,"Education Administrators, Kindergarten through Secondary",4.99,4.32,1.8914285714285717,2.347914285714286,2.7794857142857143,2.979571428571428,2.6569714285714285,1.1785714285714286,3.071928571428572,3.265714285714286,2.1,1.8728571428571428,1.9657142857142855,1.0,1.1490571428571428,1.14,1.0,1.1818,1.264,1.0206285714285714,1.0,1.0020571428571428,1.808971428571429,3.439328571428572,1.2137714285714285,3.754171428571429,2.2471428571428573,2.4971428571428573,2.748571428571428,2.928571428571429,3.44,1.0803571428571428,2.205357142857143,2.596342857142857,1.3008,1.0,1.0,1.0020571428571428,1.0020571428571428,1.2142857142857144,3.3271428571428574,3.0335714285714284,1.0,1.0206285714285714,1.0,3.2163142857142857,2.626428571428572,2.6017
11-9033.00,"Education Administrators, Postsecondary",4.93,3.65,1.0271428571428571,3.209942857142857,2.2084,2.9652,2.1687000000000003,1.197142857142857,2.6502142857142856,2.821428571428571,2.046742857142857,1.8057142857142856,1.837942857142857,1.0,1.0068,1.0157714285714283,1.0,1.0157714285714283,1.0161142857142855,1.0,1.0,1.0,1.1920857142857142,3.368157142857142,1.0021714285714285,3.8305,1.94,1.9449142857142856,2.7142857142857144,2.4971428571428573,2.821428571428571,1.0020571428571428,1.655,2.375,1.25,1.0,1.0,1.0,1.0,1.268571428571429,2.765714285714286,2.7142857142857144,1.0,1.0,1.0,2.3056,3.296957142857143,2.964828571428572
11-9041.00,Architectural and Engineering Managers,5.0,3.38,1.8914285714285717,3.7165142857142857,2.638257142857143,3.318,2.0240714285714283,1.5614285714285714,2.8768,2.571428571428571,2.779171428571429,2.36,2.748571428571428,1.0020571428571428,1.1647714285714286,1.1992857142857145,1.0,1.2234285714285713,1.4352,1.08,1.0,1.0,2.3982142857142854,3.829471428571429,3.5658857142857148,3.514457142857143,1.8057142857142856,1.8728571428571428,2.645714285714285,2.6185714285714288,2.765714285714286,1.302857142857143,2.1635714285714283,2.571428571428571,1.8914285714285717,1.0,1.0,1.0,1.0,1.2036571428571428,2.7142857142857144,2.524285714285714,1.0,1.0,1.0271428571428571,1.8886428571428573,3.3287000000000004,2.538742857142857
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4.93,3.49,1.9085714285714288,2.6669714285714288,2.9522,3.784057142857143,2.4900285714285717,1.8571428571428568,3.2572,2.2471428571428573,2.879585714285714,2.125,1.9449142857142856,1.147857142857143,1.612,1.8817285714285716,1.1339285714285714,1.2059714285714285,2.273542857142857,1.3125,1.0065142857142857,1.3785714285714286,2.347828571428572,3.5875857142857144,1.8562857142857143,3.153785714285714,1.268571428571429,1.268571428571429,2.125,2.086428571428572,2.4522285714285714,1.3571428571428572,1.9842857142857144,2.3392857142857144,1.94,1.0,1.0,1.0,1.0,1.6364285714285711,2.2308,2.1492,1.12,1.157142857142857,1.0020571428571428,1.7064857142857142,3.379,2.8876
11-9051.00,Food Service Managers,4.07,2.81,1.6714285714285717,2.3029,1.6949285714285716,2.0248,2.4196428571428568,1.5207142857142857,2.3152857142857144,2.596342857142857,2.056,1.822857142857143,1.7734857142857143,1.1257142857142857,1.4414285714285713,1.3536,1.1071428571428572,1.1567714285714286,1.7448,1.25,1.0,1.0942857142857143,2.140471428571429,2.9492571428571432,1.2904,2.412071428571428,1.8571428571428568,1.8571428571428568,2.3857142857142857,2.596342857142857,1.8914285714285717,1.2036571428571428,1.8571428571428568,1.9449142857142856,1.32,1.0,1.0,1.0,1.0,1.22,2.178571428571429,1.9449142857142856,1.0549142857142857,1.0206285714285714,1.0089285714285714,2.831142857142857,3.2032000000000003,2.1824285714285714
11-9071.00,Gambling Managers,4.46,3.69,1.4906285714285716,2.882457142857143,2.2674714285714286,2.5067142857142857,2.285942857142857,1.32,2.533214285714285,2.645714285714285,1.7633714285714286,2.044642857142857,1.9449142857142856,1.0,1.1820142857142857,1.231,1.0,1.0726857142857142,1.611157142857143,1.0271428571428571,1.0,1.0,1.6942,3.014257142857143,1.1376857142857142,2.665571428571429,1.595,1.6364285714285711,2.4732142857142856,2.6185714285714288,2.4522285714285714,1.231428571428571,2.275,2.216428571428572,1.6875,1.0,1.0,1.0020571428571428,1.0,1.3392000000000002,2.4732142857142856,2.6185714285714288,1.0271428571428571,1.0535714285714286,1.0,2.5678,2.6378,2.1437857142857144
