O*NET-SOC Code,Title,Thinking Creatively ,Originality ,Category Flexibility ,Flexibility of Closure ,Dynamic Flexibility ,Extent Flexibility 
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.8829,1.467857142857143,1.9449142857142856,1.8914285714285717,1.0,1.0
13-2082.00,Tax Preparers,1.8135714285714288,1.6942857142857144,1.9085714285714288,1.822857142857143,1.0,1.0
13-2099.01,Financial Quantitative Analysts,3.278571428571428,2.096342857142857,2.2471428571428573,1.8057142857142856,1.0,1.0
13-2099.04,"Fraud Examiners, Investigators and Analysts",2.3289142857142853,1.8571428571428568,1.8571428571428568,2.1492,1.0,1.0
15-1211.00,Computer Systems Analysts,2.765857142857143,2.0342857142857143,2.205357142857143,1.9449142857142856,1.0,1.0271428571428571
15-1211.01,Health Informatics Specialists,3.617900000000001,2.645714285714285,2.571428571428571,1.8914285714285717,1.0,1.0
15-1212.00,Information Security Analysts,2.718857142857143,1.9285714285714288,2.2928571428571427,2.19,1.0,1.0664285714285715
15-1221.00,Computer and Information Research Scientists,4.081185714285715,2.6393714285714287,2.7207142857142856,1.9285714285714288,1.0,1.0
15-1231.00,Computer Network Support Specialists,2.4178,1.722057142857143,1.9657142857142855,1.8571428571428568,1.0,1.197142857142857
15-1232.00,Computer User Support Specialists,2.6530142857142858,1.8057142857142856,1.8571428571428568,1.7734857142857143,1.0,1.2036571428571428
15-1241.00,Computer Network Architects,2.54,2.0342857142857143,2.7142857142857144,1.9449142857142856,1.0,1.1106285714285715
15-1241.01,Telecommunications Engineering Specialists,2.6393714285714287,1.9842857142857144,1.9449142857142856,1.8914285714285717,1.0,1.34
15-1242.00,Database Administrators,2.9539,2.0,2.3192,2.086428571428572,1.0,1.0
15-1243.00,Database Architects,3.266142857142857,2.1085714285714285,2.2308,2.0028571428571427,1.0,1.0
15-1243.01,Data Warehousing Specialists,3.334171428571428,1.9285714285714288,2.25,1.8571428571428568,1.0,1.0
15-1244.00,Network and Computer Systems Administrators,2.6336571428571425,2.096342857142857,2.1635714285714283,2.06,1.0,1.2857142857142856
15-1251.00,Computer Programmers,3.7613571428571424,1.9285714285714288,1.837942857142857,1.8914285714285717,1.0,1.0
15-1252.00,Software Developers,3.592642857142857,2.023657142857143,2.3392857142857144,1.5785714285714287,1.0,1.0
15-1253.00,Software Quality Assurance Analysts and Testers,3.0112857142857146,1.8571428571428568,1.9449142857142856,2.023657142857143,1.0,1.0
15-1254.00,Web Developers,3.7764285714285712,2.096342857142857,2.125,2.023657142857143,1.0,1.0
15-1255.01,Video Game Designers,4.565714285714286,2.765714285714286,1.9657142857142855,1.8914285714285717,1.0,1.0
15-1299.01,Web Administrators,3.582857142857143,1.9285714285714288,1.9842857142857144,1.8914285714285717,1.0,1.0
15-1299.02,Geographic Information Systems Technologists and Technicians,3.132428571428571,1.8057142857142856,2.086428571428572,1.9657142857142855,1.0,1.0
15-1299.03,Document Management Specialists,2.1622857142857144,1.8571428571428568,2.1607142857142856,1.9085714285714288,1.0,1.0
15-1299.05,Information Security Engineers,2.5922285714285715,1.9077714285714285,2.06,2.125,1.0,1.0135714285714286
15-1299.08,Computer Systems Engineers/Architects,2.435085714285714,2.524285714285714,2.2471428571428573,1.9449142857142856,1.0,1.0206285714285714
15-1299.09,Information Technology Project Managers,2.983928571428572,2.044642857142857,2.205357142857143,1.8914285714285717,1.0,1.0
15-2011.00,Actuaries,2.6246285714285715,1.94,2.7142857142857144,2.086428571428572,1.0,1.0
15-2021.00,Mathematicians,4.462142857142857,2.866071428571429,2.645714285714285,2.205357142857143,1.0,1.0
15-2031.00,Operations Research Analysts,3.5508571428571427,2.4971428571428573,2.4971428571428573,1.9842857142857144,1.0,1.0
15-2041.00,Statisticians,3.468571428571429,2.0342857142857143,2.4035714285714285,1.8914285714285717,1.0,1.0
15-2041.01,Biostatisticians,2.7733,2.2471428571428573,2.4971428571428573,1.8571428571428568,1.0,1.0
15-2051.01,Business Intelligence Analysts,2.998357142857143,1.9842857142857144,2.4971428571428573,2.0028571428571427,1.0,1.0
15-2051.02,Clinical Data Managers,2.396428571428572,1.9657142857142855,2.2471428571428573,1.9842857142857144,1.0,1.0
15-2099.01,Bioinformatics Technicians,3.580014285714286,1.9285714285714288,2.3192,2.2308,1.0,1.0
17-1011.00,"Architects, Except Landscape and Naval",3.7442285714285712,2.821428571428571,2.821428571428571,2.4522285714285714,1.0,1.0
17-1012.00,Landscape Architects,3.7,2.782857142857143,2.645714285714285,1.7734857142857143,1.0,1.0
17-1021.00,Cartographers and Photogrammetrists,2.8426571428571425,1.8571428571428568,2.096342857142857,2.19,1.0,1.0535714285714286
17-1022.00,Surveyors,2.6372714285714283,1.8057142857142856,2.1357142857142857,2.096342857142857,1.0,1.4928571428571429
17-1022.01,Geodetic Surveyors,2.607814285714286,1.7734857142857143,2.524285714285714,2.765714285714286,1.0,1.1734857142857142
17-2011.00,Aerospace Engineers,3.908714285714286,2.4008000000000003,2.4285714285714284,1.9842857142857144,1.0,1.0
17-2021.00,Agricultural Engineers,3.8285714285714287,2.2308,2.6185714285714288,1.8571428571428568,1.0,1.0942857142857143
17-2031.00,Bioengineers and Biomedical Engineers,3.896742857142857,2.6393714285714287,2.6393714285714287,2.2308,1.0,1.0549142857142857
17-2041.00,Chemical Engineers,2.6934857142857145,2.4285714285714284,3.142857142857143,2.2928571428571427,1.0,1.0
17-2051.00,Civil Engineers,2.7659571428571423,2.2857142857142856,2.6185714285714288,2.4035714285714285,1.0,1.0
17-2051.01,Transportation Engineers,2.7764571428571427,2.205357142857143,2.7142857142857144,1.9842857142857144,1.0,1.0
17-2051.02,Water/Wastewater Engineers,2.8285,2.4522285714285714,2.571428571428571,2.1635714285714283,1.0,1.0
17-2061.00,Computer Hardware Engineers,3.863342857142857,2.4285714285714284,2.4714285714285715,1.9449142857142856,1.0,1.0206285714285714
17-2071.00,Electrical Engineers,3.6276142857142855,2.125,2.645714285714285,1.8571428571428568,1.0,1.0206285714285714
17-2072.00,"Electronics Engineers, Except Computer",3.166514285714286,2.36,2.4714285714285715,2.023657142857143,1.0,1.12
17-2072.01,Radio Frequency Identification Device Specialists,3.769828571428572,1.8914285714285717,2.1635714285714283,1.7200000000000002,1.0,1.157142857142857
17-2081.00,Environmental Engineers,2.9550714285714283,2.4971428571428573,2.1357142857142857,1.9842857142857144,1.0,1.0
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2.582057142857143,2.105,2.3392857142857144,2.1492,1.0020571428571428,1.077942857142857
17-2111.02,Fire-Prevention and Protection Engineers,2.8915,2.205357142857143,2.6950857142857143,2.571428571428571,1.0,1.0135714285714286
17-2112.00,Industrial Engineers,3.230485714285714,2.125,2.3192,1.8914285714285717,1.0,1.0089285714285714
17-2112.01,Human Factors Engineers and Ergonomists,3.0805,2.4522285714285714,2.571428571428571,1.8571428571428568,1.0020571428571428,1.0206285714285714
17-2112.02,Validation Engineers,2.08,1.8914285714285717,2.524285714285714,1.8571428571428568,1.0,1.0
17-2112.03,Manufacturing Engineers,2.986857142857143,2.542057142857143,2.877142857142857,2.4971428571428573,1.0,1.25
17-2121.00,Marine Engineers and Naval Architects,2.8427999999999995,2.4522285714285714,2.7678571428571432,2.2928571428571427,1.0020571428571428,1.4928571428571429
17-2131.00,Materials Engineers,3.643142857142857,2.36,3.0357142857142856,2.044642857142857,1.0,1.062857142857143
17-2141.00,Mechanical Engineers,3.5505142857142857,2.36,2.4714285714285715,2.086428571428572,1.0,1.0206285714285714
17-2141.01,Fuel Cell Engineers,3.161342857142857,2.4285714285714284,2.571428571428571,2.2308,1.0,1.0206285714285714
17-2141.02,Automotive Engineers,3.0266285714285712,2.9008000000000003,2.4971428571428573,1.8057142857142856,1.0,1.0
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",2.643742857142857,2.3857142857142857,2.765714285714286,2.4522285714285714,1.0,1.0
17-2161.00,Nuclear Engineers,3.063471428571429,2.3192,2.7142857142857144,2.2928571428571427,1.0,1.0
17-2171.00,Petroleum Engineers,3.3947000000000003,2.3192,2.645714285714285,1.8571428571428568,1.0,1.0
17-2199.03,"Energy Engineers, Except Wind and Solar",3.527242857142857,2.1635714285714283,2.275,1.8914285714285717,1.0,1.0
17-2199.05,Mechatronics Engineers,3.187428571428572,2.4008000000000003,2.1635714285714283,1.8571428571428568,1.0,1.0535714285714286
17-2199.06,Microsystems Engineers,3.25,2.4285714285714284,2.4285714285714284,2.125,1.0,1.1339285714285714
17-2199.07,Photonics Engineers,3.481657142857143,2.8150000000000004,2.7292,2.1635714285714283,1.0,1.0020571428571428
17-2199.08,Robotics Engineers,3.924714285714286,2.9008000000000003,2.596342857142857,2.524285714285714,1.0,1.3008
17-2199.09,Nanosystems Engineers,3.7307,2.7207142857142856,2.954285714285714,2.524285714285714,1.0,1.268571428571429
17-2199.10,Wind Energy Engineers,2.434085714285714,2.096342857142857,1.94,1.8728571428571428,1.0,1.0
17-2199.11,Solar Energy Systems Engineers,2.0928571428571425,2.3857142857142857,2.3857142857142857,1.8571428571428568,1.0,1.1734857142857142
17-3011.00,Architectural and Civil Drafters,2.883971428571429,2.0608,2.1492,1.9842857142857144,1.0135714285714286,1.0135714285714286
17-3012.00,Electrical and Electronics Drafters,2.201928571428572,1.8057142857142856,1.9842857142857144,1.8571428571428568,1.0020571428571428,1.0020571428571428
17-3013.00,Mechanical Drafters,3.032028571428571,2.086428571428572,2.0,2.0342857142857143,1.0,1.0
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,2.3923,1.8057142857142856,2.096342857142857,2.1492,1.0,1.394285714285714
17-3022.00,Civil Engineering Technologists and Technicians,2.2948142857142857,1.822857142857143,2.125,1.9449142857142856,1.0,1.0
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,2.713857142857143,1.9285714285714288,2.086428571428572,1.9285714285714288,1.0089285714285714,1.51
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,2.399142857142857,1.8914285714285717,1.9449142857142856,1.9842857142857144,1.0,1.28
17-3024.01,Robotics Technicians,2.765028571428571,1.9285714285714288,2.096342857142857,2.086428571428572,1.0042857142857142,1.4249999999999998
17-3025.00,Environmental Engineering Technologists and Technicians,1.8019000000000005,1.8571428571428568,2.4971428571428573,1.8914285714285717,1.0,1.302857142857143
17-3026.00,Industrial Engineering Technologists and Technicians,3.2274,2.1635714285714283,2.275,1.8571428571428568,1.0135714285714286,1.0135714285714286
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.8034285714285714,2.023657142857143,2.7678571428571432,2.044642857142857,1.0,1.4179428571428572
17-3027.00,Mechanical Engineering Technologists and Technicians,2.6347428571428573,1.9842857142857144,2.517857142857143,2.1492,1.0,1.5165142857142857
17-3027.01,Automotive Engineering Technicians,2.4148000000000005,1.9285714285714288,2.19,2.023657142857143,1.0,1.5614285714285714
17-3029.01,Non-Destructive Testing Specialists,2.625,1.6171428571428572,1.9842857142857144,2.1635714285714283,1.0,1.467857142857143
17-3029.08,Photonics Technicians,2.273742857142857,1.6665142857142858,1.9449142857142856,1.6364285714285711,1.0,1.12
17-3031.00,Surveying and Mapping Technicians,1.8757857142857144,1.625,1.9449142857142856,2.023657142857143,1.0135714285714286,1.197142857142857
19-1011.00,Animal Scientists,3.596628571428572,2.2471428571428573,2.645714285714285,1.8571428571428568,1.0,1.0206285714285714
19-1012.00,Food Scientists and Technologists,3.148771428571429,2.4971428571428573,2.765714285714286,2.2308,1.0,1.16
19-1013.00,Soil and Plant Scientists,3.405142857142857,2.645714285714285,2.765714285714286,2.19,1.0020571428571428,1.28
19-1021.00,Biochemists and Biophysicists,4.4017857142857135,2.8150000000000004,3.1942857142857144,2.4522285714285714,1.0,1.0336571428571428
19-1022.00,Microbiologists,2.8018857142857145,2.326514285714285,3.0357142857142856,2.571428571428571,1.0,1.0357142857142856
19-1023.00,Zoologists and Wildlife Biologists,2.9337142857142857,2.0028571428571427,2.3857142857142857,2.023657142857143,1.0,1.2857142857142856
19-1029.01,Bioinformatics Scientists,4.372285714285715,2.6696428571428568,2.6185714285714288,2.2308,1.0,1.0
19-1029.02,Molecular and Cellular Biologists,3.625342857142857,2.7678571428571432,3.0357142857142856,2.205357142857143,1.0,1.1428571428571428
19-1029.03,Geneticists,3.4781714285714287,2.571428571428571,2.765714285714286,2.25,1.0,1.0
19-1029.04,Biologists,3.0498285714285718,2.1750857142857143,3.142857142857143,2.2857142857142856,1.0,1.1106285714285715
19-1031.00,Conservation Scientists,2.4490285714285718,2.1635714285714283,2.2308,2.19,1.0221428571428572,1.28
19-1031.02,Range Managers,2.9694285714285718,2.1635714285714283,2.1635714285714283,1.8571428571428568,1.0,1.25
19-1031.03,Park Naturalists,3.402357142857143,1.9842857142857144,1.9449142857142856,1.8571428571428568,1.0,1.268571428571429
19-1032.00,Foresters,2.254,2.1635714285714283,2.645714285714285,2.3192,1.0,1.3214285714285714
19-1041.00,Epidemiologists,3.4080285714285714,2.6950857142857143,2.928571428571429,2.4035714285714285,1.0,1.0
19-1042.00,"Medical Scientists, Except Epidemiologists",4.030685714285714,2.2857142857142856,2.821428571428571,2.205357142857143,1.0,1.0020571428571428
19-2011.00,Astronomers,3.6763857142857135,2.6185714285714288,2.542057142857143,2.8020571428571426,1.0,1.0
19-2012.00,Physicists,3.7811428571428567,3.34,3.106514285714286,2.3192,1.0,1.0
19-2021.00,Atmospheric and Space Scientists,3.109714285714286,1.8914285714285717,2.3192,2.3192,1.0,1.0
19-2031.00,Chemists,2.477542857142857,1.9657142857142855,2.8020571428571426,2.19,1.0,1.0942857142857143
19-2032.00,Materials Scientists,3.3049285714285714,2.3242857142857147,2.8020571428571426,2.1635714285714283,1.0,1.0
19-2041.00,"Environmental Scientists and Specialists, Including Health",2.1283142857142856,2.096342857142857,2.645714285714285,2.275,1.0,1.0357142857142856
19-2041.01,Climate Change Policy Analysts,2.760357142857143,2.06,1.9842857142857144,1.9449142857142856,1.0,1.0
19-2041.02,Environmental Restoration Planners,3.013428571428572,2.1750857142857143,2.3192,1.8914285714285717,1.0,1.157142857142857
19-2041.03,Industrial Ecologists,3.2099,2.36,2.3857142857142857,2.205357142857143,1.0,1.0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",3.525714285714286,2.023657142857143,2.821428571428571,2.125,1.0,1.0664285714285715
19-2043.00,Hydrologists,3.204071428571429,2.3242857142857147,2.571428571428571,2.4035714285714285,1.0,1.197142857142857
19-2099.01,Remote Sensing Scientists and Technologists,3.3355428571428574,2.3192,2.6185714285714288,2.2071428571428573,1.0,1.0020571428571428
19-3011.00,Economists,3.4870857142857146,2.06,1.9842857142857144,1.7385714285714284,1.0,1.0
19-3011.01,Environmental Economists,3.1922714285714284,2.2857142857142856,2.044642857142857,2.0342857142857143,1.0,1.0
19-3022.00,Survey Researchers,3.080457142857143,1.9842857142857144,2.4285714285714284,2.0028571428571427,1.0,1.0
19-3032.00,Industrial-Organizational Psychologists,2.814057142857143,2.645714285714285,2.571428571428571,1.8057142857142856,1.0,1.0
19-3033.00,Clinical and Counseling Psychologists,3.106514285714286,2.3192,2.3192,1.8914285714285717,1.0,1.0
19-3034.00,School Psychologists,2.1334857142857144,2.0,2.086428571428572,1.8914285714285717,1.0,1.0
19-3039.02,Neuropsychologists,2.451257142857143,2.096342857142857,2.6185714285714288,1.9842857142857144,1.0,1.0
19-3039.03,Clinical Neuropsychologists,2.416528571428572,2.096342857142857,2.748571428571428,2.3392857142857144,1.0042857142857142,1.0042857142857142
19-3041.00,Sociologists,3.751785714285714,2.1750857142857143,2.3857142857142857,1.7200000000000002,1.0,1.0
19-3051.00,Urban and Regional Planners,3.267428571428572,2.2857142857142856,2.3857142857142857,1.8914285714285717,1.0,1.0
19-3091.00,Anthropologists and Archeologists,3.4975,1.9842857142857144,2.6950857142857143,2.524285714285714,1.0020571428571428,1.1607142857142858
19-3092.00,Geographers,3.2285714285714286,2.023657142857143,2.542057142857143,2.06,1.0,1.0020571428571428
19-3093.00,Historians,1.9788142857142856,1.8057142857142856,2.086428571428572,1.6875,1.0,1.0020571428571428
