O*NET-SOC Code,Title,Freedom to Make Decisions,Frequency of Decision Making,Impact of Decisions on Co-workers or Company Results,Health and Safety of Other Workers,Work Outcomes and Results of Other Workers,Consequence of Error,Conflict Situations,Time Pressure,Level of Competition,Developing Objectives and Strategies 
13-1131.00,Fundraisers,4.19,3.67,4.0,2.24,3.24,2.52,2.71,3.67,3.57,3.3362857142857143
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.81,4.0,4.05,2.05,2.38,2.86,2.71,3.86,2.76,2.330714285714285
13-1151.00,Training and Development Specialists,4.35,3.05,3.17,2.82,3.35,2.04,3.22,3.7,2.7,2.9378714285714285
13-1161.00,Market Research Analysts and Marketing Specialists,4.52,3.32,3.61,1.57,3.22,2.45,2.7,4.04,3.3,3.101571428571429
13-1161.01,Search Marketing Strategists,4.26,3.43,3.74,1.3,2.91,2.04,2.35,3.74,3.52,3.1707
13-1199.04,Business Continuity Planners,3.83,2.68,3.7,3.26,3.36,2.36,2.57,3.26,2.73,3.0692142857142857
13-1199.05,Sustainability Specialists,3.74,3.09,3.43,2.7,2.87,1.77,3.0,3.57,3.48,3.474214285714285
13-1199.06,Online Merchants,4.6,4.2,4.06,2.69,3.69,2.17,2.92,4.1,3.35,1.9580428571428568
13-1199.07,Security Management Specialists,4.45,3.68,3.95,3.55,3.37,3.16,3.2,3.75,3.32,2.9817142857142858
13-2011.00,Accountants and Auditors,4.04,3.97,4.33,2.33,3.59,2.75,2.75,4.19,3.41,2.2771
13-2022.00,Appraisers of Personal and Business Property,4.17,3.61,4.05,2.43,2.96,3.17,2.35,3.87,3.39,2.2157142857142857
13-2023.00,Appraisers and Assessors of Real Estate,4.46,3.52,3.12,1.59,2.39,2.26,2.5,4.54,3.26,1.6400285714285716
13-2031.00,Budget Analysts,4.25,4.6,4.13,3.33,3.87,2.8,3.01,4.26,2.87,2.319357142857143
13-2041.00,Credit Analysts,3.75,3.7,3.35,1.4,2.05,2.6,2.5,4.2,3.15,1.5571428571428572
13-2052.00,Personal Financial Advisors,4.0,4.12,4.19,1.65,2.74,3.08,2.32,3.69,3.52,2.9105142857142856
13-2053.00,Insurance Underwriters,4.3,4.33,3.9,1.5,2.33,2.9,3.52,4.57,3.33,1.544
13-2061.00,Financial Examiners,3.52,3.39,4.13,1.7,3.74,2.35,2.74,3.61,3.09,2.2204
13-2071.00,Credit Counselors,4.24,4.44,4.08,1.46,1.96,2.44,2.71,3.84,2.88,1.839314285714286
13-2072.00,Loan Officers,4.43,4.8,4.49,2.63,3.6,3.01,3.19,4.12,4.06,1.6980142857142857
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",4.12,4.07,4.18,2.12,2.58,2.91,2.77,3.74,2.0,1.8064857142857145
13-2082.00,Tax Preparers,3.85,3.6,3.74,1.6,2.43,2.74,2.48,4.05,3.4,1.738257142857143
13-2099.01,Financial Quantitative Analysts,3.85,3.42,3.9,1.45,3.17,3.21,2.25,3.75,4.42,2.274642857142857
13-2099.04,"Fraud Examiners, Investigators and Analysts",4.08,4.36,4.16,2.84,3.58,3.12,3.2,4.04,3.42,2.644342857142857
15-1211.00,Computer Systems Analysts,4.2,3.44,3.64,2.12,3.85,2.99,2.36,4.17,3.41,2.3248857142857142
15-1211.01,Health Informatics Specialists,3.95,3.38,3.52,2.76,3.7,2.9,2.9,3.62,3.43,2.951285714285714
15-1212.00,Information Security Analysts,4.0,3.19,3.63,2.14,3.02,3.45,2.92,3.6,3.19,2.173914285714286
15-1221.00,Computer and Information Research Scientists,4.17,3.03,3.42,2.18,3.32,2.61,2.59,3.71,3.31,2.5718
15-1231.00,Computer Network Support Specialists,4.26,3.52,3.77,2.39,3.33,3.29,2.58,3.9,2.96,1.790814285714286
15-1232.00,Computer User Support Specialists,4.57,4.1,3.22,3.41,4.2,3.46,2.33,3.65,2.75,2.0336
15-1241.00,Computer Network Architects,3.75,3.35,3.8,2.5,3.3,3.4,2.4,3.6,3.45,2.4107142857142856
15-1241.01,Telecommunications Engineering Specialists,4.1,3.33,3.52,3.24,3.24,3.0,2.86,4.05,3.48,2.2455
15-1242.00,Database Administrators,4.49,3.91,3.29,2.07,3.46,3.88,2.44,2.99,2.77,2.455571428571428
15-1243.00,Database Architects,4.19,3.14,3.81,1.9,3.14,3.24,2.9,3.62,3.81,2.768
15-1243.01,Data Warehousing Specialists,4.09,2.87,3.26,1.52,2.65,2.22,2.61,3.3,3.0,2.2074857142857143
15-1244.00,Network and Computer Systems Administrators,4.09,3.07,3.3,1.9,2.75,2.72,2.41,3.79,3.1,2.0656
15-1251.00,Computer Programmers,3.43,2.33,3.14,1.28,2.69,2.54,2.48,4.04,3.55,2.4337142857142857
15-1252.00,Software Developers,4.27,2.42,2.55,2.05,3.44,2.76,1.72,3.5,3.05,2.5574285714285714
15-1253.00,Software Quality Assurance Analysts and Testers,4.12,3.0,3.56,2.12,2.88,2.79,3.03,3.88,3.55,2.1207857142857143
15-1254.00,Web Developers,4.42,3.25,3.5,1.83,3.12,2.88,2.88,4.0,3.83,2.274842857142857
15-1255.01,Video Game Designers,3.95,3.1,3.5,1.45,3.15,2.1,2.8,4.05,4.35,2.43
15-1299.01,Web Administrators,4.15,3.45,3.5,1.9,2.9,3.0,2.3,3.75,3.35,2.4207142857142854
15-1299.02,Geographic Information Systems Technologists and Technicians,4.03,3.12,3.45,1.84,3.03,2.5,1.99,3.46,3.1,2.3983
15-1299.03,Document Management Specialists,3.8,3.11,3.15,2.15,3.05,2.79,2.55,3.7,3.05,2.4547857142857143
15-1299.05,Information Security Engineers,4.0,3.42,3.79,2.32,3.16,3.0,2.47,3.95,3.63,2.317042857142857
15-1299.08,Computer Systems Engineers/Architects,4.0,3.57,4.05,2.59,3.15,3.57,3.05,3.82,3.62,2.342714285714286
15-1299.09,Information Technology Project Managers,4.19,3.65,3.81,3.19,4.05,2.8,3.76,4.33,3.9,3.288185714285714
15-2011.00,Actuaries,3.86,3.08,3.96,1.57,3.04,2.37,2.21,3.46,3.62,2.4317714285714285
15-2021.00,Mathematicians,4.5,2.25,2.7,1.75,2.47,2.26,1.9,3.15,3.8,2.3660714285714284
15-2031.00,Operations Research Analysts,3.76,2.9,3.57,2.14,2.95,2.35,2.29,3.57,3.65,2.793857142857143
15-2041.00,Statisticians,4.19,3.19,3.48,1.86,2.95,2.5,2.48,3.29,3.1,2.666
15-2041.01,Biostatisticians,4.26,2.87,3.12,1.88,3.25,2.35,2.46,3.38,3.35,2.2052285714285715
15-2051.01,Business Intelligence Analysts,4.23,3.23,3.55,1.45,3.05,2.73,2.32,3.73,3.32,2.0777142857142854
15-2051.02,Clinical Data Managers,3.7,3.05,3.15,1.6,3.4,2.15,2.8,3.95,3.35,2.21
15-2099.01,Bioinformatics Technicians,4.06,2.66,2.89,2.27,3.62,2.67,2.0,3.39,3.35,1.9658285714285717
17-1011.00,"Architects, Except Landscape and Naval",3.86,3.4,3.48,2.67,3.75,3.2,2.95,3.62,4.1,2.6900000000000004
17-1012.00,Landscape Architects,3.7,3.3,3.45,2.6,3.6,2.4,2.65,3.85,3.4,2.44
17-1021.00,Cartographers and Photogrammetrists,4.09,3.37,3.74,1.78,3.14,2.5,2.58,3.97,2.73,2.1472
17-1022.00,Surveyors,4.0,3.95,4.1,3.9,3.9,3.5,2.9,4.3,3.3,2.5
17-1022.01,Geodetic Surveyors,4.12,3.33,3.27,3.07,2.92,2.25,2.19,3.23,2.44,2.1456428571428567
17-2011.00,Aerospace Engineers,4.35,2.98,3.42,2.41,3.31,2.76,2.97,3.56,2.82,2.0433142857142856
17-2021.00,Agricultural Engineers,4.0,2.95,3.5,3.5,3.3,3.05,2.6,3.4,3.05,3.128214285714286
17-2031.00,Bioengineers and Biomedical Engineers,4.0,2.78,3.48,3.3,3.22,2.61,2.35,3.48,3.61,2.633257142857143
17-2041.00,Chemical Engineers,4.04,3.3,3.87,4.13,2.91,3.96,2.48,3.57,3.39,2.3098
17-2051.00,Civil Engineers,3.9,4.0,3.9,2.9,3.48,3.43,2.9,4.0,3.33,2.0477142857142856
17-2051.01,Transportation Engineers,3.95,3.5,3.8,3.32,3.82,3.38,3.0,3.73,3.18,2.297142857142857
17-2051.02,Water/Wastewater Engineers,3.87,3.3,3.7,3.17,3.39,2.26,2.87,3.7,3.61,2.5015714285714283
17-2061.00,Computer Hardware Engineers,4.24,2.57,3.31,2.69,3.11,2.64,2.55,3.66,3.93,2.716
17-2071.00,Electrical Engineers,4.47,4.14,4.0,3.11,3.74,3.03,3.23,3.92,3.33,2.563371428571428
17-2072.00,"Electronics Engineers, Except Computer",4.55,2.48,3.32,2.34,2.52,2.67,2.02,3.06,2.53,2.288157142857143
17-2072.01,Radio Frequency Identification Device Specialists,4.33,3.8,4.01,2.2,3.68,2.73,3.19,3.99,3.19,2.782171428571428
17-2081.00,Environmental Engineers,3.81,3.16,3.86,4.05,3.63,3.2,2.62,3.81,3.5,3.107142857142857
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",4.25,3.93,4.24,4.08,3.31,3.28,2.96,3.91,3.25,2.3788
17-2111.02,Fire-Prevention and Protection Engineers,4.04,3.38,3.72,3.38,3.23,2.96,2.73,3.54,3.15,2.3872
17-2112.00,Industrial Engineers,4.29,3.8,3.87,3.41,3.68,3.43,3.36,3.79,3.36,2.0944
17-2112.01,Human Factors Engineers and Ergonomists,4.6,2.89,3.26,3.8,3.11,2.58,2.53,3.55,3.4,2.926428571428572
17-2112.02,Validation Engineers,4.15,3.3,3.7,2.9,3.05,2.95,3.1,4.0,2.7,2.090357142857143
17-2112.03,Manufacturing Engineers,4.0,3.35,3.69,3.88,3.38,3.12,3.08,3.62,3.12,2.216
17-2121.00,Marine Engineers and Naval Architects,3.78,3.11,4.06,3.22,2.94,3.71,2.35,3.67,2.94,2.1290285714285715
17-2131.00,Materials Engineers,4.19,2.9,3.45,3.71,3.67,2.76,2.71,3.52,3.48,2.7355
17-2141.00,Mechanical Engineers,4.25,3.49,3.94,3.05,3.8,2.99,2.79,3.51,3.66,2.259428571428572
17-2141.01,Fuel Cell Engineers,3.77,2.36,2.68,3.73,3.18,2.95,2.36,3.45,3.27,2.5555
17-2141.02,Automotive Engineers,4.0,3.14,3.33,3.5,3.35,2.9,2.7,3.86,3.52,2.314285714285714
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4.17,3.65,3.86,3.2,3.4,2.92,2.7,3.57,3.15,2.471714285714285
17-2161.00,Nuclear Engineers,3.48,3.11,3.71,3.9,3.15,3.65,2.6,3.57,3.25,2.359642857142857
17-2171.00,Petroleum Engineers,3.92,3.91,4.0,3.59,3.81,2.76,2.83,3.67,3.5,3.0548571428571423
17-2199.03,"Energy Engineers, Except Wind and Solar",4.14,3.41,3.41,3.38,3.67,2.55,2.95,3.36,3.27,2.5555
17-2199.05,Mechatronics Engineers,4.19,3.65,3.83,3.33,2.96,3.27,2.64,3.65,3.46,2.2234857142857143
17-2199.06,Microsystems Engineers,4.43,3.28,3.76,2.85,3.49,2.58,2.23,3.27,3.21,2.182942857142857
17-2199.07,Photonics Engineers,4.0,2.39,3.09,2.78,2.91,3.26,2.61,3.26,3.57,1.9750714285714288
17-2199.08,Robotics Engineers,4.24,3.57,4.0,3.9,3.43,3.53,2.9,3.9,3.43,2.52
17-2199.09,Nanosystems Engineers,4.33,3.05,3.29,4.05,3.38,3.4,2.52,3.29,3.52,2.568257142857143
17-2199.10,Wind Energy Engineers,4.04,3.33,3.53,2.13,3.0,2.64,2.43,3.73,2.87,2.1016000000000004
17-2199.11,Solar Energy Systems Engineers,3.89,4.25,4.21,3.82,3.81,3.71,2.89,3.89,3.07,2.0231714285714286
17-3011.00,Architectural and Civil Drafters,3.69,3.28,3.3,2.15,3.28,2.74,2.47,4.38,3.42,1.6980142857142857
17-3012.00,Electrical and Electronics Drafters,3.69,3.43,3.5,2.33,2.95,3.0,2.92,4.18,2.92,1.7533
17-3013.00,Mechanical Drafters,4.45,3.14,3.49,2.21,2.68,2.66,2.4,3.75,2.92,1.6588
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,4.06,4.29,4.35,3.53,3.2,3.78,2.8,4.47,3.42,1.791828571428571
17-3022.00,Civil Engineering Technologists and Technicians,3.92,4.06,3.36,2.86,3.63,2.42,2.83,3.39,2.59,1.5074285714285716
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,4.43,3.52,3.88,3.43,3.34,3.15,2.62,3.56,2.87,1.7569142857142857
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.55,4.13,3.71,3.47,3.53,3.73,3.37,4.35,3.94,1.7032142857142856
17-3024.01,Robotics Technicians,4.23,3.05,3.59,4.05,3.27,4.05,2.5,3.68,3.1,1.7130571428571426
17-3025.00,Environmental Engineering Technologists and Technicians,3.57,3.68,3.98,3.8,3.33,2.95,2.76,3.5,2.87,1.6880714285714284
17-3026.00,Industrial Engineering Technologists and Technicians,4.32,4.15,4.21,3.43,3.51,3.29,3.07,3.91,2.84,1.9403714285714284
17-3026.01,Nanotechnology Engineering Technologists and Technicians,4.1,3.3,3.45,3.85,3.35,2.9,2.1,3.35,3.4,2.198628571428572
17-3027.00,Mechanical Engineering Technologists and Technicians,4.04,3.6,3.91,3.69,3.74,3.85,2.77,4.08,2.93,2.0112000000000005
17-3027.01,Automotive Engineering Technicians,3.56,3.48,3.56,3.85,2.85,3.3,2.89,3.81,3.11,1.6536857142857144
17-3029.01,Non-Destructive Testing Specialists,4.09,4.09,4.18,4.05,3.38,3.67,2.77,4.32,3.45,2.5372
17-3029.08,Photonics Technicians,3.76,3.1,3.45,3.14,2.91,3.45,2.45,3.77,2.82,1.6185142857142858
17-3031.00,Surveying and Mapping Technicians,4.3,3.77,3.6,2.75,3.19,2.74,2.38,3.7,3.0,1.598442857142857
19-1011.00,Animal Scientists,4.39,3.73,3.96,3.3,3.39,2.96,2.65,3.65,3.57,3.0577857142857146
19-1012.00,Food Scientists and Technologists,3.95,3.43,3.73,3.45,3.0,3.19,2.86,3.86,3.14,1.9778857142857145
19-1013.00,Soil and Plant Scientists,4.38,2.86,3.29,3.81,3.57,2.67,2.5,3.33,3.33,2.9448
19-1021.00,Biochemists and Biophysicists,4.3,3.68,3.7,3.8,3.32,3.37,2.55,3.3,4.11,3.5232
19-1022.00,Microbiologists,4.0,3.5,3.64,3.91,3.32,3.86,2.68,4.14,2.86,2.3817142857142857
19-1023.00,Zoologists and Wildlife Biologists,4.12,3.73,3.82,3.7,3.91,2.87,2.47,3.3,3.11,2.970485714285714
19-1029.01,Bioinformatics Scientists,4.81,3.15,3.41,2.12,4.01,2.12,2.23,3.44,4.07,2.7112
19-1029.02,Molecular and Cellular Biologists,3.92,2.58,2.92,3.88,3.0,2.88,2.27,3.31,4.15,2.7645142857142857
19-1029.03,Geneticists,4.64,3.04,3.25,3.16,3.04,2.62,2.2,2.92,4.04,2.918857142857143
19-1029.04,Biologists,4.42,2.97,3.09,3.59,3.82,2.76,2.53,3.29,4.05,3.2168
19-1031.00,Conservation Scientists,4.09,3.0,3.13,3.18,3.09,2.48,2.13,3.3,2.65,2.186114285714286
19-1031.02,Range Managers,4.28,3.25,3.73,3.51,3.35,2.84,3.16,3.31,2.91,3.3138
19-1031.03,Park Naturalists,3.69,3.22,3.54,3.26,3.05,1.91,2.61,2.9,2.71,2.1154
19-1032.00,Foresters,4.64,4.06,4.13,3.08,3.35,3.26,2.54,3.11,2.81,2.482
19-1041.00,Epidemiologists,4.58,3.22,3.56,2.89,3.21,2.28,2.68,3.58,3.42,2.8546571428571426
19-1042.00,"Medical Scientists, Except Epidemiologists",4.41,3.27,3.88,3.7,3.29,3.43,2.79,3.69,3.99,2.332814285714286
19-2011.00,Astronomers,4.83,2.17,2.78,2.3,2.78,2.04,2.04,2.91,4.13,2.566
19-2012.00,Physicists,4.42,2.48,3.26,2.87,2.6,2.13,2.13,3.05,3.31,2.8384857142857145
19-2021.00,Atmospheric and Space Scientists,3.95,3.35,3.53,2.45,3.2,2.25,2.4,3.95,3.6,2.3042857142857143
19-2031.00,Chemists,4.44,3.63,3.55,3.78,3.47,3.42,2.45,3.79,3.51,1.931357142857143
19-2032.00,Materials Scientists,3.76,2.9,3.33,3.71,3.19,3.05,2.24,3.38,3.48,2.1130000000000004
19-2041.00,"Environmental Scientists and Specialists, Including Health",3.71,3.23,3.39,2.51,3.06,2.56,2.94,3.79,3.38,1.8422857142857143
19-2041.01,Climate Change Policy Analysts,4.13,2.91,3.26,1.74,3.26,2.0,2.22,3.26,3.39,3.137342857142857
19-2041.02,Environmental Restoration Planners,4.36,2.77,3.23,3.0,3.35,2.27,2.86,3.43,3.27,3.1214285714285714
19-2041.03,Industrial Ecologists,4.26,2.82,3.22,2.26,2.95,2.05,2.39,3.35,3.41,2.6391
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",4.22,2.97,3.41,3.03,2.94,2.38,2.38,3.44,3.34,2.7030000000000003
19-2043.00,Hydrologists,4.14,2.65,3.09,2.91,3.04,2.48,2.22,3.35,3.55,2.7228571428571438
19-2099.01,Remote Sensing Scientists and Technologists,4.12,2.84,3.28,2.36,3.09,2.52,2.04,3.44,3.24,2.787428571428572
19-3011.00,Economists,4.61,3.55,3.46,1.79,3.38,2.33,2.25,3.62,3.88,2.5227714285714287
19-3011.01,Environmental Economists,4.74,2.26,3.0,1.33,2.52,1.93,2.04,2.77,3.85,2.3457857142857144
19-3022.00,Survey Researchers,4.08,3.19,3.62,2.12,3.69,2.84,2.32,4.0,3.08,2.6378285714285714
19-3032.00,Industrial-Organizational Psychologists,4.42,3.62,4.23,2.35,3.6,2.88,2.73,3.73,3.27,3.0904000000000003
19-3033.00,Clinical and Counseling Psychologists,4.64,4.12,4.04,2.88,2.56,3.64,3.28,3.56,3.32,2.800342857142857
