O*NET-SOC Code,Title,Importance of Repeating Same Tasks,Spend Time Making Repetitive Motions,Pace Determined by Speed of Equipment,Degree of Automation,Memorization ,Time Sharing ,Perceptual Speed ,Speed of Closure ,Speed of Limb Movement ,Wrist-Finger Speed ,Reaction Time ,Scheduling Work and Activities ,Performing Administrative Activities ,Importance of Being Exact or Accurate,Selective Attention ,Auditory Attention ,Problem Sensitivity ,Information Ordering 
11-9199.10,Wind Energy Development Managers,2.27,2.11,1.14,1.55,1.6063428571428573,1.5785714285714287,1.5357142857142858,1.6063428571428573,1.0,1.268571428571429,1.0089285714285714,2.975657142857143,1.798457142857143,3.59,1.7485714285714289,1.394285714285714,2.645714285714285,2.2071428571428573
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,2.5,2.0,1.29,1.64,1.4928571428571429,1.36,1.75,1.4910714285714284,1.0,1.0535714285714286,1.0,3.010214285714285,1.9459285714285717,3.73,1.655,1.22,3.1750857142857143,2.645714285714285
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",2.86,2.05,1.0,1.66,1.2857142857142856,1.51,1.1734857142857142,1.32,1.0,1.0135714285714286,1.0,2.6692,2.194,4.43,1.7385714285714284,1.1607142857142858,2.5428571428571427,1.9642857142857144
13-1021.00,"Buyers and Purchasing Agents, Farm Products",4.2,2.21,1.23,2.95,1.4928571428571429,1.6714285714285717,1.4821428571428572,1.4017857142857142,1.0,1.0,1.0,1.8983428571428576,2.082842857142857,4.39,1.7734857142857143,1.2857142857142856,2.0608,1.9449142857142856
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",4.13,3.57,1.06,1.81,1.36,1.2857142857142856,1.6364285714285711,1.655,1.0206285714285714,1.0442857142857145,1.0,1.8397,2.191342857142857,4.02,1.7485714285714289,1.1607142857142858,2.31,1.9842857142857144
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4.05,2.68,1.18,2.89,1.6364285714285711,1.5785714285714287,1.3785714285714286,1.5357142857142858,1.0,1.0442857142857145,1.0,2.526185714285714,2.452,4.4,1.7385714285714284,1.12,2.2928571428571427,2.4971428571428573
13-1031.00,"Claims Adjusters, Examiners, and Investigators",4.51,3.3,1.83,2.98,1.6063428571428573,1.5508,1.7485714285714289,1.9285714285714288,1.0020571428571428,1.197142857142857,1.0,1.9176571428571427,2.080657142857143,4.61,1.7485714285714289,1.4179428571428572,2.4522285714285714,2.25
13-1032.00,"Insurance Appraisers, Auto Damage",3.79,3.54,1.28,3.25,1.25,1.4017857142857142,1.4691999999999998,1.3785714285714286,1.0,1.0135714285714286,1.0535714285714286,2.3445714285714283,1.9517,4.41,1.9085714285714288,1.3008,2.422142857142857,1.9449142857142856
13-1041.00,Compliance Officers,3.97,3.55,1.7,2.51,1.4821428571428572,1.6364285714285711,1.655,1.5785714285714287,1.0,1.1885714285714286,1.12,2.145,2.4747142857142856,4.46,1.8571428571428568,1.3125,2.2767857142857144,2.327857142857143
13-1041.01,Environmental Compliance Inspectors,3.3,1.85,1.2,1.6,1.75,1.6875,2.3392857142857144,1.8057142857142856,1.0357142857142856,1.0357142857142856,1.22,2.3114285714285714,2.005714285714286,4.0,1.8571428571428568,1.8057142857142856,3.1750857142857143,2.571428571428571
13-1041.03,Equal Opportunity Representatives and Officers,3.0,2.83,1.35,2.34,1.6665142857142858,1.7734857142857143,1.7385714285714284,1.8914285714285717,1.0,1.0664285714285715,1.0,2.492585714285714,2.5045,4.32,1.7385714285714284,1.5357142857142858,2.8363428571428573,2.4732142857142856
13-1041.04,Government Property Inspectors and Investigators,3.31,2.14,1.59,2.18,1.9449142857142856,1.9449142857142856,2.265085714285714,2.086428571428572,1.1071428571428572,1.1428571428571428,1.28,2.3471714285714285,2.725214285714286,4.44,2.071428571428572,1.7036571428571428,2.821428571428571,2.7142857142857144
13-1041.06,Coroners,3.35,2.6,1.05,1.55,1.6063428571428573,1.6063428571428573,1.9085714285714288,1.8914285714285717,1.0206285714285714,1.1257142857142857,1.2592,2.6278571428571427,2.716428571428572,4.3,1.8571428571428568,1.32,2.6950857142857143,2.645714285714285
13-1041.07,Regulatory Affairs Specialists,3.3,3.0,1.25,1.7,1.6063428571428573,1.3785714285714286,1.7734857142857143,1.6942857142857144,1.0,1.0135714285714286,1.0,2.6392857142857142,2.2696428571428573,4.15,1.7385714285714284,1.3008,2.645714285714285,2.4522285714285714
13-1041.08,Customs Brokers,4.3,2.75,2.1,3.45,1.6875,1.655,1.6875,1.6665142857142858,1.0,1.0020571428571428,1.0,1.9369,2.647914285714286,4.85,1.9085714285714288,1.25,2.0028571428571427,2.2071428571428573
13-1051.00,Cost Estimators,3.1,2.36,1.32,2.14,1.2857142857142856,1.28,1.7385714285714284,1.655,1.0,1.0664285714285715,1.0,2.8987571428571437,1.608742857142857,3.95,1.8571428571428568,1.0885714285714283,2.023657142857143,2.4971428571428573
13-1071.00,Human Resources Specialists,3.87,3.5,1.0,2.97,1.4017857142857142,1.3392000000000002,1.2857142857142856,1.2857142857142856,1.0,1.0206285714285714,1.0,2.5829285714285715,2.868657142857143,4.34,1.6391999999999998,1.1734857142857142,2.5428571428571427,2.125
13-1074.00,Farm Labor Contractors,4.49,1.88,2.51,2.2,1.28,1.5892857142857142,1.36,1.2142857142857144,1.32,1.0042857142857142,1.4691999999999998,1.6587428571428573,1.903857142857143,4.26,1.6875,1.32,1.9842857142857144,1.7385714285714284
13-1075.00,Labor Relations Specialists,2.25,1.76,1.15,1.9,1.7200000000000002,1.5785714285714287,1.5614285714285714,1.75,1.0,1.0664285714285715,1.0,2.654514285714286,2.2592857142857143,3.67,1.7734857142857143,1.1408,2.765714285714286,2.1492
13-1081.00,Logisticians,3.29,2.58,1.67,2.83,1.7200000000000002,1.5625,1.6875,1.7385714285714284,1.0,1.0271428571428571,1.0,2.936528571428571,2.252957142857143,3.96,1.7036571428571428,1.268571428571429,2.765714285714286,2.662857142857143
13-1081.01,Logistics Engineers,2.78,1.83,2.09,2.35,1.655,1.6063428571428573,1.8057142857142856,1.7200000000000002,1.0,1.0664285714285715,1.0,2.793571428571429,1.9672857142857143,3.87,1.822857142857143,1.3785714285714286,2.877142857142857,2.7142857142857144
13-1081.02,Logistics Analysts,4.0,3.55,1.45,2.95,1.6875,1.595,1.9085714285714288,1.7200000000000002,1.0,1.0135714285714286,1.0,2.371728571428571,1.9742857142857144,4.14,2.044642857142857,1.302857142857143,2.4522285714285714,2.571428571428571
13-1111.00,Management Analysts,2.7,2.05,1.15,2.55,1.6714285714285717,1.625,1.4906285714285716,1.6364285714285711,1.0,1.0942857142857143,1.0,2.5428571428571427,2.2952285714285714,4.1,1.8571428571428568,1.1785714285714286,2.782857142857143,2.4522285714285714
13-1121.00,"Meeting, Convention, and Event Planners",3.24,3.76,1.27,1.66,1.4179428571428572,1.8571428571428568,1.5785714285714287,1.51,1.0042857142857142,1.0664285714285715,1.0549142857142857,3.5240857142857145,3.017357142857142,3.96,1.872228571428572,1.3706285714285715,2.645714285714285,2.25
13-1131.00,Fundraisers,2.81,2.3,1.24,1.9,1.5165142857142857,1.5625,1.2857142857142856,1.3392000000000002,1.0,1.0206285714285714,1.0,2.5697142857142854,2.0860000000000003,3.62,1.6875,1.1107142857142858,2.1142857142857143,2.205357142857143
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.76,3.05,1.1,2.43,1.3214285714285714,1.2857142857142856,1.6364285714285711,1.6665142857142858,1.0,1.0549142857142857,1.0,1.641457142857143,2.6190857142857142,4.48,1.822857142857143,1.16,2.4035714285714285,2.2308
13-1151.00,Training and Development Specialists,2.52,2.23,1.09,1.96,1.8914285714285717,1.6875,1.4628571428571429,1.6063428571428573,1.0,1.0271428571428571,1.0,2.5970714285714283,1.9996,3.0,1.822857142857143,1.32,2.4732142857142856,2.0028571428571427
13-1161.00,Market Research Analysts and Marketing Specialists,2.96,2.22,1.13,2.35,1.6875,1.4435714285714285,1.7200000000000002,1.5892857142857142,1.0,1.0135714285714286,1.0,2.4175,2.167414285714286,4.43,1.7734857142857143,1.22,2.4522285714285714,2.596342857142857
13-1161.01,Search Marketing Strategists,2.83,2.22,1.13,2.17,1.51,1.6063428571428573,1.5165142857142857,1.655,1.0,1.0089285714285714,1.0,2.119771428571428,2.0696,3.74,1.8571428571428568,1.0803571428571428,2.596342857142857,2.375
13-1199.04,Business Continuity Planners,2.45,2.09,1.23,2.43,1.7734857142857143,1.5508,1.6875,1.7200000000000002,1.0,1.0942857142857143,1.0,2.638,2.2328714285714284,3.65,1.872228571428572,1.268571428571429,3.3563428571428573,2.7142857142857144
13-1199.05,Sustainability Specialists,2.26,1.65,1.18,1.52,1.36,1.5165142857142857,1.7734857142857143,1.4435714285714285,1.0,1.0271428571428571,1.0,2.782257142857143,2.080214285714286,3.57,1.6364285714285711,1.2857142857142856,2.4522285714285714,2.1142857142857143
13-1199.06,Online Merchants,3.44,2.96,1.16,2.66,1.4249999999999998,1.32,1.4249999999999998,1.36,1.0,1.0135714285714286,1.0,1.781942857142857,2.2561142857142857,4.14,1.5508,1.077942857142857,2.071428571428572,1.9842857142857144
13-1199.07,Security Management Specialists,2.58,2.05,1.16,1.95,1.6875,1.625,1.7485714285714289,1.7734857142857143,1.0942857142857143,1.2678571428571428,1.231428571428571,2.9474285714285715,2.5172857142857143,3.8,2.02,1.4028571428571428,3.0892857142857144,2.645714285714285
13-2011.00,Accountants and Auditors,3.85,2.58,1.08,3.05,1.4691999999999998,1.4435714285714285,1.7857142857142856,1.7734857142857143,1.0,1.1734857142857142,1.0,2.497557142857143,2.730114285714286,4.71,1.7036571428571428,1.3008,2.6185714285714288,2.4522285714285714
13-2022.00,Appraisers of Personal and Business Property,3.39,2.22,1.22,1.73,1.4928571428571429,1.36,1.722057142857143,1.78,1.0042857142857142,1.0992,1.0089285714285714,2.4029714285714285,2.632257142857143,4.43,1.9285714285714288,1.32,2.1607142857142856,2.354914285714286
13-2023.00,Appraisers and Assessors of Real Estate,3.22,2.21,1.09,2.39,1.4691999999999998,1.4017857142857142,1.6063428571428573,1.4691999999999998,1.0042857142857142,1.1071428571428572,1.12,2.008514285714286,2.2615285714285718,4.62,1.822857142857143,1.3008,1.9449142857142856,1.9842857142857144
13-2031.00,Budget Analysts,4.6,4.05,1.02,1.57,1.3571428571428572,1.5207142857142857,1.8571428571428568,1.32,1.0,1.0271428571428571,1.0,1.7008,1.7399714285714287,4.6,1.8571428571428568,1.16,2.4732142857142856,2.4732142857142856
13-2041.00,Credit Analysts,4.1,3.05,1.05,2.4,1.4691999999999998,1.2857142857142856,1.8914285714285717,1.7200000000000002,1.0,1.0135714285714286,1.0,1.4928571428571429,1.6835714285714285,4.5,1.7734857142857143,1.1607142857142858,2.571428571428571,2.354914285714286
13-2052.00,Personal Financial Advisors,3.08,1.92,1.08,2.44,1.6063428571428573,1.5785714285714287,1.7385714285714284,1.6063428571428573,1.0,1.0357142857142856,1.0,2.459657142857143,2.395342857142857,4.62,1.7036571428571428,1.12,2.4971428571428573,2.105
13-2053.00,Insurance Underwriters,3.53,3.2,1.17,2.87,1.3008,1.394285714285714,1.4821428571428572,1.3571428571428572,1.0,1.0178571428571428,1.0,1.4853714285714288,2.069757142857142,4.3,1.7385714285714284,1.0942857142857143,2.275,2.023657142857143
13-2061.00,Financial Examiners,2.7,2.09,1.22,2.3,1.7200000000000002,1.394285714285714,1.8571428571428568,1.8571428571428568,1.0,1.0271428571428571,1.0,2.0095714285714283,1.905614285714286,4.0,1.9085714285714288,1.22,2.821428571428571,2.524285714285714
13-2071.00,Credit Counselors,4.08,3.43,1.29,3.0,1.36,1.625,1.4906285714285716,1.4821428571428572,1.0,1.0206285714285714,1.0,1.9865142857142857,2.411885714285714,4.32,1.8571428571428568,1.077942857142857,2.524285714285714,2.0028571428571427
13-2072.00,Loan Officers,3.45,2.58,1.36,3.2,1.2857142857142856,1.3785714285714286,1.3785714285714286,1.3392000000000002,1.0,1.0042857142857142,1.0,1.8671714285714285,2.1131714285714285,4.5,1.68,1.28,2.375,1.9449142857142856
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",4.19,3.3,1.24,3.03,1.7385714285714284,1.4285714285714286,1.7385714285714284,1.6063428571428573,1.0,1.1257142857142857,1.0,2.0831142857142857,1.9250285714285715,4.96,1.6714285714285717,1.3571428571428572,2.3906285714285715,2.607142857142857
13-2082.00,Tax Preparers,4.24,3.21,1.0,2.81,1.2857142857142856,1.2857142857142856,1.7142857142857144,1.4017857142857142,1.0,1.16,1.0,2.3712142857142857,2.2352,4.9,1.822857142857143,1.0664285714285715,1.8571428571428568,2.0028571428571427
13-2099.01,Financial Quantitative Analysts,2.74,2.6,1.39,2.79,1.4435714285714285,1.3008,1.5357142857142858,1.6063428571428573,1.0,1.1257142857142857,1.0,1.9,1.1767857142857143,4.2,1.872228571428572,1.1785714285714286,2.571428571428571,2.524285714285714
