O*NET-SOC Code,Title,Degree of Automation,Importance of Repeating Same Tasks,Pace Determined by Speed of Equipment,Spend Time Making Repetitive Motions,Time Pressure
11-9111.00,Medical and Health Services Managers,2.86,3.79,1.29,3.37,3.93
11-9121.00,Natural Sciences Managers,1.5,2.95,1.22,2.44,3.28
11-9121.01,Clinical Research Coordinators,1.9,4.1,1.31,2.77,3.36
11-9121.02,Water Resource Specialists,2.05,2.1,1.29,1.76,3.5
11-9131.00,Postmasters and Mail Superintendents,2.62,3.73,2.59,2.41,4.92
11-9141.00,"Property, Real Estate, and Community Association Managers",2.2,2.9,1.15,1.84,3.95
11-9151.00,Social and Community Service Managers,2.23,3.43,1.18,2.05,3.91
11-9161.00,Emergency Management Directors,1.86,2.45,1.38,2.32,3.45
11-9171.00,Funeral Home Managers,2.15,3.68,1.37,2.69,4.39
11-9179.01,Fitness and Wellness Coordinators,1.96,2.85,1.12,2.48,3.15
11-9179.02,Spa Managers,2.06,3.36,1.01,2.96,3.52
11-9199.01,Regulatory Affairs Managers,2.0,3.22,1.0,2.87,3.65
11-9199.02,Compliance Managers,1.7,3.83,1.35,2.29,4.3
11-9199.08,Loss Prevention Managers,2.41,3.0,1.32,2.32,3.91
11-9199.09,Wind Energy Operations Managers,2.45,3.06,1.83,2.43,3.79
11-9199.10,Wind Energy Development Managers,1.55,2.27,1.14,2.11,3.5
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,1.64,2.5,1.29,2.0,3.64
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",1.66,2.86,1.0,2.05,4.65
13-1021.00,"Buyers and Purchasing Agents, Farm Products",2.95,4.2,1.23,2.21,3.81
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",1.81,4.13,1.06,3.57,4.03
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.89,4.05,1.18,2.68,4.3
13-1031.00,"Claims Adjusters, Examiners, and Investigators",2.98,4.51,1.83,3.3,4.39
13-1032.00,"Insurance Appraisers, Auto Damage",3.25,3.79,1.28,3.54,4.55
13-1041.00,Compliance Officers,2.51,3.97,1.7,3.55,3.53
13-1041.01,Environmental Compliance Inspectors,1.6,3.3,1.2,1.85,3.65
13-1041.03,Equal Opportunity Representatives and Officers,2.34,3.0,1.35,2.83,3.51
13-1041.04,Government Property Inspectors and Investigators,2.18,3.31,1.59,2.14,3.92
13-1041.06,Coroners,1.55,3.35,1.05,2.6,4.45
13-1041.07,Regulatory Affairs Specialists,1.7,3.3,1.25,3.0,3.75
13-1041.08,Customs Brokers,3.45,4.3,2.1,2.75,4.8
13-1051.00,Cost Estimators,2.14,3.1,1.32,2.36,3.77
13-1071.00,Human Resources Specialists,2.97,3.87,1.0,3.5,3.76
13-1074.00,Farm Labor Contractors,2.2,4.49,2.51,1.88,4.45
13-1075.00,Labor Relations Specialists,1.9,2.25,1.15,1.76,3.71
13-1081.00,Logisticians,2.83,3.29,1.67,2.58,4.42
13-1081.01,Logistics Engineers,2.35,2.78,2.09,1.83,3.91
13-1081.02,Logistics Analysts,2.95,4.0,1.45,3.55,4.18
13-1111.00,Management Analysts,2.55,2.7,1.15,2.05,4.0
13-1121.00,"Meeting, Convention, and Event Planners",1.66,3.24,1.27,3.76,4.57
13-1131.00,Fundraisers,1.9,2.81,1.24,2.3,3.67
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",2.43,3.76,1.1,3.05,3.86
13-1151.00,Training and Development Specialists,1.96,2.52,1.09,2.23,3.7
13-1161.00,Market Research Analysts and Marketing Specialists,2.35,2.96,1.13,2.22,4.04
13-1161.01,Search Marketing Strategists,2.17,2.83,1.13,2.22,3.74
13-1199.04,Business Continuity Planners,2.43,2.45,1.23,2.09,3.26
13-1199.05,Sustainability Specialists,1.52,2.26,1.18,1.65,3.57
13-1199.06,Online Merchants,2.66,3.44,1.16,2.96,4.1
13-1199.07,Security Management Specialists,1.95,2.58,1.16,2.05,3.75
13-2011.00,Accountants and Auditors,3.05,3.85,1.08,2.58,4.19
13-2022.00,Appraisers of Personal and Business Property,1.73,3.39,1.22,2.22,3.87
13-2023.00,Appraisers and Assessors of Real Estate,2.39,3.22,1.09,2.21,4.54
13-2031.00,Budget Analysts,1.57,4.6,1.02,4.05,4.26
13-2041.00,Credit Analysts,2.4,4.1,1.05,3.05,4.2
13-2052.00,Personal Financial Advisors,2.44,3.08,1.08,1.92,3.69
13-2053.00,Insurance Underwriters,2.87,3.53,1.17,3.2,4.57
13-2061.00,Financial Examiners,2.3,2.7,1.22,2.09,3.61
13-2071.00,Credit Counselors,3.0,4.08,1.29,3.43,3.84
13-2072.00,Loan Officers,3.2,3.45,1.36,2.58,4.12
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3.03,4.19,1.24,3.3,3.74
13-2082.00,Tax Preparers,2.81,4.24,1.0,3.21,4.05
13-2099.01,Financial Quantitative Analysts,2.79,2.74,1.39,2.6,3.75
13-2099.04,"Fraud Examiners, Investigators and Analysts",2.44,3.76,1.36,2.96,4.04
15-1211.00,Computer Systems Analysts,2.71,4.03,1.31,3.6,4.17
15-1211.01,Health Informatics Specialists,2.2,3.48,1.35,2.7,3.62
15-1212.00,Information Security Analysts,2.03,3.33,1.25,2.81,3.6
15-1221.00,Computer and Information Research Scientists,2.32,2.22,1.63,2.45,3.71
15-1231.00,Computer Network Support Specialists,2.28,3.71,1.75,3.33,3.9
15-1232.00,Computer User Support Specialists,2.06,3.5,1.32,4.05,3.65
15-1241.00,Computer Network Architects,2.45,3.25,1.7,2.75,3.6
15-1241.01,Telecommunications Engineering Specialists,2.24,2.86,1.33,1.9,4.05
15-1242.00,Database Administrators,2.63,3.39,1.2,3.89,2.99
15-1243.00,Database Architects,2.67,3.48,1.33,2.33,3.62
15-1243.01,Data Warehousing Specialists,2.39,3.39,1.0,3.09,3.3
15-1244.00,Network and Computer Systems Administrators,2.58,3.3,1.32,3.13,3.79
15-1251.00,Computer Programmers,2.29,3.15,1.13,3.28,4.04
15-1252.00,Software Developers,2.24,3.23,1.33,2.79,3.5
15-1253.00,Software Quality Assurance Analysts and Testers,2.88,3.66,1.61,3.26,3.88
15-1254.00,Web Developers,2.0,4.17,1.04,4.04,4.0
15-1255.01,Video Game Designers,1.79,3.4,1.1,4.05,4.05
15-1299.01,Web Administrators,2.7,3.55,1.35,3.2,3.75
15-1299.02,Geographic Information Systems Technologists and Technicians,2.9,3.98,1.58,3.73,3.46
15-1299.03,Document Management Specialists,3.0,3.37,1.89,2.2,3.7
15-1299.05,Information Security Engineers,3.11,3.0,1.5,2.78,3.95
15-1299.08,Computer Systems Engineers/Architects,2.71,3.7,1.55,3.27,3.82
15-1299.09,Information Technology Project Managers,2.14,3.52,1.86,2.24,4.33
15-2011.00,Actuaries,2.26,3.22,1.11,2.15,3.46
15-2021.00,Mathematicians,1.74,2.1,1.3,2.0,3.15
15-2031.00,Operations Research Analysts,2.29,2.1,1.33,1.65,3.57
15-2041.00,Statisticians,2.1,2.9,1.0,2.56,3.29
15-2041.01,Biostatisticians,1.92,2.71,1.33,2.42,3.38
15-2051.01,Business Intelligence Analysts,2.5,2.91,1.0,2.82,3.73
15-2051.02,Clinical Data Managers,2.5,3.8,1.15,2.9,3.95
15-2099.01,Bioinformatics Technicians,2.94,3.13,1.11,2.92,3.39
17-1011.00,"Architects, Except Landscape and Naval",2.05,3.1,1.16,3.1,3.62
17-1012.00,Landscape Architects,2.05,2.3,1.1,2.1,3.85
17-1021.00,Cartographers and Photogrammetrists,2.68,3.51,1.0,3.5,3.97
17-1022.00,Surveyors,2.35,3.75,1.8,2.8,4.3
17-1022.01,Geodetic Surveyors,2.8,3.2,1.67,2.31,3.23
17-2011.00,Aerospace Engineers,1.55,2.34,1.31,2.06,3.56
17-2021.00,Agricultural Engineers,1.95,2.75,2.05,2.0,3.4
17-2031.00,Bioengineers and Biomedical Engineers,2.35,2.43,1.74,2.26,3.48
17-2041.00,Chemical Engineers,2.35,2.48,1.3,1.86,3.57
17-2051.00,Civil Engineers,2.33,3.19,1.14,2.3,4.0
17-2051.01,Transportation Engineers,2.23,2.77,1.36,2.41,3.73
17-2051.02,Water/Wastewater Engineers,1.87,2.39,1.3,2.23,3.7
17-2061.00,Computer Hardware Engineers,2.71,3.11,1.32,2.38,3.66
17-2071.00,Electrical Engineers,2.18,3.78,2.33,2.71,3.92
17-2072.00,"Electronics Engineers, Except Computer",1.33,2.51,1.41,1.67,3.06
17-2072.01,Radio Frequency Identification Device Specialists,1.97,3.14,1.61,2.33,3.99
17-2081.00,Environmental Engineers,2.11,2.75,1.47,1.95,3.81
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1.97,2.85,1.69,2.11,3.91
17-2111.02,Fire-Prevention and Protection Engineers,1.77,2.35,1.16,1.62,3.54
17-2112.00,Industrial Engineers,2.16,3.17,1.74,1.87,3.79
17-2112.01,Human Factors Engineers and Ergonomists,1.74,2.7,1.35,2.15,3.55
17-2112.02,Validation Engineers,1.89,3.6,1.7,2.0,4.0
17-2112.03,Manufacturing Engineers,2.56,2.54,2.19,2.19,3.62
17-2121.00,Marine Engineers and Naval Architects,1.89,3.33,1.72,2.61,3.67
17-2131.00,Materials Engineers,2.28,2.19,1.86,1.86,3.52
17-2141.00,Mechanical Engineers,2.01,3.05,1.73,2.37,3.51
17-2141.01,Fuel Cell Engineers,2.27,2.05,1.95,1.73,3.45
17-2141.02,Automotive Engineers,2.24,2.67,1.67,1.71,3.86
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",1.79,3.47,1.69,2.29,3.57
17-2161.00,Nuclear Engineers,1.7,3.21,1.25,2.24,3.57
17-2171.00,Petroleum Engineers,1.94,2.87,1.53,2.01,3.67
17-2199.03,"Energy Engineers, Except Wind and Solar",2.05,2.73,1.27,1.86,3.36
17-2199.05,Mechatronics Engineers,1.83,3.22,1.86,1.72,3.65
17-2199.06,Microsystems Engineers,1.93,2.93,1.41,2.47,3.27
17-2199.07,Photonics Engineers,2.26,2.39,1.55,1.87,3.26
17-2199.08,Robotics Engineers,2.7,2.6,2.53,2.0,3.9
17-2199.09,Nanosystems Engineers,2.33,2.7,1.95,1.76,3.29
17-2199.10,Wind Energy Engineers,1.8,2.62,1.23,1.99,3.73
17-2199.11,Solar Energy Systems Engineers,2.0,2.46,1.29,2.32,3.89
17-3011.00,Architectural and Civil Drafters,2.48,3.59,1.28,3.41,4.38
17-3012.00,Electrical and Electronics Drafters,2.49,3.33,1.69,3.17,4.18
17-3013.00,Mechanical Drafters,1.88,3.54,1.33,3.57,3.75
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,1.79,3.35,1.66,2.61,4.47
17-3022.00,Civil Engineering Technologists and Technicians,2.77,3.06,1.44,3.7,3.39
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,2.03,3.2,1.68,2.53,3.56
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,2.27,3.76,2.09,2.78,4.35
17-3024.01,Robotics Technicians,3.38,2.82,2.45,2.36,3.68
17-3025.00,Environmental Engineering Technologists and Technicians,1.97,3.43,1.73,2.97,3.5
17-3026.00,Industrial Engineering Technologists and Technicians,2.19,3.69,1.86,2.79,3.91
17-3026.01,Nanotechnology Engineering Technologists and Technicians,2.7,2.7,2.85,2.3,3.35
17-3027.00,Mechanical Engineering Technologists and Technicians,2.15,3.27,2.63,2.59,4.08
17-3027.01,Automotive Engineering Technicians,2.37,3.33,2.26,2.46,3.81
17-3029.01,Non-Destructive Testing Specialists,2.64,3.64,2.91,3.23,4.32
17-3029.08,Photonics Technicians,2.59,3.41,2.55,3.0,3.77
17-3031.00,Surveying and Mapping Technicians,2.59,3.83,1.82,3.67,3.7
19-1011.00,Animal Scientists,2.26,2.96,1.43,2.09,3.65
19-1012.00,Food Scientists and Technologists,2.24,2.9,2.52,2.36,3.86
19-1013.00,Soil and Plant Scientists,2.19,2.95,1.48,2.14,3.33
19-1021.00,Biochemists and Biophysicists,2.63,3.53,2.17,2.7,3.3
19-1022.00,Microbiologists,2.5,3.68,2.05,3.32,4.14
19-1023.00,Zoologists and Wildlife Biologists,1.26,3.46,1.56,2.62,3.3
19-1029.01,Bioinformatics Scientists,1.7,2.99,1.07,2.73,3.44
19-1029.02,Molecular and Cellular Biologists,2.12,3.04,2.08,2.85,3.31
19-1029.03,Geneticists,1.96,3.17,1.2,2.72,2.92
19-1029.04,Biologists,1.39,3.19,1.72,3.01,3.29
19-1031.00,Conservation Scientists,2.09,3.04,1.35,1.96,3.3
19-1031.02,Range Managers,2.23,2.82,1.37,2.58,3.31
19-1031.03,Park Naturalists,1.05,2.69,1.26,2.5,2.9
19-1032.00,Foresters,1.77,2.77,1.48,2.22,3.11
19-1041.00,Epidemiologists,2.21,2.61,1.16,2.21,3.58
19-1042.00,"Medical Scientists, Except Epidemiologists",2.2,3.96,2.3,3.0,3.69
19-2011.00,Astronomers,1.87,2.3,1.39,1.52,2.91
19-2012.00,Physicists,1.57,2.07,1.0,2.0,3.05
19-2021.00,Atmospheric and Space Scientists,2.6,2.63,1.47,2.8,3.95
19-2031.00,Chemists,2.02,3.48,2.12,2.34,3.79
19-2032.00,Materials Scientists,2.3,1.95,1.9,1.65,3.38
19-2041.00,"Environmental Scientists and Specialists, Including Health",1.5,3.05,1.02,2.51,3.79
19-2041.01,Climate Change Policy Analysts,1.43,2.13,1.09,2.04,3.26
19-2041.02,Environmental Restoration Planners,1.38,2.0,1.32,1.73,3.43
19-2041.03,Industrial Ecologists,1.59,2.57,1.1,2.3,3.35
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",1.65,2.91,1.34,2.13,3.44
19-2043.00,Hydrologists,1.82,2.7,1.61,2.04,3.35
19-2099.01,Remote Sensing Scientists and Technologists,2.64,3.28,1.72,2.72,3.44
19-3011.00,Economists,1.92,2.25,1.0,1.46,3.62
19-3011.01,Environmental Economists,1.85,2.15,1.08,2.15,2.77
19-3022.00,Survey Researchers,2.23,2.92,1.08,2.19,4.0
19-3032.00,Industrial-Organizational Psychologists,1.77,2.5,1.04,2.3,3.73
19-3033.00,Clinical and Counseling Psychologists,1.48,1.84,1.0,1.68,3.56
19-3034.00,School Psychologists,1.66,2.4,1.03,1.67,4.1
19-3039.02,Neuropsychologists,1.76,2.92,1.12,2.09,3.92
19-3039.03,Clinical Neuropsychologists,1.88,3.08,1.12,2.38,4.33
19-3041.00,Sociologists,1.84,2.21,1.0,2.21,3.3
19-3051.00,Urban and Regional Planners,1.4,1.64,1.0,1.6,3.52
19-3091.00,Anthropologists and Archeologists,1.53,2.74,1.05,2.45,3.7
19-3092.00,Geographers,2.0,2.45,1.3,2.9,3.5
19-3093.00,Historians,1.16,2.68,1.18,1.97,3.21
19-3094.00,Political Scientists,1.64,2.16,1.08,1.85,3.27
19-3099.01,Transportation Planners,1.8,1.95,1.0,1.9,3.1
19-4012.00,Agricultural Technicians,2.69,3.12,2.88,3.23,3.21
19-4012.01,Precision Agriculture Technicians,2.39,3.26,2.17,2.17,3.39
19-4013.00,Food Science Technicians,2.31,4.49,3.57,2.74,4.37
19-4021.00,Biological Technicians,1.78,3.37,1.91,2.88,3.33
19-4031.00,Chemical Technicians,2.5,3.62,2.95,2.81,4.35
19-4042.00,"Environmental Science and Protection Technicians, Including Health",2.05,3.14,1.64,1.91,4.27
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",2.67,3.7,1.89,2.68,3.52
19-4051.00,Nuclear Technicians,2.33,4.32,1.92,2.37,3.54
19-4051.02,Nuclear Monitoring Technicians,2.06,3.68,1.4,2.3,3.52
19-4061.00,Social Science Research Assistants,1.62,3.84,1.32,2.53,2.85
19-4071.00,Forest and Conservation Technicians,2.31,3.59,2.31,3.38,3.86
19-4092.00,Forensic Science Technicians,1.53,3.45,1.24,2.67,3.92
19-4099.01,Quality Control Analysts,1.97,4.06,2.32,2.94,3.81
19-4099.03,Remote Sensing Technicians,2.19,3.97,1.69,3.45,3.85
19-5011.00,Occupational Health and Safety Specialists,2.14,2.83,1.52,2.05,3.57
19-5012.00,Occupational Health and Safety Technicians,2.37,2.89,2.37,2.3,3.76
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,1.56,4.11,1.13,1.81,4.46
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",1.52,3.44,1.04,2.32,3.76
21-1013.00,Marriage and Family Therapists,1.38,1.97,1.0,1.39,4.58
21-1014.00,Mental Health Counselors,1.32,2.21,1.11,1.89,3.86
21-1015.00,Rehabilitation Counselors,1.73,3.47,1.3,2.5,4.16
21-1021.00,"Child, Family, and School Social Workers",2.21,3.16,1.0,3.34,4.33
21-1022.00,Healthcare Social Workers,1.69,2.26,1.15,2.04,4.0
21-1023.00,Mental Health and Substance Abuse Social Workers,1.77,3.33,1.0,2.44,4.39
21-1091.00,Health Education Specialists,1.57,3.55,1.11,2.97,3.81
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.66,4.0,1.36,2.55,4.4
21-1093.00,Social and Human Service Assistants,2.23,3.41,1.46,2.94,4.12
21-1094.00,Community Health Workers,2.21,3.03,1.19,2.39,3.42
21-2011.00,Clergy,1.71,2.87,1.0,2.02,3.87
21-2021.00,"Directors, Religious Activities and Education",1.44,1.57,1.0,1.59,2.61
23-1011.00,Lawyers,1.44,2.91,1.0,1.92,4.18
23-1012.00,Judicial Law Clerks,1.84,3.5,1.0,2.79,4.07
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",2.15,4.17,1.02,3.67,4.42
23-1022.00,"Arbitrators, Mediators, and Conciliators",2.1,2.2,1.0,1.65,3.8
23-1023.00,"Judges, Magistrate Judges, and Magistrates",2.13,3.31,1.0,2.68,4.73
23-2011.00,Paralegals and Legal Assistants,1.5,3.86,1.11,3.66,4.36
23-2093.00,"Title Examiners, Abstractors, and Searchers",3.03,4.36,1.14,3.53,4.41
25-1011.00,"Business Teachers, Postsecondary",2.22,2.63,1.03,1.41,3.68
25-1021.00,"Computer Science Teachers, Postsecondary",1.57,2.36,1.0,2.42,4.02
25-1022.00,"Mathematical Science Teachers, Postsecondary",1.62,2.51,1.02,2.21,3.6
25-1031.00,"Architecture Teachers, Postsecondary",1.72,1.94,1.68,2.12,3.47
25-1032.00,"Engineering Teachers, Postsecondary",1.32,2.22,1.41,2.13,3.55
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",1.52,2.55,1.02,1.89,3.58
25-1042.00,"Biological Science Teachers, Postsecondary",1.35,2.28,1.01,1.95,4.05
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",1.39,2.16,1.0,2.26,3.85
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.51,3.13,1.01,2.43,3.68
25-1052.00,"Chemistry Teachers, Postsecondary",1.52,3.12,1.05,1.91,3.78
25-1053.00,"Environmental Science Teachers, Postsecondary",1.64,2.31,1.15,2.36,3.59
25-1054.00,"Physics Teachers, Postsecondary",1.55,2.29,1.19,1.84,3.69
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",1.36,2.64,1.23,2.18,3.41
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1.38,1.76,1.01,1.9,4.03
25-1063.00,"Economics Teachers, Postsecondary",1.78,2.14,1.02,2.09,3.38
25-1064.00,"Geography Teachers, Postsecondary",1.54,2.3,1.07,2.4,3.76
25-1065.00,"Political Science Teachers, Postsecondary",1.18,1.98,1.0,2.57,3.57
25-1066.00,"Psychology Teachers, Postsecondary",1.95,3.0,1.0,2.39,3.39
25-1067.00,"Sociology Teachers, Postsecondary",1.4,3.17,1.02,2.74,3.72
25-1071.00,"Health Specialties Teachers, Postsecondary",1.57,2.15,1.03,2.67,3.79
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",2.08,3.37,1.16,2.7,3.8
25-1081.00,"Education Teachers, Postsecondary",1.5,3.39,1.15,3.49,3.52
25-1082.00,"Library Science Teachers, Postsecondary",1.39,1.95,1.11,3.36,3.58
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",2.05,3.03,1.04,2.41,3.72
25-1112.00,"Law Teachers, Postsecondary",1.53,1.83,1.04,2.01,3.45
25-1113.00,"Social Work Teachers, Postsecondary",1.54,2.11,1.14,2.14,3.51
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",1.23,2.39,1.04,2.66,3.41
25-1122.00,"Communications Teachers, Postsecondary",1.74,2.24,1.14,2.47,3.74
25-1123.00,"English Language and Literature Teachers, Postsecondary",1.62,2.62,1.04,1.74,3.78
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",1.37,1.42,1.05,1.5,3.27
25-1125.00,"History Teachers, Postsecondary",1.41,3.2,1.0,2.91,3.78
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",1.75,2.62,1.0,2.37,3.64
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",2.58,3.31,1.58,2.01,4.05
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",1.86,2.77,1.07,2.41,3.58
25-1194.00,"Career/Technical Education Teachers, Postsecondary",1.79,2.96,1.36,2.12,3.52
25-2011.00,"Preschool Teachers, Except Special Education",1.56,2.01,1.0,2.53,3.07
25-2012.00,"Kindergarten Teachers, Except Special Education",1.68,2.45,1.28,2.7,3.74
25-2021.00,"Elementary School Teachers, Except Special Education",1.91,2.42,1.03,2.22,3.76
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",1.42,3.22,1.01,2.34,3.32
25-2023.00,"Career/Technical Education Teachers, Middle School",1.31,2.78,1.44,1.82,3.88
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",1.37,2.26,1.12,1.99,3.28
25-2032.00,"Career/Technical Education Teachers, Secondary School",1.41,3.13,1.66,2.43,3.95
25-2051.00,"Special Education Teachers, Preschool",1.55,2.41,1.07,3.06,3.09
25-2056.00,"Special Education Teachers, Elementary School",1.41,2.37,1.02,2.02,3.5
25-2057.00,"Special Education Teachers, Middle School",1.33,3.03,1.0,2.4,3.92
25-2058.00,"Special Education Teachers, Secondary School",1.47,2.41,1.04,2.21,3.82
25-2059.01,Adapted Physical Education Specialists,1.2,2.19,1.1,2.55,3.38
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1.54,2.7,1.09,2.36,3.21
25-3021.00,Self-Enrichment Teachers,1.41,2.9,1.27,1.89,2.76
25-3031.00,"Substitute Teachers, Short-Term",1.59,2.85,1.17,2.62,2.92
25-3041.00,Tutors,1.48,2.1,1.14,2.05,3.5
25-4011.00,Archivists,2.14,3.72,1.17,2.97,2.94
25-4012.00,Curators,1.38,2.53,1.1,2.45,3.24
25-4013.00,Museum Technicians and Conservators,1.44,3.23,1.26,2.26,3.45
25-4022.00,Librarians and Media Collections Specialists,2.42,2.91,1.09,2.63,3.53
25-4031.00,Library Technicians,2.66,4.15,1.4,3.61,3.48
25-9021.00,Farm and Home Management Educators,1.59,2.3,1.07,2.0,3.22
25-9031.00,Instructional Coordinators,1.18,2.69,1.0,2.22,3.63
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",2.07,2.9,1.4,2.62,2.45
25-9043.00,"Teaching Assistants, Special Education",1.09,1.76,1.0,1.94,3.07
25-9044.00,"Teaching Assistants, Postsecondary",1.31,2.55,1.02,2.49,3.46
27-1011.00,Art Directors,1.97,3.34,2.23,3.92,4.76
27-1012.00,Craft Artists,1.48,3.0,1.26,3.65,2.65
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",1.6,2.63,1.17,3.57,3.34
27-1014.00,Special Effects Artists and Animators,2.04,2.78,1.99,2.97,4.45
27-1021.00,Commercial and Industrial Designers,1.95,3.67,1.4,2.65,4.03
27-1022.00,Fashion Designers,2.05,2.94,2.66,3.0,4.09
27-1023.00,Floral Designers,1.73,2.71,1.0,3.39,4.13
27-1024.00,Graphic Designers,1.67,3.58,1.37,3.74,4.65
27-1025.00,Interior Designers,2.04,2.88,1.12,2.36,4.16
27-1026.00,Merchandise Displayers and Window Trimmers,1.46,2.83,1.15,3.13,3.77
27-1027.00,Set and Exhibit Designers,1.71,2.33,1.05,2.29,4.19
27-2011.00,Actors,1.35,2.59,1.22,2.41,4.59
27-2012.00,Producers and Directors,1.48,2.68,1.49,2.72,4.36
27-2012.03,Media Programming Directors,2.56,3.71,2.07,3.0,3.97
27-2012.04,Talent Directors,1.73,2.31,1.06,2.54,3.66
27-2012.05,Media Technical Directors/Managers,1.99,3.79,2.76,2.48,4.86
27-2021.00,Athletes and Sports Competitors,1.63,3.68,1.59,3.92,3.87
27-2022.00,Coaches and Scouts,1.44,2.35,1.28,2.66,3.67
