fullName,country,politicalGroup,id,nationalPoliticalGroup
Ondřej KRUTÍLEK,Czechia,European Conservatives and Reformists Group,256845,Občanská demokratická strana
Tomáš KUBÍN,Czechia,Patriots for Europe Group,261038,ANO 2011
Alice KUHNKE,Sweden,Group of the Greens/European Free Alliance,197395,Miljöpartiet de gröna
András Tivadar KULJA,Hungary,Group of the European People's Party (Christian Democrats),256864,Tisztelet és Szabadság Párt
Katri KULMUNI,Finland,Renew Europe Group,198084,Suomen Keskusta
Merja KYLLÖNEN,Finland,The Left group in the European Parliament - GUE/NGL,124736,Vasemmistoliitto
Ilhan KYUCHYUK,Bulgaria,Renew Europe Group,124866,Movement for Rights and Freedoms
Sergey LAGODINSKY,Germany,Group of the Greens/European Free Alliance,197460,Bündnis 90/Die Grünen
Eszter LAKOS,Hungary,Group of the European People's Party (Christian Democrats),256865,Tisztelet és Szabadság Párt
Aurore LALUCQ,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197697,Place publique
Bernd LANGE,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,1909,Sozialdemokratische Partei Deutschlands
Katrin LANGENSIEPEN,Germany,Group of the Greens/European Free Alliance,197461,Bündnis 90/Die Grünen
Judita LAŠŠÁKOVÁ,Slovakia,Non-attached Members,198373,SMER-Sociálna demokracia
András LÁSZLÓ,Hungary,Patriots for Europe Group,256860,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Afroditi LATINOPOULOU,Greece,Patriots for Europe Group,256954,Foní Loyikís
Murielle LAURENT,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256899,Parti socialiste
Camilla LAURETI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,230085,Partito Democratico
Rada LAYKOVA,Bulgaria,Europe of Sovereign Nations Group,257262,Revival
Ilia LAZAROV,Bulgaria,Group of the European People's Party (Christian Democrats),257261,Union of Democratic Forces
Luis-Vicențiu LAZARUS,Romania,Non-attached Members,257118,Dreptate și Frăție
Isabelle LE CALLENNEC,France,Group of the European People's Party (Christian Democrats),256920,Les Républicains
Fabrice LEGGERI,France,Patriots for Europe Group,256872,Rassemblement national
Jeroen LENAERS,Netherlands,Group of the European People's Party (Christian Democrats),95074,Christen Democratisch Appèl
Julien LEONARDELLI,France,Patriots for Europe Group,256895,Rassemblement national
Janusz LEWANDOWSKI,Poland,Group of the European People's Party (Christian Democrats),23781,Platforma Obywatelska
Miriam LEXMANN,Slovakia,Group of the European People's Party (Christian Democrats),204336,Kresťanskodemokratické hnutie
Peter LIESE,Germany,Group of the European People's Party (Christian Democrats),1927,Christlich Demokratische Union Deutschlands
Norbert LINS,Germany,Group of the European People's Party (Christian Democrats),124808,Christlich Demokratische Union Deutschlands
Nathalie LOISEAU,France,Renew Europe Group,197494,Horizons
Morten LØKKEGAARD,Denmark,Renew Europe Group,96709,"Venstre, Danmarks Liberale Parti"
Reinhold LOPATKA,Austria,Group of the European People's Party (Christian Democrats),220896,Österreichische Volkspartei
Javi LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125042,Partit dels Socialistes de Catalunya (PSC-PSOE)
Juan Fernando LÓPEZ AGUILAR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96812,Partido Socialista Obrero Español
Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Group of the European People's Party (Christian Democrats),28399,Partido Popular
Isabella LÖVIN,Sweden,Group of the Greens/European Free Alliance,96675,Miljöpartiet de gröna
Mimmo LUCANO,Italy,The Left group in the European Parliament - GUE/NGL,257129,Alleanza Verdi e Sinistra
César LUENA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197721,Partido Socialista Obrero Español
Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,Group of the European People's Party (Christian Democrats),96791,Platforma Obywatelska
Giuseppe LUPO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257124,Partito Democratico
David MCALLISTER,Germany,Group of the European People's Party (Christian Democrats),124806,Christlich Demokratische Union Deutschlands
Jaak MADISON,Estonia,European Conservatives and Reformists Group,197493,Eesti Keskerakond
Cristina MAESTRE,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197719,Partido Socialista Obrero Español
Lara MAGONI,Italy,European Conservatives and Reformists Group,257149,FRATELLI D' ITALIA
Péter MAGYAR,Hungary,Group of the European People's Party (Christian Democrats),256868,Tisztelet és Szabadság Párt
Marit MAIJ,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,91636,GroenLinks-PvdA
Marlena MALĄG,Poland,European Conservatives and Reformists Group,257077,Prawo i Sprawiedliwość
Claudiu MANDA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197653,Partidul Social Democrat
Lukas MANDL,Austria,Group of the European People's Party (Christian Democrats),190713,Österreichische Volkspartei
Yannis MANIATIS,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256824,PASOK-KINAL
Mario MANTOVANI,Italy,European Conservatives and Reformists Group,4395,FRATELLI D' ITALIA
Pierfrancesco MARAN,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257727,Partito Democratico
Jagna MARCZUŁAJTIS-WALCZAK,Poland,Group of the European People's Party (Christian Democrats),257082,Platforma Obywatelska
Marion MARÉCHAL,France,European Conservatives and Reformists Group,256922,Identité Libertés
Thierry MARIANI,France,Patriots for Europe Group,197623,Rassemblement national
Ignazio Roberto MARINO,Italy,Group of the Greens/European Free Alliance,257132,Independent
Erik MARQUARDT,Germany,Group of the Greens/European Free Alliance,197462,Bündnis 90/Die Grünen
Jorge MARTÍN FRÍAS,Spain,Patriots for Europe Group,257029,VOX
Catarina MARTINS,Portugal,The Left group in the European Parliament - GUE/NGL,257063,Bloco de Esquerda
Fulvio MARTUSCIELLO,Italy,Group of the European People's Party (Christian Democrats),124828,Forza Italia
Vicent MARZÀ IBÁÑEZ,Spain,Group of the Greens/European Free Alliance,257016,Compromís
Gabriel MATO,Spain,Group of the European People's Party (Christian Democrats),96936,Partido Popular
Sara MATTHIEU,Belgium,Group of the Greens/European Free Alliance,208722,Groen
Costas MAVRIDES,Cyprus,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124691,Democratic Party
Eva MAYDELL,Bulgaria,Group of the European People's Party (Christian Democrats),98341,Citizens for European Development of Bulgaria
Georg MAYER,Austria,Patriots for Europe Group,38511,Freiheitliche Partei Österreichs
Milan MAZUREK,Slovakia,Europe of Sovereign Nations Group,249982,Hnutie Republika
Liudas MAŽYLIS,Lithuania,Group of the European People's Party (Christian Democrats),197841,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Michael MCNAMARA,Ireland,Renew Europe Group,257300,Independent
Nora MEBAREK,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204418,Parti socialiste
Alexandra MEHNERT,Germany,Group of the European People's Party (Christian Democrats),256980,Christlich Demokratische Union Deutschlands
Vangelis MEIMARAKIS,Greece,Group of the European People's Party (Christian Democrats),197662,Nea Demokratia
Eleonora MELETI,Greece,Group of the European People's Party (Christian Democrats),256943,Nea Demokratia
Ana Catarina MENDES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257053,Partido Socialista
Idoia MENDIA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256994,Partido Socialista Obrero Español
Verena MERTENS,Germany,Group of the European People's Party (Christian Democrats),256974,Christlich Demokratische Union Deutschlands
Marina MESURE,France,The Left group in the European Parliament - GUE/NGL,236053,La France Insoumise
Roberta METSOLA,Malta,Group of the European People's Party (Christian Democrats),118859,Partit Nazzjonalista
Tilly METZ,Luxembourg,Group of the Greens/European Free Alliance,193292,Déi Gréng - Les Verts
Sven MIKSER,Estonia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197497,Sotsiaaldemokraatlik Erakond
Giuseppe MILAZZO,Italy,European Conservatives and Reformists Group,197824,FRATELLI D' ITALIA
Francisco José MILLÁN MON,Spain,Group of the European People's Party (Christian Democrats),28400,Partido Popular
Nikola MINCHEV,Bulgaria,Renew Europe Group,257259,We continue the change – Democratic Bulgaria
Ana MIRANDA PAZ,Spain,Group of the Greens/European Free Alliance,24942,Bloque Nacionalista Galego
Csaba MOLNÁR,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124722,Demokratikus Koalíció
Irene MONTERO,Spain,The Left group in the European Parliament - GUE/NGL,245770,PODEMOS
Dolors MONTSERRAT,Spain,Group of the European People's Party (Christian Democrats),197711,Partido Popular
Carolina MORACE,Italy,The Left group in the European Parliament - GUE/NGL,257140,Movimento 5 Stelle
Nadine MORANO,France,Group of the European People's Party (Christian Democrats),72779,Les Républicains
Letizia MORATTI,Italy,Group of the European People's Party (Christian Democrats),257151,Forza Italia
Tiago MOREIRA DE SÁ,Portugal,Patriots for Europe Group,257054,Chega
Javier MORENO SÁNCHEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28347,Partido Socialista Obrero Español
Alessandra MORETTI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124799,Partito Democratico
Dan-Ştefan MOTREANU,Romania,Group of the European People's Party (Christian Democrats),197647,Partidul Naţional Liberal
Arkadiusz MULARCZYK,Poland,European Conservatives and Reformists Group,257060,Prawo i Sprawiedliwość
Piotr MÜLLER,Poland,European Conservatives and Reformists Group,257080,Prawo i Sprawiedliwość
Ciaran MULLOOLY,Ireland,Renew Europe Group,257298,Independent
Siegfried MUREŞAN,Romania,Group of the European People's Party (Christian Democrats),124802,Partidul Naţional Liberal
Ştefan MUŞOIU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257103,Partidul Social Democrat
Jana NAGYOVÁ,Czechia,Patriots for Europe Group,256843,ANO 2011
Dario NARDELLA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257111,Partito Democratico
Fernando NAVARRETE ROJAS,Spain,Group of the European People's Party (Christian Democrats),257027,Partido Popular
Victor NEGRESCU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,88882,Partidul Social Democrat
Matjaž NEMEC,Slovenia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,233862,Socialni demokrati
Danuše NERUDOVÁ,Czechia,Group of the European People's Party (Christian Democrats),256847,Starostové a nezávisli
Denis NESCI,Italy,European Conservatives and Reformists Group,239260,FRATELLI D' ITALIA
Hans NEUHOFF,Germany,Europe of Sovereign Nations Group,256944,Alternative für Deutschland
Hannah NEUMANN,Germany,Group of the Greens/European Free Alliance,197464,Bündnis 90/Die Grünen
Elena NEVADO DEL CAMPO,Spain,Group of the European People's Party (Christian Democrats),257039,Partido Popular
Dan NICA,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124784,Partidul Social Democrat
Angelika NIEBLER,Germany,Group of the European People's Party (Christian Democrats),4289,Christlich-Soziale Union in Bayern e.V.
Luděk NIEDERMAYER,Czechia,Group of the European People's Party (Christian Democrats),124701,TOP 09 a Starostové
Ville NIINISTÖ,Finland,Group of the Greens/European Free Alliance,197802,Vihreä liitto
Lefteris NIKOLAOU-ALAVANOS,Greece,Non-attached Members,197734,Communist Party of Greece
Aleksandar NIKOLIC,France,Patriots for Europe Group,256883,Rassemblement national
Cynthia NÍ MHURCHÚ,Ireland,Renew Europe Group,257301,Fianna Fáil Party
Maria NOICHL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124836,Sozialdemokratische Partei Deutschlands
Rasmus NORDQVIST,Denmark,Group of the Greens/European Free Alliance,257044,Socialistisk Folkeparti
Andrey NOVAKOV,Bulgaria,Group of the European People's Party (Christian Democrats),107212,Citizens for European Development of Bulgaria
Mirosława NYKIEL,Poland,Group of the European People's Party (Christian Democrats),257049,Platforma Obywatelska
Daniel OBAJTEK,Poland,European Conservatives and Reformists Group,257058,Prawo i Sprawiedliwość
Ľudovít ÓDOR,Slovakia,Renew Europe Group,257010,Progresívne Slovensko
Jan-Christoph OETJEN,Germany,Renew Europe Group,197432,Freie Demokratische Partei
Maria OHISALO,Finland,Group of the Greens/European Free Alliance,198076,Vihreä liitto
João OLIVEIRA,Portugal,The Left group in the European Parliament - GUE/NGL,257083,Partido Comunista Português
Philippe OLIVIER,France,Patriots for Europe Group,197687,Rassemblement national
Younous OMARJEE,France,The Left group in the European Parliament - GUE/NGL,30482,La France Insoumise
Branislav ONDRUŠ,Slovakia,Non-attached Members,257018,Hlas – sociálna demokracia
Aodhán Ó RÍORDÁIN,Ireland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257238,Labour Party
Leoluca ORLANDO,Italy,Group of the Greens/European Free Alliance,2152,Independent
Jacek OZDOBA,Poland,European Conservatives and Reformists Group,257086,Prawo i Sprawiedliwość
Urmas PAET,Estonia,Renew Europe Group,129073,Eesti Reformierakond
Leire PAJÍN,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256993,Partido Socialista Obrero Español
Valentina PALMISANO,Italy,The Left group in the European Parliament - GUE/NGL,257135,Movimento 5 Stelle
Fidias PANAYIOTOU,Cyprus,Non-attached Members,256989,Independent
Kostas PAPADAKIS,Greece,Non-attached Members,125093,Communist Party of Greece
Nikos PAPANDREOU,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,244571,PASOK-KINAL
Nikos PAPPAS,Greece,The Left group in the European Parliament - GUE/NGL,256952,Coalition of the Radical Left
Nicolás PASCUAL DE LA PARTE,Spain,Group of the European People's Party (Christian Democrats),257040,Partido Popular
Aldo PATRICIELLO,Italy,Patriots for Europe Group,36392,Lega
Jutta PAULUS,Germany,Group of the Greens/European Free Alliance,197466,Bündnis 90/Die Grünen
Ana Miguel PEDRO,Portugal,Group of the European People's Party (Christian Democrats),110673,Partido do Centro Democrático Social-Partido Popular
Gaetano PEDULLA',Italy,The Left group in the European Parliament - GUE/NGL,257126,Movimento 5 Stelle
Thomas PELLERIN-CARLIN,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256903,Place publique
Guillaume PELTIER,France,European Conservatives and Reformists Group,30123,Identité Libertés
Tsvetelina PENKOVA,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197845,Bulgarian Socialist Party
Gilles PENNELLE,France,Patriots for Europe Group,126699,Rassemblement national
Lídia PEREIRA,Portugal,Group of the European People's Party (Christian Democrats),197738,Partido Social Democrata
Alvise PÉREZ,Spain,Non-attached Members,257019,Se Acabó la Fiesta
Kira Marie PETER-HANSEN,Denmark,Group of the Greens/European Free Alliance,197573,Socialistisk Folkeparti
Hristo PETROV,Bulgaria,Renew Europe Group,257257,We continue the change – Democratic Bulgaria
Michele PICARO,Italy,European Conservatives and Reformists Group,257150,FRATELLI D' ITALIA
Pina PICIERNO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124846,Partito Democratico
Tonino PICULA,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,112744,Socijaldemokratska partija Hrvatske
Pascale PIERA,France,Patriots for Europe Group,256877,Rassemblement national
Sirpa PIETIKÄINEN,Finland,Group of the European People's Party (Christian Democrats),40599,Kansallinen Kokoomus
Pierre PIMPIE,France,Patriots for Europe Group,256893,Rassemblement national
Gheorghe PIPEREA,Romania,European Conservatives and Reformists Group,257115,Alianța pentru Unirea Românilor
Margarita DE LA PISA CARRIÓN,Spain,Patriots for Europe Group,204414,VOX
Jaroslava POKORNÁ JERMANOVÁ,Czechia,Patriots for Europe Group,256844,ANO 2011
Daniele POLATO,Italy,European Conservatives and Reformists Group,257145,FRATELLI D' ITALIA
Jessica POLFJÄRD,Sweden,Group of the European People's Party (Christian Democrats),197404,Moderaterna
Virgil-Daniel POPESCU,Romania,Group of the European People's Party (Christian Democrats),257107,Partidul Naţional Liberal
Reinis POZŅAKS,Latvia,European Conservatives and Reformists Group,256907,"Apvienotais saraksts — Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija"
Vladimir PREBILIČ,Slovenia,Group of the Greens/European Free Alliance,256813,Prerod – Stranka Vladimirja Prebiliča
Giusi PRINCI,Italy,Group of the European People's Party (Christian Democrats),257128,Forza Italia
Nicola PROCACCINI,Italy,European Conservatives and Reformists Group,197820,FRATELLI D' ITALIA
Jacek PROTAS,Poland,Group of the European People's Party (Christian Democrats),257041,Platforma Obywatelska
Friedrich PÜRNER,Germany,Non-attached Members,256969,Independent
Emil RADEV,Bulgaria,Group of the European People's Party (Christian Democrats),124850,Citizens for European Development of Bulgaria
Dennis RADTKE,Germany,Group of the European People's Party (Christian Democrats),188945,Christlich Demokratische Union Deutschlands
Emma RAFOWICZ,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256902,Parti socialiste
Jüri RATAS,Estonia,Group of the European People's Party (Christian Democrats),188096,Isamaa
Ruggero RAZZA,Italy,European Conservatives and Reformists Group,257104,FRATELLI D' ITALIA
Julie RECHAGNEUX,France,Patriots for Europe Group,256882,Rassemblement national
Evelyn REGNER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96998,Sozialdemokratische Partei Österreichs
Terry REINTKE,Germany,Group of the Greens/European Free Alliance,103381,Bündnis 90/Die Grünen
René REPASI,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,229839,Sozialdemokratische Partei Deutschlands
Sabrina REPP,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256935,Sozialdemokratische Partei Deutschlands
Karlo RESSLER,Croatia,Group of the European People's Party (Christian Democrats),197413,Hrvatska demokratska zajednica
Thijs REUTEN,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,218347,GroenLinks-PvdA
Diana RIBA I GINER,Spain,Group of the Greens/European Free Alliance,197832,Esquerra Republicana de Catalunya
Matteo RICCI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257121,Partito Democratico
Chloé RIDEL,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256904,Parti socialiste
Nela RIEHL,Germany,Group of the Greens/European Free Alliance,256964,Volt
Manuela RIPA,Germany,Group of the European People's Party (Christian Democrats),206158,Ökologisch-Demokratische Partei
Marcos ROS SEMPERE,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,204413,Partido Socialista Obrero Español
Katarína ROTH NEVEĎALOVÁ,Slovakia,Non-attached Members,96653,SMER-Sociálna demokracia
André ROUGÉ,France,Patriots for Europe Group,197690,Rassemblement national
Bert-Jan RUISSEN,Netherlands,European Conservatives and Reformists Group,197773,Staatkundig Gereformeerde Partij
Sandro RUOTOLO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257170,Partito Democratico
Bogdan RZOŃCA,Poland,European Conservatives and Reformists Group,197545,Prawo i Sprawiedliwość
Arash SAEIDI,France,The Left group in the European Parliament - GUE/NGL,256911,La France Insoumise
Massimiliano SALINI,Italy,Group of the European People's Party (Christian Democrats),125670,Forza Italia
Ilaria SALIS,Italy,The Left group in the European Parliament - GUE/NGL,257127,Alleanza Verdi e Sinistra
Aura SALLA,Finland,Group of the European People's Party (Christian Democrats),98219,Kansallinen Kokoomus
Nacho SÁNCHEZ AMOR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197722,Partido Socialista Obrero Español
Julien SANCHEZ,France,Patriots for Europe Group,88552,Rassemblement national
Elena SANCHO MURILLO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257001,Partido Socialista Obrero Español
Jussi SARAMO,Finland,The Left group in the European Parliament - GUE/NGL,127766,Vasemmistoliitto
Silvia SARDONE,Italy,Patriots for Europe Group,197578,Lega
Marjan ŠAREC,Slovenia,Renew Europe Group,256815,Gibanje Svoboda
Eric SARGIACOMO,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256905,Parti socialiste
Mounir SATOURI,France,Group of the Greens/European Free Alliance,197500,Les Écologistes
Paulius SAUDARGAS,Lithuania,Group of the European People's Party (Christian Democrats),256809,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Majdouline SBAI,France,Group of the Greens/European Free Alliance,256917,Les Écologistes
Antonella SBERNA,Italy,European Conservatives and Reformists Group,257113,FRATELLI D' ITALIA
Christel SCHALDEMOSE,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,37312,Socialdemokratiet
Ernő SCHALLER-BAROSS,Hungary,Patriots for Europe Group,213330,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Oliver SCHENK,Germany,Group of the European People's Party (Christian Democrats),256979,Christlich Demokratische Union Deutschlands
Joanna SCHEURING-WIELGUS,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257084,Nowa Lewica
Andreas SCHIEDER,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197670,Sozialdemokratische Partei Österreichs
Lena SCHILLING,Austria,Group of the Greens/European Free Alliance,256833,Die Grünen - Die Grüne Alternative
Martin SCHIRDEWAN,Germany,The Left group in the European Parliament - GUE/NGL,190517,DIE LINKE.
Christine SCHNEIDER,Germany,Group of the European People's Party (Christian Democrats),197422,Christlich Demokratische Union Deutschlands
Volker SCHNURRBUSCH,Germany,Europe of Sovereign Nations Group,267485,Alternative für Deutschland
Andreas SCHWAB,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands
Benedetta SCUDERI,Italy,Group of the Greens/European Free Alliance,257139,Europa Verde - Verdi
Ralf SEEKATZ,Germany,Group of the European People's Party (Christian Democrats),197425,Christlich Demokratische Union Deutschlands
Alexander SELL,Germany,Europe of Sovereign Nations Group,256959,Alternative für Deutschland
Rosa SERRANO SIERRA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256999,Partido Socialista Obrero Español
Isabel SERRA SÁNCHEZ,Spain,The Left group in the European Parliament - GUE/NGL,257009,PODEMOS
Günther SIDL,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197677,Sozialdemokratische Partei Österreichs
Bartłomiej SIENKIEWICZ,Poland,Group of the European People's Party (Christian Democrats),86057,Platforma Obywatelska
Lukas SIEPER,Germany,Non-attached Members,256971,Partei des Fortschritts
Sven SIMON,Germany,Group of the European People's Party (Christian Democrats),197426,Christlich Demokratische Union Deutschlands
Christine SINGER,Germany,Renew Europe Group,256946,Freie Wähler
Virginijus SINKEVIČIUS,Lithuania,Group of the Greens/European Free Alliance,201945,Demokratų sąjunga „Vardan Lietuvos“
Birgit SIPPEL,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96932,Sozialdemokratische Partei Deutschlands
Jonas SJÖSTEDT,Sweden,The Left group in the European Parliament - GUE/NGL,2268,Vänsterpartiet
Krzysztof ŚMISZEK,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257085,Nowa Lewica
Anthony SMITH,France,The Left group in the European Parliament - GUE/NGL,256910,La France Insoumise
Sander SMIT,Netherlands,Group of the European People's Party (Christian Democrats),125325,BoerBurgerBeweging
Tomislav SOKOL,Croatia,Group of the European People's Party (Christian Democrats),197417,Hrvatska demokratska zajednica
Diego SOLIER,Spain,European Conservatives and Reformists Group,257021,Independiente
Susana SOLÍS PÉREZ,Spain,Group of the European People's Party (Christian Democrats),197784,Partido Popular
Liesbet SOMMEN,Belgium,Group of the European People's Party (Christian Democrats),256889,Christen-Democratisch & Vlaams
Martin SONNEBORN,Germany,Non-attached Members,124834,Die PARTEI
Malika SOREL,France,Non-attached Members,256871,Sans parti
Hélder SOUSA SILVA,Portugal,Group of the European People's Party (Christian Democrats),257068,Partido Social Democrata
Villy SØVNDAL,Denmark,Group of the Greens/European Free Alliance,111412,Socialistisk Folkeparti
Marco SQUARTA,Italy,European Conservatives and Reformists Group,257109,FRATELLI D' ITALIA
Mārtiņš STAĶIS,Latvia,Group of the Greens/European Free Alliance,256916,Progresīvie
Raffaele STANCANELLI,Italy,Patriots for Europe Group,197825,Lega
Antonín STANĚK,Czechia,Patriots for Europe Group,272024,Přísaha
Nicolae ȘTEFĂNUȚĂ,Romania,Group of the Greens/European Free Alliance,58766,Independent
Petra STEGER,Austria,Patriots for Europe Group,220897,Freiheitliche Partei Österreichs
Davor Ivo STIER,Croatia,Group of the European People's Party (Christian Democrats),119435,Hrvatska demokratska zajednica
Kristoffer STORM,Denmark,European Conservatives and Reformists Group,257025,Danmarksdemokraterne
Stanislav STOYANOV,Bulgaria,Europe of Sovereign Nations Group,257255,Revival
Marie-Agnes STRACK-ZIMMERMANN,Germany,Renew Europe Group,256926,Freie Demokratische Partei
Cecilia STRADA,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257101,Partito Democratico
Joachim STREIT,Germany,Renew Europe Group,256962,Freie Wähler
Tineke STRIK,Netherlands,Group of the Greens/European Free Alliance,197772,GroenLinks-PvdA
Anna STROLENBERG,Netherlands,Group of the Greens/European Free Alliance,256990,Volt
Şerban Dimitrie STURDZA,Romania,European Conservatives and Reformists Group,257119,Partidul Acțiunea Conservatoare
Anna STÜRGKH,Austria,Renew Europe Group,256839,NEOS – Das Neue Österreich
Marcin SYPNIEWSKI,Poland,Europe of Sovereign Nations Group,257070,Konfederacja Wolność i Niepodległość
Michał SZCZERBA,Poland,Group of the European People's Party (Christian Democrats),257026,Platforma Obywatelska
Pál SZEKERES,Hungary,Patriots for Europe Group,256855,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Beata SZYDŁO,Poland,European Conservatives and Reformists Group,197553,Prawo i Sprawiedliwość
Dario TAMBURRANO,Italy,The Left group in the European Parliament - GUE/NGL,124813,Movimento 5 Stelle
António TÂNGER CORRÊA,Portugal,Patriots for Europe Group,257050,Chega
Dominik TARCZYŃSKI,Poland,European Conservatives and Reformists Group,204346,Prawo i Sprawiedliwość
Marco TARQUINIO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257160,Partito Democratico
Zoltán TARR,Hungary,Group of the European People's Party (Christian Democrats),256863,Tisztelet és Szabadság Párt
Claudiu-Richard TÂRZIU,Romania,European Conservatives and Reformists Group,257114,Partidul Acțiunea Conservatoare
Carla TAVARES,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,257071,Partido Socialista
Kai TEGETHOFF,Germany,Group of the Greens/European Free Alliance,256965,Volt
Marta TEMIDO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,210480,Partido Socialista
Georgiana TEODORESCU,Romania,European Conservatives and Reformists Group,257116,Alianța pentru Unirea Românilor
Alice TEODORESCU MÅWE,Sweden,Group of the European People's Party (Christian Democrats),257089,Kristdemokraterna
Cristian TERHEŞ,Romania,European Conservatives and Reformists Group,197655,Partidului Național Conservator Român (PNCR)
Ingeborg TER LAAK,Netherlands,Group of the European People's Party (Christian Democrats),256968,Christen Democratisch Appèl
Riho TERRAS,Estonia,Group of the European People's Party (Christian Democrats),204449,Isamaa
Hermann TERTSCH,Spain,Patriots for Europe Group,197831,VOX
Pierre-Romain THIONNET,France,Patriots for Europe Group,200345,Rassemblement national
Beatrice TIMGREN,Sweden,European Conservatives and Reformists Group,257090,Sverigedemokraterna
Irene TINAGLI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197591,Partito Democratico
Bruno TOBBACK,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,256885,Vooruit
Tomas TOBÉ,Sweden,Group of the European People's Party (Christian Democrats),197402,Moderaterna
Rody TOLASSY,France,Patriots for Europe Group,256888,Rassemblement national
Eugen TOMAC,Romania,Renew Europe Group,197672,Partidul Mișcarea Populară
Zala TOMAŠIČ,Slovenia,Group of the European People's Party (Christian Democrats),256814,Slovenska demokratska stranka
